date,PRC,is_prediction
2012/01/03,40.87,True
2012/01/04,40.98,True
2012/01/05,41.04,True
2012/01/06,41.29,True
2012/01/09,41.56,True
2012/01/10,42.35,True
2012/01/11,42.97,True
2012/01/12,43.53,True
2012/01/13,43.34,True
2012/01/17,43.7,True
2012/01/18,43.99,True
2012/01/19,44.71,True
2012/01/20,43.8,True
2012/01/23,43.68,True
2012/01/24,43.7,True
2012/01/25,44.48,True
2012/01/26,44.34,True
2012/01/27,43.67,True
2012/01/30,43.02,True
2012/01/31,42.88,True
2012/02/01,43.46,True
2012/02/02,43.7,True
2012/02/03,44.66,True
2012/02/06,44.63,True
2012/02/07,45.285,True
2012/02/08,45.35,True
2012/02/09,45.02,True
2012/02/10,44.79,True
2012/02/13,45.16,True
2012/02/14,45.2,True
2012/02/15,45.75,True
2012/02/16,44.94,True
2012/02/17,45.22,True
2012/02/21,44.61,True
2012/02/22,44.25,True
2012/02/23,44.16,True
2012/02/24,44.53,True
2012/02/27,44.56,True
2012/02/28,45.73,True
2012/02/29,46.65,True
2012/03/01,46.52,True
2012/03/02,47.36,True
2012/03/05,47.52,True
2012/03/06,46.57,True
2012/03/07,46.55,True
2012/03/08,47.08,True
2012/03/09,47.18,True
2012/03/12,46.71,True
2012/03/13,48.15,True
2012/03/14,47.91,True
2012/03/15,47.87,True
2012/03/16,47.93,True
2012/03/19,48.09,True
2012/03/20,47.42,True
2012/03/21,48.33,True
2012/03/22,48.18,True
2012/03/23,48.4,True
2012/03/26,48.81,True
2012/03/27,49.5,True
2012/03/28,49.37,True
2012/03/29,49.41,True
2012/03/30,50.6,True
2012/04/02,50.99,True
2012/04/03,51.08,True
2012/04/04,50.93,True
2012/04/05,51.74,True
2012/04/09,50.82,True
2012/04/10,49.74,True
2012/04/11,50.71,True
2012/04/12,51.29,True
2012/04/13,51.7,True
2012/04/16,51.89,True
2012/04/17,52.41,True
2012/04/18,52.16,True
2012/04/19,51.89,True
2012/04/20,52.46,True
2012/04/23,51.54,True
2012/04/24,51.49,True
2012/04/25,52.21,True
2012/04/26,53.37,True
2012/04/27,54.89,True
2012/04/30,54.43,True
2012/05/01,54.12,True
2012/05/02,54.17,True
2012/05/03,55.13,True
2012/05/04,53.44,True
2012/05/07,54.08,True
2012/05/08,50.8,True
2012/05/09,50.47,True
2012/05/10,50.78,True
2012/05/11,51.39,True
2012/05/14,50.61,True
2012/05/15,50.83,True
2012/05/16,51.19,True
2012/05/17,49.08,True
2012/05/18,48.37,True
2012/05/21,49.88,True
2012/05/22,49.52,True
2012/05/23,49.78,True
2012/05/24,50.32,True
2012/05/25,50.56,True
2012/05/29,51.06,True
2012/05/30,50.21,True
2012/05/31,50.1,True
2012/06/01,48.64,True
2012/06/04,48.5,True
2012/06/05,49.02,True
2012/06/06,50.3,True
2012/06/07,50.52,True
2012/06/08,51.02,True
2012/06/11,51.39,True
2012/06/12,52.13,True
2012/06/13,50.32,True
2012/06/14,50.06,True
2012/06/15,50.62,True
2012/06/18,51.19,True
2012/06/19,51.84,True
2012/06/20,52.52,True
2012/06/21,52.48,True
2012/06/22,53.0,True
2012/06/25,52.44,True
2012/06/26,52.845,True
2012/06/27,53.45,True
2012/06/28,53.1,True
2012/06/29,54.0,True
2012/07/02,54.86,True
2012/07/03,54.55,True
2012/07/05,53.76,True
2012/07/06,52.81,True
2012/07/09,51.46,True
2012/07/10,50.25,True
2012/07/11,50.02,True
2012/07/12,50.24,True
2012/07/13,50.39,True
2012/07/16,49.39,True
2012/07/17,50.64,True
2012/07/18,50.5,True
2012/07/19,51.04,True
2012/07/20,50.12,True
2012/07/23,49.26,True
2012/07/24,49.1,True
2012/07/25,49.39,True
2012/07/26,50.5,True
2012/07/27,52.02,True
2012/07/30,50.93,True
2012/07/31,50.63,True
2012/08/01,49.3,True
2012/08/02,50.25,True
2012/08/03,52.31,True
2012/08/06,53.09,True
2012/08/07,53.87,True
2012/08/08,53.97,True
2012/08/09,53.91,True
2012/08/10,54.58,True
2012/08/13,54.12,True
2012/08/14,53.13,True
2012/08/15,53.2,True
2012/08/16,53.03,True
2012/08/17,52.74,True
2012/08/20,52.4,True
2012/08/21,52.76,True
2012/08/22,52.83,True
2012/08/23,52.53,True
2012/08/24,53.33,True
2012/08/27,53.68,True
2012/08/28,53.55,True
2012/08/29,53.86,True
2012/08/30,54.18,True
2012/08/31,54.84,True
2012/09/04,55.28,True
2012/09/05,55.25,True
2012/09/06,56.19,True
2012/09/07,56.42,True
2012/09/10,56.23,True
2012/09/11,56.02,True
2012/09/12,56.65,True
2012/09/13,58.15,True
2012/09/14,58.75,True
2012/09/17,58.58,True
2012/09/18,58.51,True
2012/09/19,59.44,True
2012/09/20,59.58,True
2012/09/21,59.9,True
2012/09/24,59.24,True
2012/09/25,58.45,True
2012/09/26,58.28,True
2012/09/27,59.49,True
2012/09/28,59.6,True
2012/10/01,59.9499,True
2012/10/02,59.82,True
2012/10/03,60.18,True
2012/10/04,61.06,True
2012/10/05,61.25,True
2012/10/08,60.66,True
2012/10/09,59.69,True
2012/10/10,59.91,True
2012/10/11,60.47,True
2012/10/12,60.74,True
2012/10/15,61.53,True
2012/10/16,61.87,True
2012/10/17,61.24,True
2012/10/18,61.77,True
2012/10/19,60.44,True
2012/10/22,60.75,True
2012/10/23,59.5,True
2012/10/24,59.05,True
2012/10/25,58.76,True
2012/10/26,58.19,True
2012/10/31,59.02,True
2012/11/01,61.26,True
2012/11/02,59.88,True
2012/11/05,59.45,True
2012/11/06,57.46,True
2012/11/07,56.79,True
2012/11/08,55.61,True
2012/11/09,56.45,True
2012/11/12,56.07,True
2012/11/13,56.77,True
2012/11/14,55.21,True
2012/11/15,55.28,True
2012/11/16,55.18,True
2012/11/19,56.87,True
2012/11/20,57.51,True
2012/11/21,57.38,True
2012/11/23,58.2,True
2012/11/26,57.88,True
2012/11/27,57.7,True
2012/11/28,58.97,True
2012/11/29,59.56,True
2012/11/30,60.41,True
2012/12/03,59.95,True
2012/12/04,60.51,True
2012/12/05,61.74,True
2012/12/06,61.84,True
2012/12/07,61.09,True
2012/12/10,60.52,True
2012/12/11,61.51,True
2012/12/12,61.49,True
2012/12/13,60.26,True
2012/12/14,60.8188,True
2012/12/17,62.21,True
2012/12/18,63.61,True
2012/12/19,62.81,True
2012/12/20,63.49,True
2012/12/21,63.15,True
2012/12/24,63.21,True
2012/12/26,62.94,True
2012/12/27,62.38,True
2012/12/28,61.89,True
2012/12/31,63.48,True
2013/01/01,63.72975283733473,False
2013/01/02,63.924777783844114,False
2013/01/03,63.8601838891004,False
2013/01/04,63.99725264165022,False
2013/01/07,63.89563498235741,False
2013/01/08,64.04679584359207,False
2013/01/09,64.09633407680563,False
2013/01/10,64.23030992551361,False
2013/01/11,64.29843727113352,False
2013/01/14,64.4215987170313,False
2013/01/15,64.49217065051491,False
2013/01/16,64.59607583900024,False
2013/01/17,64.67468007244214,False
2013/01/18,64.77278865605594,False
2013/01/21,64.85602189025543,False
2013/01/22,64.95192555906874,False
2013/01/23,65.03852534028336,False
2013/01/24,65.13218388691836,False
2013/01/25,65.22038625275728,False
2013/01/28,65.31272516430502,False
2013/01/29,65.4017587278374,False
2013/01/30,65.49332088848375,False
2013/01/31,65.58294910367387,False
2013/02/01,65.6740723660083,False
2013/02/04,65.76405373014303,False
