date,PRC,is_prediction
2012/01/03,37.8,True
2012/01/04,37.5,True
2012/01/05,37.14,True
2012/01/06,37.32,True
2012/01/09,37.46,True
2012/01/10,38.14,True
2012/01/11,38.58,True
2012/01/12,39.38,True
2012/01/13,39.62,True
2012/01/17,39.84,True
2012/01/18,39.96,True
2012/01/19,40.67,True
2012/01/20,39.98,True
2012/01/23,39.77,True
2012/01/24,39.87,True
2012/01/25,40.03,True
2012/01/26,39.87,True
2012/01/27,39.19,True
2012/01/30,38.93,True
2012/01/31,38.85,True
2012/02/01,39.26,True
2012/02/02,38.95,True
2012/02/03,39.34,True
2012/02/06,39.78,True
2012/02/07,40.56,True
2012/02/08,40.84,True
2012/02/09,40.75,True
2012/02/10,41.04,True
2012/02/13,41.36,True
2012/02/14,41.46,True
2012/02/15,41.52,True
2012/02/16,41.23,True
2012/02/17,41.53,True
2012/02/21,41.02,True
2012/02/22,40.78,True
2012/02/23,40.85,True
2012/02/24,41.14,True
2012/02/27,41.3,True
2012/02/28,42.55,True
2012/02/29,43.46,True
2012/03/01,43.4,True
2012/03/02,44.3,True
2012/03/05,44.54,True
2012/03/06,43.38,True
2012/03/07,43.32,True
2012/03/08,44.27,True
2012/03/09,44.07,True
2012/03/12,43.69,True
2012/03/13,45.23,True
2012/03/14,44.57,True
2012/03/15,44.66,True
2012/03/16,45.19,True
2012/03/19,45.46,True
2012/03/20,44.7,True
2012/03/21,45.89,True
2012/03/22,45.85,True
2012/03/23,46.41,True
2012/03/26,46.4,True
2012/03/27,46.15,True
2012/03/28,45.91,True
2012/03/29,45.96,True
2012/03/30,46.88,True
2012/04/02,47.29,True
2012/04/03,47.45,True
2012/04/04,47.64,True
2012/04/05,47.95,True
2012/04/09,47.64,True
2012/04/10,46.76,True
2012/04/11,47.6,True
2012/04/12,48.19,True
2012/04/13,48.22,True
2012/04/16,47.78,True
2012/04/17,48.04,True
2012/04/18,48.12,True
2012/04/19,47.8,True
2012/04/20,48.19,True
2012/04/23,47.53,True
2012/04/24,47.9,True
2012/04/25,48.33,True
2012/04/26,49.05,True
2012/04/27,50.39,True
2012/04/30,49.69,True
2012/05/01,49.4,True
2012/05/02,49.87,True
2012/05/03,50.45,True
2012/05/04,49.26,True
2012/05/07,49.36,True
2012/05/08,47.16,True
2012/05/09,47.22,True
2012/05/10,46.96,True
2012/05/11,47.51,True
2012/05/14,46.81,True
2012/05/15,46.93,True
2012/05/16,47.26,True
2012/05/17,44.63,True
2012/05/18,44.05,True
2012/05/21,45.58,True
2012/05/22,45.89,True
2012/05/23,46.15,True
2012/05/24,46.38,True
2012/05/25,47.03,True
2012/05/29,47.39,True
2012/05/30,46.76,True
2012/05/31,46.59,True
2012/06/01,45.2,True
2012/06/04,44.98,True
2012/06/05,45.65,True
2012/06/06,46.59,True
2012/06/07,47.21,True
2012/06/08,47.6,True
2012/06/11,47.7,True
2012/06/12,48.4,True
2012/06/13,46.81,True
2012/06/14,46.97,True
2012/06/15,47.57,True
2012/06/18,48.19,True
2012/06/19,48.84,True
2012/06/20,49.72,True
2012/06/21,49.52,True
2012/06/22,49.57,True
2012/06/25,49.26,True
2012/06/26,49.29,True
2012/06/27,49.58,True
2012/06/28,49.33,True
2012/06/29,50.09,True
2012/07/02,51.04,True
2012/07/03,51.01,True
2012/07/05,50.37,True
2012/07/06,49.56,True
2012/07/09,47.85,True
2012/07/10,46.49,True
2012/07/11,46.27,True
2012/07/12,46.12,True
2012/07/13,46.42,True
2012/07/16,45.27,True
2012/07/17,46.3,True
2012/07/18,46.27,True
2012/07/19,46.91,True
2012/07/20,46.33,True
2012/07/23,45.67,True
2012/07/24,45.49,True
2012/07/25,46.04,True
2012/07/26,46.98,True
2012/07/27,48.36,True
2012/07/30,47.09,True
2012/07/31,46.62,True
2012/08/01,45.98,True
2012/08/02,47.03,True
2012/08/03,48.58,True
2012/08/06,49.52,True
2012/08/07,50.53,True
2012/08/08,50.61,True
2012/08/09,50.71,True
2012/08/10,51.4,True
2012/08/13,51.0,True
2012/08/14,49.93,True
2012/08/15,50.11,True
2012/08/16,50.08,True
2012/08/17,49.71,True
2012/08/20,49.26,True
2012/08/21,49.57,True
2012/08/22,49.37,True
2012/08/23,48.86,True
2012/08/24,50.1,True
2012/08/27,50.63,True
2012/08/28,50.38,True
2012/08/29,50.62,True
2012/08/30,51.04,True
2012/08/31,51.81,True
2012/09/04,52.07,True
2012/09/05,51.74,True
2012/09/06,52.26,True
2012/09/07,52.47,True
2012/09/10,52.2,True
2012/09/11,51.92,True
2012/09/12,52.45,True
2012/09/13,54.02,True
2012/09/14,54.44,True
2012/09/17,54.46,True
2012/09/18,54.68,True
2012/09/19,55.63,True
2012/09/20,55.62,True
2012/09/21,55.7,True
2012/09/24,55.18,True
2012/09/25,54.51,True
2012/09/26,54.74,True
2012/09/27,55.79,True
2012/09/28,56.04,True
2012/10/01,56.33,True
2012/10/02,56.01,True
2012/10/03,56.37,True
2012/10/04,57.08,True
2012/10/05,57.27,True
2012/10/08,56.48,True
2012/10/09,55.68,True
2012/10/10,56.13,True
2012/10/11,56.61,True
2012/10/12,56.71,True
2012/10/15,57.47,True
2012/10/16,57.73,True
2012/10/17,57.08,True
2012/10/18,57.44,True
2012/10/19,56.16,True
2012/10/22,56.61,True
2012/10/23,55.71,True
2012/10/24,54.9501,True
2012/10/25,54.6,True
2012/10/26,53.75,True
2012/10/31,54.78,True
2012/11/01,56.4,True
2012/11/02,55.16,True
2012/11/05,54.58,True
2012/11/06,53.09,True
2012/11/07,52.42,True
2012/11/08,51.66,True
2012/11/09,52.55,True
2012/11/12,51.9,True
2012/11/13,52.74,True
2012/11/14,51.28,True
2012/11/15,51.44,True
2012/11/16,51.36,True
2012/11/19,53.05,True
2012/11/20,53.54,True
2012/11/21,53.48,True
2012/11/23,54.19,True
2012/11/26,54.13,True
2012/11/27,54.05,True
2012/11/28,55.06,True
2012/11/29,55.79,True
2012/11/30,56.28,True
2012/12/03,55.85,True
2012/12/04,56.1,True
2012/12/05,57.04,True
2012/12/06,57.48,True
2012/12/07,56.86,True
