date,PRC,is_prediction
2012/01/03,59.09,True
2012/01/04,58.17,True
2012/01/05,58.68,True
2012/01/06,57.66,True
2012/01/09,57.46,True
2012/01/10,59.18,True
2012/01/11,59.05,True
2012/01/12,59.92,True
2012/01/13,60.22,True
2012/01/17,60.25,True
2012/01/18,60.6,True
2012/01/19,60.85,True
2012/01/20,59.33,True
2012/01/23,59.92,True
2012/01/24,60.47,True
2012/01/25,60.86,True
2012/01/26,62.93,True
2012/01/27,63.69,True
2012/01/30,63.24,True
2012/01/31,63.41,True
2012/02/01,64.43,True
2012/02/02,64.52,True
2012/02/03,65.63,True
2012/02/06,65.06,True
2012/02/07,64.89,True
2012/02/08,65.18,True
2012/02/09,65.38,True
2012/02/10,64.51,True
2012/02/13,66.04,True
2012/02/14,66.0,True
2012/02/15,65.63,True
2012/02/16,66.61,True
2012/02/17,66.09,True
2012/02/21,66.52,True
2012/02/22,65.82,True
2012/02/23,65.58,True
2012/02/24,65.67,True
2012/02/27,65.01,True
2012/02/28,64.61,True
2012/02/29,64.02,True
2012/03/01,64.05,True
2012/03/02,63.28,True
2012/03/05,63.44,True
2012/03/06,60.75,True
2012/03/07,61.39,True
2012/03/08,62.34,True
2012/03/09,63.14,True
2012/03/12,63.09,True
2012/03/13,64.59,True
2012/03/14,63.93,True
2012/03/15,64.17,True
2012/03/16,64.14,True
2012/03/19,64.21,True
2012/03/20,63.23,True
2012/03/21,62.62,True
2012/03/22,61.63,True
2012/03/23,62.53,True
2012/03/26,63.43,True
2012/03/27,62.98,True
2012/03/28,61.57,True
2012/03/29,62.22,True
2012/03/30,62.94,True
2012/04/02,64.04,True
2012/04/03,63.39,True
2012/04/04,63.01,True
2012/04/05,61.39,True
2012/04/09,60.81,True
2012/04/10,59.93,True
2012/04/11,60.15,True
2012/04/12,60.86,True
2012/04/13,60.92,True
2012/04/16,61.0,True
2012/04/17,62.43,True
2012/04/18,61.04,True
2012/04/19,59.88,True
2012/04/20,60.12,True
2012/04/23,60.31,True
2012/04/24,60.87,True
2012/04/25,61.51,True
2012/04/26,62.31,True
2012/04/27,63.5,True
2012/04/30,62.66,True
2012/05/01,62.72,True
2012/05/02,62.17,True
2012/05/03,61.28,True
2012/05/04,60.03,True
2012/05/07,59.01,True
2012/05/08,58.72,True
2012/05/09,58.29,True
2012/05/10,58.91,True
2012/05/11,58.8,True
2012/05/14,58.34,True
2012/05/15,57.25,True
2012/05/16,56.9,True
2012/05/17,55.08,True
2012/05/18,55.07,True
2012/05/21,57.18,True
2012/05/22,56.79,True
2012/05/23,57.78,True
2012/05/24,58.25,True
2012/05/25,57.78,True
2012/05/29,58.55,True
2012/05/30,57.63,True
2012/05/31,56.56,True
2012/06/01,54.68,True
2012/06/04,53.59,True
2012/06/05,54.46,True
2012/06/06,55.74,True
2012/06/07,56.43,True
2012/06/08,56.68,True
2012/06/11,55.68,True
2012/06/12,56.29,True
2012/06/13,55.29,True
2012/06/14,55.0,True
2012/06/15,55.31,True
2012/06/18,55.67,True
2012/06/19,56.13,True
2012/06/20,56.11,True
2012/06/21,54.42,True
2012/06/22,53.57,True
2012/06/25,52.32,True
2012/06/26,51.86,True
2012/06/27,51.84,True
2012/06/28,51.57,True
2012/06/29,53.61,True
2012/07/02,53.18,True
2012/07/03,54.23,True
2012/07/05,54.03,True
2012/07/06,52.44,True
2012/07/09,52.38,True
2012/07/10,51.79,True
2012/07/11,51.06,True
2012/07/12,51.25,True
2012/07/13,52.64,True
