date,PRC,is_prediction
2012/01/03,38.34,True
2012/01/04,38.55,True
2012/01/05,38.79,True
2012/01/06,38.52,True
2012/01/09,38.52,True
2012/01/10,38.62,True
2012/01/11,38.15,True
2012/01/12,37.96,True
2012/01/13,37.82,True
2012/01/17,37.63,True
2012/01/18,37.72,True
2012/01/19,37.33,True
2012/01/20,37.67,True
2012/01/23,38.09,True
2012/01/24,37.8,True
2012/01/25,38.76,True
2012/01/26,39.08,True
2012/01/27,38.71,True
2012/01/30,38.37,True
2012/01/31,38.82,True
2012/02/01,39.05,True
2012/02/02,39.08,True
2012/02/03,38.65,True
2012/02/06,38.33,True
2012/02/07,38.46,True
2012/02/08,38.18,True
2012/02/09,38.13,True
2012/02/10,38.51,True
2012/02/13,38.64,True
2012/02/14,39.11,True
2012/02/15,39.9,True
2012/02/16,40.0,True
2012/02/17,39.55,True
2012/02/21,39.21,True
2012/02/22,38.88,True
2012/02/23,38.87,True
2012/02/24,38.59,True
2012/02/27,38.41,True
2012/02/28,38.12,True
2012/02/29,38.05,True
2012/03/01,38.14,True
2012/03/02,37.8,True
2012/03/05,37.86,True
2012/03/06,37.86,True
2012/03/07,37.68,True
2012/03/08,37.7,True
2012/03/09,38.09,True
2012/03/12,38.53,True
2012/03/13,38.93,True
2012/03/14,38.65,True
2012/03/15,38.45,True
2012/03/16,38.55,True
2012/03/19,38.66,True
2012/03/20,38.38,True
2012/03/21,38.6,True
2012/03/22,38.95,True
2012/03/23,38.77,True
2012/03/26,38.76,True
2012/03/27,38.57,True
2012/03/28,38.69,True
2012/03/29,39.75,True
2012/03/30,40.21,True
2012/04/02,40.62,True
2012/04/03,40.46,True
2012/04/04,40.3,True
2012/04/05,40.54,True
2012/04/09,39.77,True
2012/04/10,39.28,True
2012/04/11,39.47,True
2012/04/12,39.14,True
2012/04/13,39.26,True
2012/04/16,39.36,True
2012/04/17,40.08,True
2012/04/18,40.39,True
2012/04/19,40.5,True
2012/04/20,40.59,True
2012/04/23,39.96,True
2012/04/24,40.32,True
2012/04/25,39.31,True
2012/04/26,39.71,True
2012/04/27,39.71,True
2012/04/30,40.58,True
2012/05/01,40.52,True
2012/05/02,41.32,True
2012/05/03,40.11,True
2012/05/04,39.92,True
2012/05/07,39.82,True
2012/05/08,40.59,True
2012/05/09,40.95,True
2012/05/10,41.18,True
2012/05/11,40.95,True
2012/05/14,40.81,True
2012/05/15,40.43,True
2012/05/16,41.09,True
2012/05/17,40.83,True
2012/05/18,40.25,True
2012/05/21,40.57,True
2012/05/22,40.91,True
2012/05/23,41.12,True
2012/05/24,40.76,True
2012/05/25,41.09,True
2012/05/29,41.1,True
2012/05/30,41.09,True
2012/05/31,41.26,True
2012/06/01,40.63,True
2012/06/04,40.83,True
2012/06/05,40.84,True
2012/06/06,41.39,True
2012/06/07,41.86,True
2012/06/08,42.64,True
