date,PRC,is_prediction
2012/01/03,53.87,True
2012/01/04,53.6,True
2012/01/05,53.99,True
2012/01/06,53.52,True
2012/01/09,53.52,True
2012/01/10,53.76,True
2012/01/11,53.58,True
2012/01/12,53.58,True
2012/01/13,53.48,True
2012/01/17,53.57,True
2012/01/18,53.53,True
2012/01/19,52.99,True
2012/01/20,53.63,True
2012/01/23,53.27,True
2012/01/24,52.96,True
2012/01/25,54.06,True
2012/01/26,54.34,True
2012/01/27,53.6,True
2012/01/30,53.16,True
2012/01/31,53.21,True
2012/02/01,53.45,True
2012/02/02,53.55,True
2012/02/03,53.71,True
2012/02/06,53.17,True
2012/02/07,54.38,True
2012/02/08,54.52,True
2012/02/09,54.26,True
2012/02/10,53.95,True
2012/02/13,53.72,True
2012/02/14,53.39,True
2012/02/15,53.21,True
2012/02/16,54.0,True
2012/02/17,54.3,True
2012/02/21,54.34,True
2012/02/22,54.38,True
2012/02/23,54.81,True
2012/02/24,54.85,True
2012/02/27,54.32,True
2012/02/28,54.39,True
2012/02/29,53.99,True
2012/03/01,54.41,True
2012/03/02,54.35,True
2012/03/05,54.36,True
2012/03/06,53.87,True
2012/03/07,54.29,True
2012/03/08,55.03,True
2012/03/09,55.38,True
2012/03/12,55.88,True
2012/03/13,56.46,True
2012/03/14,55.26,True
2012/03/15,54.72,True
2012/03/16,55.04,True
2012/03/19,54.67,True
2012/03/20,54.58,True
2012/03/21,54.23,True
2012/03/22,54.18,True
2012/03/23,54.66,True
2012/03/26,55.44,True
2012/03/27,55.34,True
2012/03/28,54.82,True
2012/03/29,54.86,True
2012/03/30,55.03,True
2012/04/02,55.2,True
2012/04/03,55.22,True
2012/04/04,55.19,True
2012/04/05,54.78,True
2012/04/09,54.48,True
2012/04/10,53.83,True
2012/04/11,54.12,True
2012/04/12,54.52,True
2012/04/13,54.25,True
2012/04/16,55.01,True
2012/04/17,55.36,True
2012/04/18,55.13,True
2012/04/19,54.72,True
2012/04/20,55.46,True
2012/04/23,55.27,True
2012/04/24,55.98,True
2012/04/25,56.24,True
2012/04/26,56.53,True
2012/04/27,56.4,True
2012/04/30,56.38,True
2012/05/01,56.8,True
2012/05/02,56.31,True
2012/05/03,56.15,True
2012/05/04,55.76,True
2012/05/07,55.48,True
2012/05/08,55.69,True
2012/05/09,55.58,True
2012/05/10,56.34,True
2012/05/11,56.34,True
2012/05/14,56.28,True
2012/05/15,55.84,True
2012/05/16,55.89,True
2012/05/17,55.07,True
2012/05/18,55.06,True
2012/05/21,55.73,True
2012/05/22,56.15,True
2012/05/23,55.9,True
2012/05/24,56.45,True
2012/05/25,56.56,True
2012/05/29,56.84,True
2012/05/30,56.25,True
2012/05/31,56.83,True
2012/06/01,56.36,True
2012/06/04,56.8,True
2012/06/05,57.15,True
2012/06/06,57.76,True
2012/06/07,57.59,True
2012/06/08,57.99,True
2012/06/11,58.14,True
2012/06/12,58.64,True
2012/06/13,58.77,True
2012/06/14,59.47,True
2012/06/15,60.09,True
2012/06/18,59.94,True
