date,PRC,is_prediction
2012/01/03,21.62,True
2012/01/04,21.52,True
2012/01/05,21.51,True
2012/01/06,21.51,True
2012/01/09,21.47,True
2012/01/10,21.47,True
2012/01/11,21.4,True
2012/01/12,21.28,True
2012/01/13,21.31,True
2012/01/17,21.315,True
2012/01/18,21.32,True
2012/01/19,21.24,True
2012/01/20,21.3,True
2012/01/23,21.27,True
2012/01/24,21.14,True
2012/01/25,21.36,True
2012/01/26,21.47,True
2012/01/27,21.18,True
2012/01/30,21.13,True
2012/01/31,21.31,True
2012/02/01,21.46,True
2012/02/02,21.37,True
2012/02/03,21.4,True
2012/02/06,21.27,True
2012/02/07,21.48,True
2012/02/08,21.38,True
2012/02/09,21.46,True
2012/02/10,21.48,True
2012/02/13,21.44,True
2012/02/14,21.5,True
2012/02/15,20.87,True
2012/02/16,21.1,True
2012/02/17,20.9,True
2012/02/21,20.86,True
2012/02/22,20.93,True
2012/02/23,20.89,True
2012/02/24,21.1,True
2012/02/27,21.07,True
2012/02/28,21.01,True
2012/02/29,20.92,True
2012/03/01,20.99,True
2012/03/02,21.04,True
2012/03/05,21.09,True
2012/03/06,21.02,True
2012/03/07,21.03,True
2012/03/08,21.15,True
2012/03/09,21.15,True
2012/03/12,21.37,True
2012/03/13,21.43,True
2012/03/14,21.15,True
2012/03/15,21.13,True
2012/03/16,21.07,True
2012/03/19,20.94,True
2012/03/20,20.89,True
2012/03/21,20.84,True
2012/03/22,20.87,True
2012/03/23,20.79,True
2012/03/26,20.97,True
2012/03/27,21.06,True
2012/03/28,20.91,True
2012/03/29,20.91,True
2012/03/30,21.01,True
2012/04/02,21.1,True
2012/04/03,21.14,True
2012/04/04,21.185,True
2012/04/05,20.76,True
2012/04/09,20.61,True
2012/04/10,20.37,True
2012/04/11,20.35,True
2012/04/12,20.38,True
2012/04/13,20.41,True
2012/04/16,20.63,True
2012/04/17,20.82,True
2012/04/18,21.02,True
2012/04/19,20.87,True
2012/04/20,21.01,True
2012/04/23,20.93,True
2012/04/24,21.18,True
2012/04/25,21.29,True
2012/04/26,21.38,True
2012/04/27,21.43,True
2012/04/30,21.43,True
2012/05/01,21.53,True
2012/05/02,21.48,True
2012/05/03,21.4,True
2012/05/04,21.56,True
2012/05/07,21.47,True
2012/05/08,21.55,True
2012/05/09,21.6,True
2012/05/10,21.79,True
2012/05/11,21.72,True
2012/05/14,21.69,True
2012/05/15,21.68,True
2012/05/16,21.39,True
2012/05/17,21.43,True
2012/05/18,21.46,True
2012/05/21,21.39,True
2012/05/22,21.65,True
2012/05/23,21.6,True
2012/05/24,21.8,True
2012/05/25,21.96,True
2012/05/29,21.98,True
2012/05/30,21.85,True
2012/05/31,21.98,True
2012/06/01,22.35,True
2012/06/04,22.48,True
2012/06/05,22.605,True
2012/06/06,22.69,True
2012/06/07,22.89,True
2012/06/08,23.15,True
2012/06/11,22.975,True
2012/06/12,22.96,True
2012/06/13,22.85,True
2012/06/14,23.14,True
2012/06/15,23.26,True
2012/06/18,23.28,True
2012/06/19,23.1,True
2012/06/20,22.83,True
2012/06/21,22.75,True
2012/06/22,22.88,True
2012/06/25,22.93,True
2012/06/26,22.9,True
2012/06/27,23.01,True
2012/06/28,23.06,True
2012/06/29,23.06,True
2012/07/02,23.28,True
2012/07/03,68.69,True
2012/07/05,68.57,True
2012/07/06,66.23,True
2012/07/09,65.31,True
2012/07/10,66.14,True
2012/07/11,66.48,True
2012/07/12,66.64,True
2012/07/13,66.74,True
2012/07/16,66.74,True
2012/07/17,66.34,True
2012/07/18,66.07,True
2012/07/19,66.12,True
2012/07/20,66.22,True
2012/07/23,65.5,True
2012/07/24,65.27,True
2012/07/25,65.82,True
2012/07/26,67.335,True
2012/07/27,67.455,True
2012/07/30,68.07,True
2012/07/31,67.78,True
2012/08/01,67.52,True
2012/08/02,67.46,True
2012/08/03,68.6,True
2012/08/06,68.21,True
2012/08/07,68.05,True
2012/08/08,68.04,True
2012/08/09,68.09,True
2012/08/10,67.85,True
2012/08/13,68.22,True
2012/08/14,68.2,True
2012/08/15,66.77,True
2012/08/16,66.69,True
2012/08/17,66.49,True
2012/08/20,66.44,True
2012/08/21,66.06,True
2012/08/22,66.0,True
2012/08/23,65.24,True
2012/08/24,65.47,True
2012/08/27,65.51,True
2012/08/28,65.37,True
2012/08/29,65.31,True
2012/08/30,64.81,True
2012/08/31,64.78,True
2012/09/04,64.81,True
2012/09/05,64.47,True
2012/09/06,65.0,True
2012/09/07,64.72,True
2012/09/10,64.83,True
2012/09/11,64.46,True
2012/09/12,64.05,True
2012/09/13,64.66,True
2012/09/14,64.19,True
2012/09/17,64.14,True
2012/09/18,63.16,True
2012/09/19,63.43,True
2012/09/20,63.93,True
2012/09/21,64.08,True
2012/09/24,64.65,True
2012/09/25,64.34,True
2012/09/26,64.33,True
2012/09/27,64.06,True
2012/09/28,64.79,True
2012/10/01,64.38,True
2012/10/02,64.76,True
2012/10/03,64.78,True
2012/10/04,65.39,True
2012/10/05,64.98,True
2012/10/08,65.23,True
2012/10/09,65.29,True
2012/10/10,64.78,True
2012/10/11,64.48,True
2012/10/12,64.16,True
2012/10/15,64.56,True
2012/10/16,64.56,True
2012/10/17,65.27,True
2012/10/18,65.6,True
2012/10/19,65.51,True
2012/10/22,65.5,True
2012/10/23,64.99,True
2012/10/24,64.32,True
2012/10/25,64.75,True
2012/10/26,65.11,True
2012/10/31,65.69,True
2012/11/01,65.31,True
2012/11/02,64.94,True
2012/11/05,64.06,True
2012/11/06,64.07,True
2012/11/07,62.94,True
2012/11/08,62.56,True
2012/11/09,61.96,True
2012/11/12,61.45,True
2012/11/13,62.01,True
2012/11/14,60.74,True
2012/11/15,59.87,True
2012/11/16,60.9,True
2012/11/19,60.99,True
2012/11/20,60.79,True
2012/11/21,60.42,True
2012/11/23,60.45,True
2012/11/26,61.31,True
2012/11/27,61.59,True
2012/11/28,61.7,True
2012/11/29,62.39,True
2012/11/30,63.82,True
2012/12/03,63.97,True
2012/12/04,63.6,True
2012/12/05,64.46,True
2012/12/06,64.17,True
2012/12/07,64.32,True
2012/12/10,64.32,True
2012/12/11,64.28,True
2012/12/12,64.3,True
2012/12/13,63.92,True
2012/12/14,63.81,True
2012/12/17,64.76,True
2012/12/18,65.51,True
2012/12/19,64.75,True
2012/12/20,65.05,True
2012/12/21,64.51,True
2012/12/24,64.58,True
2012/12/26,64.07,True
2012/12/27,63.71,True
2012/12/28,63.01,True
2012/12/31,63.8,True
2013/01/01,64.01581273680824,False
2013/01/02,64.16128073320164,False
2013/01/03,64.29835391999033,False
2013/01/04,64.4730574647879,False
2013/01/07,64.64255055983261,False
2013/01/08,64.81147290753889,False
2013/01/09,64.9820541201833,False
2013/01/10,65.15162820477555,False
2013/01/11,65.32088680332912,False
2013/01/14,65.49022231407068,False
2013/01/15,65.65970797976202,False
2013/01/16,65.82916852482387,False
2013/01/17,65.99861616612664,False
2013/01/18,66.16806425538495,False
2013/01/21,66.33751249930177,False
2013/01/22,66.50696018131141,False
2013/01/23,66.67640828100566,False
2013/01/24,66.84585644569184,False
2013/01/25,67.01530463406014,False
2013/01/28,67.18475281248604,False
2013/01/29,67.35420098490135,False
2013/01/30,67.52364935513167,False
2013/01/31,67.69309737686775,False
2013/02/01,67.86254547728254,False
2013/02/04,68.03199350436157,False
2013/02/05,68.20144156934074,False
2013/02/06,68.37088966638478,False
2013/02/07,68.54033765979138,False
2013/02/08,68.70978596639605,False
