date,PRC,is_prediction
2012/01/03,66.11,True
2012/01/04,65.38,True
2012/01/05,65.37,True
2012/01/06,64.75,True
2012/01/09,65.84,True
2012/01/10,65.7,True
2012/01/11,63.68,True
2012/01/12,63.38,True
2012/01/13,63.1,True
2012/01/17,63.68,True
2012/01/18,64.4,True
2012/01/19,64.15,True
2012/01/20,63.29,True
2012/01/23,65.28,True
2012/01/24,64.17,True
2012/01/25,66.17,True
2012/01/26,64.82,True
2012/01/27,65.01,True
2012/01/30,64.61,True
2012/01/31,63.81,True
2012/02/01,63.75,True
2012/02/02,63.92,True
2012/02/03,63.46,True
2012/02/06,64.46,True
2012/02/07,66.02,True
2012/02/08,66.26,True
2012/02/09,66.23,True
2012/02/10,64.65,True
2012/02/13,65.64,True
2012/02/14,66.9,True
2012/02/15,71.7,True
2012/02/16,75.02,True
2012/02/17,74.95,True
2012/02/21,75.23,True
2012/02/22,74.76,True
2012/02/23,75.09,True
2012/02/24,75.19,True
2012/02/27,75.15,True
2012/02/28,73.98,True
2012/02/29,73.31,True
2012/03/01,74.13,True
2012/03/02,73.0,True
2012/03/05,72.68,True
2012/03/06,71.0,True
2012/03/07,72.18,True
2012/03/08,72.15,True
2012/03/09,71.81,True
2012/03/12,71.11,True
2012/03/13,72.1,True
2012/03/14,71.32,True
2012/03/15,72.54,True
2012/03/16,73.73,True
2012/03/19,75.81,True
2012/03/20,73.9,True
2012/03/21,72.8,True
2012/03/22,70.85,True
2012/03/23,72.04,True
2012/03/26,72.65,True
2012/03/27,71.16,True
2012/03/28,71.05,True
2012/03/29,70.61,True
2012/03/30,71.12,True
2012/04/02,72.33,True
2012/04/03,71.15,True
2012/04/04,71.28,True
2012/04/05,71.17,True
2012/04/09,70.29,True
2012/04/10,68.94,True
2012/04/11,67.72,True
2012/04/12,69.13,True
2012/04/13,67.84,True
2012/04/16,67.0,True
2012/04/17,68.19,True
2012/04/18,66.7,True
2012/04/19,65.91,True
2012/04/20,65.23,True
2012/04/23,65.95,True
2012/04/24,66.79,True
2012/04/25,67.7,True
2012/04/26,69.05,True
2012/04/27,69.66,True
2012/04/30,69.85,True
2012/05/01,70.65,True
2012/05/02,68.06,True
2012/05/03,66.47,True
2012/05/04,65.03,True
2012/05/07,64.35,True
2012/05/08,64.51,True
2012/05/09,64.03,True
2012/05/10,64.6,True
2012/05/11,64.48,True
2012/05/14,63.77,True
2012/05/15,62.35,True
2012/05/16,61.69,True
2012/05/17,61.38,True
2012/05/18,61.43,True
2012/05/21,62.89,True
2012/05/22,61.62,True
2012/05/23,61.16,True
2012/05/24,60.43,True
2012/05/25,60.02,True
2012/05/29,61.15,True
2012/05/30,59.75,True
2012/05/31,59.52,True
2012/06/01,57.99,True
2012/06/04,58.36,True
2012/06/05,59.07,True
2012/06/06,60.09,True
2012/06/07,59.3,True
2012/06/08,58.71,True
2012/06/11,57.26,True
2012/06/12,57.55,True
2012/06/13,56.34,True
2012/06/14,56.7,True
2012/06/15,57.35,True
2012/06/18,56.87,True
2012/06/19,57.82,True
2012/06/20,56.98,True
2012/06/21,54.89,True
2012/06/22,55.5,True
2012/06/25,54.32,True
2012/06/26,54.58,True
2012/06/27,56.2,True
2012/06/28,56.84,True
2012/06/29,57.99,True
2012/07/02,57.13,True
2012/07/03,58.48,True
2012/07/05,57.99,True
2012/07/06,57.25,True
2012/07/09,56.74,True
2012/07/10,55.37,True
2012/07/11,55.83,True
2012/07/12,54.65,True
2012/07/13,55.4,True
2012/07/16,56.26,True
2012/07/17,58.13,True
2012/07/18,58.73,True
2012/07/19,58.95,True
2012/07/20,58.99,True
2012/07/23,58.35,True
2012/07/24,56.88,True
2012/07/25,56.59,True
2012/07/26,57.95,True
2012/07/27,58.88,True
2012/07/30,59.21,True
2012/07/31,59.12,True
2012/08/01,57.06,True
2012/08/02,55.41,True
2012/08/03,56.32,True
2012/08/06,57.47,True
2012/08/07,59.07,True
2012/08/08,59.45,True
2012/08/09,60.42,True
2012/08/10,59.88,True
2012/08/13,59.01,True
2012/08/14,58.75,True
2012/08/15,58.4,True
2012/08/16,58.89,True
2012/08/17,58.97,True
2012/08/20,59.26,True
2012/08/21,60.16,True
2012/08/22,61.23,True
2012/08/23,60.52,True
2012/08/24,61.04,True
2012/08/27,60.2,True
2012/08/28,60.29,True
2012/08/29,58.73,True
2012/08/30,57.64,True
2012/08/31,57.83,True
2012/09/04,57.45,True
2012/09/05,57.01,True
2012/09/06,58.4,True
2012/09/07,59.34,True
2012/09/10,59.37,True
2012/09/11,60.62,True
2012/09/12,61.43,True
2012/09/13,62.19,True
2012/09/14,63.49,True
2012/09/17,63.14,True
2012/09/18,61.96,True
2012/09/19,60.96,True
2012/09/20,60.97,True
2012/09/21,61.13,True
2012/09/24,60.24,True
2012/09/25,59.48,True
2012/09/26,59.0,True
2012/09/27,60.63,True
2012/09/28,60.5,True
2012/10/01,60.78,True
2012/10/02,61.57,True
2012/10/03,60.13,True
2012/10/04,60.82,True
2012/10/05,60.02,True
2012/10/08,59.98,True
2012/10/09,61.07,True
2012/10/10,60.48,True
2012/10/11,61.61,True
2012/10/12,61.36,True
2012/10/15,60.96,True
2012/10/16,61.46,True
2012/10/17,62.81,True
2012/10/18,62.65,True
2012/10/19,62.0,True
2012/10/22,61.37,True
2012/10/23,59.59,True
2012/10/24,58.77,True
2012/10/25,58.88,True
2012/10/26,58.29,True
2012/10/31,58.21,True
2012/11/01,58.52,True
2012/11/02,57.8,True
2012/11/05,57.83,True
2012/11/06,59.62,True
2012/11/07,55.41,True
2012/11/08,54.02,True
2012/11/09,53.83,True
2012/11/12,53.94,True
2012/11/13,53.7,True
2012/11/14,53.06,True
2012/11/15,52.48,True
2012/11/16,52.4,True
2012/11/19,53.49,True
2012/11/20,52.74,True
2012/11/21,52.89,True
2012/11/23,53.23,True
2012/11/26,52.87,True
2012/11/27,53.12,True
2012/11/28,53.12,True
2012/11/29,52.6,True
2012/11/30,51.67,True
2012/12/03,51.9,True
2012/12/04,51.88,True
2012/12/05,52.62,True
2012/12/06,53.09,True
2012/12/07,52.92,True
2012/12/10,52.32,True
2012/12/11,52.46,True
2012/12/12,52.91,True
2012/12/13,52.33,True
2012/12/14,51.92,True
2012/12/17,52.13,True
2012/12/18,54.14,True
2012/12/19,53.77,True
2012/12/20,54.19,True
2012/12/21,53.46,True
2012/12/24,52.87,True
2012/12/26,52.36,True
2012/12/27,52.26,True
2012/12/28,51.15,True
2012/12/31,52.04,True
2013/01/01,52.02277013811902,False
2013/01/02,52.20456214496639,False
2013/01/03,52.241692723831605,False
2013/01/04,52.05041946907461,False
2013/01/07,52.01704334716817,False
2013/01/08,51.94569547484919,False
2013/01/09,51.859213607727405,False
2013/01/10,51.81529875996864,False
2013/01/11,51.73861789443008,False
2013/01/14,51.68719110892017,False
2013/01/15,51.63928938428189,False
2013/01/16,51.584064972721556,False
2013/01/17,51.53401807170836,False
2013/01/18,51.478414551972854,False
2013/01/21,51.42270115480004,False
2013/01/22,51.36827625002015,False
2013/01/23,51.31230439052277,False
2013/01/24,51.257274158246425,False
2013/01/25,51.20208412420294,False
2013/01/28,51.14679287462693,False
2013/01/29,51.09191206907444,False
2013/01/30,51.0368628743628,False
2013/01/31,50.981871488226176,False
2013/02/01,50.926888819942526,False
2013/02/04,50.87182641911223,False
2013/02/05,50.81680201316393,False
2013/02/06,50.76175628467892,False
2013/02/07,50.706705656665505,False
2013/02/08,50.6516671834906,False
2013/02/11,50.596620145815955,False
2013/02/12,50.54157951868212,False
2013/02/13,50.48654036051989,False
2013/02/14,50.43149950586837,False
2013/02/15,50.37646075594911,False
2013/02/18,50.321420675160645,False
2013/02/19,50.26638053063908,False
2013/02/20,50.211340682295216,False
2013/02/21,50.156300351356805,False
2013/02/22,50.101260301373756,False
2013/02/25,50.04622025008245,False
2013/02/26,49.99118018709407,False
2013/02/27,49.93614029552743,False
2013/02/28,49.88110040661925,False
2013/03/01,49.826060595034086,False
2013/03/04,49.771020814152294,False
2013/03/05,49.715981053687266,False
2013/03/06,49.66094134826835,False
2013/03/07,49.60590166777436,False
2013/03/08,49.5508620197745,False
2013/03/11,49.49582241073958,False
