date,PRC,is_prediction
2012/01/03,31.34,True
2012/01/04,30.16,True
2012/01/05,30.71,True
2012/01/06,30.63,True
2012/01/09,30.51,True
2012/01/10,31.2,True
2012/01/11,31.52,True
2012/01/12,31.58,True
2012/01/13,30.62,True
2012/01/17,30.53,True
2012/01/18,30.34,True
2012/01/19,31.51,True
2012/01/20,31.93,True
2012/01/23,31.99,True
2012/01/24,31.95,True
2012/01/25,31.94,True
2012/01/26,31.71,True
2012/01/27,31.85,True
2012/01/30,31.58,True
2012/01/31,31.595,True
2012/02/01,32.2,True
2012/02/02,32.7,True
2012/02/03,32.95,True
2012/02/06,32.64,True
2012/02/07,32.87,True
2012/02/08,33.05,True
2012/02/09,33.26,True
2012/02/10,33.025,True
2012/02/13,33.16,True
2012/02/14,32.96,True
2012/02/15,33.31,True
2012/02/16,34.51,True
2012/02/17,35.06,True
2012/02/21,35.14,True
2012/02/22,34.67,True
2012/02/23,36.02,True
2012/02/24,36.36,True
2012/02/27,36.56,True
2012/02/28,36.62,True
2012/02/29,35.74,True
2012/03/01,36.37,True
2012/03/02,36.25,True
2012/03/05,35.72,True
2012/03/06,35.105,True
2012/03/07,35.59,True
2012/03/08,35.78,True
2012/03/09,36.25,True
2012/03/12,36.18,True
2012/03/13,37.33,True
2012/03/14,37.62,True
2012/03/15,36.83,True
2012/03/16,37.69,True
2012/03/19,37.79,True
2012/03/20,37.39,True
2012/03/21,37.42,True
2012/03/22,37.62,True
2012/03/23,37.09,True
2012/03/26,38.08,True
2012/03/27,37.87,True
2012/03/28,37.245,True
2012/03/29,36.99,True
2012/03/30,36.9,True
2012/04/02,36.59,True
2012/04/03,36.63,True
2012/04/04,35.73,True
2012/04/05,35.62,True
2012/04/09,36.3,True
2012/04/10,35.47,True
2012/04/11,35.76,True
2012/04/12,36.46,True
2012/04/13,36.12,True
2012/04/16,35.5,True
2012/04/17,36.08,True
2012/04/18,35.87,True
2012/04/19,40.62,True
2012/04/20,40.29,True
2012/04/23,39.65,True
2012/04/24,39.3,True
2012/04/25,39.86,True
2012/04/26,41.05,True
2012/04/27,41.23,True
2012/04/30,41.02,True
2012/05/01,40.75,True
2012/05/02,41.16,True
2012/05/03,40.38,True
2012/05/04,39.44,True
2012/05/07,40.07,True
2012/05/08,40.19,True
2012/05/09,40.56,True
2012/05/10,41.21,True
2012/05/11,40.74,True
2012/05/14,40.25,True
2012/05/15,40.05,True
2012/05/16,39.86,True
2012/05/17,39.03,True
2012/05/18,38.36,True
2012/05/21,39.51,True
2012/05/22,39.22,True
2012/05/23,39.68,True
2012/05/24,39.67,True
2012/05/25,40.35,True
2012/05/29,41.49,True
2012/05/30,39.59,True
2012/05/31,39.19,True
2012/06/01,38.82,True
2012/06/04,39.16,True
2012/06/05,39.76,True
2012/06/06,40.94,True
2012/06/07,40.9,True
2012/06/08,41.05,True
2012/06/11,40.93,True
2012/06/12,40.91,True
2012/06/13,40.17,True
2012/06/14,40.13,True
2012/06/15,40.67,True
2012/06/18,42.49,True
2012/06/19,43.5,True
2012/06/20,42.95,True
2012/06/21,41.83,True
2012/06/22,42.8,True
2012/06/25,41.805,True
2012/06/26,42.5,True
2012/06/27,42.29,True
2012/06/28,40.78,True
2012/06/29,42.01,True
2012/07/02,41.225,True
2012/07/03,41.2,True
2012/07/05,40.93,True
2012/07/06,40.41,True
2012/07/09,40.68,True
2012/07/10,39.68,True
2012/07/11,39.13,True
2012/07/12,39.31,True
2012/07/13,39.95,True
2012/07/16,38.6,True
2012/07/17,39.07,True
2012/07/18,40.46,True
2012/07/19,43.95,True
2012/07/20,44.85,True
2012/07/23,44.24,True
2012/07/24,43.52,True
2012/07/25,43.19,True
2012/07/26,43.79,True
2012/07/27,45.215,True
2012/07/30,45.6,True
2012/07/31,44.3,True
2012/08/01,43.89,True
2012/08/02,43.77,True
2012/08/03,44.5,True
2012/08/06,44.77,True
2012/08/07,45.61,True
2012/08/08,44.94,True
2012/08/09,44.27,True
2012/08/10,43.99,True
2012/08/13,45.32,True
2012/08/14,45.36,True
2012/08/15,44.98,True
2012/08/16,45.79,True
2012/08/17,46.87,True
2012/08/20,46.4,True
2012/08/21,45.85,True
2012/08/22,47.0,True
2012/08/23,46.805,True
2012/08/24,47.1,True
2012/08/27,46.98,True
2012/08/28,46.94,True
2012/08/29,47.49,True
2012/08/30,46.55,True
2012/08/31,47.47,True
2012/09/04,47.355,True
2012/09/05,47.16,True
2012/09/06,48.91,True
2012/09/07,49.24,True
2012/09/10,48.53,True
2012/09/11,48.33,True
2012/09/12,47.99,True
2012/09/13,48.875,True
2012/09/14,49.97,True
2012/09/17,50.48,True
2012/09/18,49.96,True
2012/09/19,50.39,True
2012/09/20,50.08,True
2012/09/21,49.47,True
2012/09/24,49.31,True
2012/09/25,48.03,True
2012/09/26,47.545,True
2012/09/27,49.12,True
2012/09/28,48.37,True
2012/10/01,48.23,True
2012/10/02,48.4,True
2012/10/03,48.59,True
2012/10/04,49.49,True
2012/10/05,48.73,True
2012/10/08,47.92,True
2012/10/09,46.22,True
2012/10/10,46.76,True
2012/10/11,47.49,True
2012/10/12,47.85,True
2012/10/15,47.4,True
2012/10/16,48.24,True
2012/10/17,48.2,True
2012/10/18,50.83,True
2012/10/19,49.97,True
2012/10/22,50.15,True
2012/10/23,49.3505,True
2012/10/24,48.88,True
2012/10/25,48.34,True
2012/10/26,49.51,True
2012/10/31,48.26,True
2012/11/01,49.2203,True
2012/11/02,48.69,True
2012/11/05,49.35,True
2012/11/06,49.49,True
2012/11/07,48.4,True
2012/11/08,47.8699,True
2012/11/09,47.73,True
2012/11/12,47.47,True
2012/11/13,47.7399,True
2012/11/14,46.47,True
2012/11/15,46.52,True
2012/11/16,47.26,True
2012/11/19,47.92,True
2012/11/20,48.26,True
2012/11/21,48.63,True
2012/11/23,49.01,True
2012/11/26,51.4,True
2012/11/27,51.15,True
2012/11/28,51.47,True
2012/11/29,52.2,True
2012/11/30,52.82,True
2012/12/03,52.04,True
2012/12/04,51.9887,True
2012/12/05,52.02,True
2012/12/06,51.9911,True
2012/12/07,51.74,True
2012/12/10,51.165,True
2012/12/11,51.99,True
2012/12/12,51.86,True
2012/12/13,51.02,True
2012/12/14,50.36,True
2012/12/17,51.315,True
2012/12/18,51.91,True
2012/12/19,51.3432,True
2012/12/20,52.14,True
2012/12/21,51.35,True
2012/12/24,51.08,True
2012/12/26,50.24,True
2012/12/27,50.29,True
2012/12/28,49.81,True
2012/12/31,50.9977,True
2013/01/01,50.97616084965731,False
2013/01/02,51.15620038515146,False
2013/01/03,51.1345534589156,False
2013/01/04,51.27045295035545,False
2013/01/07,51.38629366463659,False
2013/01/08,51.571409494011114,False
2013/01/09,51.47822832037967,False
2013/01/10,51.564052075804405,False
2013/01/11,51.622054666115474,False
2013/01/14,51.740188035685634,False
2013/01/15,51.8262176783116,False
2013/01/16,51.89518114286305,False
2013/01/17,51.95152566891341,False
2013/01/18,52.05476906393742,False
2013/01/21,52.136328089913754,False
2013/01/22,52.22293165769485,False
2013/01/23,52.293961799811946,False
2013/01/24,52.369740456265426,False
2013/01/25,52.45123294837577,False
2013/01/28,52.536064540998524,False
2013/01/29,52.613367968790314,False
2013/01/30,52.69233946947693,False
2013/01/31,52.76998426740476,False
2013/02/01,52.8512017151446,False
2013/02/04,52.932089779919274,False
2013/02/05,53.01174216159626,False
2013/02/06,53.09043987998375,False
2013/02/07,53.170196654196175,False
2013/02/08,53.25004967315967,False
2013/02/11,53.3303084576906,False
2013/02/12,53.4098429101339,False
2013/02/13,53.48928980733504,False
2013/02/14,53.56893271102839,False
2013/02/15,53.64882472358446,False
2013/02/18,53.72861094103136,False
2013/02/19,53.80832411412643,False
2013/02/20,53.88791842152987,False
2013/02/21,53.967639480644195,False
2013/02/22,54.047407556111324,False
2013/02/25,54.127158688748885,False
2013/02/26,54.20685314491565,False
2013/02/27,54.28654572072118,False
2013/02/28,54.36625582211449,False
2013/03/01,54.445997324743054,False
2013/03/04,54.52572115615501,False
2013/03/05,54.60543144076985,False
2013/03/06,54.68513902060448,False
2013/03/07,54.7648576071075,False
2013/03/08,54.84458100940112,False
2013/03/11,54.92430196989063,False
