date,PRC,is_prediction
2012/01/03,58.02,True
2012/01/04,58.07,True
2012/01/05,58.21,True
2012/01/06,58.29,True
2012/01/09,58.55,True
2012/01/10,58.88,True
2012/01/11,59.33,True
2012/01/12,59.81,True
2012/01/13,59.69,True
2012/01/17,59.64,True
2012/01/18,60.54,True
2012/01/19,60.15,True
2012/01/20,60.38,True
2012/01/23,60.41,True
2012/01/24,60.99,True
2012/01/25,60.94,True
2012/01/26,60.76,True
2012/01/27,60.51,True
2012/01/30,60.27,True
2012/01/31,60.44,True
2012/02/01,60.61,True
2012/02/02,60.5,True
2012/02/03,61.53,True
2012/02/06,61.29,True
2012/02/07,61.68,True
2012/02/08,61.86,True
2012/02/09,61.65,True
2012/02/10,61.2,True
2012/02/13,61.45,True
2012/02/14,61.31,True
2012/02/15,61.71,True
2012/02/16,61.98,True
2012/02/17,61.85,True
2012/02/21,61.65,True
2012/02/22,61.94,True
2012/02/23,62.17,True
2012/02/24,62.69,True
2012/02/27,62.62,True
2012/02/28,61.75,True
2012/02/29,60.0,True
2012/03/01,60.11,True
2012/03/02,59.55,True
2012/03/05,59.4,True
2012/03/06,59.34,True
2012/03/07,59.36,True
2012/03/08,59.33,True
2012/03/09,59.71,True
2012/03/12,59.23,True
2012/03/13,60.03,True
2012/03/14,59.82,True
2012/03/15,59.82,True
2012/03/16,60.07,True
2012/03/19,60.21,True
2012/03/20,60.49,True
2012/03/21,60.16,True
2012/03/22,60.02,True
2012/03/23,60.27,True
2012/03/26,61.69,True
2012/03/27,61.44,True
2012/03/28,61.44,True
2012/03/29,61.71,True
2012/03/30,61.72,True
2012/04/02,62.32,True
2012/04/03,62.18,True
2012/04/04,61.48,True
2012/04/05,61.5,True
2012/04/09,61.23,True
2012/04/10,59.92,True
2012/04/11,60.29,True
2012/04/12,61.82,True
2012/04/13,61.61,True
2012/04/16,61.79,True
2012/04/17,62.57,True
2012/04/18,62.45,True
2012/04/19,62.26,True
2012/04/20,62.22,True
2012/04/23,62.04,True
2012/04/24,62.11,True
2012/04/25,62.69,True
2012/04/26,62.97,True
2012/04/27,63.81,True
2012/04/30,63.69,True
2012/05/01,64.34,True
2012/05/02,64.01,True
2012/05/03,64.11,True
2012/05/04,63.51,True
2012/05/07,64.96,True
2012/05/08,64.88,True
2012/05/09,64.65,True
2012/05/10,64.81,True
2012/05/11,64.71,True
2012/05/14,64.26,True
2012/05/15,64.26,True
2012/05/16,64.63,True
2012/05/17,62.73,True
2012/05/18,62.88,True
2012/05/21,64.36,True
2012/05/22,64.82,True
2012/05/23,64.79,True
2012/05/24,65.09,True
2012/05/25,64.35,True
2012/05/29,64.42,True
2012/05/30,63.83,True
2012/05/31,63.21,True
2012/06/01,61.92,True
2012/06/04,62.27,True
2012/06/05,62.63,True
2012/06/06,64.91,True
2012/06/07,65.67,True
2012/06/08,66.54,True
2012/06/11,65.57,True
2012/06/12,66.61,True
2012/06/13,66.26,True
2012/06/14,66.86,True
2012/06/15,67.02,True
2012/06/18,66.96,True
2012/06/19,67.35,True
2012/06/20,66.35,True
2012/06/21,65.02,True
2012/06/22,66.53,True
2012/06/25,66.12,True
2012/06/26,66.63,True
2012/06/27,66.89,True
2012/06/28,66.64,True
2012/06/29,68.53,True
2012/07/02,68.77,True
2012/07/03,68.96,True
2012/07/05,68.62,True
2012/07/06,67.82,True
2012/07/09,67.95,True
2012/07/10,67.49,True
2012/07/11,67.16,True
2012/07/12,67.33,True
2012/07/13,67.69,True
2012/07/16,67.48,True
2012/07/17,68.14,True
2012/07/18,67.87,True
2012/07/19,67.93,True
2012/07/20,67.23,True
2012/07/23,66.61,True
2012/07/24,65.41,True
2012/07/25,65.42,True
2012/07/26,66.0,True
2012/07/27,67.17,True
2012/07/30,68.15,True
2012/07/31,65.45,True
2012/08/01,65.7,True
2012/08/02,63.48,True
2012/08/03,64.41,True
2012/08/06,64.43,True
2012/08/07,64.48,True
2012/08/08,64.18,True
2012/08/09,64.53,True
2012/08/10,65.34,True
2012/08/13,65.11,True
2012/08/14,64.79,True
2012/08/15,65.09,True
2012/08/16,66.77,True
2012/08/17,66.79,True
2012/08/20,66.13,True
2012/08/21,65.84,True
2012/08/22,67.29,True
2012/08/23,66.79,True
2012/08/24,66.52,True
2012/08/27,66.15,True
2012/08/28,65.02,True
2012/08/29,65.12,True
2012/08/30,64.01,True
2012/08/31,64.03,True
2012/09/04,63.47,True
2012/09/05,63.9,True
2012/09/06,64.94,True
2012/09/07,65.26,True
2012/09/10,64.63,True
2012/09/11,64.2,True
2012/09/12,64.14,True
2012/09/13,64.9,True
2012/09/14,64.12,True
2012/09/17,63.85,True
2012/09/18,63.63,True
2012/09/19,63.59,True
2012/09/20,63.57,True
2012/09/21,64.11,True
2012/09/24,64.49,True
2012/09/25,63.77,True
2012/09/26,64.3,True
2012/09/27,65.11,True
2012/09/28,64.81,True
2012/10/01,64.93,True
2012/10/02,64.81,True
2012/10/03,64.42,True
2012/10/04,64.9,True
2012/10/05,64.99,True
2012/10/08,64.89,True
2012/10/09,64.15,True
2012/10/10,63.63,True
2012/10/11,63.67,True
2012/10/12,66.24,True
2012/10/15,67.87,True
2012/10/16,68.78,True
2012/10/17,69.4,True
2012/10/18,69.88,True
2012/10/19,69.07,True
2012/10/22,69.74,True
2012/10/23,69.18,True
2012/10/24,68.99,True
2012/10/25,69.2,True
2012/10/26,69.56,True
2012/10/31,69.6,True
2012/11/01,70.82,True
2012/11/02,70.61,True
2012/11/05,70.74,True
2012/11/06,71.36,True
2012/11/07,70.48,True
2012/11/08,70.04,True
2012/11/09,69.87,True
2012/11/12,69.42,True
2012/11/13,69.25,True
2012/11/14,68.26,True
2012/11/15,68.7,True
2012/11/16,68.97,True
2012/11/19,70.0,True
2012/11/20,70.32,True
2012/11/21,69.7,True
2012/11/23,70.35,True
2012/11/26,69.81,True
2012/11/27,70.04,True
2012/11/28,70.97,True
2012/11/29,71.81,True
2012/11/30,72.08,True
2012/12/03,71.52,True
2012/12/04,71.87,True
2012/12/05,71.16,True
2012/12/06,72.39,True
2012/12/07,72.72,True
2012/12/10,72.04,True
2012/12/11,72.53,True
2012/12/12,70.51,True
2012/12/13,70.68,True
2012/12/14,70.52,True
2012/12/17,71.08,True
2012/12/18,71.87,True
2012/12/19,71.8,True
2012/12/20,72.23,True
2012/12/21,71.2,True
2012/12/24,72.08,True
2012/12/26,71.82,True
2012/12/27,71.8,True
2012/12/28,70.78,True
2012/12/31,71.9,True
2013/01/01,71.86713644703116,False
2013/01/02,72.21767568528422,False
2013/01/03,72.17756577087127,False
2013/01/04,72.20792477328428,False
2013/01/07,72.23009894322452,False
2013/01/08,72.31866265945806,False
2013/01/09,72.29361962176726,False
2013/01/10,72.36298971294183,False
2013/01/11,72.39276731064135,False
2013/01/14,72.46684975126566,False
2013/01/15,72.52894511499464,False
2013/01/16,72.59127481739581,False
2013/01/17,72.64632789583263,False
2013/01/18,72.7056248356142,False
2013/01/21,72.75792045361528,False
2013/01/22,72.81391850714886,False
2013/01/23,72.8664716692146,False
2013/01/24,72.92107861877741,False
2013/01/25,72.97574858254951,False
2013/01/28,73.03127264634101,False
2013/01/29,73.08662965536838,False
2013/01/30,73.14235222283105,False
2013/01/31,73.1976658474135,False
2013/02/01,73.25314803573755,False
2013/02/04,73.308372973031,False
2013/02/05,73.36360822847341,False
2013/02/06,73.41877703378522,False
2013/02/07,73.47398199506952,False
2013/02/08,73.52918800987973,False
2013/02/11,73.58444012719757,False
2013/02/12,73.63968725639175,False
2013/02/13,73.6949551878011,False
2013/02/14,73.75021525417972,False
2013/02/15,73.8054762763397,False
2013/02/18,73.86072987899293,False
2013/02/19,73.91598115545224,False
2013/02/20,73.97122861366263,False
2013/02/21,74.02647703059955,False
2013/02/22,74.08172488063855,False
2013/02/25,74.13697447704828,False
2013/02/26,74.19222446215487,False
2013/02/27,74.24747523656994,False
2013/02/28,74.30272607522353,False
2013/03/01,74.35797692684756,False
2013/03/04,74.41322746568285,False
2013/03/05,74.46847783312138,False
2013/03/06,74.52372798063709,False
2013/03/07,74.57897806204258,False
2013/03/08,74.63422809561666,False
2013/03/11,74.6894781636323,False
