date,PRC,is_prediction
2012/01/03,60.65,True
2012/01/04,59.9,True
2012/01/05,59.74,True
2012/01/06,59.1,True
2012/01/09,59.27,True
2012/01/10,59.34,True
2012/01/11,59.18,True
2012/01/12,58.98,True
2012/01/13,59.18,True
2012/01/17,59.34,True
2012/01/18,59.28,True
2012/01/19,58.74,True
2012/01/20,58.76,True
2012/01/23,58.62,True
2012/01/24,58.38,True
2012/01/25,59.37,True
2012/01/26,59.77,True
2012/01/27,58.89,True
2012/01/30,58.64,True
2012/01/31,58.96,True
2012/02/01,59.01,True
2012/02/02,58.87,True
2012/02/03,58.82,True
2012/02/06,58.8,True
2012/02/07,59.13,True
2012/02/08,59.39,True
2012/02/09,59.47,True
2012/02/10,59.13,True
2012/02/13,57.91,True
2012/02/14,57.97,True
2012/02/15,57.65,True
2012/02/16,57.9,True
2012/02/17,57.87,True
2012/02/21,57.86,True
2012/02/22,57.86,True
2012/02/23,57.96,True
2012/02/24,58.84,True
2012/02/27,58.43,True
2012/02/28,58.11,True
2012/02/29,58.1,True
2012/03/01,58.29,True
2012/03/02,58.31,True
2012/03/05,58.39,True
2012/03/06,58.35,True
2012/03/07,58.15,True
2012/03/08,58.32,True
2012/03/09,58.39,True
2012/03/12,59.21,True
2012/03/13,59.4,True
2012/03/14,58.59,True
2012/03/15,58.08,True
2012/03/16,57.62,True
2012/03/19,57.42,True
2012/03/20,57.54,True
2012/03/21,57.32,True
2012/03/22,57.26,True
2012/03/23,57.13,True
2012/03/26,57.58,True
2012/03/27,57.81,True
2012/03/28,57.65,True
2012/03/29,58.0,True
2012/03/30,58.42,True
2012/04/02,58.55,True
2012/04/03,58.75,True
2012/04/04,58.65,True
2012/04/05,58.18,True
2012/04/09,57.76,True
2012/04/10,57.14,True
2012/04/11,57.39,True
2012/04/12,57.87,True
2012/04/13,57.75,True
2012/04/16,58.22,True
2012/04/17,58.22,True
2012/04/18,58.01,True
2012/04/19,57.9,True
2012/04/20,58.61,True
2012/04/23,58.33,True
2012/04/24,58.73,True
2012/04/25,59.02,True
2012/04/26,59.29,True
2012/04/27,59.31,True
2012/04/30,59.45,True
2012/05/01,59.66,True
2012/05/02,59.31,True
2012/05/03,59.16,True
2012/05/04,59.38,True
2012/05/07,59.14,True
2012/05/08,59.7,True
2012/05/09,59.47,True
2012/05/10,60.02,True
2012/05/11,59.81,True
2012/05/14,59.02,True
2012/05/15,58.75,True
2012/05/16,58.83,True
2012/05/17,58.56,True
2012/05/18,58.67,True
2012/05/21,58.81,True
2012/05/22,59.03,True
2012/05/23,59.23,True
2012/05/24,59.59,True
2012/05/25,59.61,True
2012/05/29,59.96,True
2012/05/30,60.1,True
2012/05/31,60.36,True
2012/06/01,60.29,True
2012/06/04,60.7,True
2012/06/05,60.55,True
2012/06/06,61.27,True
2012/06/07,61.67,True
2012/06/08,62.24,True
2012/06/11,61.78,True
2012/06/12,62.18,True
2012/06/13,62.35,True
2012/06/14,62.58,True
2012/06/15,63.1,True
2012/06/18,63.48,True
2012/06/19,62.79,True
2012/06/20,61.5,True
2012/06/21,61.28,True
2012/06/22,61.5,True
2012/06/25,61.24,True
2012/06/26,61.25,True
2012/06/27,61.84,True
2012/06/28,62.07,True
2012/06/29,62.19,True
2012/07/02,62.72,True
2012/07/03,62.57,True
2012/07/05,62.09,True
2012/07/06,62.14,True
2012/07/09,62.34,True
2012/07/10,62.53,True
2012/07/11,62.88,True
2012/07/12,62.87,True
2012/07/13,63.42,True
2012/07/16,63.14,True
2012/07/17,63.41,True
2012/07/18,63.5,True
2012/07/19,63.36,True
2012/07/20,63.77,True
2012/07/23,63.56,True
2012/07/24,63.58,True
2012/07/25,63.48,True
2012/07/26,64.42,True
2012/07/27,64.9,True
2012/07/30,64.94,True
2012/07/31,64.5,True
2012/08/01,64.45,True
2012/08/02,64.25,True
2012/08/03,64.66,True
2012/08/06,64.55,True
2012/08/07,64.3,True
2012/08/08,63.89,True
2012/08/09,63.59,True
2012/08/10,63.87,True
2012/08/13,63.29,True
2012/08/14,63.2,True
2012/08/15,62.68,True
2012/08/16,61.8,True
2012/08/17,61.68,True
2012/08/20,61.96,True
2012/08/21,61.39,True
2012/08/22,61.61,True
2012/08/23,60.99,True
2012/08/24,61.42,True
2012/08/27,61.24,True
2012/08/28,61.2,True
2012/08/29,60.78,True
2012/08/30,60.76,True
2012/08/31,60.62,True
2012/09/04,60.88,True
2012/09/05,60.33,True
2012/09/06,61.06,True
2012/09/07,60.63,True
2012/09/10,60.49,True
2012/09/11,60.31,True
2012/09/12,60.18,True
2012/09/13,60.99,True
2012/09/14,59.81,True
2012/09/17,59.61,True
2012/09/18,59.48,True
2012/09/19,59.46,True
2012/09/20,59.48,True
2012/09/21,59.1,True
2012/09/24,59.48,True
2012/09/25,59.46,True
2012/09/26,60.09,True
2012/09/27,59.58,True
2012/09/28,59.89,True
2012/10/01,59.48,True
2012/10/02,59.65,True
2012/10/03,59.76,True
2012/10/04,60.43,True
2012/10/05,60.22,True
2012/10/08,60.14,True
2012/10/09,59.95,True
2012/10/10,60.07,True
2012/10/11,60.17,True
2012/10/12,59.83,True
2012/10/15,59.82,True
2012/10/16,59.81,True
2012/10/17,60.61,True
2012/10/18,60.73,True
2012/10/19,60.47,True
2012/10/22,59.9,True
2012/10/23,59.7,True
2012/10/24,59.57,True
2012/10/25,60.01,True
2012/10/26,59.97,True
2012/10/31,60.38,True
2012/11/01,59.73,True
2012/11/02,59.2,True
2012/11/05,58.0,True
2012/11/06,57.76,True
2012/11/07,56.26,True
2012/11/08,56.42,True
2012/11/09,55.74,True
2012/11/12,55.12,True
2012/11/13,55.19,True
2012/11/14,55.23,True
2012/11/15,54.43,True
2012/11/16,54.98,True
2012/11/19,54.75,True
2012/11/20,54.43,True
2012/11/21,54.21,True
2012/11/23,54.1,True
2012/11/26,54.88,True
2012/11/27,54.84,True
2012/11/28,55.37,True
2012/11/29,55.44,True
2012/11/30,55.79,True
2012/12/03,55.27,True
2012/12/04,55.36,True
2012/12/05,56.08,True
2012/12/06,56.11,True
2012/12/07,56.03,True
2012/12/10,56.07,True
2012/12/11,56.36,True
2012/12/12,56.34,True
2012/12/13,55.96,True
2012/12/14,56.12,True
2012/12/17,56.98,True
2012/12/18,57.19,True
2012/12/19,56.4,True
2012/12/20,56.44,True
2012/12/21,56.05,True
2012/12/24,55.97,True
2012/12/26,55.46,True
2012/12/27,55.42,True
2012/12/28,54.93,True
2012/12/31,55.54,True
2013/01/01,55.44566215710727,False
2013/01/02,55.508476957031796,False
2013/01/03,55.365798150392315,False
2013/01/04,55.39252509327362,False
2013/01/07,55.31485560841818,False
2013/01/08,55.323198506891686,False
