date,PRC,is_prediction
2012/01/03,112.43,True
2012/01/04,112.86,True
2012/01/05,112.67,True
2012/01/06,111.5,True
2012/01/09,111.1,True
2012/01/10,112.1,True
2012/01/11,111.25,True
2012/01/12,112.07,True
2012/01/13,112.16,True
2012/01/17,115.08,True
2012/01/18,115.49,True
2012/01/19,116.18,True
2012/01/20,116.03,True
2012/01/23,57.48,True
2012/01/24,58.08,True
2012/01/25,59.21,True
2012/01/26,57.99,True
2012/01/27,57.98,True
2012/01/30,57.72,True
2012/01/31,57.93,True
2012/02/01,58.9,True
2012/02/02,58.85,True
2012/02/03,57.48,True
2012/02/06,57.41,True
2012/02/07,57.44,True
2012/02/08,57.07,True
2012/02/09,57.65,True
2012/02/10,56.9,True
2012/02/13,55.5,True
2012/02/14,55.16,True
2012/02/15,55.18,True
2012/02/16,56.08,True
2012/02/17,56.04,True
2012/02/21,56.14,True
2012/02/22,56.4,True
2012/02/23,57.34,True
2012/02/24,56.84,True
2012/02/27,57.8,True
2012/02/28,58.3,True
2012/02/29,58.54,True
2012/03/01,58.65,True
2012/03/02,58.35,True
2012/03/05,58.85,True
2012/03/06,58.1,True
2012/03/07,58.39,True
2012/03/08,58.91,True
2012/03/09,59.07,True
2012/03/12,59.79,True
2012/03/13,61.74,True
2012/03/14,62.36,True
2012/03/15,63.38,True
2012/03/16,63.67,True
2012/03/19,62.83,True
2012/03/20,62.23,True
2012/03/21,62.76,True
2012/03/22,62.38,True
2012/03/23,62.25,True
2012/03/26,62.64,True
2012/03/27,62.57,True
2012/03/28,62.25,True
2012/03/29,62.23,True
2012/03/30,61.94,True
2012/04/02,62.39,True
2012/04/03,62.65,True
2012/04/04,62.34,True
2012/04/05,63.15,True
2012/04/09,62.16,True
2012/04/10,60.79,True
2012/04/11,60.95,True
2012/04/12,62.41,True
2012/04/13,62.96,True
2012/04/16,62.68,True
2012/04/17,63.27,True
2012/04/18,63.06,True
2012/04/19,62.78,True
2012/04/20,64.03,True
2012/04/23,62.5,True
