date,PRC,is_prediction
2012/01/03,3.27,True
2012/01/04,3.29,True
2012/01/05,3.34,True
2012/01/06,3.3,True
2012/01/09,3.23,True
2012/01/10,3.32,True
2012/01/11,3.44,True
2012/01/12,3.57,True
2012/01/13,3.46,True
2012/01/17,3.49,True
2012/01/18,3.56,True
2012/01/19,3.53,True
2012/01/20,3.54,True
2012/01/23,3.55,True
2012/01/24,3.57,True
2012/01/25,3.63,True
2012/01/26,3.64,True
2012/01/27,3.68,True
2012/01/30,3.64,True
2012/01/31,3.56,True
2012/02/01,3.91,True
2012/02/02,3.93,True
2012/02/03,4.08,True
2012/02/06,4.07,True
2012/02/07,4.07,True
2012/02/08,4.19,True
2012/02/09,4.2,True
2012/02/10,4.07,True
2012/02/13,4.19,True
2012/02/14,4.13,True
2012/02/15,4.58,True
2012/02/16,4.55,True
2012/02/17,4.58,True
2012/02/21,4.52,True
2012/02/22,4.53,True
2012/02/23,4.58,True
2012/02/24,4.47,True
2012/02/27,4.42,True
2012/02/28,4.36,True
2012/02/29,4.21,True
2012/03/01,4.17,True
2012/03/02,4.08,True
2012/03/05,4.17,True
2012/03/06,4.0,True
2012/03/07,4.02,True
2012/03/08,4.17,True
2012/03/09,4.23,True
2012/03/12,4.3,True
2012/03/13,4.45,True
2012/03/14,4.52,True
2012/03/15,4.93,True
2012/03/16,4.91,True
2012/03/19,5.3,True
2012/03/20,5.14,True
2012/03/21,5.14,True
2012/03/22,5.04,True
2012/03/23,5.13,True
2012/03/26,5.16,True
2012/03/27,5.13,True
2012/03/28,5.0,True
2012/03/29,4.94,True
2012/03/30,4.9,True
2012/04/02,4.82,True
2012/04/03,4.79,True
2012/04/04,4.64,True
2012/04/05,4.65,True
2012/04/09,4.38,True
2012/04/10,4.05,True
2012/04/11,4.12,True
2012/04/12,4.34,True
2012/04/13,4.24,True
2012/04/16,4.25,True
2012/04/17,4.27,True
2012/04/18,4.31,True
2012/04/19,4.28,True
2012/04/20,4.23,True
2012/04/23,4.22,True
2012/04/24,4.26,True
2012/04/25,4.29,True
2012/04/26,4.16,True
2012/04/27,4.24,True
2012/04/30,4.21,True
2012/05/01,4.21,True
2012/05/02,4.09,True
2012/05/03,4.01,True
2012/05/04,3.96,True
2012/05/07,3.97,True
2012/05/08,4.14,True
2012/05/09,3.33,True
2012/05/10,3.31,True
2012/05/11,3.3,True
2012/05/14,3.26,True
2012/05/15,3.15,True
2012/05/16,3.14,True
2012/05/17,3.03,True
2012/05/18,3.06,True
2012/05/21,3.09,True
2012/05/22,3.0,True
2012/05/23,3.26,True
2012/05/24,3.35,True
2012/05/25,3.42,True
2012/05/29,3.39,True
2012/05/30,3.39,True
2012/05/31,3.52,True
2012/06/01,3.44,True
2012/06/04,3.35,True
2012/06/05,3.38,True
2012/06/06,3.45,True
2012/06/07,3.45,True
2012/06/08,3.59,True
2012/06/11,1.62,True
2012/06/12,1.74,True
2012/06/13,1.69,True
2012/06/14,1.67,True
2012/06/15,1.69,True
2012/06/18,1.64,True
2012/06/19,1.61,True
2012/06/20,1.67,True
2012/06/21,1.52,True
2012/06/22,1.57,True
2012/06/25,1.51,True
2012/06/26,1.51,True
2012/06/27,1.6,True
2012/06/28,1.55,True
2012/06/29,1.69,True
2012/07/02,1.74,True
2012/07/03,1.81,True
2012/07/05,1.73,True
2012/07/06,1.67,True
2012/07/09,1.64,True
2012/07/10,1.59,True
2012/07/11,1.68,True
2012/07/12,1.62,True
2012/07/13,1.63,True
2012/07/16,1.63,True
2012/07/17,1.73,True
2012/07/18,1.75,True
2012/07/19,1.73,True
2012/07/20,1.72,True
2012/07/23,1.67,True
2012/07/24,1.67,True
2012/07/25,1.69,True
2012/07/26,1.57,True
2012/07/27,1.63,True
2012/07/30,1.6,True
2012/07/31,1.66,True
2012/08/01,1.65,True
2012/08/02,1.6,True
2012/08/03,1.64,True
2012/08/06,1.62,True
2012/08/07,1.61,True
2012/08/08,1.64,True
2012/08/09,1.83,True
2012/08/10,2.1,True
2012/08/13,2.17,True
2012/08/14,2.18,True
2012/08/15,2.35,True
2012/08/16,2.52,True
2012/08/17,2.54,True
2012/08/20,2.59,True
2012/08/21,2.42,True
2012/08/22,2.5,True
2012/08/23,2.55,True
2012/08/24,2.5,True
2012/08/27,2.5,True
2012/08/28,2.53,True
2012/08/29,2.5,True
2012/08/30,2.44,True
2012/08/31,2.45,True
2012/09/04,2.56,True
2012/09/05,2.45,True
2012/09/06,2.49,True
2012/09/07,2.59,True
2012/09/10,2.69,True
2012/09/11,2.63,True
2012/09/12,2.67,True
2012/09/13,2.74,True
2012/09/14,2.9,True
2012/09/17,2.88,True
2012/09/18,2.85,True
2012/09/19,2.89,True
2012/09/20,2.86,True
2012/09/21,2.9,True
2012/09/24,2.85,True
2012/09/25,2.72,True
2012/09/26,2.69,True
2012/09/27,2.8,True
2012/09/28,2.73,True
2012/10/01,2.78,True
2012/10/02,2.77,True
2012/10/03,2.77,True
2012/10/04,2.78,True
2012/10/05,2.79,True
2012/10/08,2.76,True
2012/10/09,2.71,True
2012/10/10,2.68,True
2012/10/11,2.78,True
2012/10/12,2.8,True
2012/10/15,2.78,True
2012/10/16,3.04,True
2012/10/17,3.07,True
2012/10/18,3.05,True
2012/10/19,2.94,True
2012/10/22,3.0,True
2012/10/23,2.96,True
2012/10/24,2.86,True
2012/10/25,2.86,True
2012/10/26,2.85,True
2012/10/31,2.86,True
2012/11/01,2.82,True
2012/11/02,2.85,True
2012/11/05,2.78,True
2012/11/06,2.83,True
2012/11/07,2.69,True
2012/11/08,3.13,True
2012/11/09,3.28,True
2012/11/12,3.37,True
2012/11/13,3.47,True
2012/11/14,3.09,True
2012/11/15,2.92,True
2012/11/16,2.84,True
2012/11/19,2.91,True
2012/11/20,2.87,True
2012/11/21,2.98,True
2012/11/23,2.99,True
2012/11/26,3.1,True
2012/11/27,3.22,True
