date,PRC,is_prediction
2012/01/03,47.01,True
2012/01/04,47.78,True
2012/01/05,48.47,True
2012/01/06,49.39,True
2012/01/09,49.85,True
2012/01/10,49.67,True
2012/01/11,48.83,True
2012/01/12,48.87,True
2012/01/13,49.15,True
2012/01/17,49.83,True
2012/01/18,51.37,True
2012/01/19,50.96,True
2012/01/20,51.9,True
2012/01/23,51.66,True
2012/01/24,51.72,True
2012/01/25,52.48,True
2012/01/26,52.36,True
2012/01/27,51.44,True
2012/01/30,51.19,True
2012/01/31,51.16,True
2012/02/01,51.92,True
2012/02/02,51.75,True
2012/02/03,52.08,True
2012/02/06,49.665,True
2012/02/07,50.995,True
2012/02/08,50.78,True
2012/02/09,50.28,True
2012/02/10,50.17,True
2012/02/13,49.79,True
2012/02/14,52.12,True
2012/02/15,52.06,True
2012/02/16,52.59,True
2012/02/17,52.18,True
2012/02/21,52.31,True
2012/02/22,51.63,True
2012/02/23,52.61,True
2012/02/24,52.41,True
2012/02/27,53.05,True
2012/02/28,53.78,True
2012/02/29,53.33,True
2012/03/01,52.97,True
2012/03/02,53.65,True
2012/03/05,53.01,True
2012/03/06,52.04,True
2012/03/07,52.92,True
2012/03/08,53.28,True
2012/03/09,54.18,True
2012/03/12,53.43,True
2012/03/13,54.46,True
2012/03/14,54.95,True
2012/03/15,54.3,True
2012/03/16,54.34,True
2012/03/19,53.22,True
2012/03/20,52.78,True
2012/03/21,53.56,True
2012/03/22,53.03,True
2012/03/23,52.71,True
2012/03/26,53.52,True
2012/03/27,53.21,True
2012/03/28,53.89,True
2012/03/29,53.16,True
2012/03/30,54.18,True
2012/04/02,55.5,True
2012/04/03,57.67,True
2012/04/04,56.88,True
2012/04/05,56.94,True
2012/04/09,56.32,True
2012/04/10,55.72,True
2012/04/11,56.365,True
2012/04/12,57.5,True
2012/04/13,56.98,True
2012/04/16,56.8,True
2012/04/17,58.85,True
2012/04/18,58.375,True
2012/04/19,58.57,True
2012/04/20,57.88,True
2012/04/23,56.97,True
2012/04/24,57.22,True
2012/04/25,56.82,True
2012/04/26,56.4,True
2012/04/27,56.0,True
2012/04/30,55.79,True
2012/05/01,56.75,True
2012/05/02,56.69,True
2012/05/03,56.31,True
2012/05/04,54.23,True
2012/05/07,54.55,True
2012/05/08,55.25,True
2012/05/09,53.9,True
2012/05/10,54.34,True
2012/05/11,55.1,True
2012/05/14,54.42,True
2012/05/15,53.54,True
2012/05/16,52.75,True
2012/05/17,51.35,True
2012/05/18,50.88,True
2012/05/21,51.81,True
2012/05/22,52.22,True
2012/05/23,51.69,True
2012/05/24,51.67,True
2012/05/25,52.63,True
2012/05/29,53.61,True
2012/05/30,52.53,True
2012/05/31,52.19,True
2012/06/01,50.67,True
2012/06/04,50.79,True
2012/06/05,51.505,True
2012/06/06,52.69,True
2012/06/07,52.92,True
2012/06/08,53.19,True
2012/06/11,51.865,True
2012/06/12,53.26,True
2012/06/13,53.09,True
2012/06/14,54.23,True
2012/06/15,54.335,True
2012/06/18,53.79,True
2012/06/19,54.01,True
2012/06/20,53.74,True
2012/06/21,52.4,True
2012/06/22,52.96,True
2012/06/25,51.895,True
2012/06/26,52.14,True
2012/06/27,53.5,True
2012/06/28,54.79,True
2012/06/29,55.83,True
2012/07/02,55.385,True
2012/07/03,55.01,True
2012/07/05,54.48,True
2012/07/06,54.06,True
2012/07/09,54.36,True
2012/07/10,55.34,True
2012/07/11,56.17,True
2012/07/12,55.79,True
2012/07/13,57.35,True
2012/07/16,57.75,True
2012/07/17,57.96,True
2012/07/18,57.69,True
2012/07/19,58.76,True
2012/07/20,57.21,True
2012/07/23,57.01,True
2012/07/24,56.63,True
2012/07/25,56.6,True
2012/07/26,56.84,True
2012/07/27,57.95,True
2012/07/30,57.85,True
2012/07/31,57.94,True
2012/08/01,57.1,True
2012/08/02,56.17,True
2012/08/03,56.72,True
2012/08/06,55.98,True
2012/08/07,56.02,True
2012/08/08,60.73,True
2012/08/09,62.51,True
2012/08/10,61.92,True
2012/08/13,61.66,True
2012/08/14,60.97,True
