date,PRC,is_prediction
2012/01/03,45.49,True
2012/01/04,45.48,True
2012/01/05,45.66,True
2012/01/06,45.29,True
2012/01/09,45.54,True
2012/01/10,47.74,True
2012/01/11,48.27,True
2012/01/12,49.17,True
2012/01/13,48.71,True
2012/01/17,48.94,True
2012/01/18,49.43,True
2012/01/19,50.03,True
2012/01/20,48.38,True
2012/01/23,48.08,True
2012/01/24,48.81,True
2012/01/25,49.54,True
2012/01/26,48.93,True
2012/01/27,49.57,True
2012/01/30,49.66,True
2012/01/31,49.03,True
2012/02/01,49.82,True
2012/02/02,49.33,True
2012/02/03,50.93,True
2012/02/06,51.09,True
2012/02/07,51.29,True
2012/02/08,51.65,True
2012/02/09,51.8,True
2012/02/10,51.44,True
2012/02/13,52.05,True
2012/02/14,51.74,True
2012/02/15,50.87,True
2012/02/16,51.01,True
2012/02/17,50.82,True
2012/02/21,51.94,True
2012/02/22,52.16,True
2012/02/23,51.87,True
2012/02/24,51.75,True
2012/02/27,52.18,True
2012/02/28,52.51,True
2012/02/29,52.19,True
2012/03/01,52.21,True
2012/03/02,51.27,True
2012/03/05,50.72,True
2012/03/06,48.7,True
2012/03/07,48.75,True
2012/03/08,49.28,True
2012/03/09,49.01,True
2012/03/12,48.62,True
2012/03/13,50.23,True
2012/03/14,50.37,True
2012/03/15,50.65,True
2012/03/16,51.02,True
2012/03/19,50.86,True
2012/03/20,49.95,True
2012/03/21,49.93,True
2012/03/22,48.67,True
2012/03/23,49.3,True
2012/03/26,50.26,True
2012/03/27,50.12,True
2012/03/28,49.31,True
2012/03/29,49.15,True
2012/03/30,49.83,True
2012/04/02,50.09,True
2012/04/03,49.39,True
2012/04/04,48.49,True
2012/04/05,48.0,True
2012/04/09,47.32,True
2012/04/10,46.45,True
2012/04/11,46.16,True
2012/04/12,47.72,True
2012/04/13,46.87,True
2012/04/16,46.71,True
2012/04/17,47.6,True
2012/04/18,47.46,True
2012/04/19,46.93,True
2012/04/20,47.44,True
2012/04/23,47.4,True
2012/04/24,48.46,True
2012/04/25,48.78,True
2012/04/26,48.97,True
2012/04/27,49.07,True
2012/04/30,48.18,True
2012/05/01,47.95,True
2012/05/02,47.63,True
2012/05/03,46.51,True
2012/05/04,45.37,True
2012/05/07,45.6,True
2012/05/08,45.51,True
2012/05/09,45.07,True
2012/05/10,44.91,True
2012/05/11,44.71,True
2012/05/14,44.22,True
2012/05/15,44.09,True
2012/05/16,43.67,True
2012/05/17,42.47,True
2012/05/18,42.4,True
