date,PRC,is_prediction
2012/01/03,72.52,True
2012/01/04,71.9,True
2012/01/05,71.9,True
2012/01/06,71.5,True
2012/01/09,71.59,True
2012/01/10,72.0,True
2012/01/11,71.6,True
2012/01/12,71.43,True
2012/01/13,71.11,True
2012/01/17,70.9,True
2012/01/18,71.24,True
2012/01/19,70.66,True
2012/01/20,69.93,True
2012/01/23,70.7,True
2012/01/24,69.46,True
2012/01/25,70.89,True
2012/01/26,71.3,True
2012/01/27,70.62,True
2012/01/30,70.43,True
2012/01/31,69.38,True
2012/02/01,69.39,True
2012/02/02,69.36,True
2012/02/03,69.04,True
2012/02/06,68.76,True
2012/02/07,68.38,True
2012/02/08,68.06,True
2012/02/09,68.22,True
2012/02/10,67.8,True
2012/02/13,67.39,True
2012/02/14,67.74,True
2012/02/15,67.37,True
2012/02/16,68.29,True
2012/02/17,67.78,True
2012/02/21,67.48,True
2012/02/22,67.49,True
2012/02/23,67.15,True
2012/02/24,67.14,True
2012/02/27,67.08,True
2012/02/28,66.91,True
2012/02/29,66.63,True
2012/03/01,67.28,True
2012/03/02,67.13,True
2012/03/05,67.12,True
2012/03/06,66.76,True
2012/03/07,66.83,True
2012/03/08,67.31,True
2012/03/09,67.87,True
2012/03/12,68.35,True
2012/03/13,68.5,True
2012/03/14,67.8,True
2012/03/15,67.95,True
2012/03/16,67.87,True
2012/03/19,67.33,True
2012/03/20,67.24,True
2012/03/21,66.89,True
2012/03/22,66.73,True
2012/03/23,66.83,True
2012/03/26,67.53,True
2012/03/27,67.64,True
2012/03/28,66.72,True
2012/03/29,66.93,True
2012/03/30,67.2,True
2012/04/02,67.49,True
2012/04/03,66.94,True
2012/04/04,67.1,True
2012/04/05,66.38,True
2012/04/09,66.07,True
2012/04/10,64.96,True
2012/04/11,65.41,True
2012/04/12,66.16,True
2012/04/13,65.5,True
2012/04/16,66.1,True
2012/04/17,66.45,True
2012/04/18,66.27,True
2012/04/19,65.37,True
2012/04/20,65.65,True
2012/04/23,65.59,True
2012/04/24,65.94,True
2012/04/25,65.76,True
2012/04/26,66.19,True
2012/04/27,65.3,True
2012/04/30,65.56,True
2012/05/01,66.3,True
2012/05/02,65.97,True
