date,PRC,is_prediction
2012/01/03,72.0,True
2012/01/04,70.84,True
2012/01/05,71.95,True
2012/01/06,72.88,True
2012/01/09,72.63,True
2012/01/10,74.39,True
2012/01/11,74.29,True
2012/01/12,74.15,True
2012/01/13,73.21,True
2012/01/17,72.25,True
2012/01/18,77.68,True
2012/01/19,77.89,True
2012/01/20,77.12,True
2012/01/23,79.31,True
2012/01/24,78.54,True
2012/01/25,79.0,True
2012/01/26,78.27,True
2012/01/27,79.18,True
2012/01/30,78.27,True
2012/01/31,82.67,True
2012/02/01,81.69,True
2012/02/02,80.67,True
2012/02/03,71.54,True
2012/02/06,72.52,True
2012/02/07,73.63,True
2012/02/08,74.0,True
2012/02/09,73.31,True
2012/02/10,73.87,True
2012/02/13,74.13,True
2012/02/14,73.93,True
2012/02/15,75.85,True
2012/02/16,76.26,True
2012/02/17,75.61,True
2012/02/21,74.64,True
2012/02/22,74.37,True
2012/02/23,73.69,True
2012/02/24,74.26,True
2012/02/27,73.57,True
2012/02/28,73.33,True
2012/02/29,73.13,True
2012/03/01,72.3,True
2012/03/02,71.22,True
2012/03/05,70.8,True
2012/03/06,68.81,True
2012/03/07,68.43,True
2012/03/08,68.53,True
2012/03/09,68.92,True
2012/03/12,69.24,True
2012/03/13,69.3,True
2012/03/14,69.69,True
2012/03/15,70.01,True
2012/03/16,71.42,True
2012/03/19,70.48,True
2012/03/20,71.15,True
2012/03/21,71.09,True
2012/03/22,71.5,True
2012/03/23,71.28,True
2012/03/26,75.51,True
2012/03/27,74.07,True
2012/03/28,73.01,True
2012/03/29,72.88,True
2012/03/30,72.73,True
2012/04/02,73.61,True
2012/04/03,73.16,True
2012/04/04,71.89,True
2012/04/05,71.99,True
2012/04/09,71.2,True
2012/04/10,70.61,True
2012/04/11,71.65,True
2012/04/12,72.6,True
2012/04/13,68.55,True
2012/04/16,68.44,True
2012/04/17,71.37,True
2012/04/18,72.71,True
2012/04/19,72.93,True
2012/04/20,73.37,True
2012/04/23,73.36,True
2012/04/24,73.33,True
2012/04/25,81.84,True
2012/04/26,81.72,True
2012/04/27,82.69,True
2012/04/30,82.97,True
2012/05/01,84.78,True
2012/05/02,86.24,True
2012/05/03,86.11,True
2012/05/04,84.99,True
2012/05/07,85.49,True
2012/05/08,85.4,True
2012/05/09,85.45,True
2012/05/10,84.05,True
2012/05/11,84.68,True
2012/05/14,84.07,True
2012/05/15,83.37,True
2012/05/16,83.09,True
2012/05/17,82.6,True
2012/05/18,81.89,True
2012/05/21,84.1,True
2012/05/22,83.46,True
2012/05/23,85.05,True
2012/05/24,87.33,True
2012/05/25,87.4,True
2012/05/29,87.53,True
2012/05/30,85.77,True
2012/05/31,85.37,True
2012/06/01,84.57,True
2012/06/04,84.18,True
2012/06/05,87.17,True
2012/06/06,86.34,True
2012/06/07,87.22,True
2012/06/08,88.23,True
2012/06/11,88.0,True
2012/06/12,90.81,True
2012/06/13,90.54,True
2012/06/14,96.88,True
2012/06/15,97.52,True
2012/06/18,100.66,True
2012/06/19,102.48,True
2012/06/20,101.88,True
2012/06/21,99.55,True
2012/06/22,101.56,True
2012/06/25,102.15,True
2012/06/26,101.48,True
2012/06/27,101.82,True
2012/06/28,101.18,True
2012/06/29,103.3,True
2012/07/02,104.21,True
2012/07/03,103.95,True
2012/07/05,104.44,True
2012/07/06,101.92,True
2012/07/09,103.34,True
2012/07/10,101.43,True
2012/07/11,101.61,True
2012/07/12,100.82,True
2012/07/13,101.44,True
2012/07/16,101.04,True
2012/07/17,103.24,True
2012/07/18,102.1,True
2012/07/19,102.82,True
2012/07/20,101.09,True
2012/07/23,100.49,True
2012/07/24,98.65,True
2012/07/25,105.06,True
2012/07/26,102.54,True
2012/07/27,105.19,True
2012/07/30,103.44,True
2012/07/31,101.2,True
2012/08/01,100.05,True
2012/08/02,99.3,True
2012/08/03,101.32,True
2012/08/06,100.42,True
2012/08/07,101.11,True
2012/08/08,100.29,True
2012/08/09,98.3,True
2012/08/10,98.17,True
2012/08/13,97.86,True
2012/08/14,97.57,True
2012/08/15,98.18,True
2012/08/16,97.8,True
2012/08/17,100.43,True
2012/08/20,99.33,True
2012/08/21,99.67,True
2012/08/22,99.61,True
2012/08/23,99.3,True
2012/08/24,99.18,True
2012/08/27,100.26,True
2012/08/28,101.08,True
2012/08/29,101.82,True
2012/08/30,102.0,True
2012/08/31,102.11,True
2012/09/04,104.24,True
2012/09/05,103.95,True
2012/09/06,106.82,True
2012/09/07,108.82,True
2012/09/10,107.32,True
2012/09/11,105.99,True
2012/09/12,105.65,True
2012/09/13,105.24,True
2012/09/14,105.1,True
2012/09/17,104.0,True
2012/09/18,104.0,True
2012/09/19,103.99,True
2012/09/20,103.49,True
2012/09/21,105.85,True
2012/09/24,104.39,True
2012/09/25,104.42,True
2012/09/26,102.88,True
2012/09/27,105.52,True
2012/09/28,107.37,True
2012/10/01,107.77,True
2012/10/02,108.03,True
2012/10/03,109.37,True
2012/10/04,109.75,True
2012/10/05,108.45,True
2012/10/08,107.41,True
2012/10/09,84.6,True
2012/10/10,87.81,True
2012/10/11,86.18,True
2012/10/12,87.1,True
2012/10/15,87.29,True
2012/10/16,88.75,True
2012/10/17,87.8,True
2012/10/18,86.74,True
2012/10/19,86.14,True
2012/10/22,86.51,True
2012/10/23,85.06,True
2012/10/24,86.22,True
2012/10/25,86.99,True
2012/10/26,87.15,True
2012/10/31,86.83,True
2012/11/01,87.57,True
2012/11/02,87.83,True
2012/11/05,89.4,True
2012/11/06,90.05,True
2012/11/07,89.09,True
2012/11/08,86.63,True
2012/11/09,87.7,True
2012/11/12,86.66,True
2012/11/13,87.75,True
2012/11/14,85.59,True
2012/11/15,86.27,True
2012/11/16,85.74,True
2012/11/19,85.03,True
2012/11/20,85.18,True
2012/11/21,83.7,True
2012/11/23,85.6,True
2012/11/26,84.56,True
2012/11/27,84.06,True
2012/11/28,83.98,True
2012/11/29,83.94,True
2012/11/30,86.77,True
2012/12/03,86.52,True
2012/12/04,91.5,True
2012/12/05,90.6,True
2012/12/06,91.12,True
2012/12/07,91.36,True
2012/12/10,92.08,True
2012/12/11,91.74,True
2012/12/12,90.59,True
2012/12/13,90.49,True
2012/12/14,91.02,True
2012/12/17,91.87,True
2012/12/18,91.95,True
2012/12/19,92.0,True
2012/12/20,92.3,True
2012/12/21,92.11,True
2012/12/24,91.79,True
2012/12/26,90.35,True
2012/12/27,91.05,True
2012/12/28,89.27,True
2012/12/31,90.17,True
2013/01/01,89.94416658660052,False
2013/01/02,90.24059378894435,False
2013/01/03,90.19757774166493,False
2013/01/04,90.32209801333349,False
2013/01/07,90.31645763888623,False
2013/01/08,90.41790126782954,False
2013/01/09,90.47408462989415,False
2013/01/10,90.5604604156986,False
2013/01/11,90.6276874100034,False
2013/01/14,90.7037877730173,False
2013/01/15,90.77286313534673,False
2013/01/16,90.84659808706202,False
2013/01/17,90.9182256610764,False
2013/01/18,90.99148989976575,False
2013/01/21,91.06382223192968,False
2013/01/22,91.13661801022984,False
2013/01/23,91.2090417951904,False
2013/01/24,91.28167454210484,False
2013/01/25,91.35419953559283,False
2013/01/28,91.42680952696632,False
2013/01/29,91.49937579174036,False
2013/01/30,91.57196702780472,False
2013/01/31,91.64453921738402,False
2013/02/01,91.71712098387707,False
2013/02/04,91.78969685207096,False
2013/02/05,91.86227710995277,False
2013/02/06,91.93485540443801,False
2013/02/07,92.00743503021864,False
2013/02/08,92.08001352475158,False
2013/02/11,92.15259281383601,False
2013/02/12,92.22517159726763,False
2013/02/13,92.29775065943166,False
2013/02/14,92.37032950992453,False
2013/02/15,92.44290849091753,False
2013/02/18,92.51548741494028,False
2013/02/19,92.58806660225764,False
2013/02/20,92.66064548946785,False
2013/02/21,92.73322446445302,False
2013/02/22,92.80580371687081,False
2013/02/25,92.87838269228526,False
2013/02/26,92.95096163982329,False
2013/02/27,93.02354067303514,False
2013/02/28,93.09612001568362,False
2013/03/01,93.16869908262909,False
2013/03/04,93.24127827498397,False
2013/03/05,93.31385737923961,False
2013/03/06,93.38643652527497,False
2013/03/07,93.45901557417778,False
2013/03/08,93.53159454054344,False
2013/03/11,93.60417369377603,False
