date,PRC,is_prediction
2012/01/03,41.32,True
2012/01/04,41.39,True
2012/01/05,41.02,True
2012/01/06,41.66,True
2012/01/09,41.72,True
2012/01/10,42.51,True
2012/01/11,42.5,True
2012/01/12,42.6,True
2012/01/13,42.69,True
2012/01/17,42.59,True
2012/01/18,43.3,True
2012/01/19,44.42,True
2012/01/20,44.41,True
2012/01/23,44.23,True
2012/01/24,43.86,True
2012/01/25,44.24,True
2012/01/26,44.72,True
2012/01/27,44.5,True
2012/01/30,44.51,True
2012/01/31,44.65,True
2012/02/01,44.14,True
2012/02/02,43.46,True
2012/02/03,44.56,True
2012/02/06,43.47,True
2012/02/07,42.99,True
2012/02/08,42.65,True
2012/02/09,43.07,True
2012/02/10,43.03,True
2012/02/13,43.75,True
2012/02/14,43.72,True
2012/02/15,42.48,True
2012/02/16,44.68,True
2012/02/17,44.32,True
2012/02/21,44.03,True
2012/02/22,43.58,True
2012/02/23,43.83,True
2012/02/24,43.34,True
2012/02/27,43.13,True
2012/02/28,42.5,True
2012/02/29,43.675,True
2012/03/01,44.27,True
2012/03/02,44.32,True
2012/03/05,44.22,True
2012/03/06,43.51,True
2012/03/07,43.47,True
2012/03/08,43.83,True
2012/03/09,44.33,True
2012/03/12,44.05,True
2012/03/13,44.97,True
2012/03/14,44.17,True
2012/03/15,44.55,True
2012/03/16,45.81,True
2012/03/19,46.1,True
2012/03/20,45.29,True
2012/03/21,46.98,True
2012/03/22,46.39,True
2012/03/23,46.26,True
2012/03/26,46.9,True
2012/03/27,46.58,True
2012/03/28,46.35,True
2012/03/29,46.29,True
2012/03/30,46.51,True
2012/04/02,46.58,True
2012/04/03,46.24,True
2012/04/04,46.43,True
2012/04/05,46.73,True
2012/04/09,45.85,True
2012/04/10,45.06,True
2012/04/11,46.04,True
2012/04/12,46.99,True
2012/04/13,46.33,True
2012/04/16,46.02,True
2012/04/17,46.61,True
2012/04/18,46.495,True
2012/04/19,45.74,True
2012/04/20,41.96,True
2012/04/23,40.95,True
2012/04/24,41.25,True
2012/04/25,40.89,True
2012/04/26,40.33,True
2012/04/27,39.9,True
2012/04/30,40.0,True
2012/05/01,40.62,True
2012/05/02,40.74,True
2012/05/03,40.01,True
2012/05/04,39.5,True
2012/05/07,39.92,True
2012/05/08,39.31,True
2012/05/09,38.61,True
2012/05/10,38.8,True
2012/05/11,38.72,True
2012/05/14,38.49,True
2012/05/15,37.92,True
2012/05/16,37.86,True
2012/05/17,37.55,True
2012/05/18,37.32,True
2012/05/21,38.33,True
2012/05/22,38.34,True
2012/05/23,38.96,True
2012/05/24,38.74,True
2012/05/25,38.47,True
2012/05/29,39.07,True
2012/05/30,38.03,True
2012/05/31,38.25,True
2012/06/01,37.45,True
2012/06/04,37.64,True
2012/06/05,37.89,True
2012/06/06,39.13,True
2012/06/07,38.97,True
2012/06/08,39.36,True
2012/06/11,38.88,True
2012/06/12,39.08,True
2012/06/13,38.86,True
2012/06/14,39.52,True
2012/06/15,39.48,True
2012/06/18,39.62,True
2012/06/19,40.27,True
2012/06/20,39.9,True
2012/06/21,38.67,True
2012/06/22,38.73,True
2012/06/25,37.99,True
2012/06/26,37.42,True
2012/06/27,37.42,True
2012/06/28,37.22,True
2012/06/29,38.75,True
2012/07/02,38.78,True
2012/07/03,39.26,True
2012/07/05,39.29,True
2012/07/06,38.28,True
2012/07/09,37.77,True
2012/07/10,37.18,True
2012/07/11,36.91,True
2012/07/12,36.68,True
2012/07/13,37.67,True
2012/07/16,37.18,True
2012/07/17,37.33,True
2012/07/18,38.45,True
2012/07/19,38.47,True
2012/07/20,37.05,True
2012/07/23,37.29,True
2012/07/24,36.71,True
2012/07/25,35.6,True
2012/07/26,35.82,True
2012/07/27,36.06,True
2012/07/30,36.02,True
2012/07/31,35.57,True
2012/08/01,35.24,True
2012/08/02,35.19,True
2012/08/03,36.1,True
2012/08/06,36.04,True
2012/08/07,35.67,True
2012/08/08,36.42,True
2012/08/09,36.4,True
2012/08/10,36.68,True
2012/08/13,36.93,True
2012/08/14,37.03,True
2012/08/15,37.4,True
2012/08/16,38.31,True
2012/08/17,38.29,True
2012/08/20,38.49,True
2012/08/21,38.5,True
2012/08/22,38.0,True
2012/08/23,37.52,True
2012/08/24,37.71,True
2012/08/27,37.03,True
2012/08/28,36.87,True
2012/08/29,36.8,True
2012/08/30,36.19,True
2012/08/31,36.61,True
2012/09/04,36.47,True
2012/09/05,36.23,True
2012/09/06,37.11,True
2012/09/07,37.78,True
2012/09/10,38.34,True
2012/09/11,38.81,True
2012/09/12,39.0,True
2012/09/13,39.11,True
2012/09/14,39.16,True
2012/09/17,38.48,True
2012/09/18,38.2,True
2012/09/19,38.26,True
2012/09/20,37.53,True
2012/09/21,36.78,True
2012/09/24,36.86,True
2012/09/25,36.0532,True
2012/09/26,36.02,True
2012/09/27,36.81,True
2012/09/28,36.35,True
2012/10/01,36.14,True
2012/10/02,35.165,True
2012/10/03,35.16,True
2012/10/04,35.43,True
2012/10/05,35.55,True
2012/10/08,35.22,True
2012/10/09,34.8,True
2012/10/10,34.36,True
2012/10/11,34.41,True
2012/10/12,34.78,True
2012/10/15,35.0,True
2012/10/16,35.25,True
2012/10/17,35.55,True
2012/10/18,35.54,True
2012/10/19,35.32,True
2012/10/22,35.33,True
2012/10/23,36.28,True
2012/10/24,35.82,True
2012/10/25,35.78,True
2012/10/26,36.43,True
2012/10/31,36.61,True
2012/11/01,37.22,True
2012/11/02,36.91,True
2012/11/05,37.12,True
2012/11/06,37.88,True
2012/11/07,37.1472,True
2012/11/08,36.74,True
2012/11/09,36.73,True
2012/11/12,36.97,True
2012/11/13,36.86,True
2012/11/14,36.37,True
2012/11/15,36.22,True
2012/11/16,35.76,True
2012/11/19,36.2,True
2012/11/20,36.47,True
2012/11/21,36.8,True
2012/11/23,37.18,True
2012/11/26,37.24,True
2012/11/27,36.98,True
2012/11/28,37.03,True
2012/11/29,37.35,True
2012/11/30,37.42,True
2012/12/03,37.04,True
2012/12/04,37.06,True
2012/12/05,37.64,True
2012/12/06,36.99,True
2012/12/07,37.34,True
2012/12/10,38.22,True
2012/12/11,38.63,True
2012/12/12,38.04,True
2012/12/13,38.11,True
2012/12/14,38.22,True
2012/12/17,38.6,True
2012/12/18,39.37,True
2012/12/19,39.61,True
2012/12/20,39.9,True
2012/12/21,39.73,True
2012/12/24,39.77,True
2012/12/26,39.49,True
2012/12/27,39.27,True
2012/12/28,39.03,True
2012/12/31,39.55,True
2013/01/01,39.5034523573044,False
2013/01/02,39.465413787300875,False
2013/01/03,39.5016159851189,False
2013/01/04,39.5597317387802,False
2013/01/07,39.55046911177476,False
2013/01/08,39.56401780952465,False
2013/01/09,39.4992663592506,False
2013/01/10,39.49441550101464,False
2013/01/11,39.492327082564,False
2013/01/14,39.474347517503034,False
2013/01/15,39.455086901417666,False
2013/01/16,39.451078953239076,False
2013/01/17,39.44157824648883,False
2013/01/18,39.43911853218256,False
2013/01/21,39.43152971865698,False
2013/01/22,39.42339083072114,False
2013/01/23,39.41724237172033,False
2013/01/24,39.411210136247,False
2013/01/25,39.402646753786684,False
2013/01/28,39.3950128544125,False
2013/01/29,39.3868634425077,False
2013/01/30,39.379000473252304,False
2013/01/31,39.371200894651416,False
2013/02/01,39.36324443321964,False
2013/02/04,39.35526211902949,False
2013/02/05,39.34763454445406,False
2013/02/06,39.33988063638602,False
2013/02/07,39.33214999870879,False
2013/02/08,39.32442634629838,False
2013/02/11,39.31669864714063,False
2013/02/12,39.30897074762985,False
2013/02/13,39.301248778364204,False
2013/02/14,39.29348292346832,False
2013/02/15,39.285730971516195,False
2013/02/18,39.27797989430887,False
2013/02/19,39.27022372722922,False
2013/02/20,39.26246717517978,False
2013/02/21,39.25471359884244,False
2013/02/22,39.246958811391906,False
2013/02/25,39.23920885517608,False
2013/02/26,39.231457739464005,False
2013/02/27,39.223706184696226,False
2013/02/28,39.2159554986848,False
2013/03/01,39.20820494047354,False
2013/03/04,39.20045361078491,False
2013/03/05,39.19270240905149,False
2013/03/06,39.18495068128055,False
2013/03/07,39.177198936369045,False
2013/03/08,39.169447201666884,False
2013/03/11,39.16169530823067,False
