date,PRC,is_prediction
2012/01/03,29.66,True
2012/01/04,29.03,True
2012/01/05,28.77,True
2012/01/06,29.25,True
2012/01/09,28.63,True
2012/01/10,29.5,True
2012/01/11,29.31,True
2012/01/12,28.87,True
2012/01/13,28.67,True
2012/01/17,29.69,True
2012/01/18,30.88,True
2012/01/19,31.33,True
2012/01/20,31.04,True
2012/01/23,30.91,True
2012/01/24,31.4,True
2012/01/25,31.22,True
2012/01/26,31.11,True
2012/01/27,31.8,True
2012/01/30,31.99,True
2012/01/31,32.37,True
2012/02/01,32.93,True
2012/02/02,33.02,True
2012/02/03,34.22,True
2012/02/06,33.57,True
2012/02/07,34.04,True
2012/02/08,33.65,True
2012/02/09,34.16,True
2012/02/10,33.54,True
2012/02/13,34.41,True
2012/02/14,33.92,True
2012/02/15,33.42,True
2012/02/16,33.27,True
2012/02/17,33.07,True
2012/02/21,33.02,True
2012/02/22,33.01,True
2012/02/23,33.25,True
2012/02/24,32.97,True
2012/02/27,33.14,True
2012/02/28,33.79,True
2012/02/29,34.05,True
2012/03/01,34.07,True
2012/03/02,33.64,True
2012/03/05,33.39,True
2012/03/06,32.77,True
2012/03/07,32.89,True
2012/03/08,32.32,True
2012/03/09,31.71,True
2012/03/12,32.09,True
2012/03/13,32.53,True
2012/03/14,32.41,True
2012/03/15,33.27,True
2012/03/16,33.61,True
2012/03/19,34.155,True
2012/03/20,33.81,True
2012/03/21,34.01,True
2012/03/22,34.22,True
2012/03/23,34.14,True
2012/03/26,35.44,True
2012/03/27,34.12,True
2012/03/28,32.54,True
2012/03/29,33.25,True
2012/03/30,33.44,True
2012/04/02,33.33,True
2012/04/03,33.25,True
2012/04/04,32.32,True
2012/04/05,32.9,True
2012/04/09,32.35,True
2012/04/10,31.71,True
2012/04/11,31.89,True
2012/04/12,32.02,True
2012/04/13,31.805,True
2012/04/16,31.21,True
2012/04/17,31.18,True
2012/04/18,31.49,True
2012/04/19,31.55,True
2012/04/20,31.94,True
2012/04/23,31.39,True
2012/04/24,31.54,True
2012/04/25,32.32,True
2012/04/26,32.63,True
2012/04/27,40.31,True
2012/04/30,42.65,True
2012/05/01,41.64,True
2012/05/02,42.45,True
2012/05/03,41.43,True
2012/05/04,40.98,True
2012/05/07,40.9,True
2012/05/08,41.1,True
2012/05/09,41.14,True
2012/05/10,40.91,True
2012/05/11,41.11,True
2012/05/14,41.4,True
2012/05/15,41.68,True
2012/05/16,43.01,True
2012/05/17,41.1,True
2012/05/18,40.72,True
2012/05/21,42.35,True
2012/05/22,42.71,True
2012/05/23,45.61,True
2012/05/24,45.25,True
2012/05/25,44.89,True
2012/05/29,45.3,True
2012/05/30,45.46,True
2012/05/31,45.89,True
2012/06/01,44.65,True
2012/06/04,44.93,True
2012/06/05,45.18,True
2012/06/06,46.69,True
2012/06/07,46.03,True
2012/06/08,47.85,True
2012/06/11,48.02,True
2012/06/12,48.73,True
2012/06/13,47.43,True
2012/06/14,47.53,True
2012/06/15,50.05,True
2012/06/18,49.96,True
2012/06/19,48.49,True
2012/06/20,47.95,True
2012/06/21,47.83,True
2012/06/22,48.03,True
2012/06/25,46.25,True
2012/06/26,46.4,True
2012/06/27,46.61,True
2012/06/28,46.21,True
2012/06/29,48.07,True
2012/07/02,49.19,True
2012/07/03,48.67,True
2012/07/05,48.33,True
2012/07/06,47.72,True
2012/07/09,47.47,True
2012/07/10,45.72,True
2012/07/11,45.61,True
2012/07/12,44.06,True
2012/07/13,45.67,True
2012/07/16,45.22,True
2012/07/17,45.93,True
2012/07/18,46.55,True
2012/07/19,47.565,True
2012/07/20,47.1,True
2012/07/23,46.38,True
2012/07/24,46.32,True
2012/07/25,44.25,True
2012/07/26,45.71,True
2012/07/27,54.9,True
2012/07/30,56.12,True
2012/07/31,56.99,True
2012/08/01,56.4,True
2012/08/02,56.8,True
2012/08/03,57.45,True
2012/08/06,58.42,True
2012/08/07,58.87,True
2012/08/08,56.14,True
2012/08/09,55.96,True
2012/08/10,54.44,True
2012/08/13,53.83,True
2012/08/14,52.31,True
2012/08/15,52.91,True
2012/08/16,52.22,True
2012/08/17,51.62,True
2012/08/20,52.44,True
2012/08/21,51.61,True
2012/08/22,51.72,True
2012/08/23,52.42,True
2012/08/24,53.06,True
2012/08/27,52.18,True
2012/08/28,52.88,True
2012/08/29,52.86,True
2012/08/30,51.48,True
2012/08/31,51.36,True
2012/09/04,51.99,True
2012/09/05,52.1,True
2012/09/06,53.38,True
2012/09/07,54.11,True
2012/09/10,52.75,True
2012/09/11,53.79,True
2012/09/12,54.22,True
2012/09/13,55.5723,True
2012/09/14,55.88,True
2012/09/17,54.99,True
2012/09/18,54.81,True
2012/09/19,56.16,True
2012/09/20,57.09,True
2012/09/21,59.37,True
2012/09/24,58.56,True
2012/09/25,58.14,True
2012/09/26,57.65,True
2012/09/27,58.22,True
2012/09/28,57.84,True
2012/10/01,56.9354,True
2012/10/02,56.665,True
2012/10/03,58.35,True
2012/10/04,58.52,True
