date,PRC,is_prediction
2012/01/03,11.13,True
2012/01/04,11.3,True
2012/01/05,11.59,True
2012/01/06,11.71,True
2012/01/09,11.8,True
2012/01/10,11.8,True
2012/01/11,12.07,True
2012/01/12,12.14,True
2012/01/13,12.04,True
2012/01/17,12.015,True
2012/01/18,12.34,True
2012/01/19,12.61,True
2012/01/20,12.59,True
2012/01/23,12.66,True
2012/01/24,12.82,True
2012/01/25,12.93,True
2012/01/26,12.79,True
2012/01/27,12.21,True
2012/01/30,12.29,True
2012/01/31,12.42,True
2012/02/01,12.33,True
2012/02/02,12.26,True
2012/02/03,12.79,True
2012/02/06,12.96,True
2012/02/07,12.88,True
2012/02/08,12.84,True
2012/02/09,12.69,True
2012/02/10,12.44,True
2012/02/13,12.54,True
2012/02/14,12.48,True
2012/02/15,12.38,True
2012/02/16,12.74,True
2012/02/17,12.75,True
2012/02/21,12.53,True
2012/02/22,12.28,True
2012/02/23,12.4,True
2012/02/24,12.23,True
2012/02/27,12.3,True
2012/02/28,12.25,True
2012/02/29,12.38,True
2012/03/01,12.66,True
2012/03/02,12.72,True
2012/03/05,12.46,True
2012/03/06,12.09,True
2012/03/07,12.24,True
2012/03/08,12.46,True
2012/03/09,12.58,True
2012/03/12,12.43,True
2012/03/13,12.7,True
2012/03/14,12.88,True
2012/03/15,12.9,True
2012/03/16,12.51,True
2012/03/19,12.63,True
2012/03/20,12.54,True
2012/03/21,12.57,True
2012/03/22,12.32,True
2012/03/23,12.32,True
2012/03/26,12.48,True
2012/03/27,12.32,True
2012/03/28,12.32,True
2012/03/29,12.5,True
2012/03/30,12.475,True
2012/04/02,12.62,True
2012/04/03,12.64,True
2012/04/04,12.505,True
2012/04/05,12.47,True
2012/04/09,12.22,True
2012/04/10,11.79,True
2012/04/11,11.91,True
2012/04/12,12.07,True
2012/04/13,11.92,True
2012/04/16,11.88,True
2012/04/17,11.91,True
2012/04/18,11.79,True
2012/04/19,11.66,True
2012/04/20,11.41,True
2012/04/23,11.35,True
2012/04/24,11.39,True
2012/04/25,11.73,True
2012/04/26,11.87,True
2012/04/27,11.6,True
2012/04/30,11.28,True
2012/05/01,11.23,True
2012/05/02,11.1,True
2012/05/03,10.92,True
2012/05/04,10.67,True
2012/05/07,10.66,True
2012/05/08,10.61,True
2012/05/09,10.69,True
2012/05/10,10.71,True
2012/05/11,10.58,True
2012/05/14,10.32,True
2012/05/15,10.15,True
2012/05/16,10.16,True
2012/05/17,10.01,True
2012/05/18,10.01,True
2012/05/21,10.2,True
2012/05/22,10.19,True
2012/05/23,10.41,True
2012/05/24,10.59,True
2012/05/25,10.6,True
2012/05/29,10.84,True
2012/05/30,10.66,True
2012/05/31,10.56,True
2012/06/01,10.12,True
2012/06/04,10.04,True
2012/06/05,10.19,True
2012/06/06,10.57,True
2012/06/07,10.55,True
2012/06/08,10.66,True
2012/06/11,10.45,True
2012/06/12,10.5,True
2012/06/13,10.3,True
2012/06/14,10.41,True
2012/06/15,10.35,True
2012/06/18,10.34,True
2012/06/19,10.56,True
2012/06/20,10.65,True
2012/06/21,10.27,True
2012/06/22,10.19,True
2012/06/25,10.01,True
2012/06/26,10.01,True
2012/06/27,10.02,True
2012/06/28,10.09,True
2012/06/29,9.59,True
2012/07/02,9.39,True
2012/07/03,9.6,True
2012/07/05,9.57,True
2012/07/06,9.5,True
2012/07/09,9.45,True
2012/07/10,9.35,True
2012/07/11,9.33,True
2012/07/12,9.13,True
2012/07/13,9.27,True
2012/07/16,9.26,True
2012/07/17,9.34,True
2012/07/18,9.38,True
2012/07/19,9.35,True
2012/07/20,9.21,True
2012/07/23,9.17,True
2012/07/24,9.06,True
2012/07/25,8.97,True
2012/07/26,8.96,True
2012/07/27,9.0,True
2012/07/30,9.1,True
2012/07/31,9.24,True
2012/08/01,9.04,True
2012/08/02,8.92,True
2012/08/03,9.09,True
2012/08/06,9.15,True
2012/08/07,9.31,True
2012/08/08,9.35,True
2012/08/09,9.34,True
2012/08/10,9.35,True
2012/08/13,9.4,True
2012/08/14,9.44,True
2012/08/15,9.49,True
2012/08/16,9.59,True
2012/08/17,9.63,True
2012/08/20,9.63,True
2012/08/21,9.53,True
2012/08/22,9.49,True
2012/08/23,9.45,True
2012/08/24,9.49,True
2012/08/27,9.39,True
2012/08/28,9.34,True
2012/08/29,9.32,True
2012/08/30,9.31,True
2012/08/31,9.34,True
2012/09/04,9.41,True
2012/09/05,9.57,True
2012/09/06,9.915,True
2012/09/07,10.14,True
2012/09/10,10.11,True
2012/09/11,10.15,True
2012/09/12,10.21,True
2012/09/13,10.34,True
2012/09/14,10.53,True
2012/09/17,10.39,True
2012/09/18,10.42,True
2012/09/19,10.59,True
2012/09/20,10.44,True
2012/09/21,10.4,True
2012/09/24,10.32,True
2012/09/25,10.09,True
2012/09/26,10.01,True
2012/09/27,10.02,True
2012/09/28,9.86,True
2012/10/01,9.93,True
2012/10/02,9.79,True
2012/10/03,9.94,True
2012/10/04,10.11,True
2012/10/05,10.16,True
2012/10/08,10.05,True
2012/10/09,10.1,True
2012/10/10,9.98,True
2012/10/11,10.14,True
2012/10/12,10.12,True
2012/10/15,10.22,True
2012/10/16,10.3,True
2012/10/17,10.41,True
2012/10/18,10.43,True
2012/10/19,10.1799,True
2012/10/22,10.17,True
2012/10/23,10.0,True
2012/10/24,10.17,True
2012/10/25,10.39,True
2012/10/26,10.36,True
2012/10/31,11.16,True
2012/11/01,11.25,True
2012/11/02,11.17,True
2012/11/05,11.25,True
2012/11/06,11.42,True
2012/11/07,11.06,True
2012/11/08,10.9,True
2012/11/09,10.93,True
2012/11/12,10.97,True
2012/11/13,11.0,True
2012/11/14,10.67,True
2012/11/15,10.57,True
2012/11/16,10.5,True
2012/11/19,10.83,True
2012/11/20,10.85,True
2012/11/21,10.92,True
2012/11/23,11.1,True
2012/11/26,11.105,True
2012/11/27,11.1,True
2012/11/28,11.25,True
2012/11/29,11.53,True
2012/11/30,11.45,True
2012/12/03,11.41,True
2012/12/04,11.31,True
2012/12/05,11.31,True
2012/12/06,11.24,True
2012/12/07,11.48,True
2012/12/10,11.47,True
2012/12/11,11.49,True
2012/12/12,11.47,True
2012/12/13,11.27,True
2012/12/14,11.1,True
2012/12/17,11.39,True
2012/12/18,11.67,True
2012/12/19,11.73,True
2012/12/20,11.77,True
2012/12/21,11.86,True
2012/12/24,12.4,True
2012/12/26,12.79,True
2012/12/27,12.76,True
2012/12/28,12.87,True
2012/12/31,12.95,True
2013/01/01,12.922130560641849,False
2013/01/02,12.865248250405573,False
2013/01/03,12.839047569619732,False
2013/01/04,12.807812824171165,False
2013/01/07,12.80455452357769,False
2013/01/08,12.806319052668567,False
2013/01/09,12.812018816816495,False
2013/01/10,12.821339311971506,False
2013/01/11,12.83660742574587,False
2013/01/14,12.84694449138903,False
2013/01/15,12.856198712359005,False
2013/01/16,12.863357761151203,False
2013/01/17,12.86998646204829,False
2013/01/18,12.875412695375276,False
2013/01/21,12.881052936204826,False
2013/01/22,12.886276621160562,False
2013/01/23,12.89200321681888,False
2013/01/24,12.897893319804803,False
2013/01/25,12.904087775390568,False
2013/01/28,12.910275423724777,False
