date,PRC,is_prediction
2012/01/03,43.76,True
2012/01/04,44.36,True
2012/01/05,45.13,True
2012/01/06,45.21,True
2012/01/09,45.17,True
2012/01/10,45.01,True
2012/01/11,45.22,True
2012/01/12,45.86,True
2012/01/13,46.59,True
2012/01/17,46.79,True
2012/01/18,45.53,True
2012/01/19,45.74,True
2012/01/20,45.86,True
2012/01/23,46.07,True
2012/01/24,46.86,True
2012/01/25,46.74,True
2012/01/26,46.78,True
2012/01/27,46.69,True
2012/01/30,46.63,True
2012/01/31,46.68,True
2012/02/01,47.07,True
2012/02/02,46.97,True
2012/02/03,48.3,True
2012/02/06,48.06,True
2012/02/07,48.08,True
2012/02/08,48.83,True
2012/02/09,48.21,True
2012/02/10,48.42,True
2012/02/13,50.58,True
2012/02/14,51.24,True
2012/02/15,50.63,True
2012/02/16,50.82,True
2012/02/17,50.73,True
2012/02/21,50.845,True
2012/02/22,51.29,True
2012/02/23,51.93,True
2012/02/24,51.97,True
2012/02/27,52.43,True
2012/02/28,52.34,True
2012/02/29,52.68,True
2012/03/01,52.93,True
2012/03/02,53.1,True
2012/03/05,53.35,True
2012/03/06,52.17,True
2012/03/07,52.75,True
2012/03/08,52.78,True
2012/03/09,52.88,True
2012/03/12,52.83,True
2012/03/13,53.29,True
2012/03/14,52.83,True
2012/03/15,52.55,True
2012/03/16,52.22,True
2012/03/19,52.01,True
2012/03/20,52.86,True
2012/03/21,53.93,True
2012/03/22,53.71,True
2012/03/23,53.64,True
2012/03/26,54.57,True
2012/03/27,54.59,True
2012/03/28,54.19,True
2012/03/29,54.26,True
2012/03/30,54.1,True
2012/04/02,54.65,True
2012/04/03,53.37,True
2012/04/04,52.94,True
2012/04/05,52.975,True
2012/04/09,51.58,True
2012/04/10,48.9,True
2012/04/11,49.63,True
2012/04/12,48.87,True
2012/04/13,48.79,True
2012/04/16,48.25,True
2012/04/17,49.01,True
2012/04/18,48.49,True
2012/04/19,47.5,True
2012/04/20,48.21,True
2012/04/23,46.37,True
2012/04/24,46.29,True
2012/04/25,47.17,True
2012/04/26,47.21,True
2012/04/27,47.69,True
2012/04/30,46.82,True
2012/05/01,47.01,True
2012/05/02,47.48,True
2012/05/03,45.79,True
2012/05/04,44.29,True
2012/05/07,43.83,True
2012/05/08,43.84,True
2012/05/09,43.14,True
2012/05/10,44.14,True
2012/05/11,43.82,True
2012/05/14,43.43,True
2012/05/15,43.38,True
2012/05/16,43.9,True
2012/05/17,42.33,True
2012/05/18,41.86,True
2012/05/21,43.15,True
2012/05/22,44.04,True
2012/05/23,44.22,True
2012/05/24,44.36,True
2012/05/25,44.4,True
2012/05/29,45.43,True
2012/05/30,44.48,True
2012/05/31,44.23,True
2012/06/01,43.18,True
2012/06/04,43.38,True
2012/06/05,39.15,True
2012/06/06,39.505,True
2012/06/07,39.56,True
2012/06/08,40.27,True
2012/06/11,38.98,True
2012/06/12,39.35,True
2012/06/13,38.82,True
2012/06/14,39.03,True
2012/06/15,39.6,True
2012/06/18,39.69,True
2012/06/19,40.46,True
2012/06/20,40.37,True
2012/06/21,38.91,True
2012/06/22,38.92,True
2012/06/25,38.67,True
2012/06/26,38.56,True
2012/06/27,38.37,True
2012/06/28,38.63,True
2012/06/29,40.31,True
2012/07/02,39.03,True
2012/07/03,40.8,True
2012/07/05,41.29,True
2012/07/06,40.68,True
2012/07/09,40.57,True
2012/07/10,39.81,True
2012/07/11,39.81,True
2012/07/12,42.31,True
2012/07/13,43.262,True
2012/07/16,42.99,True
2012/07/17,43.33,True
2012/07/18,44.88,True
2012/07/19,45.3,True
2012/07/20,43.96,True
2012/07/23,44.07,True
2012/07/24,42.835,True
2012/07/25,42.81,True
2012/07/26,43.465,True
2012/07/27,44.21,True
2012/07/30,43.81,True
2012/07/31,43.12,True
2012/08/01,42.22,True
2012/08/02,42.47,True
2012/08/03,43.09,True
