date,PRC,is_prediction
2012/01/03,16.82,True
2012/01/04,17.03,True
2012/01/05,17.33,True
2012/01/06,17.65,True
2012/01/09,17.78,True
2012/01/10,18.02,True
2012/01/11,17.98,True
2012/01/12,18.29,True
2012/01/13,18.22,True
2012/01/17,17.92,True
2012/01/18,17.81,True
2012/01/19,18.1,True
2012/01/20,17.89,True
2012/01/23,17.78,True
2012/01/24,17.86,True
2012/01/25,17.9,True
2012/01/26,17.91,True
2012/01/27,17.95,True
2012/01/30,18.32,True
2012/01/31,18.57,True
2012/02/01,18.89,True
2012/02/02,19.25,True
2012/02/03,19.55,True
2012/02/06,18.84,True
2012/02/07,18.65,True
2012/02/08,19.11,True
2012/02/09,19.22,True
2012/02/10,19.34,True
2012/02/13,19.52,True
2012/02/14,19.72,True
2012/02/15,19.49,True
2012/02/16,19.52,True
2012/02/17,19.32,True
2012/02/21,19.46,True
2012/02/22,19.24,True
2012/02/23,19.75,True
2012/02/24,19.41,True
2012/02/27,19.45,True
2012/02/28,19.24,True
2012/02/29,19.34,True
2012/03/01,19.37,True
2012/03/02,19.15,True
2012/03/05,19.25,True
2012/03/06,19.02,True
2012/03/07,19.5,True
2012/03/08,20.13,True
2012/03/09,20.95,True
2012/03/12,21.02,True
2012/03/13,21.57,True
2012/03/14,21.23,True
2012/03/15,21.3,True
2012/03/16,21.41,True
2012/03/19,21.45,True
2012/03/20,21.16,True
2012/03/21,21.12,True
2012/03/22,21.29,True
2012/03/23,21.33,True
2012/03/26,21.61,True
2012/03/27,21.65,True
2012/03/28,22.25,True
2012/03/29,22.2,True
2012/03/30,22.07,True
2012/04/02,21.71,True
2012/04/03,21.61,True
2012/04/04,21.34,True
2012/04/05,21.38,True
2012/04/09,21.0,True
2012/04/10,20.21,True
2012/04/11,20.54,True
2012/04/12,20.99,True
2012/04/13,20.69,True
2012/04/16,20.72,True
2012/04/17,20.7,True
2012/04/18,20.67,True
2012/04/19,20.42,True
2012/04/20,20.7,True
2012/04/23,20.39,True
2012/04/24,20.45,True
2012/04/25,20.72,True
2012/04/26,20.64,True
2012/04/27,22.53,True
2012/04/30,22.74,True
2012/05/01,23.44,True
2012/05/02,23.87,True
2012/05/03,23.38,True
2012/05/04,23.37,True
2012/05/07,23.4,True
2012/05/08,23.13,True
2012/05/09,22.95,True
2012/05/10,23.18,True
2012/05/11,24.04,True
2012/05/14,23.74,True
2012/05/15,23.62,True
2012/05/16,23.55,True
2012/05/17,22.5,True
2012/05/18,21.78,True
2012/05/21,22.11,True
2012/05/22,22.05,True
2012/05/23,22.0,True
2012/05/24,22.36,True
2012/05/25,22.6,True
2012/05/29,23.1,True
2012/05/30,22.84,True
2012/05/31,22.62,True
2012/06/01,21.13,True
2012/06/04,20.58,True
2012/06/05,20.62,True
2012/06/06,21.31,True
2012/06/07,21.7,True
2012/06/08,22.34,True
2012/06/11,21.8,True
2012/06/12,22.02,True
2012/06/13,21.41,True
2012/06/14,21.59,True
2012/06/15,21.97,True
2012/06/18,22.88,True
2012/06/19,23.21,True
2012/06/20,22.77,True
2012/06/21,20.55,True
2012/06/22,20.47,True
2012/06/25,20.15,True
2012/06/26,20.65,True
2012/06/27,21.16,True
2012/06/28,21.78,True
2012/06/29,22.27,True
2012/07/02,23.37,True
2012/07/03,23.43,True
2012/07/05,23.6,True
2012/07/06,22.97,True
2012/07/09,22.61,True
2012/07/10,21.59,True
2012/07/11,21.81,True
2012/07/12,21.81,True
2012/07/13,22.1,True
2012/07/16,21.51,True
