date,PRC,is_prediction
2012/01/03,85.17,True
2012/01/04,84.96,True
2012/01/05,84.09,True
2012/01/06,85.49,True
2012/01/09,85.85,True
2012/01/10,88.51,True
2012/01/11,89.76,True
2012/01/12,91.19,True
2012/01/13,90.37,True
2012/01/17,89.98,True
2012/01/18,91.14,True
2012/01/19,93.04,True
2012/01/20,91.57,True
2012/01/23,91.06,True
2012/01/24,90.79,True
2012/01/25,92.59,True
2012/01/26,92.74,True
2012/01/27,92.95,True
2012/01/30,92.16,True
2012/01/31,91.49,True
2012/02/01,92.7,True
2012/02/02,92.79,True
2012/02/03,94.54,True
2012/02/06,95.25,True
2012/02/07,94.72,True
2012/02/08,94.48,True
2012/02/09,94.8,True
2012/02/10,95.27,True
2012/02/13,96.98,True
2012/02/14,95.55,True
2012/02/15,94.15,True
2012/02/16,95.0,True
2012/02/17,92.99,True
2012/02/21,91.01,True
2012/02/22,90.75,True
2012/02/23,91.97,True
2012/02/24,90.24,True
2012/02/27,91.36,True
2012/02/28,90.98,True
2012/02/29,89.99,True
2012/03/01,91.12,True
2012/03/02,90.78,True
2012/03/05,90.43,True
2012/03/06,88.75,True
2012/03/07,89.76,True
2012/03/08,90.99,True
2012/03/09,91.79,True
2012/03/12,91.33,True
2012/03/13,92.88,True
2012/03/14,92.2,True
2012/03/15,94.61,True
2012/03/16,94.34,True
2012/03/19,94.89,True
2012/03/20,94.64,True
2012/03/21,95.82,True
2012/03/22,92.5,True
2012/03/23,92.38,True
2012/03/26,92.77,True
2012/03/27,91.9,True
2012/03/28,91.49,True
2012/03/29,91.74,True
2012/03/30,91.96,True
2012/04/02,92.19,True
2012/04/03,91.49,True
2012/04/04,90.64,True
2012/04/05,90.39,True
2012/04/09,88.47,True
2012/04/10,86.63,True
2012/04/11,87.91,True
2012/04/12,89.84,True
2012/04/13,88.03,True
2012/04/16,88.18,True
2012/04/17,90.46,True
2012/04/18,90.39,True
2012/04/19,89.39,True
2012/04/20,89.67,True
2012/04/23,88.11,True
2012/04/24,88.94,True
2012/04/25,88.22,True
2012/04/26,87.55,True
2012/04/27,88.24,True
2012/04/30,88.24,True
2012/05/01,89.04,True
2012/05/02,89.35,True
2012/05/03,88.86,True
2012/05/04,89.3,True
2012/05/07,89.37,True
2012/05/08,88.96,True
2012/05/09,87.13,True
2012/05/10,86.65,True
2012/05/11,87.8,True
2012/05/14,87.78,True
2012/05/15,87.81,True
2012/05/16,87.89,True
2012/05/17,86.77,True
2012/05/18,85.07,True
2012/05/21,86.7,True
2012/05/22,86.85,True
2012/05/23,88.74,True
2012/05/24,90.02,True
2012/05/25,89.28,True
2012/05/29,90.98,True
2012/05/30,88.93,True
2012/05/31,89.14,True
2012/06/01,85.25,True
2012/06/04,85.2,True
2012/06/05,84.34,True
2012/06/06,86.83,True
2012/06/07,86.1,True
2012/06/08,87.57,True
2012/06/11,86.28,True
2012/06/12,87.69,True
2012/06/13,86.19,True
2012/06/14,86.84,True
2012/06/15,87.63,True
2012/06/18,88.51,True
2012/06/19,91.01,True
2012/06/20,91.34,True
2012/06/21,90.63,True
2012/06/22,90.54,True
2012/06/25,88.81,True
2012/06/26,87.55,True
2012/06/27,87.9,True
2012/06/28,88.79,True
2012/06/29,91.61,True
2012/07/02,91.54,True
2012/07/03,92.6,True
2012/07/05,92.11,True
2012/07/06,91.28,True
2012/07/09,91.13,True
2012/07/10,90.48,True
2012/07/11,90.61,True
2012/07/12,89.5,True
2012/07/13,92.35,True
2012/07/16,91.92,True
2012/07/17,91.25,True
2012/07/18,92.72,True
2012/07/19,92.79,True
2012/07/20,90.08,True
2012/07/23,89.26,True
2012/07/24,87.67,True
2012/07/25,87.23,True
2012/07/26,88.55,True
2012/07/27,90.89,True
2012/07/30,90.99,True
2012/07/31,90.3,True
2012/08/01,88.85,True
2012/08/02,87.92,True
2012/08/03,89.82,True
2012/08/06,90.12,True
2012/08/07,89.82,True
2012/08/08,89.31,True
2012/08/09,88.66,True
2012/08/10,87.8,True
2012/08/13,87.77,True
2012/08/14,87.58,True
2012/08/15,89.55,True
2012/08/16,89.74,True
2012/08/17,90.0,True
2012/08/20,89.98,True
2012/08/21,90.31,True
2012/08/22,89.54,True
2012/08/23,88.86,True
2012/08/24,89.07,True
2012/08/27,88.0,True
2012/08/28,87.46,True
2012/08/29,87.63,True
2012/08/30,87.19,True
2012/08/31,87.63,True
2012/09/04,87.54,True
2012/09/05,85.8,True
2012/09/06,87.54,True
2012/09/07,87.38,True
2012/09/10,87.96,True
2012/09/11,88.7,True
2012/09/12,89.08,True
2012/09/13,90.36,True
2012/09/14,90.15,True
2012/09/17,89.28,True
2012/09/18,86.55,True
2012/09/19,86.9,True
2012/09/20,85.17,True
2012/09/21,84.39,True
2012/09/24,85.16,True
2012/09/25,84.54,True
2012/09/26,84.39,True
2012/09/27,85.77,True
2012/09/28,84.62,True
2012/10/01,85.02,True
2012/10/02,84.5,True
2012/10/03,85.62,True
2012/10/04,86.53,True
2012/10/05,86.47,True
2012/10/08,86.37,True
2012/10/09,85.58,True
2012/10/10,89.99,True
2012/10/11,90.0,True
2012/10/12,90.4,True
2012/10/15,90.65,True
2012/10/16,91.92,True
2012/10/17,92.95,True
2012/10/18,93.49,True
2012/10/19,92.11,True
2012/10/22,91.48,True
2012/10/23,91.79,True
2012/10/24,90.83,True
2012/10/25,91.12,True
2012/10/26,90.69,True
2012/10/31,91.99,True
2012/11/01,93.01,True
2012/11/02,92.64,True
2012/11/05,92.84,True
