date,PRC,is_prediction
2012/01/03,26.69,True
2012/01/04,26.7,True
2012/01/05,26.9,True
2012/01/06,26.43,True
2012/01/09,26.99,True
2012/01/10,27.17,True
2012/01/11,27.23,True
2012/01/12,27.1,True
2012/01/13,26.94,True
2012/01/17,27.03,True
2012/01/18,27.39,True
2012/01/19,27.6,True
2012/01/20,27.84,True
2012/01/23,27.96,True
2012/01/24,28.05,True
2012/01/25,28.33,True
2012/01/26,28.41,True
2012/01/27,28.55,True
2012/01/30,28.56,True
2012/01/31,28.56,True
2012/02/01,28.7,True
2012/02/02,28.75,True
2012/02/03,29.4,True
2012/02/06,29.26,True
2012/02/07,28.9,True
2012/02/08,28.82,True
2012/02/09,28.77,True
2012/02/10,28.65,True
2012/02/13,29.0,True
2012/02/14,31.04,True
2012/02/15,31.44,True
2012/02/16,31.16,True
2012/02/17,30.7,True
2012/02/21,30.77,True
2012/02/22,30.73,True
2012/02/23,31.11,True
2012/02/24,31.07,True
2012/02/27,31.22,True
2012/02/28,31.48,True
2012/02/29,31.73,True
2012/03/01,31.93,True
2012/03/02,31.19,True
2012/03/05,31.44,True
2012/03/06,31.08,True
2012/03/07,31.42,True
2012/03/08,31.7,True
2012/03/09,31.68,True
2012/03/12,31.78,True
2012/03/13,32.07,True
2012/03/14,32.22,True
2012/03/15,32.83,True
2012/03/16,33.0,True
2012/03/19,32.88,True
2012/03/20,32.88,True
2012/03/21,32.88,True
2012/03/22,32.94,True
2012/03/23,32.96,True
2012/03/26,33.35,True
2012/03/27,33.15,True
2012/03/28,33.05,True
2012/03/29,33.05,True
2012/03/30,33.12,True
2012/04/02,33.57,True
2012/04/03,33.23,True
2012/04/04,32.54,True
2012/04/05,32.58,True
2012/04/09,32.21,True
2012/04/10,32.22,True
2012/04/11,32.78,True
2012/04/12,32.89,True
2012/04/13,32.48,True
2012/04/16,32.85,True
2012/04/17,33.3,True
2012/04/18,33.41,True
2012/04/19,33.1,True
2012/04/20,33.07,True
2012/04/23,32.87,True
2012/04/24,32.63,True
2012/04/25,33.07,True
2012/04/26,33.63,True
2012/04/27,33.89,True
2012/04/30,33.67,True
2012/05/01,34.03,True
2012/05/02,33.86,True
2012/05/03,33.33,True
2012/05/04,32.93,True
2012/05/07,32.65,True
2012/05/08,32.24,True
2012/05/09,32.24,True
2012/05/10,32.56,True
2012/05/11,32.74,True
2012/05/14,32.49,True
2012/05/15,32.45,True
2012/05/16,32.52,True
2012/05/17,32.03,True
2012/05/18,31.37,True
2012/05/21,31.92,True
2012/05/22,32.61,True
2012/05/23,32.84,True
2012/05/24,32.96,True
2012/05/25,32.82,True
2012/05/29,33.34,True
2012/05/30,32.95,True
2012/05/31,32.78,True
2012/06/01,31.37,True
2012/06/04,31.24,True
2012/06/05,31.7,True
2012/06/06,32.14,True
2012/06/07,32.11,True
2012/06/08,32.39,True
2012/06/11,31.95,True
2012/06/12,32.1,True
2012/06/13,32.39,True
2012/06/14,32.59,True
2012/06/15,33.02,True
2012/06/18,33.24,True
2012/06/19,33.42,True
2012/06/20,33.87,True
2012/06/21,32.99,True
2012/06/22,33.28,True
2012/06/25,32.49,True
2012/06/26,32.74,True
2012/06/27,33.71,True
2012/06/28,33.46,True
2012/06/29,34.08,True
2012/07/02,34.46,True
2012/07/03,34.8,True
2012/07/05,34.47,True
2012/07/06,34.29,True
2012/07/09,34.37,True
2012/07/10,33.89,True
2012/07/11,34.12,True
2012/07/12,33.93,True
2012/07/13,34.32,True
2012/07/16,34.3,True
2012/07/17,34.23,True
2012/07/18,33.13,True
2012/07/19,32.6,True
2012/07/20,32.13,True
2012/07/23,32.0,True
2012/07/24,32.01,True
2012/07/25,31.67,True
2012/07/26,31.7,True
2012/07/27,32.32,True
2012/07/30,31.65,True
2012/07/31,31.44,True
2012/08/01,30.71,True
2012/08/02,30.86,True
2012/08/03,31.47,True
2012/08/06,31.13,True
2012/08/07,31.04,True
2012/08/08,31.0,True
2012/08/09,31.04,True
2012/08/10,31.06,True
2012/08/13,30.99,True
2012/08/14,31.13,True
2012/08/15,30.88,True
2012/08/16,30.9,True
2012/08/17,31.17,True
2012/08/20,32.0,True
2012/08/21,31.98,True
2012/08/22,31.68,True
2012/08/23,31.72,True
2012/08/24,31.96,True
2012/08/27,31.92,True
2012/08/28,31.67,True
2012/08/29,31.72,True
2012/08/30,31.48,True
2012/08/31,31.5,True
2012/09/04,31.58,True
2012/09/05,31.89,True
2012/09/06,32.64,True
2012/09/07,32.68,True
2012/09/10,32.46,True
2012/09/11,31.96,True
2012/09/12,31.51,True
2012/09/13,31.92,True
2012/09/14,31.7,True
2012/09/17,32.22,True
2012/09/18,32.44,True
2012/09/19,32.34,True
2012/09/20,32.56,True
2012/09/21,32.64,True
2012/09/24,32.46,True
2012/09/25,32.26,True
2012/09/26,31.81,True
2012/09/27,31.68,True
2012/09/28,31.22,True
2012/10/01,30.89,True
2012/10/02,30.98,True
2012/10/03,31.0,True
2012/10/04,31.14,True
2012/10/05,31.5,True
2012/10/08,31.35,True
2012/10/09,30.99,True
2012/10/10,31.14,True
2012/10/11,31.47,True
2012/10/12,31.88,True
2012/10/15,32.35,True
2012/10/16,32.53,True
2012/10/17,32.62,True
2012/10/18,32.5,True
2012/10/19,32.41,True
2012/10/22,32.62,True
2012/10/23,32.58,True
2012/10/24,32.73,True
2012/10/25,32.54,True
2012/10/26,32.62,True
2012/10/31,32.87,True
2012/11/01,33.14,True
2012/11/02,33.52,True
2012/11/05,33.28,True
2012/11/06,34.73,True
2012/11/07,34.55,True
2012/11/08,34.33,True
2012/11/09,34.52,True
2012/11/12,34.89,True
2012/11/13,34.94,True
2012/11/14,34.38,True
2012/11/15,34.33,True
2012/11/16,35.0,True
2012/11/19,35.16,True
2012/11/20,35.52,True
2012/11/21,35.59,True
2012/11/23,35.78,True
2012/11/26,35.82,True
2012/11/27,35.69,True
2012/11/28,36.1,True
2012/11/29,36.12,True
2012/11/30,36.1,True
2012/12/03,35.81,True
2012/12/04,36.22,True
2012/12/05,36.7,True
2012/12/06,36.97,True
2012/12/07,36.16,True
2012/12/10,36.44,True
2012/12/11,36.36,True
2012/12/12,36.11,True
2012/12/13,35.54,True
2012/12/14,35.48,True
2012/12/17,35.0,True
2012/12/18,35.17,True
2012/12/19,35.07,True
2012/12/20,35.46,True
2012/12/21,34.89,True
2012/12/24,34.95,True
2012/12/26,34.35,True
2012/12/27,34.58,True
2012/12/28,34.26,True
2012/12/31,34.81,True
2013/01/01,34.91702952584701,False
2013/01/02,34.99684738448055,False
2013/01/03,35.004354041453006,False
2013/01/04,34.99066236626798,False
2013/01/07,35.02974284077836,False
2013/01/08,35.00779703903859,False
2013/01/09,35.05877321843904,False
2013/01/10,35.09301991408145,False
2013/01/11,35.13941745572686,False
2013/01/14,35.17325472005677,False
2013/01/15,35.20525497374515,False
2013/01/16,35.23990106784298,False
2013/01/17,35.26870027832493,False
2013/01/18,35.301496750266715,False
2013/01/21,35.33301479311314,False
2013/01/22,35.36682911057724,False
2013/01/23,35.39977234916922,False
2013/01/24,35.432731822858024,False
2013/01/25,35.46579912827197,False
2013/01/28,35.49845985621689,False
2013/01/29,35.531285659778305,False
2013/01/30,35.56390605004897,False
2013/01/31,35.5967373110138,False
2013/02/01,35.62951978455827,False
2013/02/04,35.662333846409396,False
2013/02/05,35.69515196256816,False
2013/02/06,35.72795254613169,False
2013/02/07,35.76076310609421,False
2013/02/08,35.793549887250116,False
2013/02/11,35.82634941226061,False
2013/02/12,35.85914385222433,False
2013/02/13,35.891942957200115,False
2013/02/14,35.92474193281827,False
2013/02/15,35.957540864410305,False
2013/02/18,35.990340970063784,False
2013/02/19,36.02313928945903,False
2013/02/20,36.05593827138721,False
2013/02/21,36.08873655071658,False
2013/02/22,36.12153524978221,False
2013/02/25,36.15433383841143,False
2013/02/26,36.18713249052884,False
2013/02/27,36.21993126329398,False
2013/02/28,36.25272995182445,False
2013/03/01,36.285528689598166,False
2013/03/04,36.31832733347915,False
2013/03/05,36.35112604077109,False
2013/03/06,36.383924719407524,False
2013/03/07,36.41672335898077,False
2013/03/08,36.44952203696997,False
2013/03/11,36.482320715665246,False
