date,PRC,is_prediction
2012/01/03,23.99,True
2012/01/04,24.12,True
2012/01/05,24.74,True
2012/01/06,24.96,True
2012/01/09,25.03,True
2012/01/10,24.99,True
2012/01/11,24.65,True
2012/01/12,24.78,True
2012/01/13,24.71,True
2012/01/17,24.69,True
2012/01/18,25.16,True
2012/01/19,25.73,True
2012/01/20,25.99,True
2012/01/23,26.03,True
2012/01/24,26.08,True
2012/01/25,26.67,True
2012/01/26,26.28,True
2012/01/27,26.44,True
2012/01/30,26.39,True
2012/01/31,26.24,True
2012/02/01,26.65,True
2012/02/02,26.53,True
2012/02/03,27.0,True
2012/02/06,27.1,True
2012/02/07,26.77,True
2012/02/08,26.7,True
2012/02/09,26.68,True
2012/02/10,26.93,True
2012/02/13,27.07,True
2012/02/14,27.68,True
2012/02/15,27.81,True
2012/02/16,28.17,True
2012/02/17,28.2,True
2012/02/21,28.05,True
2012/02/22,28.36,True
2012/02/23,28.72,True
2012/02/24,28.52,True
2012/02/27,28.89,True
2012/02/28,29.01,True
2012/02/29,29.17,True
2012/03/01,29.52,True
2012/03/02,28.97,True
2012/03/05,29.41,True
2012/03/06,29.62,True
2012/03/07,29.93,True
2012/03/08,30.12,True
2012/03/09,30.26,True
2012/03/12,29.91,True
2012/03/13,30.29,True
2012/03/14,30.27,True
2012/03/15,30.35,True
2012/03/16,29.73,True
2012/03/19,30.07,True
2012/03/20,30.41,True
2012/03/21,30.92,True
2012/03/22,31.19,True
2012/03/23,30.98,True
2012/03/26,32.11,True
2012/03/27,31.61,True
2012/03/28,31.53,True
2012/03/29,31.56,True
2012/03/30,31.05,True
2012/04/02,31.12,True
2012/04/03,31.68,True
2012/04/04,31.18,True
2012/04/05,31.4,True
2012/04/09,31.22,True
2012/04/10,30.14,True
2012/04/11,30.01,True
2012/04/12,30.52,True
2012/04/13,30.6,True
2012/04/16,30.71,True
2012/04/17,31.21,True
2012/04/18,31.55,True
2012/04/19,30.99,True
2012/04/20,31.0,True
2012/04/23,30.36,True
2012/04/24,29.91,True
2012/04/25,30.53,True
2012/04/26,30.89,True
2012/04/27,30.91,True
2012/04/30,30.59,True
2012/05/01,30.84,True
2012/05/02,31.82,True
2012/05/03,31.58,True
2012/05/04,30.69,True
2012/05/07,29.98,True
2012/05/08,29.13,True
2012/05/09,28.96,True
2012/05/10,29.34,True
2012/05/11,29.15,True
2012/05/14,28.94,True
2012/05/15,28.82,True
2012/05/16,28.93,True
2012/05/17,28.01,True
2012/05/18,30.33,True
2012/05/21,30.42,True
2012/05/22,31.03,True
2012/05/23,31.55,True
2012/05/24,32.31,True
2012/05/25,32.42,True
2012/05/29,32.77,True
2012/05/30,32.04,True
2012/05/31,31.74,True
2012/06/01,30.37,True
2012/06/04,29.97,True
2012/06/05,30.39,True
2012/06/06,31.16,True
2012/06/07,30.56,True
2012/06/08,31.19,True
2012/06/11,30.47,True
2012/06/12,30.91,True
2012/06/13,29.75,True
2012/06/14,29.75,True
2012/06/15,29.83,True
2012/06/18,29.86,True
2012/06/19,29.74,True
2012/06/20,29.83,True
2012/06/21,29.39,True
2012/06/22,29.17,True
2012/06/25,28.57,True
2012/06/26,29.25,True
2012/06/27,29.29,True
2012/06/28,28.87,True
2012/06/29,30.58,True
2012/07/02,30.74,True
2012/07/03,31.0,True
2012/07/05,31.7,True
2012/07/06,31.31,True
2012/07/09,31.24,True
2012/07/10,31.61,True
2012/07/11,31.81,True
2012/07/12,32.22,True
2012/07/13,33.05,True
2012/07/16,32.83,True
2012/07/17,32.95,True
2012/07/18,33.45,True
2012/07/19,33.76,True
2012/07/20,32.96,True
2012/07/23,32.63,True
2012/07/24,32.69,True
2012/07/25,32.35,True
2012/07/26,32.94,True
2012/07/27,33.64,True
2012/07/30,33.54,True
2012/07/31,33.02,True
2012/08/01,32.79,True
2012/08/02,32.92,True
2012/08/03,33.92,True
2012/08/06,33.74,True
2012/08/07,34.47,True
2012/08/08,34.62,True
2012/08/09,34.54,True
2012/08/10,34.12,True
2012/08/13,34.32,True
2012/08/14,34.27,True
2012/08/15,34.52,True
2012/08/16,34.49,True
2012/08/17,35.09,True
2012/08/20,34.27,True
2012/08/21,34.39,True
2012/08/22,34.52,True
2012/08/23,34.04,True
2012/08/24,34.02,True
2012/08/27,34.21,True
2012/08/28,34.38,True
2012/08/29,34.46,True
2012/08/30,34.49,True
2012/08/31,34.57,True
2012/09/04,35.46,True
2012/09/05,35.31,True
2012/09/06,36.33,True
2012/09/07,36.45,True
2012/09/10,36.83,True
2012/09/11,36.5,True
2012/09/12,36.92,True
2012/09/13,37.1,True
2012/09/14,36.87,True
2012/09/17,36.76,True
2012/09/18,36.05,True
