date,PRC,is_prediction
2012/01/03,101.93,True
2012/01/04,104.62,True
2012/01/05,103.26,True
2012/01/06,102.49,True
2012/01/09,103.67,True
2012/01/10,105.27,True
2012/01/11,104.83,True
2012/01/12,105.4,True
2012/01/13,105.6,True
2012/01/17,105.79,True
2012/01/18,106.77,True
2012/01/19,108.29,True
2012/01/20,107.18,True
2012/01/23,107.21,True
2012/01/24,107.71,True
2012/01/25,108.76,True
2012/01/26,108.72,True
2012/01/27,109.12,True
2012/01/30,108.75,True
2012/01/31,110.17,True
2012/02/01,112.52,True
2012/02/02,111.97,True
2012/02/03,114.43,True
2012/02/06,114.95,True
2012/02/07,114.61,True
2012/02/08,114.0,True
2012/02/09,115.36,True
2012/02/10,115.35,True
2012/02/13,117.42,True
2012/02/14,117.16,True
2012/02/15,116.58,True
2012/02/16,117.89,True
2012/02/17,118.56,True
2012/02/21,117.86,True
2012/02/22,117.79,True
2012/02/23,120.49,True
2012/02/24,119.29,True
2012/02/27,119.63,True
2012/02/28,119.01,True
2012/02/29,118.57,True
2012/03/01,118.22,True
2012/03/02,116.5,True
2012/03/05,116.45,True
2012/03/06,112.31,True
2012/03/07,112.74,True
2012/03/08,114.68,True
2012/03/09,116.53,True
2012/03/12,115.15,True
2012/03/13,117.32,True
2012/03/14,116.83,True
2012/03/15,118.03,True
2012/03/16,117.17,True
2012/03/19,117.56,True
2012/03/20,115.19,True
2012/03/21,114.34,True
2012/03/22,111.14,True
2012/03/23,113.45,True
2012/03/26,115.67,True
2012/03/27,116.75,True
2012/03/28,115.3,True
2012/03/29,115.05,True
2012/03/30,115.51,True
2012/04/02,117.63,True
2012/04/03,117.19,True
2012/04/04,115.45,True
2012/04/05,115.75,True
2012/04/09,112.79,True
2012/04/10,109.24,True
2012/04/11,110.07,True
2012/04/12,112.56,True
2012/04/13,111.26,True
2012/04/16,111.98,True
2012/04/17,114.2,True
2012/04/18,113.46,True
2012/04/19,111.13,True
2012/04/20,111.52,True
2012/04/23,109.44,True
2012/04/24,111.98,True
2012/04/25,112.69,True
2012/04/26,114.14,True
2012/04/27,115.88,True
2012/04/30,114.93,True
2012/05/01,113.49,True
2012/05/02,117.57,True
2012/05/03,116.99,True
2012/05/04,112.32,True
2012/05/07,111.3,True
2012/05/08,111.07,True
2012/05/09,111.01,True
2012/05/10,111.52,True
2012/05/11,112.95,True
2012/05/14,111.06,True
2012/05/15,108.83,True
2012/05/16,107.33,True
2012/05/17,102.75,True
2012/05/18,101.59,True
2012/05/21,105.93,True
2012/05/22,107.17,True
2012/05/23,107.99,True
2012/05/24,108.0,True
2012/05/25,105.93,True
2012/05/29,108.33,True
2012/05/30,106.03,True
2012/05/31,102.78,True
2012/06/01,100.44,True
2012/06/04,100.16,True
2012/06/05,102.47,True
2012/06/06,105.59,True
2012/06/07,104.78,True
2012/06/08,105.11,True
2012/06/11,103.8,True
2012/06/12,105.11,True
2012/06/13,104.57,True
2012/06/14,106.16,True
2012/06/15,108.45,True
2012/06/18,108.58,True
2012/06/19,110.04,True
2012/06/20,110.64,True
2012/06/21,107.98,True
2012/06/22,107.53,True
2012/06/25,106.63,True
2012/06/26,108.61,True
2012/06/27,111.18,True
2012/06/28,112.2,True
2012/06/29,114.75,True
2012/07/02,115.29,True
2012/07/03,117.3,True
2012/07/05,117.15,True
2012/07/06,116.26,True
2012/07/09,116.46,True
2012/07/10,112.55,True
2012/07/11,109.05,True
2012/07/12,108.55,True
2012/07/13,110.71,True
2012/07/16,109.95,True
2012/07/17,110.99,True
2012/07/18,113.56,True
2012/07/19,113.74,True
2012/07/20,112.47,True
2012/07/23,111.37,True
2012/07/24,109.95,True
2012/07/25,110.7,True
2012/07/26,112.19,True
2012/07/27,116.11,True
2012/07/30,115.8,True
2012/07/31,119.98,True
2012/08/01,118.78,True
2012/08/02,118.66,True
2012/08/03,123.95,True
2012/08/06,125.22,True
2012/08/07,126.95,True
2012/08/08,127.71,True
2012/08/09,127.76,True
2012/08/10,128.03,True
2012/08/13,127.99,True
2012/08/14,127.27,True
2012/08/15,127.22,True
2012/08/16,129.53999,True
2012/08/17,128.58,True
2012/08/20,128.21001,True
2012/08/21,127.07,True
2012/08/22,127.97,True
2012/08/23,127.9,True
2012/08/24,127.77,True
2012/08/27,128.33,True
2012/08/28,127.58,True
2012/08/29,127.74,True
2012/08/30,125.99,True
2012/08/31,127.66,True
2012/09/04,127.42,True
2012/09/05,126.82,True
2012/09/06,129.41,True
2012/09/07,131.28999,True
2012/09/10,130.60001,True
2012/09/11,132.14999,True
2012/09/12,132.53,True
2012/09/13,132.03,True
2012/09/14,134.81,True
2012/09/17,133.31,True
2012/09/18,131.88,True
2012/09/19,132.75,True
2012/09/20,132.53,True
2012/09/21,132.02,True
2012/09/24,130.91,True
2012/09/25,128.64,True
2012/09/26,126.89,True
2012/09/27,127.57,True
2012/09/28,127.74,True
2012/10/01,127.84,True
2012/10/02,128.05,True
2012/10/03,128.42,True
2012/10/04,129.85001,True
2012/10/05,130.39,True
2012/10/08,129.82001,True
2012/10/09,128.78,True
2012/10/10,128.75999,True
2012/10/11,128.74001,True
2012/10/12,128.31,True
2012/10/15,128.56,True
2012/10/16,129.97,True
2012/10/17,132.78999,True
2012/10/18,134.66,True
2012/10/19,132.84,True
2012/10/22,132.03,True
2012/10/23,130.13,True
2012/10/24,130.27,True
2012/10/25,131.14,True
2012/10/26,130.92999,True
2012/10/31,135.49001,True
2012/11/01,136.83,True
2012/11/02,136.89999,True
2012/11/05,139.84,True
2012/11/06,140.89,True
2012/11/07,137.60001,True
2012/11/08,135.94,True
2012/11/09,135.27,True
2012/11/12,135.57001,True
2012/11/13,136.55,True
2012/11/14,133.35001,True
2012/11/15,132.46001,True
2012/11/16,134.75999,True
2012/11/19,138.23,True
2012/11/20,139.34,True
2012/11/21,138.16,True
2012/11/23,139.45,True
2012/11/26,139.2,True
2012/11/27,138.75999,True
2012/11/28,139.32001,True
2012/11/29,139.63,True
2012/11/30,138.55,True
2012/12/03,138.60001,True
2012/12/04,140.89999,True
2012/12/05,141.21001,True
2012/12/06,141.39,True
2012/12/07,141.89999,True
2012/12/10,142.89999,True
2012/12/11,142.92,True
