date,PRC,is_prediction
2012/01/03,87.54,True
2012/01/04,87.37,True
2012/01/05,86.95,True
2012/01/06,87.97,True
2012/01/09,87.97,True
2012/01/10,89.05,True
2012/01/11,89.43,True
2012/01/12,90.49,True
2012/01/13,90.13,True
2012/01/17,90.23,True
2012/01/18,91.06,True
2012/01/19,91.8,True
2012/01/20,91.53,True
2012/01/23,91.35,True
2012/01/24,91.8,True
2012/01/25,92.74,True
2012/01/26,91.5,True
2012/01/27,92.96,True
2012/01/30,92.85,True
2012/01/31,92.68,True
2012/02/01,93.2,True
2012/02/02,93.28,True
2012/02/03,95.0,True
2012/02/06,93.78,True
2012/02/07,93.05,True
2012/02/08,95.1,True
2012/02/09,92.8,True
2012/02/10,91.18,True
2012/02/13,93.74,True
2012/02/14,92.5,True
2012/02/15,94.04,True
2012/02/16,95.19,True
2012/02/17,96.62,True
2012/02/21,98.51,True
2012/02/22,98.62,True
2012/02/23,98.57,True
2012/02/24,98.56,True
2012/02/27,99.22,True
2012/02/28,99.99,True
2012/02/29,98.97,True
2012/03/01,100.23,True
2012/03/02,100.0,True
2012/03/05,99.76,True
2012/03/06,96.75,True
2012/03/07,96.87,True
2012/03/08,99.13,True
2012/03/09,99.12,True
2012/03/12,98.31,True
2012/03/13,100.01,True
2012/03/14,99.35,True
2012/03/15,100.0,True
2012/03/16,99.9,True
2012/03/19,100.22,True
2012/03/20,99.2,True
2012/03/21,99.43,True
2012/03/22,97.45,True
2012/03/23,99.46,True
2012/03/26,101.13,True
2012/03/27,105.69,True
2012/03/28,104.06,True
2012/03/29,105.41,True
2012/03/30,105.86,True
2012/04/02,107.73,True
2012/04/03,107.7,True
2012/04/04,106.47,True
2012/04/05,106.31,True
2012/04/09,104.66,True
2012/04/10,102.36,True
2012/04/11,102.45,True
2012/04/12,105.07,True
2012/04/13,104.78,True
2012/04/16,105.3,True
2012/04/17,107.94,True
2012/04/18,107.21,True
2012/04/19,106.69,True
2012/04/20,107.14,True
2012/04/23,105.4,True
2012/04/24,104.72,True
2012/04/25,108.8,True
2012/04/26,110.19,True
2012/04/27,112.05,True
2012/04/30,110.45,True
2012/05/01,109.51,True
2012/05/02,108.68,True
2012/05/03,107.74,True
2012/05/04,106.07,True
2012/05/07,105.95,True
2012/05/08,105.65,True
2012/05/09,105.34,True
2012/05/10,105.62,True
2012/05/11,105.99,True
2012/05/14,103.99,True
2012/05/15,103.34,True
2012/05/16,100.63,True
2012/05/17,97.28,True
2012/05/18,96.24,True
2012/05/21,100.23,True
2012/05/22,100.89,True
2012/05/23,102.4,True
