date,PRC,is_prediction
2012/01/03,52.34,True
2012/01/04,52.14,True
2012/01/05,51.72,True
2012/01/06,51.57,True
2012/01/09,51.94,True
2012/01/10,52.63,True
2012/01/11,51.98,True
2012/01/12,52.89,True
2012/01/13,51.37,True
2012/01/17,51.14,True
2012/01/18,52.52,True
2012/01/19,53.7,True
2012/01/20,52.66,True
2012/01/23,52.16,True
2012/01/24,52.22,True
2012/01/25,53.92,True
2012/01/26,53.14,True
2012/01/27,52.78,True
2012/01/30,51.98,True
2012/01/31,51.11,True
2012/02/01,52.5,True
2012/02/02,52.71,True
2012/02/03,53.41,True
2012/02/06,54.32,True
2012/02/07,54.23,True
2012/02/08,54.08,True
2012/02/09,53.15,True
2012/02/10,54.01,True
2012/02/13,54.36,True
2012/02/14,53.77,True
2012/02/15,51.02,True
2012/02/16,51.35,True
2012/02/17,51.38,True
2012/02/21,51.14,True
2012/02/22,51.75,True
2012/02/23,52.1,True
2012/02/24,52.27,True
2012/02/27,51.42,True
2012/02/28,51.31,True
2012/02/29,50.43,True
2012/03/01,51.19,True
2012/03/02,50.62,True
2012/03/05,50.82,True
2012/03/06,50.26,True
2012/03/07,50.77,True
2012/03/08,51.51,True
2012/03/09,51.84,True
2012/03/12,50.79,True
2012/03/13,51.78,True
2012/03/14,51.06,True
2012/03/15,51.7,True
2012/03/16,52.34,True
2012/03/19,52.1,True
2012/03/20,51.02,True
2012/03/21,49.65,True
2012/03/22,48.26,True
2012/03/23,48.45,True
2012/03/26,49.59,True
2012/03/27,49.05,True
2012/03/28,48.45,True
2012/03/29,49.77,True
2012/03/30,50.42,True
2012/04/02,50.52,True
2012/04/03,50.54,True
2012/04/04,49.31,True
2012/04/05,48.75,True
2012/04/09,48.07,True
2012/04/10,46.88,True
2012/04/11,47.49,True
2012/04/12,48.25,True
2012/04/13,47.12,True
2012/04/16,46.38,True
2012/04/17,47.26,True
2012/04/18,47.84,True
2012/04/19,47.35,True
2012/04/20,47.4,True
2012/04/23,47.23,True
2012/04/24,47.62,True
2012/04/25,47.09,True
2012/04/26,46.92,True
2012/04/27,47.01,True
