date,PRC,is_prediction
2012/01/03,18.36,True
2012/01/04,18.56,True
2012/01/05,18.55,True
2012/01/06,18.65,True
2012/01/09,18.86,True
2012/01/10,18.72,True
2012/01/11,18.88,True
2012/01/12,18.93,True
2012/01/13,18.84,True
2012/01/17,18.74,True
2012/01/18,19.02,True
2012/01/19,19.15,True
2012/01/20,19.15,True
2012/01/23,18.94,True
2012/01/24,18.84,True
2012/01/25,19.13,True
2012/01/26,19.07,True
2012/01/27,19.03,True
2012/01/30,18.9,True
2012/01/31,18.71,True
2012/02/01,18.77,True
2012/02/02,18.75,True
2012/02/03,19.02,True
2012/02/06,19.05,True
2012/02/07,19.18,True
2012/02/08,19.24,True
2012/02/09,19.13,True
2012/02/10,18.875,True
2012/02/13,19.07,True
2012/02/14,18.94,True
2012/02/15,18.76,True
2012/02/16,19.01,True
2012/02/17,19.28,True
2012/02/21,19.41,True
2012/02/22,19.39,True
2012/02/23,19.31,True
2012/02/24,19.24,True
2012/02/27,19.07,True
2012/02/28,19.16,True
2012/02/29,19.05,True
2012/03/01,19.12,True
2012/03/02,18.97,True
2012/03/05,18.85,True
2012/03/06,18.42,True
2012/03/07,18.77,True
2012/03/08,19.03,True
2012/03/09,19.04,True
2012/03/12,19.13,True
2012/03/13,19.59,True
2012/03/14,19.79,True
2012/03/15,20.16,True
2012/03/16,20.2,True
2012/03/19,20.21,True
2012/03/20,20.07,True
2012/03/21,20.07,True
2012/03/22,19.85,True
2012/03/23,19.78,True
2012/03/26,20.05,True
2012/03/27,20.04,True
2012/03/28,20.01,True
2012/03/29,19.95,True
2012/03/30,20.07,True
2012/04/02,20.02,True
2012/04/03,19.96,True
2012/04/04,19.74,True
2012/04/05,19.49,True
2012/04/09,19.2,True
2012/04/10,18.74,True
2012/04/11,19.01,True
2012/04/12,19.3,True
2012/04/13,18.88,True
2012/04/16,18.9,True
2012/04/17,19.34,True
2012/04/18,19.1,True
2012/04/19,19.14,True
2012/04/20,19.36,True
2012/04/23,19.07,True
2012/04/24,19.54,True
2012/04/25,19.45,True
2012/04/26,19.62,True
2012/04/27,19.78,True
2012/04/30,19.58,True
2012/05/01,19.8,True
2012/05/02,19.77,True
2012/05/03,19.61,True
2012/05/04,19.34,True
2012/05/07,19.32,True
2012/05/08,19.25,True
2012/05/09,18.91,True
2012/05/10,19.09,True
2012/05/11,19.01,True
2012/05/14,18.6,True
2012/05/15,18.4,True
2012/05/16,19.0,True
2012/05/17,18.88,True
2012/05/18,18.95,True
2012/05/21,19.12,True
2012/05/22,19.18,True
2012/05/23,19.18,True
2012/05/24,19.25,True
2012/05/25,19.2,True
2012/05/29,19.35,True
2012/05/30,19.04,True
2012/05/31,19.09,True
2012/06/01,18.54,True
2012/06/04,18.15,True
2012/06/05,18.24,True
2012/06/06,18.88,True
2012/06/07,19.0,True
2012/06/08,19.2,True
2012/06/11,19.11,True
2012/06/12,19.48,True
2012/06/13,19.37,True
2012/06/14,19.72,True
2012/06/15,20.0,True
2012/06/18,19.75,True
2012/06/19,20.0,True
2012/06/20,20.1,True
2012/06/21,19.53,True
2012/06/22,19.81,True
2012/06/25,19.52,True
2012/06/26,19.8,True
2012/06/27,20.13,True
2012/06/28,20.2,True
2012/06/29,20.84,True
2012/07/02,20.49,True
2012/07/03,20.43,True
2012/07/05,20.33,True
2012/07/06,20.0,True
2012/07/09,20.04,True
2012/07/10,19.62,True
2012/07/11,19.68,True
2012/07/12,19.44,True
2012/07/13,19.77,True
2012/07/16,19.59,True
2012/07/17,19.72,True
2012/07/18,19.84,True
2012/07/19,19.8,True
2012/07/20,19.87,True
2012/07/23,20.09,True
2012/07/24,19.97,True
2012/07/25,20.0,True
2012/07/26,20.56,True
2012/07/27,20.92,True
2012/07/30,20.8,True
2012/07/31,20.75,True
2012/08/01,20.73,True
2012/08/02,20.52,True
2012/08/03,20.96,True
2012/08/06,20.97,True
2012/08/07,21.12,True
2012/08/08,21.01,True
2012/08/09,21.06,True
2012/08/10,21.1,True
2012/08/13,20.99,True
2012/08/14,20.94,True
2012/08/15,20.96,True
2012/08/16,21.05,True
2012/08/17,21.0,True
2012/08/20,20.93,True
2012/08/21,20.85,True
2012/08/22,20.78,True
