date,PRC,is_prediction
2012/01/03,40.3,True
2012/01/04,40.54,True
2012/01/05,40.72,True
2012/01/06,40.07,True
2012/01/09,40.0,True
2012/01/10,40.33,True
2012/01/11,40.42,True
2012/01/12,40.64,True
2012/01/13,40.64,True
2012/01/17,40.77,True
2012/01/18,41.05,True
2012/01/19,40.95,True
2012/01/20,40.67,True
2012/01/23,40.63,True
2012/01/24,40.1,True
2012/01/25,40.62,True
2012/01/26,40.39,True
2012/01/27,40.03,True
2012/01/30,39.86,True
2012/01/31,39.83,True
2012/02/01,40.02,True
2012/02/02,39.93,True
2012/02/03,39.85,True
2012/02/06,39.67,True
2012/02/07,39.39,True
2012/02/08,39.02,True
2012/02/09,39.08,True
2012/02/10,39.09,True
2012/02/13,39.34,True
2012/02/14,39.8,True
2012/02/15,39.61,True
2012/02/16,39.78,True
2012/02/17,38.34,True
2012/02/21,38.23,True
2012/02/22,38.66,True
2012/02/23,38.63,True
2012/02/24,38.15,True
2012/02/27,38.04,True
2012/02/28,38.09,True
2012/02/29,38.31,True
2012/03/01,38.17,True
2012/03/02,38.19,True
2012/03/05,38.6,True
2012/03/06,38.36,True
2012/03/07,38.46,True
2012/03/08,38.47,True
2012/03/09,38.58,True
2012/03/12,38.51,True
2012/03/13,38.59,True
2012/03/14,38.5,True
2012/03/15,38.69,True
2012/03/16,38.83,True
2012/03/19,38.72,True
2012/03/20,38.76,True
2012/03/21,38.58,True
2012/03/22,38.61,True
2012/03/23,38.85,True
2012/03/26,39.24,True
2012/03/27,39.11,True
2012/03/28,39.15,True
2012/03/29,39.12,True
2012/03/30,39.45,True
2012/04/02,39.62,True
2012/04/03,39.64,True
2012/04/04,39.69,True
2012/04/05,39.0,True
2012/04/09,38.71,True
2012/04/10,38.51,True
2012/04/11,38.57,True
2012/04/12,38.76,True
2012/04/13,38.7,True
2012/04/16,38.74,True
2012/04/17,39.12,True
2012/04/18,39.11,True
2012/04/19,39.02,True
2012/04/20,38.94,True
2012/04/23,38.61,True
2012/04/24,38.64,True
2012/04/25,38.8,True
2012/04/26,38.9,True
2012/04/27,38.93,True
2012/04/30,38.89,True
2012/05/01,38.93,True
2012/05/02,38.69,True
2012/05/03,38.47,True
2012/05/04,38.32,True
2012/05/07,38.53,True
2012/05/08,38.82,True
2012/05/09,38.91,True
2012/05/10,39.25,True
2012/05/11,39.27,True
2012/05/14,39.16,True
2012/05/15,39.58,True
2012/05/16,39.64,True
2012/05/17,39.19,True
2012/05/18,38.95,True
2012/05/21,38.55,True
2012/05/22,38.58,True
2012/05/23,38.59,True
2012/05/24,38.98,True
2012/05/25,39.08,True
2012/05/29,39.07,True
2012/05/30,38.52,True
2012/05/31,38.28,True
2012/06/01,37.9,True
2012/06/04,37.84,True
2012/06/05,37.8,True
2012/06/06,37.93,True
2012/06/07,38.02,True
2012/06/08,38.2,True
2012/06/11,37.91,True
2012/06/12,37.94,True
2012/06/13,38.03,True
2012/06/14,38.09,True
2012/06/15,38.46,True
2012/06/18,38.65,True
2012/06/19,38.8,True
2012/06/20,38.72,True
2012/06/21,38.36,True
2012/06/22,38.44,True
2012/06/25,38.43,True
2012/06/26,38.15,True
2012/06/27,37.55,True
2012/06/28,37.8,True
2012/06/29,38.54,True
2012/07/02,38.98,True
2012/07/03,39.02,True
2012/07/05,39.04,True
2012/07/06,38.76,True
2012/07/09,38.46,True
2012/07/10,38.65,True
2012/07/11,39.13,True
2012/07/12,38.82,True
2012/07/13,39.04,True
2012/07/16,38.77,True
2012/07/17,38.85,True
2012/07/18,39.01,True
2012/07/19,38.98,True
2012/07/20,38.78,True
2012/07/23,38.21,True
2012/07/24,37.91,True
2012/07/25,37.96,True
2012/07/26,38.19,True
2012/07/27,38.52,True
2012/07/30,38.74,True
2012/07/31,38.7,True
2012/08/01,38.43,True
2012/08/02,38.02,True
2012/08/03,38.52,True
2012/08/06,38.49,True
2012/08/07,38.34,True
2012/08/08,38.4,True
2012/08/09,38.53,True
2012/08/10,38.63,True
2012/08/13,38.5,True
2012/08/14,38.42,True
2012/08/15,38.35,True
2012/08/16,38.49,True
2012/08/17,38.5,True
2012/08/20,38.81,True
2012/08/21,38.63,True
2012/08/22,38.46,True
2012/08/23,38.33,True
2012/08/24,39.04,True
2012/08/27,39.41,True
2012/08/28,39.44,True
2012/08/29,39.57,True
2012/08/30,39.34,True
2012/08/31,39.33,True
2012/09/04,39.33,True
2012/09/05,38.99,True
2012/09/06,39.32,True
2012/09/07,39.24,True
2012/09/10,39.29,True
2012/09/11,39.29,True
2012/09/12,39.3,True
2012/09/13,39.46,True
2012/09/14,38.89,True
2012/09/17,38.96,True
2012/09/18,39.31,True
2012/09/19,40.02,True
2012/09/20,40.44,True
2012/09/21,40.3,True
2012/09/24,40.23,True
2012/09/25,40.11,True
2012/09/26,39.95,True
2012/09/27,39.89,True
2012/09/28,39.85,True
2012/10/01,39.97,True
2012/10/02,40.12,True
2012/10/03,40.17,True
2012/10/04,40.32,True
2012/10/05,40.05,True
2012/10/08,39.81,True
2012/10/09,39.51,True
2012/10/10,39.58,True
2012/10/11,39.5,True
2012/10/12,39.19,True
2012/10/15,39.3,True
2012/10/16,39.7,True
2012/10/17,40.07,True
2012/10/18,40.5,True
2012/10/19,39.99,True
2012/10/22,39.82,True
2012/10/23,39.48,True
2012/10/24,39.58,True
2012/10/25,39.91,True
2012/10/26,39.85,True
2012/10/31,40.08,True
2012/11/01,40.18,True
2012/11/02,39.81,True
2012/11/05,39.77,True
2012/11/06,39.8,True
2012/11/07,39.72,True
2012/11/08,39.31,True
2012/11/09,39.37,True
2012/11/12,39.2,True
2012/11/13,39.35,True
2012/11/14,39.86,True
2012/11/15,39.87,True
2012/11/16,39.79,True
2012/11/19,40.46,True
2012/11/20,40.42,True
2012/11/21,40.46,True
2012/11/23,40.77,True
2012/11/26,40.45,True
2012/11/27,40.62,True
2012/11/28,40.65,True
2012/11/29,40.8,True
2012/11/30,40.99,True
2012/12/03,40.48,True
2012/12/04,40.63,True
2012/12/05,40.95,True
2012/12/06,40.73,True
2012/12/07,40.94,True
2012/12/10,41.0,True
2012/12/11,41.39,True
2012/12/12,41.28,True
2012/12/13,41.49,True
2012/12/14,41.45,True
2012/12/17,41.73,True
2012/12/18,41.77,True
2012/12/19,41.27,True
2012/12/20,41.57,True
2012/12/21,41.1,True
2012/12/24,41.0,True
