date,PRC,is_prediction
2012/01/03,13.04,True
2012/01/04,13.17,True
2012/01/05,13.28,True
2012/01/06,13.515,True
2012/01/09,13.74,True
2012/01/10,13.99,True
2012/01/11,14.32,True
2012/01/12,14.2,True
2012/01/13,14.0,True
2012/01/17,14.15,True
2012/01/18,14.28,True
2012/01/19,14.45,True
2012/01/20,14.42,True
2012/01/23,14.37,True
2012/01/24,14.62,True
2012/01/25,13.05,True
2012/01/26,12.67,True
2012/01/27,12.62,True
2012/01/30,12.61,True
2012/01/31,12.87,True
2012/02/01,12.9,True
2012/02/02,12.94,True
2012/02/03,13.58,True
2012/02/06,13.73,True
2012/02/07,13.75,True
2012/02/08,13.75,True
2012/02/09,13.79,True
2012/02/10,13.6,True
2012/02/13,13.67,True
2012/02/14,13.48,True
2012/02/15,13.52,True
2012/02/16,13.81,True
2012/02/17,13.84,True
2012/02/21,13.77,True
2012/02/22,13.56,True
2012/02/23,13.58,True
2012/02/24,13.75,True
2012/02/27,13.52,True
2012/02/28,13.34,True
2012/02/29,13.04,True
2012/03/01,12.97,True
2012/03/02,12.99,True
2012/03/05,12.88,True
2012/03/06,12.805,True
2012/03/07,12.96,True
2012/03/08,13.41,True
2012/03/09,13.29,True
2012/03/12,13.45,True
2012/03/13,13.9,True
2012/03/14,14.05,True
2012/03/15,14.2,True
2012/03/16,14.33,True
2012/03/19,14.28,True
2012/03/20,14.05,True
2012/03/21,13.93,True
2012/03/22,13.86,True
2012/03/23,14.02,True
2012/03/26,14.41,True
2012/03/27,14.21,True
2012/03/28,14.02,True
2012/03/29,14.03,True
2012/03/30,14.08,True
2012/04/02,13.9,True
2012/04/03,13.87,True
2012/04/04,13.7,True
2012/04/05,13.54,True
2012/04/09,13.48,True
2012/04/10,13.39,True
2012/04/11,13.53,True
2012/04/12,13.73,True
2012/04/13,13.58,True
2012/04/16,13.57,True
2012/04/17,13.7,True
2012/04/18,13.54,True
2012/04/19,13.53,True
2012/04/20,13.18,True
2012/04/23,13.21,True
2012/04/24,13.35,True
2012/04/25,14.3,True
2012/04/26,14.3,True
2012/04/27,14.45,True
2012/04/30,14.35,True
2012/05/01,14.32,True
2012/05/02,14.26,True
2012/05/03,14.0,True
2012/05/04,13.67,True
2012/05/07,13.6,True
2012/05/08,13.36,True
2012/05/09,13.38,True
2012/05/10,13.32,True
2012/05/11,13.31,True
