date,PRC,is_prediction
2012/01/03,61.71,True
2012/01/04,61.73,True
2012/01/05,62.0,True
2012/01/06,61.78,True
2012/01/09,62.05,True
2012/01/10,62.81,True
2012/01/11,62.87,True
2012/01/12,62.95,True
2012/01/13,62.7,True
2012/01/17,62.9,True
2012/01/18,64.02,True
2012/01/19,64.88,True
2012/01/20,64.15,True
2012/01/23,64.27,True
2012/01/24,64.6,True
2012/01/25,64.49,True
2012/01/26,64.66,True
2012/01/27,64.37,True
2012/01/30,64.26,True
2012/01/31,63.78,True
2012/02/01,64.25,True
2012/02/02,64.0,True
2012/02/03,64.17,True
2012/02/06,64.5,True
2012/02/07,64.57,True
2012/02/08,64.48,True
2012/02/09,64.69,True
2012/02/10,64.89,True
2012/02/13,64.82,True
2012/02/14,64.7,True
2012/02/15,63.89,True
2012/02/16,65.59,True
2012/02/17,65.58,True
2012/02/21,63.81,True
2012/02/22,62.92,True
2012/02/23,62.27,True
2012/02/24,62.23,True
2012/02/27,62.21,True
2012/02/28,62.6,True
2012/02/29,62.68,True
2012/03/01,62.97,True
2012/03/02,62.78,True
2012/03/05,62.78,True
2012/03/06,62.26,True
2012/03/07,62.17,True
2012/03/08,62.96,True
2012/03/09,62.89,True
2012/03/12,62.65,True
2012/03/13,63.56,True
2012/03/14,63.76,True
2012/03/15,63.46,True
2012/03/16,62.95,True
2012/03/19,63.09,True
2012/03/20,62.95,True
2012/03/21,62.88,True
2012/03/22,62.05,True
2012/03/23,61.46,True
2012/03/26,62.2,True
2012/03/27,62.52,True
2012/03/28,62.88,True
2012/03/29,62.49,True
2012/03/30,62.75,True
2012/04/02,63.28,True
2012/04/03,63.42,True
2012/04/04,62.83,True
2012/04/05,63.36,True
2012/04/09,62.1,True
2012/04/10,60.29,True
2012/04/11,61.9,True
2012/04/12,62.98,True
2012/04/13,62.94,True
2012/04/16,63.41,True
2012/04/17,64.28,True
2012/04/18,64.55,True
2012/04/19,63.45,True
2012/04/20,63.77,True
2012/04/23,62.74,True
2012/04/24,62.77,True
2012/04/25,63.81,True
2012/04/26,64.62,True
2012/04/27,65.69,True
2012/04/30,64.78,True
2012/05/01,65.75,True
2012/05/02,66.38,True
2012/05/03,65.76,True
2012/05/04,64.99,True
2012/05/07,65.29,True
2012/05/08,65.13,True
2012/05/09,64.54,True
2012/05/10,64.68,True
2012/05/11,64.7,True
2012/05/14,63.76,True
2012/05/15,63.32,True
2012/05/16,63.71,True
2012/05/17,60.81,True
2012/05/18,60.16,True
2012/05/21,61.52,True
2012/05/22,61.93,True
2012/05/23,62.31,True
2012/05/24,61.96,True
2012/05/25,61.91,True
2012/05/29,63.31,True
2012/05/30,62.56,True
2012/05/31,63.0,True
2012/06/01,61.08,True
2012/06/04,61.14,True
2012/06/05,60.16,True
2012/06/06,60.86,True
2012/06/07,60.75,True
2012/06/08,61.6,True
2012/06/11,60.84,True
2012/06/12,61.48,True
2012/06/13,60.76,True
2012/06/14,60.78,True
2012/06/15,61.45,True
2012/06/18,61.84,True
2012/06/19,62.55,True
2012/06/20,62.46,True
2012/06/21,61.01,True
2012/06/22,61.66,True
2012/06/25,60.36,True
2012/06/26,60.15,True
2012/06/27,58.53,True
2012/06/28,59.65,True
2012/06/29,60.25,True
2012/07/02,60.17,True
2012/07/03,60.57,True
2012/07/05,61.49,True
2012/07/06,60.97,True
2012/07/09,60.46,True
2012/07/10,59.31,True
2012/07/11,59.45,True
2012/07/12,59.56,True
2012/07/13,61.29,True
2012/07/16,61.15,True
2012/07/17,61.61,True
2012/07/18,62.85,True
2012/07/19,64.37,True
2012/07/20,63.85,True
2012/07/23,63.29,True
2012/07/24,62.86,True
2012/07/25,62.74,True
2012/07/26,63.58,True
2012/07/27,64.58,True
2012/07/30,64.34,True
2012/07/31,64.03,True
2012/08/01,63.24,True
2012/08/02,63.32,True
2012/08/03,64.83,True
2012/08/06,64.23,True
2012/08/07,64.72,True
2012/08/08,64.77,True
2012/08/09,64.24,True
2012/08/10,64.13,True
2012/08/13,64.07,True
2012/08/14,63.36,True
2012/08/15,63.45,True
2012/08/16,64.02,True
2012/08/17,64.89,True
2012/08/20,64.46,True
2012/08/21,64.12,True
2012/08/22,63.83,True
2012/08/23,63.67,True
2012/08/24,63.71,True
2012/08/27,63.39,True
2012/08/28,63.51,True
2012/08/29,63.02,True
2012/08/30,63.31,True
2012/08/31,63.16,True
2012/09/04,61.98,True
2012/09/05,61.1,True
2012/09/06,62.37,True
2012/09/07,62.24,True
2012/09/10,62.39,True
2012/09/11,62.24,True
2012/09/12,62.5,True
2012/09/13,63.01,True
2012/09/14,63.16,True
2012/09/17,62.09,True
2012/09/18,61.92,True
2012/09/19,62.34,True
2012/09/20,62.53,True
2012/09/21,62.12,True
2012/09/24,62.34,True
2012/09/25,61.88,True
2012/09/26,61.47,True
2012/09/27,60.99,True
2012/09/28,61.03,True
2012/10/01,60.81,True
2012/10/02,60.99,True
2012/10/03,61.0,True
2012/10/04,62.56,True
2012/10/05,62.57,True
2012/10/08,62.42,True
2012/10/09,61.84,True
2012/10/10,61.32,True
2012/10/11,61.34,True
2012/10/12,61.29,True
2012/10/15,61.36,True
2012/10/16,61.97,True
2012/10/17,62.06,True
2012/10/18,61.87,True
2012/10/19,61.55,True
2012/10/22,60.94,True
2012/10/23,61.46,True
2012/10/24,60.59,True
2012/10/25,60.88,True
2012/10/26,61.24,True
2012/10/31,62.58,True
2012/11/01,63.6,True
2012/11/02,62.82,True
2012/11/05,63.12,True
2012/11/06,63.92,True
2012/11/07,62.86,True
2012/11/08,61.76,True
2012/11/09,61.78,True
2012/11/12,61.36,True
2012/11/13,60.86,True
