date,PRC,is_prediction
2012/01/03,18.55,True
2012/01/04,18.88,True
2012/01/05,18.27,True
2012/01/06,18.0,True
2012/01/09,18.06,True
2012/01/10,18.14,True
2012/01/11,17.94,True
2012/01/12,18.14,True
2012/01/13,18.26,True
2012/01/17,18.26,True
2012/01/18,18.64,True
2012/01/19,19.37,True
2012/01/20,18.63,True
2012/01/23,18.68,True
2012/01/24,18.63,True
2012/01/25,19.0,True
2012/01/26,18.78,True
2012/01/27,18.93,True
2012/01/30,18.83,True
2012/01/31,18.98,True
2012/02/01,19.45,True
2012/02/02,21.52,True
2012/02/03,21.71,True
2012/02/06,21.67,True
2012/02/07,21.68,True
2012/02/08,21.28,True
2012/02/09,21.41,True
2012/02/10,21.59,True
2012/02/13,21.72,True
2012/02/14,22.34,True
2012/02/15,22.4,True
2012/02/16,22.45,True
2012/02/17,22.72,True
2012/02/21,22.83,True
2012/02/22,22.98,True
2012/02/23,23.52,True
2012/02/24,22.57,True
2012/02/27,23.07,True
2012/02/28,23.71,True
2012/02/29,23.36,True
2012/03/01,25.05,True
2012/03/02,24.41,True
2012/03/05,24.61,True
2012/03/06,24.27,True
2012/03/07,24.52,True
2012/03/08,24.89,True
2012/03/09,25.0,True
2012/03/12,25.09,True
2012/03/13,25.45,True
2012/03/14,25.44,True
2012/03/15,25.64,True
2012/03/16,25.39,True
2012/03/19,26.08,True
2012/03/20,26.13,True
2012/03/21,26.06,True
2012/03/22,26.24,True
2012/03/23,26.46,True
2012/03/26,26.87,True
2012/03/27,26.68,True
2012/03/28,26.26,True
2012/03/29,26.1,True
2012/03/30,26.14,True
2012/04/02,26.44,True
2012/04/03,26.05,True
2012/04/04,26.65,True
2012/04/05,26.45,True
2012/04/09,26.12,True
2012/04/10,25.23,True
2012/04/11,25.48,True
2012/04/12,25.96,True
2012/04/13,26.56,True
2012/04/16,26.43,True
2012/04/17,27.02,True
2012/04/18,27.62,True
2012/04/19,27.5,True
2012/04/20,27.85,True
2012/04/23,27.69,True
2012/04/24,27.19,True
2012/04/25,27.89,True
2012/04/26,28.4,True
2012/04/27,28.53,True
2012/04/30,28.5,True
2012/05/01,28.53,True
2012/05/02,29.14,True
2012/05/03,28.67,True
2012/05/04,28.2,True
2012/05/07,28.57,True
2012/05/08,28.05,True
2012/05/09,27.91,True
2012/05/10,28.12,True
2012/05/11,28.0,True
2012/05/14,27.37,True
2012/05/15,27.43,True
2012/05/16,27.1,True
2012/05/17,26.31,True
2012/05/18,25.71,True
2012/05/21,26.51,True
2012/05/22,26.49,True
2012/05/23,26.76,True
2012/05/24,26.99,True
2012/05/25,27.16,True
2012/05/29,27.7,True
2012/05/30,26.67,True
2012/05/31,26.5,True
2012/06/01,25.26,True
2012/06/04,25.48,True
2012/06/05,25.53,True
2012/06/06,25.69,True
2012/06/07,25.7,True
2012/06/08,26.24,True
2012/06/11,25.56,True
2012/06/12,26.05,True
2012/06/13,25.62,True
2012/06/14,26.42,True
2012/06/15,26.73,True
2012/06/18,27.01,True
2012/06/19,27.33,True
2012/06/20,27.6,True
2012/06/21,27.3,True
2012/06/22,27.36,True
2012/06/25,26.48,True
2012/06/26,26.56,True
2012/06/27,26.42,True
2012/06/28,26.36,True
2012/06/29,27.36,True
2012/07/02,27.52,True
2012/07/03,27.69,True
2012/07/05,27.97,True
2012/07/06,27.88,True
2012/07/09,28.19,True
2012/07/10,27.7,True
2012/07/11,27.16,True
2012/07/12,27.18,True
2012/07/13,27.9,True
2012/07/16,27.97,True
2012/07/17,28.47,True
2012/07/18,29.12,True
2012/07/19,29.48,True
2012/07/20,29.2,True
2012/07/23,29.17,True
2012/07/24,28.92,True
2012/07/25,29.29,True
2012/07/26,29.65,True
2012/07/27,29.91,True
2012/07/30,29.82,True
2012/07/31,29.49,True
2012/08/01,29.42,True
2012/08/02,33.17,True
2012/08/03,33.46,True
2012/08/06,33.75,True
2012/08/07,33.94,True
2012/08/08,34.64,True
2012/08/09,34.42,True
2012/08/10,34.21,True
2012/08/13,34.63,True
2012/08/14,34.61,True
2012/08/15,34.61,True
2012/08/16,34.34,True
2012/08/17,35.99,True
2012/08/20,35.34,True
2012/08/21,35.32,True
2012/08/22,35.3,True
2012/08/23,34.97,True
2012/08/24,35.12,True
2012/08/27,35.09,True
2012/08/28,35.11,True
2012/08/29,35.17,True
2012/08/30,36.11,True
2012/08/31,35.82,True
2012/09/04,35.81,True
2012/09/05,35.45,True
2012/09/06,36.09,True
2012/09/07,35.93,True
2012/09/10,35.48,True
2012/09/11,35.13,True
2012/09/12,35.54,True
2012/09/13,35.65,True
2012/09/14,35.2,True
2012/09/17,36.05,True
2012/09/18,36.01,True
2012/09/19,35.93,True
2012/09/20,36.14,True
2012/09/21,36.19,True
2012/09/24,35.89,True
2012/09/25,35.46,True
2012/09/26,35.27,True
2012/09/27,35.38,True
2012/09/28,35.78,True
2012/10/01,36.1,True
2012/10/02,36.14,True
2012/10/03,36.75,True
2012/10/04,37.1,True
2012/10/05,37.1,True
2012/10/08,37.27,True
2012/10/09,36.7,True
2012/10/10,36.62,True
2012/10/11,36.34,True
2012/10/12,36.1,True
2012/10/15,36.28,True
2012/10/16,36.96,True
2012/10/17,36.79,True
2012/10/18,37.18,True
2012/10/19,36.37,True
2012/10/22,36.16,True
2012/10/23,35.47,True
2012/10/24,35.51,True
2012/10/25,35.17,True
2012/10/26,35.41,True
2012/10/31,35.72,True
2012/11/01,35.65,True
2012/11/02,35.11,True
2012/11/05,35.37,True
2012/11/06,35.94,True
2012/11/07,35.26,True
2012/11/08,34.07,True
2012/11/09,33.62,True
2012/11/12,33.5,True
2012/11/13,33.69,True
2012/11/14,33.63,True
2012/11/15,33.26,True
2012/11/16,33.59,True
2012/11/19,34.43,True
2012/11/20,34.9,True
2012/11/21,35.15,True
2012/11/23,35.5,True
2012/11/26,35.62,True
2012/11/27,35.15,True
2012/11/28,35.82,True
2012/11/29,34.36,True
2012/11/30,34.46,True
2012/12/03,34.51,True
2012/12/04,30.94,True
2012/12/05,31.81,True
2012/12/06,31.96,True
2012/12/07,31.81,True
2012/12/10,30.89,True
2012/12/11,31.82,True
2012/12/12,31.43,True
2012/12/13,31.47,True
2012/12/14,31.45,True
2012/12/17,31.91,True
2012/12/18,32.02,True
2012/12/19,32.16,True
2012/12/20,31.75,True
2012/12/21,31.37,True
2012/12/24,31.37,True
2012/12/26,30.4,True
2012/12/27,30.69,True
2012/12/28,30.43,True
2012/12/31,31.04,True
2013/01/01,31.055678679937195,False
2013/01/02,31.225307063697553,False
2013/01/03,31.313422348113924,False
2013/01/04,31.428010011770247,False
2013/01/07,31.43771565365057,False
2013/01/08,31.48525773004828,False
2013/01/09,31.50953321370894,False
2013/01/10,31.55456926705074,False
2013/01/11,31.592169859001597,False
2013/01/14,31.641603156013947,False
2013/01/15,31.69110593631341,False
2013/01/16,31.745109621724364,False
2013/01/17,31.797035302790174,False
2013/01/18,31.850037567041657,False
2013/01/21,31.901667784433993,False
2013/01/22,31.953155723946253,False
2013/01/23,32.003786883824745,False
2013/01/24,32.05440793818216,False
2013/01/25,32.104809787512835,False
2013/01/28,32.155330826515,False
2013/01/29,32.20585378343387,False
2013/01/30,32.256501325284994,False
2013/01/31,32.30718628725533,False
2013/02/01,32.35792553673456,False
2013/02/04,32.40866762805573,False
2013/02/05,32.45941779003217,False
2013/02/06,32.510155474574645,False
2013/02/07,32.560886518066745,False
2013/02/08,32.61160713313391,False
2013/02/11,32.662323835684106,False
2013/02/12,32.71303716948424,False
2013/02/13,32.763750663837996,False
2013/02/14,32.814464509720516,False
2013/02/15,32.86517981221872,False
2013/02/18,32.915896034793896,False
2013/02/19,32.966613133047176,False
2013/02/20,33.017330561023634,False
2013/02/21,33.06804817506937,False
2013/02/22,33.11876572502055,False
2013/02/25,33.16948317302445,False
2013/02/26,33.22020049742029,False
2013/02/27,33.27091773684206,False
2013/02/28,33.321634924861314,False
2013/03/01,33.37235213938298,False
2013/03/04,33.423069356214576,False
2013/03/05,33.47378660694285,False
2013/03/06,33.52450390456874,False
2013/03/07,33.57522121869035,False
2013/03/08,33.62593855447329,False
2013/03/11,33.67665590825845,False
