date,PRC,is_prediction
2012/01/03,95.36,True
2012/01/04,94.74,True
2012/01/05,94.58,True
2012/01/06,93.42,True
2012/01/09,94.69,True
2012/01/10,98.33,True
2012/01/11,99.76,True
2012/01/12,101.21,True
2012/01/13,98.96,True
2012/01/17,97.68,True
2012/01/18,104.31,True
2012/01/19,107.68,True
2012/01/20,108.74,True
2012/01/23,108.19,True
2012/01/24,108.87,True
2012/01/25,108.27,True
2012/01/26,108.56,True
2012/01/27,111.77,True
2012/01/30,109.73,True
2012/01/31,111.47,True
2012/02/01,113.45,True
2012/02/02,113.39,True
2012/02/03,117.53,True
2012/02/06,117.39,True
2012/02/07,115.98,True
2012/02/08,116.15,True
2012/02/09,115.88,True
2012/02/10,114.12,True
2012/02/13,114.53,True
2012/02/14,112.87,True
2012/02/15,113.17,True
2012/02/16,114.74,True
2012/02/17,115.91,True
2012/02/21,116.63,True
2012/02/22,114.36,True
2012/02/23,115.8,True
2012/02/24,115.87,True
2012/02/27,116.23,True
2012/02/28,117.11,True
2012/02/29,115.14,True
2012/03/01,121.13,True
2012/03/02,119.96,True
2012/03/05,118.63,True
2012/03/06,113.67,True
2012/03/07,116.4,True
2012/03/08,117.17,True
2012/03/09,117.29,True
2012/03/12,116.99,True
2012/03/13,124.54,True
2012/03/14,120.37,True
2012/03/15,123.06,True
2012/03/16,122.93,True
2012/03/19,124.3,True
2012/03/20,126.02,True
2012/03/21,125.99,True
2012/03/22,124.74,True
2012/03/23,126.18,True
2012/03/26,128.07001,True
2012/03/27,126.33,True
2012/03/28,126.36,True
2012/03/29,123.76,True
2012/03/30,124.37,True
2012/04/02,124.9,True
2012/04/03,122.71,True
2012/04/04,119.96,True
2012/04/05,118.0,True
2012/04/09,117.02,True
2012/04/10,114.56,True
2012/04/11,115.93,True
2012/04/12,120.39,True
2012/04/13,115.09,True
2012/04/16,117.73,True
2012/04/17,116.86,True
2012/04/18,115.33,True
2012/04/19,113.6,True
2012/04/20,112.44,True
2012/04/23,111.75,True
2012/04/24,114.11,True
2012/04/25,113.98,True
2012/04/26,114.56,True
2012/04/27,114.41,True
2012/04/30,115.15,True
2012/05/01,115.33,True
2012/05/02,113.77,True
2012/05/03,111.53,True
2012/05/04,108.99,True
2012/05/07,110.04,True
2012/05/08,109.37,True
2012/05/09,107.29,True
2012/05/10,106.32,True
2012/05/11,102.13,True
2012/05/14,99.77,True
2012/05/15,99.87,True
2012/05/16,98.2,True
2012/05/17,97.08,True
2012/05/18,95.49,True
2012/05/21,96.51,True
2012/05/22,97.53,True
2012/05/23,98.04,True
2012/05/24,96.86,True
2012/05/25,96.7,True
2012/05/29,97.86,True
2012/05/30,94.61,True
2012/05/31,95.7,True
2012/06/01,92.64,True
2012/06/04,91.0,True
2012/06/05,92.21,True
2012/06/06,94.96,True
2012/06/07,94.0,True
2012/06/08,94.54,True
2012/06/11,92.8,True
2012/06/12,94.04,True
2012/06/13,92.72,True
2012/06/14,93.82,True
2012/06/15,95.66,True
2012/06/18,93.63,True
2012/06/19,96.37,True
2012/06/20,96.55,True
2012/06/21,93.9,True
2012/06/22,93.63,True
2012/06/25,91.22,True
2012/06/26,91.03,True
2012/06/27,93.27,True
2012/06/28,93.49,True
2012/06/29,95.86,True
2012/07/02,97.13,True
2012/07/03,98.6,True
2012/07/05,95.92,True
2012/07/06,95.47,True
2012/07/09,94.47,True
2012/07/10,94.25,True
2012/07/11,95.13,True
2012/07/12,94.02,True
2012/07/13,97.43,True
2012/07/16,97.68,True
2012/07/17,97.98,True
2012/07/18,96.51,True
2012/07/19,95.0,True
2012/07/20,94.16,True
2012/07/23,93.16,True
2012/07/24,94.47,True
2012/07/25,95.96,True
2012/07/26,98.06,True
2012/07/27,101.64,True
2012/07/30,100.88,True
2012/07/31,100.9,True
2012/08/01,100.09,True
2012/08/02,97.81,True
2012/08/03,100.98,True
2012/08/06,102.02,True
2012/08/07,103.24,True
2012/08/08,102.5,True
2012/08/09,103.6,True
2012/08/10,103.02,True
2012/08/13,103.61,True
2012/08/14,103.26,True
2012/08/15,103.13,True
2012/08/16,103.49,True
2012/08/17,103.6,True
2012/08/20,105.28,True
2012/08/21,105.32,True
2012/08/22,104.67,True
2012/08/23,104.08,True
2012/08/24,104.96,True
2012/08/27,105.12,True
2012/08/28,105.03,True
2012/08/29,105.53,True
2012/08/30,104.72,True
2012/08/31,105.72,True
2012/09/04,106.41,True
2012/09/05,109.94,True
2012/09/06,113.54,True
2012/09/07,116.33,True
2012/09/10,114.68,True
2012/09/11,116.69,True
2012/09/12,118.24,True
2012/09/13,120.67,True
2012/09/14,121.36,True
2012/09/17,119.9,True
2012/09/18,119.88,True
2012/09/19,119.02,True
2012/09/20,117.63,True
2012/09/21,116.72,True
2012/09/24,116.6,True
2012/09/25,113.5,True
2012/09/26,113.08,True
2012/09/27,115.23,True
2012/09/28,113.68,True
2012/10/01,116.86,True
2012/10/02,117.25,True
2012/10/03,117.91,True
2012/10/04,119.9,True
2012/10/05,119.31,True
2012/10/08,119.46,True
2012/10/09,119.63,True
2012/10/10,120.08,True
2012/10/11,121.99,True
2012/10/12,120.2,True
2012/10/15,124.5,True
2012/10/16,123.22,True
2012/10/17,124.92,True
2012/10/18,125.15,True
2012/10/19,123.62,True
2012/10/22,122.77,True
2012/10/23,119.0,True
2012/10/24,119.77,True
2012/10/25,119.72,True
2012/10/26,119.44,True
2012/10/31,122.39,True
2012/11/01,124.85,True
2012/11/02,123.25,True
2012/11/05,124.08,True
2012/11/06,126.25,True
2012/11/07,117.98,True
2012/11/08,115.27,True
2012/11/09,116.15,True
2012/11/12,117.24,True
2012/11/13,116.47,True
2012/11/14,114.24,True
2012/11/15,115.44,True
2012/11/16,115.84,True
2012/11/19,118.3,True
2012/11/20,118.09,True
2012/11/21,117.7,True
2012/11/23,120.31,True
2012/11/26,120.94,True
2012/11/27,118.41,True
2012/11/28,119.33,True
2012/11/29,118.73,True
2012/11/30,117.79,True
2012/12/03,118.4,True
2012/12/04,116.58,True
2012/12/05,117.13,True
2012/12/06,117.2,True
2012/12/07,116.57,True
2012/12/10,117.01,True
2012/12/11,118.86,True
2012/12/12,118.09,True
2012/12/13,118.5,True
2012/12/14,119.36,True
2012/12/17,123.49,True
2012/12/18,127.77,True
2012/12/19,127.2481,True
2012/12/20,129.72,True
2012/12/21,128.44,True
2012/12/24,127.54,True
2012/12/26,127.16,True
2012/12/27,126.67,True
2012/12/28,125.52,True
2012/12/31,127.56,True
2013/01/01,127.43613332513391,False
2013/01/02,127.73317592551635,False
2013/01/03,128.0064766361902,False
2013/01/04,128.05722819174574,False
2013/01/07,128.2487922458035,False
2013/01/08,128.41287155962104,False
2013/01/09,128.45884349673045,False
2013/01/10,128.6089731710511,False
2013/01/11,128.72234414245418,False
2013/01/14,128.8426692336828,False
2013/01/15,128.978178578621,False
2013/01/16,129.10132091153253,False
2013/01/17,129.22957338306347,False
2013/01/18,129.3614284454501,False
2013/01/21,129.48823282694042,False
2013/01/22,129.6177384191608,False
2013/01/23,129.7463557473665,False
2013/01/24,129.8742648918685,False
2013/01/25,130.00297772866517,False
2013/01/28,130.13122655064228,False
2013/01/29,130.25943679676448,False
2013/01/30,130.38787531173566,False
2013/01/31,130.51613894367563,False
2013/02/01,130.64448406168543,False
2013/02/04,130.77285000456823,False
2013/02/05,130.90117176308706,False
2013/02/06,131.0295270217367,False
2013/02/07,131.1578754993461,False
2013/02/08,131.28621527368142,False
2013/02/11,131.41456495583824,False
2013/02/12,131.5429084432302,False
2013/02/13,131.67125208045894,False
2013/02/14,131.79959768400118,False
2013/02/15,131.92794101129317,False
2013/02/18,132.05628518423973,False
2013/02/19,132.18462942361788,False
2013/02/20,132.3129731876997,False
2013/02/21,132.44131722919735,False
2013/02/22,132.5696611032659,False
2013/02/25,132.69800493199736,False
2013/02/26,132.8263488280768,False
2013/02/27,132.95469255665304,False
2013/02/28,133.08303628462852,False
2013/03/01,133.2113799865424,False
2013/03/04,133.33972358552865,False
2013/03/05,133.46806714791657,False
2013/03/06,133.5964106409753,False
2013/03/07,133.72475404343763,False
2013/03/08,133.8530973326257,False
2013/03/11,133.98144074859758,False
