date,PRC,is_prediction
2012/01/03,34.15,True
2012/01/04,35.12,True
2012/01/05,34.56,True
2012/01/06,34.98,True
2012/01/09,35.38,True
2012/01/10,36.33,True
2012/01/11,35.38,True
2012/01/12,34.73,True
2012/01/13,33.94,True
2012/01/17,33.86,True
2012/01/18,34.99,True
2012/01/19,36.25,True
2012/01/20,36.2,True
2012/01/23,35.44,True
2012/01/24,36.36,True
2012/01/25,36.41,True
2012/01/26,36.16,True
2012/01/27,37.1,True
2012/01/30,36.67,True
2012/01/31,36.78,True
2012/02/01,36.64,True
2012/02/02,36.54,True
2012/02/03,36.83,True
2012/02/06,37.4,True
2012/02/07,37.0,True
2012/02/08,37.02,True
2012/02/09,36.77,True
2012/02/10,36.06,True
2012/02/13,36.14,True
2012/02/14,35.7,True
2012/02/15,35.23,True
2012/02/16,35.64,True
2012/02/17,36.29,True
2012/02/21,37.03,True
2012/02/22,38.24,True
2012/02/23,38.21,True
2012/02/24,38.51,True
2012/02/27,37.75,True
2012/02/28,37.68,True
2012/02/29,36.59,True
2012/03/01,36.5,True
2012/03/02,36.05,True
2012/03/05,35.07,True
2012/03/06,34.13,True
2012/03/07,34.21,True
2012/03/08,34.78,True
2012/03/09,34.88,True
2012/03/12,34.7,True
2012/03/13,35.34,True
2012/03/14,34.18,True
2012/03/15,33.91,True
2012/03/16,34.54,True
2012/03/19,35.0,True
2012/03/20,34.76,True
2012/03/21,34.13,True
2012/03/22,32.98,True
2012/03/23,33.42,True
2012/03/26,33.65,True
2012/03/27,32.83,True
2012/03/28,32.48,True
2012/03/29,32.77,True
2012/03/30,33.19,True
2012/04/02,33.45,True
2012/04/03,33.6,True
2012/04/04,33.0,True
2012/04/05,32.77,True
2012/04/09,32.38,True
2012/04/10,31.99,True
2012/04/11,32.13,True
2012/04/12,33.18,True
2012/04/13,32.41,True
2012/04/16,32.06,True
2012/04/17,32.66,True
2012/04/18,34.17,True
2012/04/19,33.98,True
2012/04/20,33.29,True
2012/04/23,32.95,True
2012/04/24,33.38,True
2012/04/25,33.54,True
2012/04/26,33.45,True
2012/04/27,33.24,True
2012/04/30,34.22,True
2012/05/01,35.03,True
2012/05/02,34.49,True
2012/05/03,34.06,True
2012/05/04,32.53,True
2012/05/07,32.42,True
2012/05/08,32.69,True
2012/05/09,32.42,True
2012/05/10,32.31,True
2012/05/11,31.83,True
2012/05/14,31.58,True
2012/05/15,30.58,True
2012/05/16,30.2,True
2012/05/17,30.0,True
2012/05/18,29.93,True
2012/05/21,31.17,True
2012/05/22,30.78,True
2012/05/23,31.32,True
2012/05/24,31.41,True
2012/05/25,31.37,True
2012/05/29,32.01,True
2012/05/30,30.36,True
2012/05/31,30.06,True
2012/06/01,29.97,True
2012/06/04,29.52,True
2012/06/05,29.12,True
2012/06/06,28.1,True
2012/06/07,28.13,True
2012/06/08,27.96,True
2012/06/11,27.5,True
2012/06/12,28.13,True
2012/06/13,28.22,True
2012/06/14,28.68,True
2012/06/15,29.45,True
2012/06/18,28.96,True
2012/06/19,29.39,True
2012/06/20,29.57,True
2012/06/21,28.35,True
2012/06/22,27.8,True
2012/06/25,26.98,True
2012/06/26,26.7,True
2012/06/27,27.21,True
2012/06/28,27.69,True
2012/06/29,28.39,True
2012/07/02,28.6,True
2012/07/03,29.94,True
2012/07/05,29.56,True
2012/07/06,29.3,True
2012/07/09,29.0,True
2012/07/10,28.36,True
2012/07/11,28.53,True
2012/07/12,28.41,True
2012/07/13,28.8,True
2012/07/16,29.0,True
2012/07/17,29.4,True
2012/07/18,30.17,True
2012/07/19,30.21,True
2012/07/20,30.77,True
2012/07/23,31.51,True
2012/07/24,31.55,True
2012/07/25,31.3,True
2012/07/26,32.56,True
2012/07/27,33.62,True
2012/07/30,33.55,True
2012/07/31,33.13,True
2012/08/01,33.41,True
2012/08/02,32.86,True
2012/08/03,33.76,True
2012/08/06,33.82,True
2012/08/07,34.39,True
2012/08/08,34.62,True
2012/08/09,35.05,True
2012/08/10,35.19,True
2012/08/13,35.04,True
2012/08/14,34.85,True
2012/08/15,34.58,True
2012/08/16,35.3,True
2012/08/17,35.12,True
2012/08/20,35.0,True
2012/08/21,35.16,True
2012/08/22,34.67,True
2012/08/23,34.15,True
2012/08/24,34.27,True
2012/08/27,34.45,True
2012/08/28,34.08,True
2012/08/29,33.51,True
2012/08/30,32.81,True
2012/08/31,32.76,True
2012/09/04,32.15,True
2012/09/05,32.41,True
2012/09/06,32.96,True
2012/09/07,34.24,True
2012/09/10,34.27,True
2012/09/11,35.35,True
2012/09/12,35.73,True
2012/09/13,36.44,True
2012/09/14,37.44,True
2012/09/17,37.22,True
2012/09/18,36.57,True
2012/09/19,36.41,True
2012/09/20,36.13,True
2012/09/21,35.84,True
2012/09/24,35.49,True
2012/09/25,34.77,True
2012/09/26,33.92,True
2012/09/27,34.22,True
2012/09/28,33.69,True
2012/10/01,33.67,True
2012/10/02,34.07,True
2012/10/03,33.01,True
2012/10/04,33.97,True
2012/10/05,33.42,True
2012/10/08,33.63,True
2012/10/09,33.87,True
2012/10/10,33.5,True
2012/10/11,33.97,True
2012/10/12,33.8,True
2012/10/15,33.84,True
2012/10/16,34.56,True
2012/10/17,35.32,True
2012/10/18,35.65,True
2012/10/19,34.98,True
2012/10/22,34.56,True
2012/10/23,33.47,True
2012/10/24,32.71,True
2012/10/25,32.92,True
2012/10/26,32.4,True
2012/10/31,32.29,True
2012/11/01,32.68,True
2012/11/02,32.11,True
2012/11/05,32.29,True
2012/11/06,32.76,True
2012/11/07,31.71,True
2012/11/08,30.48,True
2012/11/09,30.56,True
2012/11/12,30.65,True
2012/11/13,30.39,True
2012/11/14,29.95,True
2012/11/15,30.36,True
2012/11/16,30.46,True
2012/11/19,31.71,True
2012/11/20,31.71,True
2012/11/21,31.7,True
2012/11/23,32.08,True
2012/11/26,32.035,True
2012/11/27,32.04,True
2012/11/28,32.41,True
2012/11/29,32.92,True
2012/11/30,33.35,True
2012/12/03,33.08,True
2012/12/04,33.06,True
2012/12/05,33.5,True
2012/12/06,33.58,True
2012/12/07,33.78,True
2012/12/10,33.66,True
2012/12/11,33.99,True
2012/12/12,34.05,True
2012/12/13,33.51,True
2012/12/14,33.39,True
2012/12/17,33.54,True
2012/12/18,34.8,True
2012/12/19,34.61,True
2012/12/20,35.13,True
2012/12/21,34.71,True
2012/12/24,34.52,True
2012/12/26,34.71,True
2012/12/27,34.6,True
2012/12/28,34.01,True
2012/12/31,34.69,True
2013/01/01,34.727654193263824,False
2013/01/02,34.818690868951045,False
2013/01/03,34.87903827844647,False
2013/01/04,34.79894911000221,False
2013/01/07,34.89065100669393,False
2013/01/08,34.90704932660262,False
2013/01/09,34.8366614523926,False
2013/01/10,34.82857072302445,False
2013/01/11,34.80365021366189,False
2013/01/14,34.80677716660374,False
2013/01/15,34.816324230004376,False
2013/01/16,34.805400992789956,False
2013/01/17,34.81234747635937,False
2013/01/18,34.82262822451583,False
2013/01/21,34.82921768902984,False
2013/01/22,34.83677273790364,False
2013/01/23,34.8384454410734,False
2013/01/24,34.84115459704274,False
2013/01/25,34.84508593863168,False
2013/01/28,34.846642759506935,False
2013/01/29,34.84833182598998,False
2013/01/30,34.84992928176206,False
