date,PRC,is_prediction
2012/01/03,22.19,True
2012/01/04,22.5,True
2012/01/05,22.49,True
2012/01/06,22.38,True
2012/01/09,23.06,True
2012/01/10,23.69,True
2012/01/11,23.53,True
2012/01/12,23.22,True
2012/01/13,22.96,True
2012/01/17,22.67,True
2012/01/18,24.13,True
2012/01/19,24.57,True
2012/01/20,24.26,True
2012/01/23,24.21,True
2012/01/24,24.89,True
2012/01/25,24.68,True
2012/01/26,24.0,True
2012/01/27,24.36,True
2012/01/30,24.52,True
2012/01/31,24.6,True
2012/02/01,24.8,True
2012/02/02,24.35,True
2012/02/03,24.82,True
2012/02/06,25.33,True
2012/02/07,26.42,True
2012/02/08,26.28,True
2012/02/09,27.12,True
2012/02/10,26.54,True
2012/02/13,27.34,True
2012/02/14,27.01,True
2012/02/15,27.03,True
2012/02/16,26.99,True
2012/02/17,26.97,True
2012/02/21,27.16,True
2012/02/22,27.46,True
2012/02/23,27.86,True
2012/02/24,28.3,True
2012/02/27,28.37,True
2012/02/28,28.94,True
2012/02/29,28.73,True
2012/03/01,28.88,True
2012/03/02,28.56,True
2012/03/05,28.43,True
2012/03/06,27.64,True
2012/03/07,27.84,True
2012/03/08,28.09,True
2012/03/09,28.6,True
2012/03/12,28.7,True
2012/03/13,28.96,True
2012/03/14,28.93,True
2012/03/15,29.34,True
2012/03/16,28.73,True
2012/03/19,29.01,True
2012/03/20,29.07,True
2012/03/21,29.09,True
2012/03/22,29.15,True
2012/03/23,29.11,True
2012/03/26,29.43,True
2012/03/27,29.56,True
2012/03/28,29.41,True
2012/03/29,29.56,True
2012/03/30,29.54,True
2012/04/02,29.2,True
2012/04/03,29.51,True
2012/04/04,29.11,True
2012/04/05,28.89,True
2012/04/09,28.15,True
2012/04/10,27.28,True
2012/04/11,27.76,True
2012/04/12,27.58,True
2012/04/13,27.89,True
2012/04/16,27.41,True
2012/04/17,27.4,True
2012/04/18,27.21,True
2012/04/19,26.94,True
2012/04/20,30.02,True
2012/04/23,29.0,True
2012/04/24,28.5,True
2012/04/25,28.5,True
2012/04/26,28.64,True
2012/04/27,28.89,True
2012/04/30,28.22,True
2012/05/01,28.32,True
2012/05/02,28.87,True
2012/05/03,27.95,True
2012/05/04,27.35,True
2012/05/07,27.13,True
2012/05/08,26.55,True
2012/05/09,26.75,True
2012/05/10,26.65,True
2012/05/11,26.8,True
2012/05/14,26.53,True
2012/05/15,26.46,True
2012/05/16,26.4,True
2012/05/17,25.41,True
2012/05/18,24.78,True
2012/05/21,25.43,True
2012/05/22,26.0,True
2012/05/23,26.2,True
2012/05/24,26.68,True
2012/05/25,27.05,True
2012/05/29,27.89,True
2012/05/30,27.9,True
2012/05/31,27.86,True
2012/06/01,27.06,True
2012/06/04,27.12,True
2012/06/05,27.61,True
2012/06/06,28.26,True
