date,PRC,is_prediction
2012/01/03,42.14,True
2012/01/04,42.74,True
2012/01/05,43.09,True
2012/01/06,43.2,True
2012/01/09,43.23,True
2012/01/10,43.53,True
2012/01/11,43.46,True
2012/01/12,43.39,True
2012/01/13,43.51,True
2012/01/17,43.74,True
2012/01/18,44.88,True
2012/01/19,45.41,True
2012/01/20,44.51,True
2012/01/23,44.88,True
2012/01/24,44.96,True
2012/01/25,45.26,True
2012/01/26,44.95,True
2012/01/27,44.87,True
2012/01/30,44.77,True
2012/01/31,44.39,True
2012/02/01,44.47,True
2012/02/02,44.46,True
2012/02/03,45.17,True
2012/02/06,45.2,True
2012/02/07,45.46,True
2012/02/08,45.17,True
2012/02/09,45.27,True
2012/02/10,45.33,True
2012/02/13,45.93,True
2012/02/14,46.06,True
2012/02/15,45.71,True
2012/02/16,45.93,True
2012/02/17,46.71,True
2012/02/21,46.92,True
2012/02/22,46.57,True
2012/02/23,46.95,True
2012/02/24,46.98,True
2012/02/27,46.93,True
2012/02/28,47.23,True
2012/02/29,47.57,True
2012/03/01,47.46,True
2012/03/02,47.41,True
2012/03/05,47.39,True
2012/03/06,46.39,True
2012/03/07,47.39,True
2012/03/08,47.82,True
2012/03/09,48.1,True
2012/03/12,48.59,True
2012/03/13,49.14,True
2012/03/14,49.47,True
2012/03/15,49.2,True
2012/03/16,49.05,True
2012/03/19,48.83,True
2012/03/20,49.38,True
2012/03/21,49.79,True
2012/03/22,49.68,True
2012/03/23,49.54,True
2012/03/26,50.13,True
2012/03/27,50.04,True
2012/03/28,49.91,True
2012/03/29,49.91,True
2012/03/30,50.31,True
2012/04/02,49.99,True
2012/04/03,50.0,True
2012/04/04,49.85,True
2012/04/05,50.62,True
2012/04/09,50.58,True
2012/04/10,49.36,True
2012/04/11,49.75,True
2012/04/12,50.63,True
2012/04/13,50.96,True
2012/04/16,51.69,True
2012/04/17,52.03,True
2012/04/18,51.81,True
2012/04/19,51.56,True
2012/04/20,51.46,True
2012/04/23,51.1,True
2012/04/24,51.23,True
2012/04/25,51.91,True
2012/04/26,51.87,True
2012/04/27,51.95,True
2012/04/30,51.79,True
2012/05/01,52.32,True
2012/05/02,52.71,True
2012/05/03,52.47,True
2012/05/04,51.96,True
2012/05/07,51.39,True
2012/05/08,50.62,True
2012/05/09,50.11,True
2012/05/10,50.62,True
2012/05/11,50.34,True
2012/05/14,49.88,True
2012/05/15,48.67,True
2012/05/16,48.77,True
2012/05/17,47.02,True
2012/05/18,47.05,True
2012/05/21,47.61,True
2012/05/22,48.26,True
2012/05/23,48.74,True
2012/05/24,49.71,True
2012/05/25,49.44,True
2012/05/29,49.78,True
2012/05/30,49.71,True
2012/05/31,49.34,True
2012/06/01,47.96,True
2012/06/04,48.76,True
2012/06/05,48.92,True
2012/06/06,50.6,True
2012/06/07,51.24,True
2012/06/08,52.35,True
2012/06/11,51.35,True
2012/06/12,52.24,True
2012/06/13,50.97,True
2012/06/14,52.16,True
2012/06/15,51.87,True
2012/06/18,52.32,True
2012/06/19,52.97,True
2012/06/20,52.83,True
2012/06/21,51.26,True
2012/06/22,52.02,True
2012/06/25,51.52,True
2012/06/26,51.88,True
2012/06/27,51.55,True
2012/06/28,51.69,True
2012/06/29,52.99,True
2012/07/02,53.01,True
2012/07/03,51.65,True
2012/07/05,52.11,True
2012/07/06,52.15,True
2012/07/09,52.12,True
2012/07/10,52.22,True
2012/07/11,51.67,True
2012/07/12,51.55,True
2012/07/13,52.09,True
2012/07/16,51.45,True
2012/07/17,50.72,True
2012/07/18,50.91,True
2012/07/19,50.96,True
2012/07/20,50.7,True
2012/07/23,50.96,True
2012/07/24,51.17,True
2012/07/25,51.07,True
2012/07/26,52.91,True
2012/07/27,53.71,True
2012/07/30,53.25,True
2012/07/31,52.18,True
2012/08/01,51.68,True
2012/08/02,51.39,True
2012/08/03,52.29,True
2012/08/06,52.0,True
2012/08/07,52.4,True
2012/08/08,52.79,True
2012/08/09,53.15,True
2012/08/10,53.06,True
2012/08/13,52.82,True
2012/08/14,54.71,True
2012/08/15,55.0,True
2012/08/16,56.31,True
2012/08/17,56.73,True
2012/08/20,56.57,True
2012/08/21,56.32,True
2012/08/22,56.64,True
2012/08/23,56.55,True
2012/08/24,56.96,True
2012/08/27,56.67,True
2012/08/28,56.53,True
2012/08/29,56.84,True
2012/08/30,56.62,True
2012/08/31,56.75,True
2012/09/04,56.79,True
2012/09/05,56.54,True
2012/09/06,57.65,True
2012/09/07,57.26,True
2012/09/10,57.3,True
2012/09/11,56.72,True
2012/09/12,57.05,True
2012/09/13,58.3,True
2012/09/14,59.46,True
2012/09/17,58.91,True
2012/09/18,58.86,True
2012/09/19,59.47,True
2012/09/20,59.28,True
2012/09/21,59.42,True
2012/09/24,59.39,True
2012/09/25,59.72,True
2012/09/26,59.17,True
2012/09/27,59.88,True
2012/09/28,60.37,True
2012/10/01,60.57,True
2012/10/02,60.33,True
2012/10/03,61.77,True
2012/10/04,61.74,True
2012/10/05,63.2,True
2012/10/08,61.88,True
2012/10/09,60.95,True
2012/10/10,59.74,True
2012/10/11,59.01,True
2012/10/12,59.56,True
2012/10/15,60.65,True
2012/10/16,60.86,True
2012/10/17,61.39,True
2012/10/18,61.8,True
2012/10/19,61.89,True
2012/10/22,62.04,True
2012/10/23,61.75,True
2012/10/24,61.28,True
2012/10/25,60.48,True
2012/10/26,60.04,True
2012/10/31,61.38,True
2012/11/01,62.26,True
2012/11/02,62.02,True
2012/11/05,62.38,True
2012/11/06,62.62,True
2012/11/07,61.99,True
2012/11/08,60.86,True
2012/11/09,60.96,True
2012/11/12,61.16,True
2012/11/13,63.38,True
2012/11/14,61.47,True
2012/11/15,61.25,True
2012/11/16,62.12,True
2012/11/19,63.33,True
2012/11/20,63.82,True
2012/11/21,64.09,True
2012/11/23,64.82,True
2012/11/26,64.67,True
2012/11/27,64.16,True
2012/11/28,64.83,True
2012/11/29,64.24,True
2012/11/30,65.07,True
2012/12/03,64.98,True
2012/12/04,64.24,True
2012/12/05,64.02,True
2012/12/06,64.34,True
2012/12/07,64.45,True
2012/12/10,63.04,True
2012/12/11,62.89,True
2012/12/12,62.93,True
2012/12/13,62.41,True
2012/12/14,62.06,True
2012/12/17,63.31,True
2012/12/18,63.0,True
2012/12/19,61.77,True
2012/12/20,61.97,True
2012/12/21,61.32,True
2012/12/24,61.57,True
2012/12/26,61.14,True
2012/12/27,61.07,True
2012/12/28,60.65,True
2012/12/31,61.85,True
2013/01/01,61.895070101199224,False
2013/01/02,62.15244595452531,False
2013/01/03,62.06604143348631,False
2013/01/04,62.26527947217791,False
2013/01/07,62.14035051873984,False
2013/01/08,62.330569041385985,False
2013/01/09,62.25690069403595,False
2013/01/10,62.39496115334693,False
