date,PRC,is_prediction
2012/01/03,32.38,True
2012/01/04,31.8,True
2012/01/05,31.9,True
2012/01/06,32.3,True
2012/01/09,31.86,True
2012/01/10,32.64,True
2012/01/11,33.95,True
2012/01/12,33.77,True
2012/01/13,33.58,True
2012/01/17,34.2,True
2012/01/18,34.34,True
2012/01/19,34.05,True
2012/01/20,33.74,True
2012/01/23,34.0,True
2012/01/24,34.16,True
2012/01/25,35.1,True
2012/01/26,36.48,True
2012/01/27,37.28,True
2012/01/30,37.07,True
2012/01/31,37.68,True
2012/02/01,38.83,True
2012/02/02,38.56,True
2012/02/03,38.45,True
2012/02/06,38.4,True
2012/02/07,37.88,True
2012/02/08,37.99,True
2012/02/09,37.27,True
2012/02/10,36.59,True
2012/02/13,36.55,True
2012/02/14,36.69,True
2012/02/15,36.6,True
2012/02/16,36.43,True
2012/02/17,36.4,True
2012/02/21,36.29,True
2012/02/22,35.91,True
2012/02/23,36.37,True
2012/02/24,36.37,True
2012/02/27,35.92,True
2012/02/28,35.51,True
2012/02/29,35.88,True
2012/03/01,36.38,True
2012/03/02,36.07,True
2012/03/05,36.38,True
2012/03/06,36.11,True
2012/03/07,36.14,True
2012/03/08,36.3,True
2012/03/09,37.46,True
2012/03/12,37.84,True
2012/03/13,37.5,True
2012/03/14,37.15,True
2012/03/15,37.5,True
2012/03/16,37.75,True
2012/03/19,38.18,True
2012/03/20,37.49,True
2012/03/21,37.6,True
2012/03/22,37.18,True
2012/03/23,37.41,True
2012/03/26,38.1,True
2012/03/27,37.9,True
2012/03/28,40.46,True
2012/03/29,40.0,True
2012/03/30,40.24,True
2012/04/02,39.65,True
2012/04/03,40.0,True
2012/04/04,40.33,True
2012/04/05,39.91,True
2012/04/09,39.67,True
2012/04/10,37.9,True
2012/04/11,39.02,True
2012/04/12,39.47,True
2012/04/13,38.73,True
2012/04/16,38.47,True
2012/04/17,38.81,True
2012/04/18,38.66,True
2012/04/19,38.09,True
2012/04/20,39.2,True
2012/04/23,38.86,True
2012/04/24,38.62,True
2012/04/25,38.69,True
2012/04/26,38.95,True
2012/04/27,39.44,True
2012/04/30,39.45,True
2012/05/01,39.4,True
2012/05/02,39.66,True
2012/05/03,39.68,True
2012/05/04,38.74,True
2012/05/07,39.1,True
2012/05/08,39.34,True
2012/05/09,37.1,True
2012/05/10,36.65,True
2012/05/11,36.68,True
2012/05/14,36.43,True
2012/05/15,36.59,True
2012/05/16,36.19,True
2012/05/17,35.9,True
2012/05/18,35.84,True
2012/05/21,35.95,True
2012/05/22,36.22,True
2012/05/23,36.07,True
2012/05/24,36.24,True
2012/05/25,36.42,True
2012/05/29,37.1,True
2012/05/30,36.61,True
2012/05/31,36.78,True
2012/06/01,36.5,True
2012/06/04,36.45,True
2012/06/05,36.13,True
2012/06/06,36.8,True
2012/06/07,36.33,True
2012/06/08,36.23,True
2012/06/11,36.28,True
2012/06/12,36.71,True
2012/06/13,37.08,True
2012/06/14,37.74,True
2012/06/15,38.4,True
2012/06/18,38.75,True
2012/06/19,39.07,True
2012/06/20,40.0,True
2012/06/21,39.29,True
2012/06/22,39.25,True
2012/06/25,38.94,True
2012/06/26,38.92,True
2012/06/27,39.35,True
2012/06/28,39.33,True
2012/06/29,40.24,True
2012/07/02,40.08,True
2012/07/03,40.6,True
2012/07/05,41.13,True
2012/07/06,41.45,True
2012/07/09,41.04,True
2012/07/10,40.39,True
2012/07/11,40.57,True
2012/07/12,39.65,True
2012/07/13,39.84,True
2012/07/16,39.69,True
2012/07/17,39.71,True
2012/07/18,39.62,True
2012/07/19,39.54,True
2012/07/20,38.8,True
2012/07/23,38.58,True
2012/07/24,38.48,True
2012/07/25,39.1,True
2012/07/26,38.74,True
2012/07/27,38.94,True
2012/07/30,39.0,True
2012/07/31,38.99,True
2012/08/01,38.65,True
2012/08/02,38.17,True
2012/08/03,39.17,True
2012/08/06,38.92,True
2012/08/07,38.64,True
2012/08/08,40.23,True
2012/08/09,41.2,True
2012/08/10,40.47,True
2012/08/13,40.34,True
2012/08/14,40.26,True
2012/08/15,40.04,True
2012/08/16,40.39,True
2012/08/17,40.21,True
2012/08/20,40.17,True
2012/08/21,40.18,True
2012/08/22,40.37,True
2012/08/23,39.97,True
2012/08/24,40.06,True
2012/08/27,40.03,True
2012/08/28,39.95,True
2012/08/29,40.0,True
2012/08/30,39.69,True
2012/08/31,40.07,True
2012/09/04,40.4,True
2012/09/05,40.57,True
2012/09/06,40.8,True
2012/09/07,40.75,True
2012/09/10,40.57,True
2012/09/11,40.55,True
2012/09/12,40.97,True
2012/09/13,41.36,True
2012/09/14,41.93,True
2012/09/17,41.54,True
2012/09/18,40.57,True
2012/09/19,41.44,True
2012/09/20,41.69,True
2012/09/21,41.6,True
2012/09/24,41.23,True
2012/09/25,41.65,True
2012/09/26,41.49,True
2012/09/27,42.27,True
2012/09/28,42.05,True
2012/10/01,42.03,True
2012/10/02,42.72,True
2012/10/03,41.37,True
2012/10/04,42.19,True
2012/10/05,42.54,True
2012/10/08,42.06,True
2012/10/09,41.52,True
2012/10/10,41.67,True
2012/10/11,42.67,True
2012/10/12,41.28,True
2012/10/15,40.71,True
2012/10/16,40.99,True
2012/10/17,42.14,True
2012/10/18,41.99,True
2012/10/19,42.03,True
2012/10/22,41.27,True
2012/10/23,41.82,True
2012/10/24,41.37,True
2012/10/25,42.48,True
2012/10/26,41.88,True
2012/10/31,42.38,True
2012/11/01,43.49,True
2012/11/02,43.15,True
2012/11/05,44.01,True
2012/11/06,44.96,True
2012/11/07,43.46,True
2012/11/08,41.29,True
2012/11/09,40.2,True
2012/11/12,39.87,True
2012/11/13,40.4,True
2012/11/14,39.95,True
2012/11/15,40.2,True
2012/11/16,40.3,True
2012/11/19,40.59,True
2012/11/20,40.62,True
2012/11/21,40.88,True
2012/11/23,41.0,True
2012/11/26,41.28,True
2012/11/27,41.11,True
2012/11/28,40.91,True
2012/11/29,41.0,True
2012/11/30,40.85,True
2012/12/03,40.11,True
2012/12/04,40.27,True
2012/12/05,40.24,True
2012/12/06,40.1,True
2012/12/07,40.71,True
2012/12/10,40.99,True
2012/12/11,41.04,True
2012/12/12,41.93,True
2012/12/13,41.46,True
2012/12/14,41.48,True
2012/12/17,41.63,True
2012/12/18,42.41,True
2012/12/19,42.28,True
2012/12/20,43.2,True
2012/12/21,42.95,True
2012/12/24,42.79,True
2012/12/26,42.72,True
2012/12/27,42.45,True
2012/12/28,42.14,True
2012/12/31,43.34,True
2013/01/01,43.379878018018395,False
2013/01/02,43.351094389369806,False
2013/01/03,43.44414179680198,False
2013/01/04,43.57008035608593,False
2013/01/07,43.57551445761412,False
2013/01/08,43.54640671504394,False
2013/01/09,43.60226104097533,False
2013/01/10,43.653600045148366,False
2013/01/11,43.68569614362776,False
2013/01/14,43.7235855161653,False
2013/01/15,43.77422882884202,False
2013/01/16,43.821625552485905,False
2013/01/17,43.86302915805839,False
2013/01/18,43.90656450699987,False
2013/01/21,43.95164599269442,False
2013/01/22,43.99532099881531,False
2013/01/23,44.03817650997361,False
2013/01/24,44.081728069545925,False
2013/01/25,44.1255778795915,False
2013/01/28,44.16910238934005,False
2013/01/29,44.21258204212527,False
2013/01/30,44.256238395696045,False
2013/01/31,44.299910414650405,False
2013/02/01,44.34350337466727,False
2013/02/04,44.38709876951652,False
2013/02/05,44.430727212514356,False
2013/02/06,44.47434726941391,False
2013/02/07,44.51795150807172,False
2013/02/08,44.56156044787484,False
2013/02/11,44.6051756934848,False
2013/02/12,44.64878799207073,False
2013/02/13,44.69239795386354,False
2013/02/14,44.73600972396769,False
