date,PRC,is_prediction
2012/01/03,17.84,True
2012/01/04,17.91,True
2012/01/05,18.36,True
2012/01/06,18.57,True
2012/01/09,18.52,True
2012/01/10,18.75,True
2012/01/11,18.95,True
2012/01/12,19.26,True
2012/01/13,19.26,True
2012/01/17,19.09,True
2012/01/18,19.28,True
2012/01/19,19.64,True
2012/01/20,19.35,True
2012/01/23,19.17,True
2012/01/24,19.41,True
2012/01/25,19.63,True
2012/01/26,19.34,True
2012/01/27,19.38,True
2012/01/30,19.2,True
2012/01/31,20.39,True
2012/02/01,20.71,True
2012/02/02,20.505,True
2012/02/03,21.1,True
2012/02/06,20.79,True
2012/02/07,20.83,True
2012/02/08,20.58,True
2012/02/09,20.92,True
2012/02/10,20.7,True
2012/02/13,20.98,True
2012/02/14,20.855,True
2012/02/15,20.8,True
2012/02/16,21.38,True
2012/02/17,21.45,True
2012/02/21,21.02,True
2012/02/22,21.04,True
2012/02/23,21.07,True
2012/02/24,21.33,True
2012/02/27,21.45,True
2012/02/28,21.5,True
2012/02/29,20.73,True
2012/03/01,20.95,True
2012/03/02,20.44,True
2012/03/05,20.43,True
2012/03/06,20.06,True
2012/03/07,20.25,True
2012/03/08,21.04,True
2012/03/09,20.995,True
2012/03/12,20.56,True
2012/03/13,21.55,True
2012/03/14,21.31,True
2012/03/15,21.26,True
2012/03/16,21.55,True
2012/03/19,21.6,True
2012/03/20,21.23,True
2012/03/21,21.07,True
2012/03/22,21.29,True
2012/03/23,21.09,True
2012/03/26,21.36,True
2012/03/27,21.63,True
2012/03/28,21.84,True
2012/03/29,21.74,True
2012/03/30,21.55,True
2012/04/02,21.78,True
2012/04/03,21.93,True
2012/04/04,21.91,True
2012/04/05,21.9,True
2012/04/09,21.2,True
2012/04/10,20.56,True
2012/04/11,20.815,True
2012/04/12,21.18,True
2012/04/13,20.87,True
2012/04/16,20.6,True
2012/04/17,21.06,True
2012/04/18,20.94,True
2012/04/19,20.675,True
2012/04/20,20.6,True
2012/04/23,20.4,True
2012/04/24,20.33,True
2012/04/25,21.02,True
2012/04/26,21.16,True
2012/04/27,21.23,True
2012/04/30,19.12,True
2012/05/01,18.8,True
2012/05/02,18.1,True
2012/05/03,17.58,True
2012/05/04,17.1,True
2012/05/07,17.09,True
2012/05/08,17.19,True
2012/05/09,17.01,True
2012/05/10,17.24,True
2012/05/11,17.44,True
2012/05/14,17.6,True
2012/05/15,17.5,True
2012/05/16,17.36,True
2012/05/17,16.96,True
2012/05/18,16.74,True
2012/05/21,17.31,True
2012/05/22,17.15,True
2012/05/23,17.21,True
2012/05/24,16.97,True
2012/05/25,16.92,True
2012/05/29,16.99,True
2012/05/30,16.83,True
2012/05/31,16.76,True
2012/06/01,16.32,True
2012/06/04,16.34,True
2012/06/05,16.57,True
2012/06/06,16.92,True
2012/06/07,16.84,True
2012/06/08,16.94,True
2012/06/11,16.67,True
2012/06/12,16.73,True
2012/06/13,16.8,True
2012/06/14,17.11,True
2012/06/15,17.28,True
2012/06/18,17.47,True
2012/06/19,17.91,True
2012/06/20,18.07,True
2012/06/21,17.335,True
2012/06/22,17.71,True
2012/06/25,17.39,True
2012/06/26,17.41,True
2012/06/27,17.76,True
2012/06/28,17.665,True
2012/06/29,18.04,True
2012/07/02,18.44,True
2012/07/03,18.53,True
2012/07/05,18.45,True
2012/07/06,18.29,True
2012/07/09,18.19,True
2012/07/10,18.32,True
2012/07/11,18.16,True
2012/07/12,18.71,True
2012/07/13,19.25,True
2012/07/16,18.97,True
2012/07/17,19.1,True
2012/07/18,19.24,True
2012/07/19,19.24,True
2012/07/20,18.96,True
2012/07/23,18.7,True
2012/07/24,18.445,True
2012/07/25,18.35,True
2012/07/26,17.975,True
2012/07/27,18.6,True
2012/07/30,18.26,True
2012/07/31,18.52,True
2012/08/01,18.75,True
2012/08/02,18.83,True
2012/08/03,19.53,True
2012/08/06,19.65,True
2012/08/07,19.78,True
2012/08/08,19.76,True
2012/08/09,19.8,True
2012/08/10,19.91,True
2012/08/13,19.88,True
2012/08/14,19.86,True
2012/08/15,19.75,True
2012/08/16,19.82,True
2012/08/17,19.88,True
2012/08/20,19.83,True
2012/08/21,19.82,True
2012/08/22,19.67,True
2012/08/23,19.77,True
2012/08/24,19.46,True
2012/08/27,19.51,True
2012/08/28,19.57,True
2012/08/29,19.72,True
2012/08/30,19.71,True
2012/08/31,19.63,True
2012/09/04,19.95,True
2012/09/05,19.99,True
2012/09/06,20.125,True
2012/09/07,20.18,True
2012/09/10,20.04,True
2012/09/11,19.75,True
2012/09/12,19.83,True
2012/09/13,20.21,True
2012/09/14,20.95,True
2012/09/17,20.75,True
2012/09/18,20.79,True
2012/09/19,21.05,True
2012/09/20,20.95,True
2012/09/21,20.74,True
2012/09/24,20.89,True
2012/09/25,20.57,True
2012/09/26,20.33,True
2012/09/27,20.35,True
2012/09/28,20.22,True
2012/10/01,20.4,True
2012/10/02,20.765,True
2012/10/03,21.14,True
2012/10/04,21.55,True
2012/10/05,21.56,True
2012/10/08,21.63,True
2012/10/09,21.45,True
2012/10/10,21.39,True
2012/10/11,21.45,True
2012/10/12,21.5999,True
2012/10/15,21.63,True
2012/10/16,21.72,True
2012/10/17,21.75,True
2012/10/18,21.39,True
2012/10/19,20.4601,True
2012/10/22,20.39,True
2012/10/23,20.32,True
2012/10/24,20.28,True
2012/10/25,20.33,True
2012/10/26,20.55,True
2012/10/31,20.62,True
2012/11/01,21.06,True
2012/11/02,20.91,True
2012/11/05,20.9,True
2012/11/06,20.83,True
2012/11/07,20.3383,True
2012/11/08,20.07,True
2012/11/09,20.32,True
2012/11/12,20.39,True
2012/11/13,20.25,True
2012/11/14,19.86,True
2012/11/15,19.43,True
2012/11/16,19.5,True
2012/11/19,19.435,True
2012/11/20,19.15,True
2012/11/21,19.29,True
2012/11/23,19.48,True
2012/11/26,19.44,True
2012/11/27,18.82,True
2012/11/28,18.97,True
2012/11/29,18.99,True
2012/11/30,19.08,True
2012/12/03,18.68,True
2012/12/04,18.87,True
2012/12/05,19.24,True
2012/12/06,19.25,True
2012/12/07,19.53,True
2012/12/10,19.71,True
2012/12/11,20.08,True
2012/12/12,19.83,True
2012/12/13,19.82,True
2012/12/14,19.7,True
2012/12/17,19.79,True
2012/12/18,20.46,True
2012/12/19,20.39,True
2012/12/20,20.42,True
2012/12/21,20.59,True
2012/12/24,20.4,True
2012/12/26,20.23,True
2012/12/27,20.12,True
2012/12/28,19.91,True
2012/12/31,20.0101,True
2013/01/01,20.019904677506194,False
2013/01/02,20.047221923994783,False
2013/01/03,20.077463688856444,False
2013/01/04,20.107798675689025,False
2013/01/07,20.12557542853347,False
2013/01/08,20.12972217617351,False
2013/01/09,20.13756984559715,False
2013/01/10,20.143825460944736,False
2013/01/11,20.149540716423086,False
2013/01/14,20.156105723454722,False
2013/01/15,20.164258222034626,False
2013/01/16,20.17306787562073,False
2013/01/17,20.18181974215618,False
2013/01/18,20.190747778741773,False
2013/01/21,20.19967698111076,False
2013/01/22,20.20845574109312,False
2013/01/23,20.217096169321458,False
2013/01/24,20.22569284459334,False
2013/01/25,20.234274732503092,False
2013/01/28,20.242841305660594,False
2013/01/29,20.25141539560362,False
2013/01/30,20.26000696691413,False
2013/01/31,20.2686100182873,False
2013/02/01,20.27721749967305,False
2013/02/04,20.285827563778284,False
2013/02/05,20.29443849263285,False
2013/02/06,20.303048016788008,False
2013/02/07,20.31165575569414,False
2013/02/08,20.320262428691706,False
2013/02/11,20.32886854611348,False
2013/02/12,20.33747434993065,False
2013/02/13,20.346080118086093,False
2013/02/14,20.35468604131485,False
2013/02/15,20.36329211112777,False
2013/02/18,20.371898267010433,False
2013/02/19,20.380504459407245,False
2013/02/20,20.389110653954862,False
2013/02/21,20.39771681994106,False
2013/02/22,20.40632294602658,False
2013/02/25,20.41492903172372,False
2013/02/26,20.42353508534186,False
2013/02/27,20.43214111213069,False
2013/02/28,20.44074711604475,False
2013/03/01,20.449353099592823,False
2013/03/04,20.457959064983164,False
2013/03/05,20.466565008535905,False
2013/03/06,20.475170933846165,False
2013/03/07,20.483776841648726,False
2013/03/08,20.492382729594294,False
2013/03/11,20.50098859616116,False
