date,PRC,is_prediction
2012/01/03,55.58,True
2012/01/04,55.53,True
2012/01/05,55.59,True
2012/01/06,55.18,True
2012/01/09,55.64,True
2012/01/10,56.58,True
2012/01/11,56.46,True
2012/01/12,57.19,True
2012/01/13,56.7,True
2012/01/17,57.16,True
2012/01/18,58.19,True
2012/01/19,58.5,True
2012/01/20,57.38,True
2012/01/23,57.62,True
2012/01/24,57.63,True
2012/01/25,58.1,True
2012/01/26,57.83,True
2012/01/27,58.27,True
2012/01/30,58.18,True
2012/01/31,58.04,True
2012/02/01,58.94,True
2012/02/02,59.03,True
2012/02/03,60.74,True
2012/02/06,60.31,True
2012/02/07,60.16,True
2012/02/08,59.87,True
2012/02/09,59.89,True
2012/02/10,59.33,True
2012/02/13,60.14,True
2012/02/14,59.84,True
2012/02/15,59.0,True
2012/02/16,59.47,True
2012/02/17,60.1,True
2012/02/21,59.89,True
2012/02/22,59.51,True
2012/02/23,59.0,True
2012/02/24,59.27,True
2012/02/27,59.7,True
2012/02/28,59.75,True
2012/02/29,59.57,True
2012/03/01,60.12,True
2012/03/02,59.75,True
2012/03/05,59.1,True
2012/03/06,57.77,True
2012/03/07,57.74,True
2012/03/08,59.49,True
2012/03/09,59.78,True
2012/03/12,59.26,True
2012/03/13,60.37,True
2012/03/14,60.52,True
2012/03/15,60.85,True
2012/03/16,60.37,True
2012/03/19,60.46,True
2012/03/20,59.48,True
2012/03/21,59.47,True
2012/03/22,59.75,True
2012/03/23,60.16,True
2012/03/26,61.78,True
2012/03/27,61.3,True
2012/03/28,60.75,True
2012/03/29,60.7,True
2012/03/30,61.05,True
2012/04/02,61.12,True
2012/04/03,60.63,True
2012/04/04,60.15,True
2012/04/05,59.49,True
2012/04/09,57.89,True
2012/04/10,56.58,True
2012/04/11,57.08,True
2012/04/12,58.79,True
2012/04/13,58.07,True
2012/04/16,58.0,True
2012/04/17,58.93,True
2012/04/18,58.73,True
2012/04/19,58.0,True
2012/04/20,59.39,True
2012/04/23,59.2,True
2012/04/24,59.93,True
2012/04/25,60.48,True
2012/04/26,61.0,True
2012/04/27,61.29,True
2012/04/30,60.66,True
2012/05/01,60.93,True
2012/05/02,60.64,True
2012/05/03,60.47,True
2012/05/04,59.31,True
2012/05/07,59.52,True
2012/05/08,59.37,True
2012/05/09,58.37,True
2012/05/10,58.57,True
2012/05/11,58.55,True
2012/05/14,58.15,True
2012/05/15,57.48,True
2012/05/16,57.14,True
2012/05/17,55.48,True
2012/05/18,55.23,True
2012/05/21,57.03,True
2012/05/22,57.28,True
2012/05/23,57.62,True
2012/05/24,57.27,True
2012/05/25,56.75,True
2012/05/29,57.2,True
2012/05/30,56.2,True
2012/05/31,55.66,True
2012/06/01,53.94,True
2012/06/04,53.2,True
2012/06/05,53.29,True
2012/06/06,54.66,True
2012/06/07,55.37,True
2012/06/08,55.99,True
2012/06/11,55.13,True
2012/06/12,56.05,True
2012/06/13,55.12,True
2012/06/14,55.22,True
2012/06/15,56.04,True
2012/06/18,55.88,True
2012/06/19,56.58,True
2012/06/20,56.54,True
2012/06/21,55.43,True
2012/06/22,55.51,True
2012/06/25,53.72,True
2012/06/26,53.26,True
2012/06/27,54.0,True
2012/06/28,52.92,True
2012/06/29,55.84,True
2012/07/02,55.16,True
2012/07/03,55.59,True
2012/07/05,56.09,True
2012/07/06,54.89,True
2012/07/09,55.21,True
2012/07/10,53.71,True
2012/07/11,53.7,True
2012/07/12,53.6,True
2012/07/13,54.58,True
2012/07/16,54.48,True
2012/07/17,54.54,True
2012/07/18,58.18,True
2012/07/19,57.95,True
2012/07/20,57.74,True
2012/07/23,57.44,True
2012/07/24,56.68,True
2012/07/25,56.8,True
2012/07/26,57.74,True
2012/07/27,59.01,True
2012/07/30,58.39,True
2012/07/31,58.05,True
2012/08/01,58.0,True
2012/08/02,57.32,True
2012/08/03,58.91,True
2012/08/06,58.64,True
2012/08/07,58.57,True
2012/08/08,58.93,True
2012/08/09,58.97,True
2012/08/10,59.01,True
2012/08/13,58.71,True
2012/08/14,58.43,True
2012/08/15,58.47,True
2012/08/16,58.76,True
2012/08/17,59.5,True
2012/08/20,59.5,True
2012/08/21,59.11,True
2012/08/22,58.88,True
2012/08/23,58.48,True
2012/08/24,58.36,True
2012/08/27,58.39,True
2012/08/28,58.56,True
2012/08/29,58.73,True
2012/08/30,58.11,True
2012/08/31,58.45,True
2012/09/04,57.52,True
2012/09/05,57.37,True
2012/09/06,59.02,True
2012/09/07,59.9,True
2012/09/10,59.56,True
2012/09/11,59.79,True
2012/09/12,60.1,True
2012/09/13,61.12,True
2012/09/14,61.02,True
2012/09/17,61.72,True
2012/09/18,61.39,True
2012/09/19,61.28,True
2012/09/20,60.55,True
2012/09/21,60.52,True
2012/09/24,60.13,True
2012/09/25,59.31,True
2012/09/26,59.44,True
2012/09/27,60.24,True
2012/09/28,59.75,True
2012/10/01,60.8,True
2012/10/02,61.45,True
2012/10/03,60.96,True
2012/10/04,61.27,True
2012/10/05,61.43,True
2012/10/08,61.28,True
2012/10/09,60.68,True
2012/10/10,60.24,True
2012/10/11,60.29,True
2012/10/12,60.2,True
2012/10/15,60.85,True
2012/10/16,61.52,True
2012/10/17,61.89,True
2012/10/18,61.42,True
2012/10/19,62.49,True
2012/10/22,62.28,True
2012/10/23,61.55,True
2012/10/24,61.02,True
2012/10/25,61.43,True
2012/10/26,61.49,True
2012/10/31,61.24,True
2012/11/01,62.63,True
2012/11/02,62.43,True
2012/11/05,62.8,True
2012/11/06,63.53,True
2012/11/07,62.12,True
2012/11/08,61.3,True
2012/11/09,60.83,True
2012/11/12,61.44,True
2012/11/13,61.24,True
2012/11/14,59.96,True
2012/11/15,59.33,True
2012/11/16,59.15,True
2012/11/19,60.44,True
2012/11/20,60.61,True
2012/11/21,60.59,True
2012/11/23,61.26,True
2012/11/26,60.66,True
2012/11/27,60.62,True
2012/11/28,61.24,True
2012/11/29,61.34,True
2012/11/30,61.33,True
2012/12/03,60.59,True
2012/12/04,60.52,True
2012/12/05,61.57,True
2012/12/06,61.52,True
2012/12/07,61.97,True
2012/12/10,61.86,True
2012/12/11,61.65,True
2012/12/12,61.1,True
2012/12/13,61.74,True
2012/12/14,61.55,True
2012/12/17,62.39,True
2012/12/18,63.96,True
2012/12/19,63.77,True
2012/12/20,64.29,True
2012/12/21,64.21,True
2012/12/24,63.67,True
2012/12/26,63.81,True
2012/12/27,63.74,True
2012/12/28,62.92,True
2012/12/31,63.47,True
2013/01/01,63.557427669626556,False
2013/01/02,63.64082174056369,False
2013/01/03,63.807931650532254,False
2013/01/04,63.76154904760617,False
2013/01/07,63.864633350939094,False
2013/01/08,63.80631582741751,False
2013/01/09,63.81513755582794,False
2013/01/10,63.86168899177644,False
2013/01/11,63.868164596777426,False
2013/01/14,63.929163257391366,False
2013/01/15,63.95806849614143,False
2013/01/16,63.9985340884256,False
2013/01/17,64.03584591167126,False
2013/01/18,64.05982553266075,False
2013/01/21,64.09527569880271,False
2013/01/22,64.12219894173762,False
2013/01/23,64.15419245160786,False
2013/01/24,64.18708446744786,False
2013/01/25,64.21830660741558,False
2013/01/28,64.25245737078792,False
2013/01/29,64.28411303312649,False
2013/01/30,64.31667004151828,False
2013/01/31,64.34885641953088,False
2013/02/01,64.38047727023424,False
2013/02/04,64.41278941027007,False
2013/02/05,64.4446031260097,False
2013/02/06,64.47681061080408,False
2013/02/07,64.50898752580329,False
2013/02/08,64.54108213262357,False
2013/02/11,64.57332236362338,False
2013/02/12,64.60540030871601,False
2013/02/13,64.63754804406028,False
2013/02/14,64.66966180536465,False
2013/02/15,64.70175854232669,False
2013/02/18,64.73389606186679,False
2013/02/19,64.76600371010932,False
2013/02/20,64.79813779127727,False
2013/02/21,64.83026461226645,False
2013/02/22,64.86238809229515,False
2013/02/25,64.89451828884242,False
2013/02/26,64.92663845797235,False
2013/02/27,64.95876416887138,False
2013/02/28,64.99088723670882,False
2013/03/01,65.02301032646076,False
2013/03/04,65.05513561115029,False
2013/03/05,65.08725905618917,False
2013/03/06,65.11938417736634,False
2013/03/07,65.1515084943523,False
2013/03/08,65.18363274199987,False
2013/03/11,65.21575728025576,False
