date,PRC,is_prediction
2012/01/03,61.79,True
2012/01/04,62.57,True
2012/01/05,63.04,True
2012/01/06,63.62,True
2012/01/09,64.3,True
2012/01/10,65.13,True
2012/01/11,62.19,True
2012/01/12,59.3,True
2012/01/13,58.51,True
2012/01/17,57.34,True
2012/01/18,61.0,True
2012/01/19,60.89,True
2012/01/20,59.54,True
2012/01/23,60.39,True
2012/01/24,61.53,True
2012/01/25,62.95,True
2012/01/26,60.76,True
2012/01/27,60.57,True
2012/01/30,60.33,True
2012/01/31,61.71,True
2012/02/01,61.5,True
2012/02/02,61.81,True
2012/02/03,61.62,True
2012/02/06,60.95,True
2012/02/07,60.98,True
2012/02/08,60.79,True
2012/02/09,59.94,True
2012/02/10,59.27,True
2012/02/13,59.31,True
2012/02/14,59.09,True
2012/02/15,58.83,True
2012/02/16,60.32,True
2012/02/17,63.28,True
2012/02/21,62.28,True
2012/02/22,63.1,True
2012/02/23,62.7,True
2012/02/24,62.72,True
2012/02/27,62.16,True
2012/02/28,61.37,True
2012/02/29,61.3,True
2012/03/01,62.38,True
2012/03/02,60.77,True
2012/03/05,59.47,True
2012/03/06,57.85,True
2012/03/07,59.09,True
2012/03/08,60.43,True
2012/03/09,60.85,True
2012/03/12,59.2,True
2012/03/13,60.1,True
2012/03/14,58.81,True
2012/03/15,58.61,True
2012/03/16,59.32,True
2012/03/19,59.13,True
2012/03/20,57.83,True
2012/03/21,56.68,True
2012/03/22,54.8,True
2012/03/23,55.52,True
2012/03/26,55.0,True
2012/03/27,54.54,True
2012/03/28,53.17,True
2012/03/29,52.4,True
2012/03/30,53.95,True
2012/04/02,54.96,True
2012/04/03,54.77,True
2012/04/04,53.67,True
2012/04/05,53.5,True
2012/04/09,53.62,True
2012/04/10,52.07,True
2012/04/11,52.2,True
2012/04/12,54.38,True
2012/04/13,52.22,True
2012/04/16,51.41,True
2012/04/17,52.57,True
2012/04/18,52.42,True
2012/04/19,52.33,True
2012/04/20,51.5,True
2012/04/23,51.9,True
2012/04/24,52.77,True
2012/04/25,54.58,True
2012/04/26,52.87,True
2012/04/27,50.99,True
2012/04/30,51.39,True
2012/05/01,51.83,True
2012/05/02,50.81,True
2012/05/03,49.28,True
2012/05/04,47.47,True
2012/05/07,47.63,True
2012/05/08,47.61,True
2012/05/09,46.99,True
2012/05/10,46.38,True
2012/05/11,45.94,True
2012/05/14,45.03,True
2012/05/15,43.86,True
2012/05/16,43.43,True
2012/05/17,43.55,True
2012/05/18,43.47,True
2012/05/21,45.19,True
2012/05/22,45.56,True
2012/05/23,46.57,True
2012/05/24,45.83,True
2012/05/25,46.25,True
2012/05/29,47.1,True
2012/05/30,45.98,True
2012/05/31,45.3,True
2012/06/01,44.32,True
2012/06/04,45.12,True
2012/06/05,46.09,True
2012/06/06,47.29,True
2012/06/07,47.04,True
2012/06/08,46.09,True
2012/06/11,44.66,True
2012/06/12,45.56,True
2012/06/13,43.66,True
2012/06/14,43.64,True
2012/06/15,44.52,True
2012/06/18,44.66,True
2012/06/19,46.19,True
2012/06/20,45.6,True
2012/06/21,42.29,True
2012/06/22,41.83,True
2012/06/25,39.34,True
2012/06/26,39.18,True
2012/06/27,40.78,True
2012/06/28,41.53,True
2012/06/29,43.48,True
2012/07/02,43.23,True
2012/07/03,45.75,True
2012/07/05,44.75,True
2012/07/06,44.0,True
2012/07/09,43.47,True
2012/07/10,42.28,True
2012/07/11,43.37,True
2012/07/12,42.66,True
2012/07/13,43.19,True
2012/07/16,42.99,True
2012/07/17,44.41,True
2012/07/18,45.66,True
2012/07/19,45.75,True
2012/07/20,45.59,True
2012/07/23,45.24,True
2012/07/24,44.24,True
2012/07/25,43.25,True
2012/07/26,45.77,True
2012/07/27,48.59,True
2012/07/30,48.05,True
2012/07/31,46.5,True
2012/08/01,47.0,True
2012/08/02,46.08,True
2012/08/03,46.99,True
2012/08/06,47.44,True
2012/08/07,48.2,True
2012/08/08,47.95,True
2012/08/09,48.83,True
2012/08/10,49.92,True
2012/08/13,48.3,True
2012/08/14,47.98,True
2012/08/15,47.58,True
2012/08/16,48.54,True
2012/08/17,49.31,True
2012/08/20,49.22,True
2012/08/21,48.66,True
2012/08/22,48.12,True
2012/08/23,46.99,True
2012/08/24,46.87,True
2012/08/27,46.25,True
2012/08/28,45.93,True
2012/08/29,45.18,True
2012/08/30,44.89,True
2012/08/31,45.64,True
2012/09/04,44.27,True
2012/09/05,44.27,True
2012/09/06,45.79,True
2012/09/07,48.0,True
2012/09/10,46.95,True
2012/09/11,48.32,True
2012/09/12,48.29,True
2012/09/13,49.99,True
2012/09/14,51.49,True
2012/09/17,49.79,True
2012/09/18,49.31,True
2012/09/19,49.09,True
2012/09/20,48.92,True
2012/09/21,49.15,True
2012/09/24,48.22,True
2012/09/25,46.67,True
2012/09/26,46.43,True
2012/09/27,47.94,True
2012/09/28,47.61,True
2012/10/01,46.89,True
2012/10/02,47.19,True
2012/10/03,45.22,True
2012/10/04,46.35,True
2012/10/05,47.05,True
2012/10/08,46.58,True
2012/10/09,48.55,True
2012/10/10,47.66,True
2012/10/11,48.26,True
2012/10/12,49.6,True
2012/10/15,50.31,True
2012/10/16,51.28,True
2012/10/17,51.49,True
2012/10/18,51.53,True
2012/10/19,50.17,True
2012/10/22,50.42,True
2012/10/23,49.17,True
2012/10/24,48.65,True
2012/10/25,49.03,True
2012/10/26,48.09,True
2012/10/31,47.8,True
2012/11/01,49.61,True
2012/11/02,47.65,True
2012/11/05,48.74,True
2012/11/06,49.34,True
2012/11/07,47.06,True
2012/11/08,45.75,True
2012/11/09,45.92,True
2012/11/12,46.69,True
2012/11/13,46.81,True
2012/11/14,46.06,True
2012/11/15,48.85,True
2012/11/16,49.92,True
2012/11/19,51.64,True
2012/11/20,51.13,True
2012/11/21,51.01,True
2012/11/23,51.59,True
2012/11/26,50.7,True
2012/11/27,50.11,True
2012/11/28,50.66,True
2012/11/29,51.39,True
2012/11/30,52.2,True
2012/12/03,52.65,True
2012/12/04,54.18,True
2012/12/05,54.98,True
2012/12/06,54.77,True
2012/12/07,55.46,True
2012/12/10,55.49,True
2012/12/11,55.23,True
2012/12/12,54.64,True
2012/12/13,54.17,True
2012/12/14,53.67,True
2012/12/17,54.3,True
2012/12/18,56.23,True
2012/12/19,56.25,True
2012/12/20,56.98,True
2012/12/21,56.43,True
2012/12/24,56.0,True
2012/12/26,55.75,True
2012/12/27,55.38,True
2012/12/28,54.56,True
2012/12/31,56.01,True
2013/01/01,56.165378903978485,False
2013/01/02,56.19925717019154,False
2013/01/03,56.202037073244426,False
2013/01/04,56.01849136014391,False
2013/01/07,56.13832123095365,False
2013/01/08,56.04749485508468,False
2013/01/09,55.86312342354277,False
2013/01/10,55.82316089540433,False
2013/01/11,55.786196260552124,False
2013/01/14,55.803090777732926,False
2013/01/15,55.79888141085839,False
2013/01/16,55.76327941923235,False
2013/01/17,55.7591743441368,False
2013/01/18,55.74776441959919,False
2013/01/21,55.72638964256319,False
2013/01/22,55.69949380309805,False
2013/01/23,55.66611287815326,False
2013/01/24,55.64104399558267,False
2013/01/25,55.61768165875824,False
2013/01/28,55.59226963762337,False
2013/01/29,55.56830180563462,False
2013/01/30,55.544775235798355,False
2013/01/31,55.52265028218718,False
2013/02/01,55.50045792335478,False
2013/02/04,55.476906660057466,False
2013/02/05,55.45326322309075,False
2013/02/06,55.42962508805738,False
2013/02/07,55.405973255528394,False
2013/02/08,55.38228626397939,False
2013/02/11,55.3584315914577,False
