date,PRC,is_prediction
2012/01/03,26.62,True
2012/01/04,26.6,True
2012/01/05,26.5,True
2012/01/06,26.4,True
2012/01/09,26.44,True
2012/01/10,26.69,True
2012/01/11,26.635,True
2012/01/12,26.95,True
2012/01/13,26.49,True
2012/01/17,26.455,True
2012/01/18,27.0,True
2012/01/19,27.15,True
2012/01/20,28.13,True
2012/01/23,28.68,True
2012/01/24,28.52,True
2012/01/25,28.32,True
2012/01/26,27.99,True
2012/01/27,27.88,True
2012/01/30,27.88,True
2012/01/31,27.98,True
2012/02/01,28.76,True
2012/02/02,28.5,True
2012/02/03,29.07,True
2012/02/06,28.76,True
2012/02/07,28.95,True
2012/02/08,29.46,True
2012/02/09,29.11,True
2012/02/10,28.7,True
2012/02/13,28.75,True
2012/02/14,29.08,True
2012/02/15,29.12,True
2012/02/16,29.885,True
2012/02/17,29.59,True
2012/02/21,29.35,True
2012/02/22,28.94,True
2012/02/23,27.05,True
2012/02/24,26.64,True
2012/02/27,26.25,True
2012/02/28,26.18,True
2012/02/29,25.31,True
2012/03/01,25.25,True
2012/03/02,25.32,True
2012/03/05,25.01,True
2012/03/06,24.17,True
2012/03/07,24.36,True
2012/03/08,24.64,True
2012/03/09,24.18,True
2012/03/12,24.04,True
2012/03/13,24.57,True
2012/03/14,24.34,True
2012/03/15,24.4,True
2012/03/16,24.49,True
2012/03/19,24.34,True
2012/03/20,23.98,True
2012/03/21,23.46,True
2012/03/22,23.03,True
2012/03/23,23.63,True
2012/03/26,23.89,True
2012/03/27,23.62,True
2012/03/28,23.58,True
2012/03/29,23.51,True
2012/03/30,23.83,True
2012/04/02,23.88,True
2012/04/03,23.45,True
2012/04/04,23.27,True
2012/04/05,23.11,True
2012/04/09,23.14,True
2012/04/10,23.27,True
2012/04/11,23.41,True
2012/04/12,25.1,True
2012/04/13,24.57,True
2012/04/16,24.31,True
2012/04/17,24.72,True
2012/04/18,24.93,True
2012/04/19,24.71,True
2012/04/20,24.51,True
2012/04/23,24.27,True
2012/04/24,24.44,True
2012/04/25,24.83,True
2012/04/26,24.87,True
2012/04/27,24.75,True
2012/04/30,24.76,True
2012/05/01,25.17,True
2012/05/02,25.25,True
2012/05/03,24.48,True
2012/05/04,24.27,True
2012/05/07,23.87,True
2012/05/08,23.32,True
2012/05/09,23.33,True
2012/05/10,23.51,True
2012/05/11,23.15,True
2012/05/14,22.965,True
2012/05/15,22.4,True
2012/05/16,22.03,True
2012/05/17,22.06,True
2012/05/18,21.46,True
2012/05/21,21.89,True
2012/05/22,21.78,True
2012/05/23,21.08,True
2012/05/24,21.77,True
2012/05/25,22.33,True
2012/05/29,22.8,True
2012/05/30,22.74,True
2012/05/31,22.68,True
2012/06/01,21.25,True
2012/06/04,21.06,True
2012/06/05,21.68,True
2012/06/06,22.35,True
2012/06/07,22.06,True
2012/06/08,22.31,True
2012/06/11,21.41,True
2012/06/12,21.7,True
2012/06/13,21.48,True
2012/06/14,21.59,True
2012/06/15,21.64,True
2012/06/18,21.05,True
2012/06/19,20.81,True
2012/06/20,21.16,True
2012/06/21,20.295,True
2012/06/22,20.37,True
2012/06/25,19.545,True
2012/06/26,19.355,True
2012/06/27,19.51,True
2012/06/28,19.36,True
2012/06/29,20.11,True
2012/07/02,20.16,True
2012/07/03,20.36,True
2012/07/05,20.28,True
2012/07/06,19.57,True
2012/07/09,19.43,True
2012/07/10,19.11,True
2012/07/11,19.69,True
2012/07/12,19.35,True
2012/07/13,18.98,True
2012/07/16,18.81,True
2012/07/17,18.87,True
2012/07/18,19.3,True
2012/07/19,19.095,True
2012/07/20,18.605,True
2012/07/23,18.3,True
2012/07/24,17.985,True
2012/07/25,17.78,True
2012/07/26,18.01,True
2012/07/27,18.565,True
2012/07/30,18.26,True
2012/07/31,18.24,True
2012/08/01,17.66,True
2012/08/02,17.55,True
2012/08/03,18.26,True
2012/08/06,18.69,True
2012/08/07,18.96,True
2012/08/08,19.41,True
2012/08/09,19.41,True
2012/08/10,19.7,True
2012/08/13,19.62,True
2012/08/14,19.36,True
2012/08/15,19.29,True
2012/08/16,19.52,True
2012/08/17,19.52,True
2012/08/20,20.09,True
2012/08/21,19.93,True
2012/08/22,19.2,True
2012/08/23,17.635,True
2012/08/24,17.58,True
2012/08/27,17.21,True
2012/08/28,16.9,True
2012/08/29,16.94,True
