date,PRC,is_prediction
2012/01/03,16.24,True
2012/01/04,16.13,True
2012/01/05,16.24,True
2012/01/06,16.26,True
2012/01/09,16.26,True
2012/01/10,16.25,True
2012/01/11,16.36,True
2012/01/12,16.39,True
2012/01/13,16.4,True
2012/01/17,16.21,True
2012/01/18,16.25,True
2012/01/19,16.25,True
2012/01/20,16.49,True
2012/01/23,16.92,True
2012/01/24,16.87,True
2012/01/25,16.9,True
2012/01/26,16.92,True
2012/01/27,16.77,True
2012/01/30,16.58,True
2012/01/31,16.36,True
2012/02/01,17.0,True
2012/02/02,16.83,True
2012/02/03,17.2,True
2012/02/06,17.19,True
2012/02/07,17.14,True
2012/02/08,17.16,True
2012/02/09,17.02,True
2012/02/10,16.8,True
2012/02/13,16.43,True
2012/02/14,16.21,True
2012/02/15,16.11,True
2012/02/16,16.25,True
2012/02/17,16.2,True
2012/02/21,16.28,True
2012/02/22,16.19,True
2012/02/23,16.12,True
2012/02/24,16.38,True
2012/02/27,16.48,True
2012/02/28,16.53,True
2012/02/29,16.3,True
2012/03/01,16.44,True
2012/03/02,16.32,True
2012/03/05,16.2,True
2012/03/06,15.99,True
2012/03/07,15.87,True
2012/03/08,15.97,True
2012/03/09,15.9,True
2012/03/12,16.25,True
2012/03/13,16.61,True
2012/03/14,16.5,True
2012/03/15,16.74,True
2012/03/16,16.91,True
2012/03/19,16.91,True
2012/03/20,17.15,True
2012/03/21,16.9,True
2012/03/22,16.88,True
2012/03/23,16.8,True
2012/03/26,17.12,True
2012/03/27,16.99,True
2012/03/28,16.82,True
2012/03/29,16.7,True
2012/03/30,16.47,True
2012/04/02,16.68,True
2012/04/03,17.12,True
2012/04/04,16.99,True
2012/04/05,17.03,True
2012/04/09,16.76,True
2012/04/10,16.66,True
2012/04/11,16.81,True
2012/04/12,16.99,True
2012/04/13,16.88,True
2012/04/16,16.7,True
2012/04/17,16.92,True
2012/04/18,16.99,True
2012/04/19,16.88,True
2012/04/20,16.8,True
2012/04/23,16.47,True
2012/04/24,16.59,True
2012/04/25,16.74,True
2012/04/26,14.95,True
2012/04/27,14.96,True
2012/04/30,14.7,True
2012/05/01,14.66,True
2012/05/02,14.6,True
2012/05/03,14.61,True
2012/05/04,14.54,True
2012/05/07,14.48,True
2012/05/08,14.47,True
2012/05/09,14.52,True
2012/05/10,14.58,True
2012/05/11,14.57,True
2012/05/14,14.59,True
2012/05/15,14.59,True
2012/05/16,14.69,True
2012/05/17,14.48,True
2012/05/18,14.52,True
2012/05/21,14.78,True
2012/05/22,14.73,True
2012/05/23,15.03,True
2012/05/24,14.99,True
2012/05/25,15.19,True
2012/05/29,15.41,True
2012/05/30,15.38,True
2012/05/31,15.27,True
2012/06/01,15.06,True
2012/06/04,15.35,True
2012/06/05,15.53,True
2012/06/06,15.74,True
2012/06/07,15.42,True
2012/06/08,15.45,True
2012/06/11,15.23,True
2012/06/12,15.12,True
2012/06/13,15.16,True
2012/06/14,15.36,True
2012/06/15,15.6,True
2012/06/18,15.5,True
2012/06/19,15.46,True
2012/06/20,15.56,True
2012/06/21,15.32,True
2012/06/22,15.47,True
2012/06/25,15.21,True
2012/06/26,15.09,True
2012/06/27,15.67,True
2012/06/28,15.85,True
2012/06/29,15.98,True
2012/07/02,15.99,True
2012/07/03,15.98,True
2012/07/05,16.15,True
2012/07/06,16.15,True
2012/07/09,16.08,True
2012/07/10,16.04,True
2012/07/11,16.1,True
2012/07/12,16.29,True
2012/07/13,16.52,True
2012/07/16,16.46,True
2012/07/17,16.68,True
2012/07/18,16.74,True
2012/07/19,16.58,True
2012/07/20,16.55,True
2012/07/23,16.33,True
2012/07/24,16.06,True
2012/07/25,16.04,True
2012/07/26,16.1,True
2012/07/27,16.21,True
2012/07/30,16.34,True
2012/07/31,16.13,True
2012/08/01,16.0,True
2012/08/02,15.6,True
2012/08/03,15.91,True
2012/08/06,15.94,True
2012/08/07,15.94,True
2012/08/08,15.99,True
2012/08/09,16.12,True
2012/08/10,16.11,True
2012/08/13,16.21,True
2012/08/14,16.25,True
2012/08/15,16.27,True
2012/08/16,16.48,True
2012/08/17,16.48,True
2012/08/20,16.96,True
2012/08/21,16.74,True
2012/08/22,16.58,True
2012/08/23,16.37,True
2012/08/24,16.35,True
2012/08/27,16.24,True
2012/08/28,16.19,True
2012/08/29,16.34,True
2012/08/30,16.55,True
2012/08/31,16.56,True
2012/09/04,16.5,True
2012/09/05,16.23,True
2012/09/06,16.25,True
2012/09/07,16.33,True
2012/09/10,16.5,True
2012/09/11,16.51,True
2012/09/12,16.47,True
2012/09/13,16.75,True
2012/09/14,16.93,True
2012/09/17,16.71,True
2012/09/18,16.88,True
2012/09/19,17.03,True
2012/09/20,17.01,True
2012/09/21,17.0,True
2012/09/24,17.1,True
2012/09/25,16.95,True
2012/09/26,17.01,True
2012/09/27,17.33,True
2012/09/28,17.33,True
2012/10/01,17.64,True
2012/10/02,17.63,True
2012/10/03,17.75,True
2012/10/04,17.89,True
2012/10/05,17.96,True
2012/10/08,17.82,True
2012/10/09,17.62,True
2012/10/10,16.67,True
2012/10/11,16.96,True
2012/10/12,16.92,True
2012/10/15,17.03,True
2012/10/16,17.12,True
2012/10/17,17.19,True
2012/10/18,17.29,True
2012/10/19,17.11,True
2012/10/22,17.74,True
2012/10/23,17.68,True
2012/10/24,17.54,True
2012/10/25,17.81,True
2012/10/26,17.75,True
2012/10/31,17.7,True
2012/11/01,18.13,True
2012/11/02,17.92,True
2012/11/05,18.07,True
2012/11/06,18.28,True
2012/11/07,17.99,True
2012/11/08,17.79,True
2012/11/09,17.77,True
2012/11/12,17.82,True
2012/11/13,17.82,True
2012/11/14,17.64,True
2012/11/15,17.62,True
2012/11/16,17.85,True
2012/11/19,18.03,True
2012/11/20,17.97,True
2012/11/21,17.98,True
2012/11/23,18.23,True
2012/11/26,18.09,True
2012/11/27,18.12,True
2012/11/28,18.09,True
2012/11/29,18.16,True
2012/11/30,18.03,True
2012/12/03,17.96,True
2012/12/04,17.85,True
2012/12/05,17.57,True
2012/12/06,18.26,True
2012/12/07,18.59,True
2012/12/10,18.45,True
2012/12/11,18.39,True
2012/12/12,18.7,True
2012/12/13,18.68,True
2012/12/14,18.6,True
2012/12/17,19.06,True
2012/12/18,19.19,True
2012/12/19,19.04,True
2012/12/20,18.95,True
2012/12/21,18.64,True
2012/12/24,18.61,True
2012/12/26,18.31,True
2012/12/27,18.47,True
2012/12/28,18.24,True
2012/12/31,18.57,True
2013/01/01,18.59720900636029,False
2013/01/02,18.607901380357195,False
2013/01/03,18.648595099444975,False
2013/01/04,18.64207602141919,False
2013/01/07,18.651307191756434,False
2013/01/08,18.659634440906952,False
2013/01/09,18.6559648525071,False
2013/01/10,18.666344375067876,False
2013/01/11,18.674791202831926,False
2013/01/14,18.68359430659732,False
2013/01/15,18.69450689696539,False
2013/01/16,18.703919864820442,False
2013/01/17,18.713843983535277,False
2013/01/18,18.72374237721867,False
2013/01/21,18.73307868533598,False
2013/01/22,18.742592921650832,False
2013/01/23,18.751995859104756,False
2013/01/24,18.761369187191185,False
2013/01/25,18.77081831757015,False
2013/01/28,18.780237131716056,False
2013/01/29,18.789680805520593,False
2013/01/30,18.799140019206973,False
2013/01/31,18.808590601886074,False
2013/02/01,18.81804821158918,False
2013/02/04,18.82750296934698,False
2013/02/05,18.836954987930266,False
2013/02/06,18.846408002742663,False
2013/02/07,18.85585922761411,False
2013/02/08,18.865310397147063,False
2013/02/11,18.874761853374512,False
2013/02/12,18.884213065438917,False
2013/02/13,18.893664575123104,False
2013/02/14,18.903116146588644,False
2013/02/15,18.91256771229717,False
2013/02/18,18.92201935746438,False
2013/02/19,18.931470973836063,False
2013/02/20,18.94092258315491,False
2013/02/21,18.950374192057836,False
2013/02/22,18.959825783056584,False
2013/02/25,18.96927737304565,False
2013/02/26,18.978728961341716,False
2013/02/27,18.988180546393945,False
2013/02/28,18.99763213402449,False
2013/03/01,19.007083721281436,False
2013/03/04,19.016535308177126,False
2013/03/05,19.025986894836617,False
2013/03/06,19.03543848055083,False
2013/03/07,19.044890065530225,False
2013/03/08,19.05434164963931,False
2013/03/11,19.063793232750044,False
