date,PRC,is_prediction
2012/01/03,65.76,True
2012/01/04,65.56,True
2012/01/05,66.22,True
2012/01/06,66.13,True
2012/01/09,65.89,True
2012/01/10,66.7,True
2012/01/11,67.96,True
2012/01/12,68.0,True
2012/01/13,67.92,True
2012/01/17,68.12,True
2012/01/18,68.72,True
2012/01/19,68.86,True
2012/01/20,69.45,True
2012/01/23,69.2,True
2012/01/24,69.52,True
2012/01/25,70.63,True
2012/01/26,70.5,True
2012/01/27,71.0,True
2012/01/30,70.91,True
2012/01/31,70.89,True
2012/02/01,72.69,True
2012/02/02,73.09,True
2012/02/03,73.16,True
2012/02/06,72.99,True
2012/02/07,72.58,True
2012/02/08,71.94,True
2012/02/09,71.27,True
2012/02/10,71.24,True
2012/02/13,72.11,True
2012/02/14,73.15,True
2012/02/15,73.13,True
2012/02/16,75.67,True
2012/02/17,74.79,True
2012/02/21,74.27,True
2012/02/22,74.01,True
2012/02/23,74.13,True
2012/02/24,74.74,True
2012/02/27,74.31,True
2012/02/28,75.08,True
2012/02/29,74.02,True
2012/03/01,73.86,True
2012/03/02,73.12,True
2012/03/05,73.13,True
2012/03/06,72.04,True
2012/03/07,72.23,True
2012/03/08,73.26,True
2012/03/09,73.93,True
2012/03/12,73.5,True
2012/03/13,75.26,True
2012/03/14,75.65,True
2012/03/15,76.39,True
2012/03/16,76.27,True
2012/03/19,76.74,True
2012/03/20,76.18,True
2012/03/21,75.87,True
2012/03/22,75.12,True
2012/03/23,75.38,True
2012/03/26,76.54,True
2012/03/27,76.4,True
2012/03/28,76.21,True
2012/03/29,75.85,True
2012/03/30,75.68,True
2012/04/02,76.23,True
2012/04/03,76.69,True
2012/04/04,76.05,True
2012/04/05,76.09,True
2012/04/09,74.89,True
2012/04/10,73.79,True
2012/04/11,74.23,True
2012/04/12,75.07,True
2012/04/13,73.67,True
2012/04/16,73.76,True
2012/04/17,75.22,True
2012/04/18,74.78,True
2012/04/19,74.14,True
2012/04/20,74.43,True
2012/04/23,73.29,True
2012/04/24,74.2,True
2012/04/25,75.64,True
2012/04/26,76.43,True
2012/04/27,77.29,True
2012/04/30,76.74,True
2012/05/01,76.45,True
2012/05/02,76.71,True
2012/05/03,76.34,True
2012/05/04,74.88,True
2012/05/07,74.73,True
2012/05/08,77.53,True
2012/05/09,76.56,True
2012/05/10,76.11,True
2012/05/11,76.57,True
2012/05/14,75.91,True
2012/05/15,76.19,True
2012/05/16,75.575,True
2012/05/17,73.7,True
2012/05/18,73.01,True
2012/05/21,74.58,True
2012/05/22,74.16,True
2012/05/23,74.56,True
2012/05/24,75.05,True
2012/05/25,75.53,True
2012/05/29,76.28,True
2012/05/30,74.84,True
2012/05/31,74.31,True
2012/06/01,72.38,True
2012/06/04,73.02,True
2012/06/05,74.2,True
2012/06/06,74.43,True
2012/06/07,74.04,True
2012/06/08,74.32,True
2012/06/11,73.61,True
2012/06/12,74.44,True
2012/06/13,74.22,True
2012/06/14,75.66,True
2012/06/15,77.82,True
2012/06/18,79.14,True
2012/06/19,79.73,True
2012/06/20,78.0,True
2012/06/21,76.39,True
2012/06/22,77.22,True
2012/06/25,76.07,True
2012/06/26,75.94,True
2012/06/27,77.25,True
2012/06/28,77.63,True
2012/06/29,78.49,True
2012/07/02,78.91,True
2012/07/03,79.5,True
2012/07/05,79.2,True
2012/07/06,77.93,True
2012/07/09,78.34,True
2012/07/10,78.5,True
2012/07/11,78.55,True
2012/07/12,76.72,True
2012/07/13,77.83,True
2012/07/16,77.45,True
2012/07/17,78.21,True
