date,PRC,is_prediction
2012/01/03,60.79,True
2012/01/04,60.92,True
2012/01/05,60.83,True
2012/01/06,60.69,True
2012/01/09,60.96,True
2012/01/10,61.0,True
2012/01/11,61.09,True
2012/01/12,61.63,True
2012/01/13,61.48,True
2012/01/17,61.43,True
2012/01/18,61.94,True
2012/01/19,61.65,True
2012/01/20,61.54,True
2012/01/23,61.77,True
2012/01/24,61.39,True
2012/01/25,61.6,True
2012/01/26,61.53,True
2012/01/27,61.24,True
2012/01/30,61.7,True
2012/01/31,61.08,True
2012/02/01,61.3,True
2012/02/02,61.55,True
2012/02/03,61.16,True
2012/02/06,61.01,True
2012/02/07,60.44,True
2012/02/08,60.3,True
2012/02/09,59.79,True
2012/02/10,59.55,True
2012/02/13,59.83,True
2012/02/14,60.62,True
2012/02/15,60.5,True
2012/02/16,60.48,True
2012/02/17,60.86,True
2012/02/21,60.68,True
2012/02/22,60.24,True
2012/02/23,60.72,True
2012/02/24,61.11,True
2012/02/27,60.35,True
2012/02/28,59.58,True
2012/02/29,60.7,True
2012/03/01,61.12,True
2012/03/02,61.33,True
2012/03/05,60.93,True
2012/03/06,59.8,True
2012/03/07,59.65,True
2012/03/08,59.56,True
2012/03/09,59.49,True
2012/03/12,60.56,True
2012/03/13,60.84,True
2012/03/14,60.32,True
2012/03/15,60.3,True
2012/03/16,60.14,True
2012/03/19,60.32,True
2012/03/20,60.15,True
2012/03/21,60.13,True
2012/03/22,60.4,True
2012/03/23,60.52,True
2012/03/26,61.24,True
2012/03/27,61.33,True
2012/03/28,60.91,True
2012/03/29,61.18,True
2012/03/30,61.33,True
2012/04/02,61.88,True
2012/04/03,61.47,True
2012/04/04,61.25,True
2012/04/05,60.66,True
2012/04/09,59.81,True
2012/04/10,60.03,True
2012/04/11,60.85,True
2012/04/12,61.65,True
2012/04/13,61.69,True
2012/04/16,61.69,True
2012/04/17,62.45,True
2012/04/18,62.35,True
2012/04/19,62.9,True
2012/04/20,63.15,True
2012/04/23,62.29,True
2012/04/24,66.0,True
2012/04/25,66.6,True
2012/04/26,66.57,True
2012/04/27,66.75,True
2012/04/30,67.01,True
2012/05/01,66.66,True
2012/05/02,67.0,True
2012/05/03,67.33,True
2012/05/04,66.89,True
2012/05/07,67.04,True
2012/05/08,67.74,True
2012/05/09,67.94,True
2012/05/10,68.67,True
2012/05/11,68.46,True
2012/05/14,69.0,True
2012/05/15,68.5,True
2012/05/16,68.45,True
2012/05/17,68.35,True
2012/05/18,67.41,True
2012/05/21,67.65,True
2012/05/22,67.9,True
2012/05/23,67.22,True
2012/05/24,68.0,True
2012/05/25,67.72,True
2012/05/29,67.76,True
2012/05/30,67.61,True
2012/05/31,66.86,True
2012/06/01,65.9,True
2012/06/04,66.01,True
2012/06/05,65.93,True
2012/06/06,66.8,True
2012/06/07,66.67,True
2012/06/08,67.57,True
2012/06/11,67.29,True
2012/06/12,67.57,True
2012/06/13,68.85,True
2012/06/14,68.92,True
2012/06/15,69.49,True
2012/06/18,69.72,True
2012/06/19,70.25,True
2012/06/20,70.63,True
2012/06/21,69.56,True
2012/06/22,69.5,True
2012/06/25,68.41,True
2012/06/26,70.0,True
2012/06/27,69.38,True
2012/06/28,69.77,True
2012/06/29,72.03,True
2012/07/02,72.09,True
2012/07/03,72.58,True
2012/07/05,72.23,True
2012/07/06,72.24,True
2012/07/09,72.44,True
2012/07/10,72.24,True
2012/07/11,71.98,True
2012/07/12,71.96,True
2012/07/13,72.54,True
2012/07/16,71.81,True
2012/07/17,71.6,True
2012/07/18,71.78,True
2012/07/19,71.6,True
2012/07/20,71.26,True
2012/07/23,70.82,True
2012/07/24,70.39,True
2012/07/25,70.33,True
2012/07/26,71.43,True
2012/07/27,72.17,True
2012/07/30,72.17,True
2012/07/31,71.74,True
2012/08/01,71.36,True
2012/08/02,71.63,True
2012/08/03,72.17,True
2012/08/06,71.65,True
2012/08/07,71.62,True
2012/08/08,71.77,True
2012/08/09,71.74,True
2012/08/10,72.23,True
2012/08/13,72.37,True
2012/08/14,72.81,True
2012/08/15,72.62,True
2012/08/16,72.25,True
2012/08/17,71.92,True
2012/08/20,72.34,True
2012/08/21,72.47,True
2012/08/22,72.53,True
2012/08/23,72.61,True
2012/08/24,72.61,True
2012/08/27,72.82,True
2012/08/28,72.49,True
2012/08/29,72.27,True
2012/08/30,71.56,True
2012/08/31,71.82,True
2012/09/04,72.52,True
2012/09/05,72.21,True
2012/09/06,73.16,True
2012/09/07,72.32,True
2012/09/10,71.89,True
2012/09/11,71.14,True
2012/09/12,70.93,True
2012/09/13,72.03,True
2012/09/14,70.09,True
2012/09/17,70.33,True
2012/09/18,71.02,True
2012/09/19,71.29,True
2012/09/20,71.94,True
2012/09/21,71.68,True
2012/09/24,71.79,True
2012/09/25,70.94,True
2012/09/26,70.67,True
2012/09/27,70.84,True
2012/09/28,70.89,True
2012/10/01,71.38,True
2012/10/02,71.38,True
2012/10/03,71.62,True
2012/10/04,71.31,True
2012/10/05,71.49,True
2012/10/08,71.68,True
2012/10/09,71.35,True
2012/10/10,70.71,True
2012/10/11,70.39,True
2012/10/12,69.53,True
2012/10/15,70.31,True
2012/10/16,70.67,True
2012/10/17,70.92,True
2012/10/18,71.3,True
2012/10/19,70.33,True
2012/10/22,70.55,True
2012/10/23,70.17,True
2012/10/24,70.12,True
2012/10/25,69.85,True
2012/10/26,69.33,True
2012/10/31,68.85,True
2012/11/01,69.72,True
2012/11/02,69.49,True
2012/11/05,69.11,True
2012/11/06,69.51,True
2012/11/07,69.59,True
2012/11/08,69.9,True
2012/11/09,70.35,True
2012/11/12,71.13,True
2012/11/13,71.81,True
2012/11/14,71.56,True
2012/11/15,71.56,True
2012/11/16,71.74,True
2012/11/19,72.6,True
2012/11/20,72.36,True
2012/11/21,71.94,True
2012/11/23,72.4,True
2012/11/26,72.66,True
2012/11/27,72.27,True
2012/11/28,72.52,True
2012/11/29,72.55,True
2012/11/30,73.27,True
2012/12/03,72.69,True
2012/12/04,72.4,True
2012/12/05,72.32,True
2012/12/06,72.04,True
2012/12/07,72.27,True
2012/12/10,72.8,True
2012/12/11,73.31,True
2012/12/12,73.4,True
2012/12/13,73.79,True
2012/12/14,74.02,True
2012/12/17,74.64,True
2012/12/18,74.1,True
2012/12/19,73.66,True
2012/12/20,73.97,True
2012/12/21,73.37,True
2012/12/24,73.01,True
2012/12/26,72.15,True
2012/12/27,72.06,True
2012/12/28,71.44,True
2012/12/31,72.22,True
2013/01/01,72.44817638364655,False
2013/01/02,72.41386715054286,False
2013/01/03,72.64983267825716,False
2013/01/04,72.51925333910205,False
2013/01/07,72.65762226340685,False
2013/01/08,72.61539710490133,False
2013/01/09,72.64258030512134,False
2013/01/10,72.75226579497028,False
2013/01/11,72.74309647337287,False
2013/01/14,72.83817368871448,False
2013/01/15,72.86341757763923,False
2013/01/16,72.91240955047431,False
2013/01/17,72.97063647875139,False
2013/01/18,72.99703964290943,False
2013/01/21,73.06006729810635,False
2013/01/22,73.09661486315392,False
2013/01/23,73.14588590154051,False
2013/01/24,73.19533053080112,False
2013/01/25,73.2364276545525,False
2013/01/28,73.28859598279536,False
2013/01/29,73.3311193617321,False
2013/01/30,73.37922968500718,False
2013/01/31,73.42609557230384,False
2013/02/01,73.47106029788374,False
2013/02/04,73.51939077343586,False
2013/02/05,73.5644557573306,False
2013/02/06,73.61173196832318,False
2013/02/07,73.6581602051815,False
2013/02/08,73.7042856659086,False
2013/02/11,73.75135985737876,False
2013/02/12,73.79735926627625,False
2013/02/13,73.84418454635221,False
2013/02/14,73.89059895387582,False
2013/02/15,73.9370302632048,False
2013/02/18,73.98370539952211,False
2013/02/19,74.03004315549138,False
2013/02/20,74.07667480170907,False
2013/02/21,74.12313099596776,False
2013/02/22,74.16963206641788,False
2013/02/25,74.21618648032481,False
2013/02/26,74.26264043176111,False
2013/02/27,74.30919446892051,False
2013/02/28,74.3556794868266,False
2013/03/01,74.4021922170379,False
2013/03/04,74.44871249135582,False
2013/03/05,74.49520475022882,False
2013/03/06,74.54172966337,False
2013/03/07,74.5882289831664,False
2013/03/08,74.63474148080017,False
2013/03/11,74.68125289893415,False
