date,PRC,is_prediction
2012/01/03,79.09,True
2012/01/04,78.98,True
2012/01/05,79.37,True
2012/01/06,79.26,True
2012/01/09,79.86,True
2012/01/10,80.24,True
2012/01/11,81.01,True
2012/01/12,81.16,True
2012/01/13,82.62,True
2012/01/17,82.72,True
2012/01/18,84.1,True
2012/01/19,84.9,True
2012/01/20,85.28,True
2012/01/23,85.89,True
2012/01/24,86.56,True
2012/01/25,86.97,True
2012/01/26,87.31,True
2012/01/27,83.46,True
2012/01/30,84.69,True
2012/01/31,84.59,True
2012/02/01,86.37,True
2012/02/02,86.79,True
2012/02/03,86.54,True
2012/02/06,85.73,True
2012/02/07,85.85,True
2012/02/08,86.06,True
2012/02/09,86.06,True
2012/02/10,85.68,True
2012/02/13,86.94,True
2012/02/14,87.42,True
2012/02/15,87.91,True
2012/02/16,89.03,True
2012/02/17,88.49,True
2012/02/21,88.59,True
2012/02/22,88.72,True
2012/02/23,88.1,True
2012/02/24,87.99,True
2012/02/27,87.4,True
2012/02/28,87.14,True
2012/02/29,85.75,True
2012/03/01,86.13,True
2012/03/02,85.14,True
2012/03/05,84.88,True
2012/03/06,83.02,True
2012/03/07,83.24,True
2012/03/08,83.9,True
2012/03/09,85.09,True
2012/03/12,83.0,True
2012/03/13,84.38,True
2012/03/14,84.0,True
2012/03/15,84.87,True
2012/03/16,84.54,True
2012/03/19,83.89,True
2012/03/20,84.41,True
2012/03/21,84.53,True
2012/03/22,83.63,True
2012/03/23,84.45,True
2012/03/26,86.1,True
2012/03/27,86.16,True
2012/03/28,86.81,True
2012/03/29,86.65,True
2012/03/30,87.45,True
2012/04/02,87.11,True
2012/04/03,87.5,True
2012/04/04,86.93,True
2012/04/05,86.97,True
2012/04/09,86.07,True
2012/04/10,84.37,True
2012/04/11,84.91,True
2012/04/12,86.23,True
2012/04/13,85.02,True
2012/04/16,84.39,True
2012/04/17,86.65,True
2012/04/18,87.69,True
2012/04/19,88.18,True
2012/04/20,86.44,True
2012/04/23,85.16,True
2012/04/24,85.49,True
2012/04/25,86.25,True
2012/04/26,86.83,True
2012/04/27,88.2,True
2012/04/30,87.93,True
2012/05/01,88.79,True
2012/05/02,88.98,True
2012/05/03,88.74,True
2012/05/04,87.17,True
2012/05/07,88.9,True
2012/05/08,89.1,True
2012/05/09,88.09,True
2012/05/10,88.21,True
2012/05/11,88.12,True
2012/05/14,86.68,True
2012/05/15,86.87,True
2012/05/16,85.93,True
2012/05/17,84.14,True
2012/05/18,82.12,True
2012/05/21,84.36,True
2012/05/22,84.44,True
2012/05/23,84.8,True
2012/05/24,86.24,True
2012/05/25,86.12,True
2012/05/29,87.02,True
2012/05/30,85.44,True
2012/05/31,84.84,True
2012/06/01,81.92,True
2012/06/04,82.51,True
2012/06/05,83.74,True
2012/06/06,85.3,True
2012/06/07,84.93,True
2012/06/08,85.62,True
2012/06/11,85.06,True
2012/06/12,85.49,True
2012/06/13,85.41,True
2012/06/14,87.99,True
2012/06/15,88.38,True
2012/06/18,90.9,True
2012/06/19,94.15,True
2012/06/20,94.86,True
2012/06/21,91.54,True
2012/06/22,93.23,True
2012/06/25,92.59,True
2012/06/26,93.75,True
2012/06/27,95.28,True
2012/06/28,93.58,True
2012/06/29,96.13,True
2012/07/02,98.02,True
2012/07/03,97.54,True
2012/07/05,96.22,True
2012/07/06,95.51,True
2012/07/09,95.82,True
2012/07/10,93.95,True
2012/07/11,95.32,True
2012/07/12,93.64,True
2012/07/13,92.38,True
2012/07/16,90.7,True
2012/07/17,92.01,True
2012/07/18,92.06,True
2012/07/19,92.71,True
2012/07/20,89.84,True
2012/07/23,87.81,True
2012/07/24,87.21,True
2012/07/25,87.64,True
2012/07/26,87.91,True
2012/07/27,89.53,True
2012/07/30,89.13,True
2012/07/31,88.17,True
2012/08/01,87.92,True
2012/08/02,87.5,True
2012/08/03,90.02,True
2012/08/06,89.77,True
2012/08/07,89.21,True
2012/08/08,89.93,True
2012/08/09,89.61,True
2012/08/10,92.54,True
2012/08/13,91.2,True
2012/08/14,91.45,True
2012/08/15,92.77,True
2012/08/16,93.77,True
2012/08/17,94.36,True
2012/08/20,94.28,True
2012/08/21,93.91,True
2012/08/22,93.3,True
2012/08/23,94.0,True
2012/08/24,94.0,True
2012/08/27,94.13,True
2012/08/28,95.1,True
2012/08/29,94.87,True
2012/08/30,94.6,True
2012/08/31,95.06,True
2012/09/04,96.71,True
2012/09/05,96.92,True
2012/09/06,98.77,True
2012/09/07,98.52,True
2012/09/10,98.25,True
2012/09/11,97.83,True
2012/09/12,99.17,True
2012/09/13,99.39,True
2012/09/14,100.0,True
2012/09/17,97.48,True
2012/09/18,97.63,True
2012/09/19,97.62,True
2012/09/20,98.45,True
2012/09/21,99.03,True
2012/09/24,100.15,True
2012/09/25,99.93,True
2012/09/26,98.99,True
2012/09/27,99.59,True
2012/09/28,99.35,True
2012/10/01,97.66,True
2012/10/02,97.7,True
2012/10/03,98.18,True
2012/10/04,99.0,True
2012/10/05,98.79,True
2012/10/08,98.89,True
2012/10/09,95.73,True
