date,PRC,is_prediction
2012/01/03,31.73,True
2012/01/04,31.43,True
2012/01/05,31.5,True
2012/01/06,31.77,True
2012/01/09,31.82,True
2012/01/10,33.01,True
2012/01/11,34.01,True
2012/01/12,36.23,True
2012/01/13,35.71,True
2012/01/17,36.0,True
2012/01/18,36.3,True
2012/01/19,36.75,True
2012/01/20,36.3,True
2012/01/23,36.31,True
2012/01/24,37.685,True
2012/01/25,55.15,True
2012/01/26,52.65,True
2012/01/27,51.685,True
2012/01/30,50.96,True
2012/01/31,51.86,True
2012/02/01,51.97,True
2012/02/02,51.87,True
2012/02/03,51.84,True
2012/02/06,51.97,True
2012/02/07,51.8,True
2012/02/08,52.145,True
2012/02/09,53.17,True
2012/02/10,53.89,True
2012/02/13,54.05,True
2012/02/14,54.34,True
2012/02/15,54.58,True
2012/02/16,53.94,True
2012/02/17,51.82,True
2012/02/21,51.45,True
2012/02/22,51.11,True
2012/02/23,51.29,True
2012/02/24,51.22,True
2012/02/27,51.4,True
2012/02/28,51.45,True
2012/02/29,51.25,True
2012/03/01,51.1,True
2012/03/02,51.35,True
2012/03/05,50.88,True
2012/03/06,50.35,True
2012/03/07,50.46,True
2012/03/08,50.54,True
2012/03/09,50.12,True
2012/03/12,50.18,True
2012/03/13,50.34,True
2012/03/14,50.18,True
2012/03/15,49.97,True
2012/03/16,49.93,True
2012/03/19,49.63,True
2012/03/20,50.45,True
2012/03/21,50.11,True
2012/03/22,50.22,True
2012/03/23,50.46,True
2012/03/26,50.69,True
2012/03/27,50.2,True
2012/03/28,49.88,True
2012/03/29,52.4,True
2012/03/30,52.61,True
2012/04/02,51.37,True
2012/04/03,52.0,True
2012/04/04,52.28,True
2012/04/05,52.33,True
2012/04/09,52.62,True
2012/04/10,52.43,True
2012/04/11,52.57,True
2012/04/12,49.51,True
2012/04/13,47.17,True
2012/04/16,44.97,True
2012/04/17,44.0,True
2012/04/18,44.51,True
2012/04/19,44.06,True
2012/04/20,44.36,True
2012/04/23,43.9,True
2012/04/24,43.5,True
2012/04/25,44.28,True
2012/04/26,44.77,True
2012/04/27,44.48,True
2012/04/30,44.53,True
2012/05/01,45.92,True
2012/05/02,46.51,True
2012/05/03,45.83,True
2012/05/04,44.92,True
2012/05/07,45.95,True
