date,PRC,is_prediction
2012/01/03,52.46,True
2012/01/04,52.3,True
2012/01/05,52.54,True
2012/01/06,53.12,True
2012/01/09,53.18,True
2012/01/10,54.75,True
2012/01/11,55.18,True
2012/01/12,55.285,True
2012/01/13,54.83,True
2012/01/17,55.25,True
2012/01/18,56.45,True
2012/01/19,57.1,True
2012/01/20,57.09,True
2012/01/23,57.41,True
2012/01/24,57.33,True
2012/01/25,57.52,True
2012/01/26,57.49,True
2012/01/27,57.35,True
2012/01/30,56.56,True
2012/01/31,56.44,True
2012/02/01,57.88,True
2012/02/02,57.86,True
2012/02/03,58.47,True
2012/02/06,57.9,True
2012/02/07,57.62,True
2012/02/08,57.56,True
2012/02/09,57.6,True
2012/02/10,56.68,True
2012/02/13,56.59,True
2012/02/14,56.77,True
2012/02/15,56.65,True
2012/02/16,58.01,True
2012/02/17,57.38,True
2012/02/21,57.52,True
2012/02/22,60.92,True
2012/02/23,58.68,True
2012/02/24,58.06,True
2012/02/27,57.89,True
2012/02/28,57.78,True
2012/02/29,57.84,True
2012/03/01,57.94,True
2012/03/02,57.27,True
2012/03/05,56.87,True
2012/03/06,56.08,True
2012/03/07,57.13,True
2012/03/08,57.22,True
2012/03/09,58.17,True
2012/03/12,58.62,True
2012/03/13,59.81,True
2012/03/14,59.69,True
2012/03/15,60.18,True
2012/03/16,60.14,True
2012/03/19,60.33,True
2012/03/20,60.04,True
2012/03/21,60.12,True
2012/03/22,57.73,True
2012/03/23,57.71,True
2012/03/26,58.73,True
2012/03/27,59.48,True
2012/03/28,59.51,True
2012/03/29,59.83,True
2012/03/30,60.16,True
2012/04/02,60.62,True
2012/04/03,60.33,True
2012/04/04,59.38,True
2012/04/05,59.77,True
2012/04/09,59.105,True
2012/04/10,58.59,True
2012/04/11,60.03,True
2012/04/12,60.6,True
2012/04/13,60.34,True
2012/04/16,60.31,True
2012/04/17,61.54,True
2012/04/18,61.425,True
2012/04/19,60.9,True
2012/04/20,57.25,True
2012/04/23,56.75,True
2012/04/24,56.29,True
2012/04/25,57.4,True
2012/04/26,57.6,True
2012/04/27,57.98,True
2012/04/30,57.97,True
2012/05/01,58.25,True
2012/05/02,58.64,True
