date,PRC,is_prediction
2012/01/03,10.16,True
2012/01/04,10.17,True
2012/01/05,10.26,True
2012/01/06,10.33,True
2012/01/09,10.42,True
2012/01/10,10.59,True
2012/01/11,10.46,True
2012/01/12,10.59,True
2012/01/13,10.53,True
2012/01/17,10.69,True
2012/01/18,10.59,True
2012/01/19,10.67,True
2012/01/20,10.52,True
2012/01/23,10.45,True
2012/01/24,10.44,True
2012/01/25,10.48,True
2012/01/26,10.25,True
2012/01/27,10.2,True
2012/01/30,10.45,True
2012/01/31,10.33,True
2012/02/01,10.58,True
2012/02/02,10.59,True
2012/02/03,10.86,True
2012/02/06,10.88,True
2012/02/07,10.87,True
2012/02/08,10.85,True
2012/02/09,10.81,True
2012/02/10,10.73,True
2012/02/13,10.75,True
2012/02/14,10.7,True
2012/02/15,10.81,True
2012/02/16,10.93,True
2012/02/17,10.83,True
2012/02/21,10.92,True
2012/02/22,10.83,True
2012/02/23,10.91,True
2012/02/24,11.62,True
2012/02/27,11.81,True
2012/02/28,11.73,True
2012/02/29,11.72,True
2012/03/01,11.64,True
2012/03/02,11.57,True
2012/03/05,11.68,True
2012/03/06,11.39,True
2012/03/07,11.42,True
2012/03/08,11.77,True
2012/03/09,11.8,True
2012/03/12,11.83,True
2012/03/13,11.97,True
2012/03/14,11.88,True
2012/03/15,11.83,True
2012/03/16,11.8,True
2012/03/19,11.96,True
2012/03/20,11.64,True
2012/03/21,11.52,True
2012/03/22,11.42,True
2012/03/23,11.37,True
2012/03/26,11.52,True
2012/03/27,11.66,True
2012/03/28,11.52,True
2012/03/29,11.36,True
2012/03/30,11.41,True
2012/04/02,11.16,True
2012/04/03,11.09,True
2012/04/04,10.97,True
2012/04/05,10.94,True
2012/04/09,10.77,True
2012/04/10,10.53,True
2012/04/11,10.71,True
2012/04/12,11.0,True
2012/04/13,10.78,True
2012/04/16,10.77,True
2012/04/17,10.99,True
2012/04/18,10.82,True
2012/04/19,10.86,True
2012/04/20,10.87,True
2012/04/23,10.71,True
2012/04/24,10.88,True
2012/04/25,11.11,True
2012/04/26,11.76,True
2012/04/27,11.73,True
2012/04/30,11.81,True
2012/05/01,11.96,True
2012/05/02,11.9,True
2012/05/03,11.76,True
2012/05/04,11.5,True
2012/05/07,11.44,True
2012/05/08,11.24,True
2012/05/09,11.38,True
2012/05/10,11.64,True
2012/05/11,11.6,True
2012/05/14,11.39,True
2012/05/15,11.28,True
2012/05/16,11.14,True
2012/05/17,10.88,True
2012/05/18,10.75,True
2012/05/21,10.71,True
2012/05/22,10.72,True
2012/05/23,10.77,True
2012/05/24,10.79,True
2012/05/25,10.74,True
2012/05/29,10.99,True
2012/05/30,10.69,True
2012/05/31,10.39,True
2012/06/01,10.07,True
2012/06/04,10.02,True
2012/06/05,10.36,True
2012/06/06,10.69,True
2012/06/07,10.66,True
2012/06/08,10.84,True
2012/06/11,10.64,True
2012/06/12,10.8,True
2012/06/13,10.35,True
2012/06/14,10.34,True
2012/06/15,10.5,True
2012/06/18,10.4,True
2012/06/19,10.61,True
2012/06/20,10.77,True
2012/06/21,10.39,True
2012/06/22,10.32,True
2012/06/25,10.11,True
2012/06/26,10.3,True
2012/06/27,10.5,True
2012/06/28,10.45,True
2012/06/29,10.85,True
2012/07/02,11.04,True
2012/07/03,11.38,True
2012/07/05,11.16,True
2012/07/06,10.85,True
2012/07/09,10.67,True
2012/07/10,10.55,True
2012/07/11,10.42,True
2012/07/12,10.51,True
2012/07/13,10.7,True
2012/07/16,10.99,True
2012/07/17,11.53,True
2012/07/18,11.5,True
2012/07/19,11.56,True
2012/07/20,11.59,True
2012/07/23,11.34,True
2012/07/24,11.18,True
2012/07/25,10.99,True
2012/07/26,9.9,True
2012/07/27,10.12,True
2012/07/30,9.85,True
2012/07/31,9.87,True
2012/08/01,9.78,True
2012/08/02,9.68,True
2012/08/03,10.97,True
2012/08/06,10.11,True
2012/08/07,10.43,True
2012/08/08,10.36,True
2012/08/09,10.78,True
2012/08/10,10.74,True
2012/08/13,10.64,True
2012/08/14,10.62,True
2012/08/15,10.72,True
2012/08/16,11.08,True
2012/08/17,11.27,True
2012/08/20,11.36,True
2012/08/21,11.44,True
2012/08/22,11.06,True
2012/08/23,10.86,True
2012/08/24,10.81,True
2012/08/27,10.76,True
2012/08/28,10.65,True
2012/08/29,10.7,True
2012/08/30,10.63,True
2012/08/31,10.64,True
2012/09/04,10.71,True
2012/09/05,10.75,True
2012/09/06,11.01,True
2012/09/07,10.98,True
2012/09/10,11.08,True
2012/09/11,11.21,True
2012/09/12,11.59,True
2012/09/13,11.74,True
2012/09/14,11.65,True
2012/09/17,11.66,True
2012/09/18,11.51,True
2012/09/19,11.68,True
2012/09/20,11.61,True
2012/09/21,11.58,True
2012/09/24,11.44,True
2012/09/25,11.25,True
2012/09/26,11.07,True
2012/09/27,11.14,True
2012/09/28,11.12,True
2012/10/01,11.09,True
2012/10/02,11.2,True
2012/10/03,11.31,True
2012/10/04,11.39,True
2012/10/05,11.47,True
2012/10/08,11.43,True
2012/10/09,11.47,True
2012/10/10,11.28,True
2012/10/11,11.31,True
2012/10/12,11.26,True
2012/10/15,11.45,True
2012/10/16,11.33,True
2012/10/17,11.01,True
2012/10/18,11.1,True
2012/10/19,10.9,True
2012/10/22,10.89,True
2012/10/23,10.88,True
2012/10/24,10.82,True
2012/10/25,10.55,True
2012/10/26,10.29,True
2012/10/31,10.1,True
2012/11/01,10.26,True
2012/11/02,9.92,True
2012/11/05,10.06,True
2012/11/06,10.18,True
2012/11/07,10.01,True
2012/11/08,9.84,True
2012/11/09,9.96,True
2012/11/12,9.94,True
2012/11/13,9.76,True
2012/11/14,9.54,True
2012/11/15,9.45,True
2012/11/16,9.59,True
2012/11/19,9.91,True
2012/11/20,9.9,True
2012/11/21,9.97,True
2012/11/23,10.32,True
2012/11/26,10.23,True
2012/11/27,10.27,True
2012/11/28,10.5,True
2012/11/29,10.72,True
2012/11/30,10.82,True
2012/12/03,10.62,True
2012/12/04,10.71,True
2012/12/05,10.9,True
2012/12/06,10.81,True
2012/12/07,10.78,True
2012/12/10,10.71,True
2012/12/11,11.02,True
2012/12/12,10.89,True
2012/12/13,10.79,True
2012/12/14,10.9,True
2012/12/17,10.97,True
2012/12/18,11.24,True
2012/12/19,11.21,True
2012/12/20,11.42,True
2012/12/21,11.15,True
2012/12/24,11.01,True
2012/12/26,10.9,True
2012/12/27,10.83,True
2012/12/28,10.78,True
2012/12/31,11.02,True
2013/01/01,11.074274736681208,False
2013/01/02,11.148067936977302,False
2013/01/03,11.18444783337855,False
2013/01/04,11.200429040271631,False
2013/01/07,11.210314372902982,False
2013/01/08,11.156872121205872,False
2013/01/09,11.142072324539726,False
2013/01/10,11.121527306104928,False
2013/01/11,11.115149673287867,False
2013/01/14,11.116310597035977,False
2013/01/15,11.120118388829052,False
2013/01/16,11.138116243153013,False
2013/01/17,11.14787320601914,False
2013/01/18,11.158935770791942,False
2013/01/21,11.165438870215537,False
2013/01/22,11.169455236129444,False
2013/01/23,11.172378283372005,False
2013/01/24,11.172034913761673,False
2013/01/25,11.173487517287839,False
2013/01/28,11.174717493093683,False
2013/01/29,11.177325708034106,False
2013/01/30,11.18071811754007,False
2013/01/31,11.184520708503898,False
2013/02/01,11.189096264753045,False
2013/02/04,11.193272378752463,False
2013/02/05,11.197462589377798,False
2013/02/06,11.201246909248775,False
2013/02/07,11.204788548977973,False
2013/02/08,11.208187066607461,False
2013/02/11,11.211397500162033,False
2013/02/12,11.214698623721421,False
2013/02/13,11.218010291290753,False
2013/02/14,11.22144033634629,False
2013/02/15,11.224944864250487,False
2013/02/18,11.2284968735304,False
2013/02/19,11.232095880186062,False
2013/02/20,11.235673781063857,False
2013/02/21,11.239244556770908,False
2013/02/22,11.242780827206117,False
2013/02/25,11.246294287535315,False
2013/02/26,11.249792498036149,False
2013/02/27,11.253278640510086,False
2013/02/28,11.256769815755522,False
2013/03/01,11.26026413507395,False
2013/03/04,11.263768518834764,False
2013/03/05,11.267279854385212,False
2013/03/06,11.270795953562892,False
2013/03/07,11.274315202602617,False
2013/03/08,11.277833189906106,False
2013/03/11,11.281349956413585,False
