date,PRC,is_prediction
2012/01/03,48.03,True
2012/01/04,48.28,True
2012/01/05,48.4,True
2012/01/06,47.79,True
2012/01/09,47.88,True
2012/01/10,48.68,True
2012/01/11,49.05,True
2012/01/12,49.5,True
2012/01/13,49.37,True
2012/01/17,50.96,True
2012/01/18,50.7,True
2012/01/19,51.22,True
2012/01/20,51.47,True
2012/01/23,51.55,True
2012/01/24,51.93,True
2012/01/25,52.82,True
2012/01/26,53.01,True
2012/01/27,52.77,True
2012/01/30,53.2,True
2012/01/31,53.03,True
2012/02/01,54.9,True
2012/02/02,54.98,True
2012/02/03,55.6,True
2012/02/06,55.58,True
2012/02/07,55.79,True
2012/02/08,56.0,True
2012/02/09,56.34,True
2012/02/10,55.71,True
2012/02/13,55.95,True
2012/02/14,55.97,True
2012/02/15,55.44,True
2012/02/16,56.42,True
2012/02/17,56.19,True
2012/02/21,56.56,True
2012/02/22,56.22,True
2012/02/23,56.34,True
2012/02/24,55.92,True
2012/02/27,56.27,True
2012/02/28,56.01,True
2012/02/29,55.69,True
2012/03/01,55.88,True
2012/03/02,55.5,True
2012/03/05,55.36,True
2012/03/06,53.62,True
2012/03/07,54.24,True
2012/03/08,54.98,True
2012/03/09,55.44,True
2012/03/12,55.66,True
2012/03/13,56.69,True
2012/03/14,56.95,True
2012/03/15,57.88,True
2012/03/16,57.91,True
2012/03/19,58.08,True
2012/03/20,57.19,True
2012/03/21,57.13,True
2012/03/22,56.58,True
2012/03/23,56.91,True
2012/03/26,57.83,True
2012/03/27,57.8,True
2012/03/28,56.77,True
2012/03/29,56.8,True
2012/03/30,57.12,True
2012/04/02,57.17,True
2012/04/03,56.94,True
2012/04/04,56.41,True
2012/04/05,56.31,True
2012/04/09,55.51,True
2012/04/10,54.75,True
2012/04/11,55.36,True
2012/04/12,56.69,True
2012/04/13,54.82,True
2012/04/16,55.15,True
2012/04/17,55.77,True
2012/04/18,55.92,True
2012/04/19,55.41,True
2012/04/20,55.79,True
2012/04/23,55.22,True
2012/04/24,56.68,True
2012/04/25,57.55,True
2012/04/26,57.6,True
2012/04/27,58.11,True
2012/04/30,57.38,True
2012/05/01,57.37,True
2012/05/02,57.73,True
2012/05/03,57.33,True
2012/05/04,56.43,True
2012/05/07,56.76,True
2012/05/08,56.53,True
2012/05/09,55.78,True
2012/05/10,56.33,True
2012/05/11,56.39,True
2012/05/14,55.78,True
2012/05/15,55.37,True
2012/05/16,54.89,True
2012/05/17,53.77,True
2012/05/18,53.55,True
2012/05/21,54.39,True
2012/05/22,54.64,True
2012/05/23,55.1,True
2012/05/24,55.75,True
2012/05/25,56.29,True
2012/05/29,57.2,True
2012/05/30,56.0,True
2012/05/31,56.15,True
2012/06/01,54.85,True
2012/06/04,54.41,True
2012/06/05,54.19,True
2012/06/06,55.29,True
2012/06/07,55.86,True
2012/06/08,56.01,True
2012/06/11,55.02,True
2012/06/12,55.48,True
2012/06/13,54.52,True
2012/06/14,54.08,True
2012/06/15,54.48,True
2012/06/18,54.43,True
2012/06/19,55.42,True
2012/06/20,54.93,True
2012/06/21,53.19,True
2012/06/22,53.67,True
2012/06/25,52.26,True
2012/06/26,51.89,True
2012/06/27,51.59,True
2012/06/28,50.94,True
2012/06/29,52.89,True
2012/07/02,52.06,True
2012/07/03,52.52,True
2012/07/05,52.71,True
2012/07/06,52.06,True
2012/07/09,52.3,True
2012/07/10,51.23,True
2012/07/11,50.29,True
2012/07/12,50.04,True
2012/07/13,50.75,True
2012/07/16,50.45,True
2012/07/17,50.5,True
2012/07/18,52.74,True
2012/07/19,53.64,True
2012/07/20,53.29,True
2012/07/23,53.57,True
2012/07/24,52.29,True
2012/07/25,52.7,True
2012/07/26,53.56,True
2012/07/27,55.27,True
2012/07/30,54.58,True
2012/07/31,54.34,True
2012/08/01,53.99,True
2012/08/02,53.68,True
2012/08/03,55.62,True
2012/08/06,55.57,True
2012/08/07,56.52,True
2012/08/08,56.88,True
2012/08/09,56.8,True
2012/08/10,57.31,True
2012/08/13,57.61,True
2012/08/14,57.2,True
2012/08/15,57.6,True
2012/08/16,59.67,True
2012/08/17,60.0,True
2012/08/20,59.28,True
2012/08/21,59.08,True
2012/08/22,58.76,True
2012/08/23,58.88,True
2012/08/24,59.68,True
2012/08/27,60.1,True
2012/08/28,59.34,True
2012/08/29,59.28,True
2012/08/30,58.92,True
2012/08/31,59.29,True
2012/09/04,58.92,True
2012/09/05,58.45,True
2012/09/06,59.71,True
2012/09/07,60.6,True
2012/09/10,60.39,True
2012/09/11,60.32,True
2012/09/12,61.08,True
2012/09/13,61.37,True
2012/09/14,61.12,True
2012/09/17,61.18,True
2012/09/18,61.33,True
2012/09/19,61.2,True
2012/09/20,61.08,True
2012/09/21,60.81,True
2012/09/24,60.62,True
2012/09/25,59.75,True
2012/09/26,58.66,True
2012/09/27,59.16,True
2012/09/28,59.47,True
2012/10/01,59.57,True
2012/10/02,58.81,True
2012/10/03,59.86,True
2012/10/04,60.6,True
2012/10/05,60.66,True
2012/10/08,60.39,True
2012/10/09,59.07,True
2012/10/10,58.28,True
2012/10/11,58.43,True
2012/10/12,58.55,True
2012/10/15,58.87,True
2012/10/16,59.61,True
2012/10/17,60.18,True
2012/10/18,60.75,True
2012/10/19,60.79,True
2012/10/22,60.56,True
2012/10/23,60.73,True
2012/10/24,60.14,True
2012/10/25,60.47,True
2012/10/26,60.27,True
2012/10/31,61.33,True
2012/11/01,62.12,True
2012/11/02,62.02,True
2012/11/05,62.33,True
2012/11/06,62.95,True
2012/11/07,61.74,True
2012/11/08,60.35,True
2012/11/09,60.44,True
2012/11/12,60.91,True
2012/11/13,60.83,True
2012/11/14,59.55,True
2012/11/15,58.75,True
2012/11/16,58.87,True
2012/11/19,59.55,True
2012/11/20,59.85,True
2012/11/21,59.77,True
2012/11/23,60.62,True
2012/11/26,60.54,True
2012/11/27,60.54,True
2012/11/28,61.46,True
2012/11/29,61.83,True
2012/11/30,61.57,True
2012/12/03,61.07,True
2012/12/04,61.16,True
2012/12/05,61.71,True
2012/12/06,61.55,True
2012/12/07,61.17,True
2012/12/10,61.97,True
2012/12/11,61.86,True
2012/12/12,62.11,True
2012/12/13,62.05,True
2012/12/14,59.82,True
2012/12/17,60.26,True
2012/12/18,61.79,True
2012/12/19,61.39,True
2012/12/20,61.89,True
2012/12/21,61.29,True
2012/12/24,61.08,True
2012/12/26,61.0,True
2012/12/27,60.69,True
2012/12/28,60.02,True
2012/12/31,60.81,True
2013/01/01,60.93976709112474,False
2013/01/02,61.0157188967106,False
2013/01/03,61.12343994507276,False
2013/01/04,61.12593818208794,False
2013/01/07,61.198745046357686,False
2013/01/08,61.261434992935435,False
2013/01/09,61.27505439914721,False
2013/01/10,61.32522029634024,False
2013/01/11,61.37520413370499,False
2013/01/14,61.42561788452724,False
2013/01/15,61.48202478297753,False
2013/01/16,61.53279555860519,False
2013/01/17,61.58473153086277,False
2013/01/18,61.63802044642103,False
2013/01/21,61.68932534638264,False
2013/01/22,61.74095117633341,False
2013/01/23,61.792435508232245,False
2013/01/24,61.843716250410885,False
2013/01/25,61.89536834726482,False
2013/01/28,61.94693371897146,False
2013/01/29,61.9984821075445,False
2013/01/30,62.05012101904645,False
2013/01/31,62.10172302034033,False
2013/02/01,62.15333628165575,False
2013/02/04,62.20495087499459,False
2013/02/05,62.25654455986053,False
2013/02/06,62.308144747229306,False
2013/02/07,62.3597439401412,False
2013/02/08,62.41134010799415,False
2013/02/11,62.46293918071295,False
2013/02/12,62.51453749329584,False
2013/02/13,62.566136209548446,False
2013/02/14,62.61773586490102,False
2013/02/15,62.66933500358579,False
2013/02/18,62.72093427962093,False
2013/02/19,62.77253358045909,False
2013/02/20,62.824132675281184,False
2013/02/21,62.87573178899671,False
2013/02/22,62.92733085101776,False
2013/02/25,62.97892986890756,False
2013/02/26,63.03052890678129,False
2013/02/27,63.08212794386638,False
2013/02/28,63.133726959654936,False
2013/03/01,63.185325986462516,False
2013/03/04,63.23692502357035,False
2013/03/05,63.28852402863134,False
2013/03/06,63.34012306439939,False
2013/03/07,63.39172204783561,False
2013/03/08,63.44332102597159,False
2013/03/11,63.49491999972877,False
