date,PRC,is_prediction
2012/01/03,45.26,True
2012/01/04,45.35,True
2012/01/05,44.23,True
2012/01/06,44.72,True
2012/01/09,45.12,True
2012/01/10,46.03,True
2012/01/11,46.52,True
2012/01/12,47.34,True
2012/01/13,47.56,True
2012/01/17,47.74,True
2012/01/18,48.17,True
2012/01/19,48.87,True
2012/01/20,48.81,True
2012/01/23,48.56,True
2012/01/24,48.52,True
2012/01/25,48.63,True
2012/01/26,49.3,True
2012/01/27,50.81,True
2012/01/30,50.75,True
2012/01/31,51.07,True
2012/02/01,51.62,True
2012/02/02,51.17,True
2012/02/03,51.51,True
2012/02/06,51.91,True
2012/02/07,52.38,True
2012/02/08,51.91,True
2012/02/09,52.79,True
2012/02/10,52.31,True
2012/02/13,52.29,True
2012/02/14,51.72,True
2012/02/15,51.21,True
2012/02/16,52.33,True
2012/02/17,51.76,True
2012/02/21,51.32,True
2012/02/22,50.95,True
2012/02/23,50.42,True
2012/02/24,50.8,True
2012/02/27,51.01,True
2012/02/28,50.81,True
2012/02/29,51.21,True
2012/03/01,52.09,True
2012/03/02,50.88,True
2012/03/05,51.24,True
2012/03/06,50.54,True
2012/03/07,50.5,True
2012/03/08,51.2,True
2012/03/09,52.15,True
2012/03/12,52.24,True
2012/03/13,53.26,True
2012/03/14,52.8,True
2012/03/15,54.65,True
2012/03/16,54.64,True
2012/03/19,54.34,True
2012/03/20,53.56,True
2012/03/21,53.86,True
2012/03/22,53.61,True
2012/03/23,53.69,True
2012/03/26,54.57,True
2012/03/27,54.86,True
2012/03/28,54.87,True
2012/03/29,54.92,True
2012/03/30,54.37,True
2012/04/02,55.12,True
2012/04/03,55.73,True
2012/04/04,55.72,True
2012/04/05,55.92,True
2012/04/09,55.04,True
2012/04/10,54.3,True
2012/04/11,54.5,True
2012/04/12,55.84,True
2012/04/13,56.0,True
2012/04/16,56.91,True
2012/04/17,56.79,True
2012/04/18,56.21,True
2012/04/19,55.38,True
2012/04/20,56.01,True
2012/04/23,55.44,True
2012/04/24,55.65,True
2012/04/25,56.02,True
2012/04/26,55.39,True
2012/04/27,55.66,True
2012/04/30,55.31,True
2012/05/01,55.59,True
2012/05/02,57.1,True
2012/05/03,56.78,True
2012/05/04,55.97,True
2012/05/07,56.29,True
2012/05/08,56.23,True
2012/05/09,55.5,True
2012/05/10,55.23,True
2012/05/11,55.26,True
2012/05/14,54.94,True
2012/05/15,55.59,True
2012/05/16,55.34,True
2012/05/17,52.14,True
2012/05/18,52.57,True
2012/05/21,54.18,True
2012/05/22,54.31,True
2012/05/23,55.4,True
2012/05/24,56.68,True
2012/05/25,56.69,True
2012/05/29,57.47,True
2012/05/30,56.72,True
2012/05/31,57.13,True
2012/06/01,54.66,True
2012/06/04,53.88,True
2012/06/05,54.0,True
2012/06/06,55.12,True
2012/06/07,54.77,True
2012/06/08,55.39,True
2012/06/11,55.57,True
2012/06/12,56.28,True
2012/06/13,56.81,True
2012/06/14,57.53,True
2012/06/15,58.55,True
2012/06/18,60.62,True
2012/06/19,60.34,True
2012/06/20,59.21,True
2012/06/21,57.67,True
2012/06/22,57.25,True
2012/06/25,56.88,True
2012/06/26,57.01,True
2012/06/27,57.32,True
2012/06/28,57.74,True
2012/06/29,59.6,True
2012/07/02,59.13,True
2012/07/03,59.0,True
2012/07/05,59.86,True
2012/07/06,58.73,True
2012/07/09,59.65,True
2012/07/10,58.76,True
2012/07/11,58.48,True
2012/07/12,58.01,True
2012/07/13,59.09,True
2012/07/16,58.33,True
2012/07/17,55.15,True
2012/07/18,54.87,True
2012/07/19,55.2,True
2012/07/20,54.4,True
2012/07/23,54.12,True
2012/07/24,53.54,True
2012/07/25,53.61,True
2012/07/26,54.42,True
2012/07/27,55.35,True
