date,PRC,is_prediction
2012/01/03,32.22,True
2012/01/04,32.5,True
2012/01/05,32.9,True
2012/01/06,33.17,True
2012/01/09,33.23,True
2012/01/10,34.36,True
2012/01/11,34.52,True
2012/01/12,35.1,True
2012/01/13,35.05,True
2012/01/17,34.92,True
2012/01/18,35.58,True
2012/01/19,32.46,True
2012/01/20,31.5,True
2012/01/23,31.34,True
2012/01/24,31.75,True
2012/01/25,31.92,True
2012/01/26,31.67,True
2012/01/27,31.66,True
2012/01/30,31.87,True
2012/01/31,31.77,True
2012/02/01,31.99,True
2012/02/02,32.44,True
2012/02/03,33.62,True
2012/02/06,33.54,True
2012/02/07,33.0,True
2012/02/08,32.5,True
2012/02/09,33.07,True
2012/02/10,32.95,True
2012/02/13,33.38,True
2012/02/14,33.27,True
2012/02/15,33.3,True
2012/02/16,34.44,True
2012/02/17,35.16,True
2012/02/21,35.13,True
2012/02/22,34.65,True
2012/02/23,33.47,True
2012/02/24,33.19,True
2012/02/27,33.27,True
2012/02/28,33.18,True
2012/02/29,32.63,True
2012/03/01,33.41,True
2012/03/02,33.26,True
2012/03/05,32.71,True
2012/03/06,31.06,True
2012/03/07,31.26,True
2012/03/08,31.96,True
2012/03/09,32.31,True
2012/03/12,31.7,True
2012/03/13,32.06,True
2012/03/14,32.07,True
2012/03/15,32.91,True
2012/03/16,32.66,True
2012/03/19,32.56,True
2012/03/20,32.38,True
2012/03/21,32.34,True
2012/03/22,31.66,True
2012/03/23,32.08,True
2012/03/26,32.78,True
2012/03/27,32.53,True
2012/03/28,32.13,True
2012/03/29,32.27,True
2012/03/30,32.48,True
2012/04/02,32.85,True
2012/04/03,32.6,True
2012/04/04,31.82,True
2012/04/05,31.72,True
2012/04/09,31.33,True
2012/04/10,30.65,True
2012/04/11,30.86,True
2012/04/12,31.83,True
2012/04/13,32.57,True
2012/04/16,32.4,True
2012/04/17,33.16,True
2012/04/18,32.84,True
2012/04/19,32.35,True
2012/04/20,31.96,True
2012/04/23,31.31,True
2012/04/24,31.02,True
2012/04/25,31.66,True
2012/04/26,32.02,True
2012/04/27,32.33,True
2012/04/30,31.97,True
2012/05/01,32.38,True
2012/05/02,32.42,True
2012/05/03,32.54,True
2012/05/04,31.61,True
2012/05/07,31.56,True
2012/05/08,31.77,True
2012/05/09,31.61,True
2012/05/10,31.79,True
2012/05/11,31.82,True
2012/05/14,31.76,True
2012/05/15,31.38,True
2012/05/16,31.3,True
2012/05/17,30.43,True
2012/05/18,29.55,True
2012/05/21,30.32,True
2012/05/22,30.36,True
2012/05/23,30.84,True
2012/05/24,30.83,True
2012/05/25,30.54,True
2012/05/29,31.26,True
2012/05/30,30.52,True
2012/05/31,30.14,True
2012/06/01,29.03,True
2012/06/04,28.6,True
2012/06/05,28.86,True
2012/06/06,29.6,True
2012/06/07,29.45,True
2012/06/08,29.46,True
2012/06/11,28.34,True
2012/06/12,28.6,True
2012/06/13,27.98,True
2012/06/14,27.98,True
2012/06/15,28.21,True
2012/06/18,28.04,True
2012/06/19,28.75,True
2012/06/20,28.41,True
2012/06/21,27.37,True
2012/06/22,26.95,True
2012/06/25,26.57,True
2012/06/26,26.69,True
2012/06/27,26.88,True
2012/06/28,26.69,True
2012/06/29,27.71,True
2012/07/02,27.04,True
2012/07/03,27.81,True
2012/07/05,27.74,True
2012/07/06,27.03,True
2012/07/09,26.75,True
2012/07/10,26.77,True
2012/07/11,26.89,True
2012/07/12,26.64,True
2012/07/13,27.56,True
2012/07/16,27.43,True
2012/07/17,27.49,True
2012/07/18,28.32,True
2012/07/19,26.07,True
2012/07/20,25.28,True
2012/07/23,24.51,True
2012/07/24,23.51,True
2012/07/25,23.68,True
2012/07/26,24.14,True
2012/07/27,25.06,True
2012/07/30,24.71,True
2012/07/31,24.65,True
2012/08/01,24.31,True
2012/08/02,23.83,True
2012/08/03,24.59,True
2012/08/06,24.95,True
2012/08/07,26.02,True
2012/08/08,25.53,True
2012/08/09,25.91,True
2012/08/10,26.11,True
2012/08/13,26.13,True
2012/08/14,26.23,True
2012/08/15,26.35,True
2012/08/16,27.0,True
2012/08/17,27.38,True
2012/08/20,27.27,True
2012/08/21,26.99,True
2012/08/22,27.11,True
2012/08/23,26.91,True
2012/08/24,26.98,True
2012/08/27,26.93,True
2012/08/28,27.03,True
2012/08/29,27.15,True
2012/08/30,27.15,True
2012/08/31,27.21,True
2012/09/04,26.85,True
2012/09/05,26.7,True
2012/09/06,27.49,True
2012/09/07,27.77,True
2012/09/10,27.71,True
2012/09/11,28.14,True
2012/09/12,28.51,True
2012/09/13,28.78,True
2012/09/14,29.2,True
2012/09/17,28.71,True
2012/09/18,28.43,True
2012/09/19,29.08,True
2012/09/20,28.69,True
2012/09/21,28.45,True
2012/09/24,28.49,True
2012/09/25,27.49,True
2012/09/26,27.42,True
2012/09/27,27.62,True
2012/09/28,27.4,True
2012/10/01,27.65,True
2012/10/02,27.55,True
2012/10/03,27.55,True
2012/10/04,27.88,True
2012/10/05,27.85,True
2012/10/08,27.61,True
2012/10/09,26.85,True
2012/10/10,26.07,True
2012/10/11,26.23,True
2012/10/12,25.87,True
2012/10/15,26.0,True
2012/10/16,26.28,True
2012/10/17,26.33,True
2012/10/18,26.75,True
2012/10/19,26.19,True
2012/10/22,26.42,True
2012/10/23,26.17,True
2012/10/24,25.86,True
2012/10/25,26.16,True
2012/10/26,25.81,True
2012/10/31,25.75,True
2012/11/01,26.04,True
2012/11/02,26.25,True
2012/11/05,26.5,True
2012/11/06,26.72,True
2012/11/07,25.92,True
2012/11/08,25.59,True
2012/11/09,25.52,True
2012/11/12,25.54,True
2012/11/13,25.17,True
2012/11/14,24.94,True
2012/11/15,25.11,True
2012/11/16,25.09,True
2012/11/19,26.03,True
2012/11/20,26.19,True
2012/11/21,26.76,True
2012/11/23,27.22,True
2012/11/26,27.08,True
2012/11/27,26.97,True
2012/11/28,27.56,True
2012/11/29,27.67,True
2012/11/30,27.54,True
2012/12/03,27.28,True
2012/12/04,27.61,True
2012/12/05,27.41,True
2012/12/06,27.58,True
2012/12/07,28.14,True
2012/12/10,28.59,True
2012/12/11,28.74,True
2012/12/12,28.65,True
2012/12/13,28.37,True
2012/12/14,28.2,True
2012/12/17,28.69,True
2012/12/18,29.22,True
2012/12/19,29.76,True
2012/12/20,30.01,True
2012/12/21,30.12,True
2012/12/24,30.15,True
2012/12/26,30.23,True
2012/12/27,30.38,True
2012/12/28,30.11,True
2012/12/31,30.67,True
2013/01/01,30.658394661397285,False
2013/01/02,30.63654425074613,False
2013/01/03,30.604996070433497,False
2013/01/04,30.485919236412155,False
2013/01/07,30.503920567684062,False
2013/01/08,30.437706300617,False
2013/01/09,30.416451579493145,False
2013/01/10,30.422436951309745,False
2013/01/11,30.41836969013459,False
2013/01/14,30.434799385266277,False
2013/01/15,30.428659520494218,False
2013/01/16,30.423860875374302,False
2013/01/17,30.416542514815184,False
2013/01/18,30.40268621497441,False
2013/01/21,30.391997263418055,False
2013/01/22,30.379102345780257,False
2013/01/23,30.36912661324448,False
2013/01/24,30.360702236966684,False
2013/01/25,30.35232404037966,False
2013/01/28,30.344983687033075,False
2013/01/29,30.33697584792273,False
2013/01/30,30.32887899286167,False
2013/01/31,30.320401276581716,False
2013/02/01,30.31149203716038,False
2013/02/04,30.302602712720834,False
2013/02/05,30.293619706974354,False
2013/02/06,30.28476886277921,False
2013/02/07,30.276022101262978,False
2013/02/08,30.267336203799776,False
2013/02/11,30.258726911234355,False
2013/02/12,30.25010744559977,False
2013/02/13,30.24147905813427,False
2013/02/14,30.23282185306161,False
2013/02/15,30.224134278959053,False
2013/02/18,30.215435644336118,False
2013/02/19,30.206727651358115,False
