date,PRC,is_prediction
2012/01/03,41.49,True
2012/01/04,41.52,True
2012/01/05,41.28,True
2012/01/06,41.17,True
2012/01/09,40.65,True
2012/01/10,41.68,True
2012/01/11,41.31,True
2012/01/12,43.47,True
2012/01/13,43.0,True
2012/01/17,43.65,True
2012/01/18,44.24,True
2012/01/19,45.16,True
2012/01/20,45.29,True
2012/01/23,45.3,True
2012/01/24,45.53,True
2012/01/25,46.31,True
2012/01/26,45.28,True
2012/01/27,45.19,True
2012/01/30,44.81,True
2012/01/31,44.76,True
2012/02/01,46.25,True
2012/02/02,46.12,True
2012/02/03,47.21,True
2012/02/06,46.53,True
2012/02/07,46.14,True
2012/02/08,45.83,True
2012/02/09,46.39,True
2012/02/10,45.85,True
2012/02/13,46.29,True
2012/02/14,45.99,True
2012/02/15,44.63,True
2012/02/16,45.48,True
2012/02/17,45.55,True
2012/02/21,45.62,True
2012/02/22,44.76,True
2012/02/23,47.61,True
2012/02/24,47.19,True
2012/02/27,47.05,True
2012/02/28,46.98,True
2012/02/29,46.22,True
2012/03/01,47.28,True
2012/03/02,47.18,True
2012/03/05,46.81,True
2012/03/06,44.83,True
2012/03/07,44.81,True
2012/03/08,45.15,True
2012/03/09,45.4,True
2012/03/12,45.05,True
2012/03/13,46.4,True
2012/03/14,45.78,True
2012/03/15,46.87,True
2012/03/16,46.89,True
2012/03/19,46.87,True
2012/03/20,45.82,True
2012/03/21,45.93,True
2012/03/22,44.82,True
2012/03/23,44.9,True
2012/03/26,46.36,True
2012/03/27,46.46,True
2012/03/28,45.44,True
2012/03/29,44.85,True
2012/03/30,44.37,True
2012/04/02,44.75,True
2012/04/03,44.73,True
2012/04/04,43.93,True
2012/04/05,43.77,True
2012/04/09,43.02,True
2012/04/10,41.92,True
2012/04/11,42.67,True
2012/04/12,43.66,True
2012/04/13,42.9,True
2012/04/16,43.28,True
2012/04/17,44.25,True
2012/04/18,43.86,True
2012/04/19,43.18,True
2012/04/20,43.18,True
2012/04/23,42.69,True
2012/04/24,42.88,True
2012/04/25,43.56,True
2012/04/26,43.83,True
2012/04/27,44.6,True
2012/04/30,43.83,True
2012/05/01,41.86,True
2012/05/02,41.8,True
2012/05/03,40.91,True
2012/05/04,39.55,True
2012/05/07,39.29,True
2012/05/08,39.14,True
2012/05/09,39.29,True
2012/05/10,38.98,True
2012/05/11,38.86,True
2012/05/14,38.25,True
2012/05/15,37.59,True
2012/05/16,37.13,True
2012/05/17,36.45,True
2012/05/18,36.14,True
2012/05/21,36.96,True
2012/05/22,36.52,True
2012/05/23,36.99,True
2012/05/24,37.03,True
2012/05/25,36.96,True
2012/05/29,37.44,True
2012/05/30,36.09,True
2012/05/31,35.52,True
2012/06/01,34.95,True
2012/06/04,34.4,True
2012/06/05,35.58,True
2012/06/06,36.45,True
2012/06/07,36.21,True
2012/06/08,36.44,True
2012/06/11,35.58,True
2012/06/12,35.86,True
2012/06/13,35.35,True
2012/06/14,35.58,True
2012/06/15,35.94,True
2012/06/18,35.91,True
2012/06/19,36.71,True
2012/06/20,36.16,True
2012/06/21,35.12,True
2012/06/22,35.4,True
2012/06/25,34.5,True
2012/06/26,34.9,True
2012/06/27,35.91,True
2012/06/28,36.53,True
2012/06/29,37.86,True
2012/07/02,37.65,True
2012/07/03,38.44,True
2012/07/05,37.98,True
2012/07/06,37.51,True
2012/07/09,37.63,True
2012/07/10,37.06,True
2012/07/11,36.73,True
2012/07/12,36.46,True
2012/07/13,37.24,True
2012/07/16,37.08,True
2012/07/17,37.44,True
2012/07/18,38.4,True
2012/07/19,38.76,True
2012/07/20,37.89,True
2012/07/23,37.28,True
2012/07/24,36.4,True
2012/07/25,36.61,True
2012/07/26,37.65,True
2012/07/27,39.45,True
2012/07/30,39.2,True
2012/07/31,38.57,True
2012/08/01,38.35,True
2012/08/02,38.33,True
2012/08/03,38.99,True
2012/08/06,39.34,True
2012/08/07,39.32,True
2012/08/08,39.6,True
2012/08/09,39.66,True
2012/08/10,39.34,True
