date,PRC,is_prediction
2012/01/03,21.04,True
2012/01/04,20.75,True
2012/01/05,20.64,True
2012/01/06,20.43,True
2012/01/09,21.53,True
2012/01/10,21.34,True
2012/01/11,21.31,True
2012/01/12,21.29,True
2012/01/13,21.05,True
2012/01/17,21.24,True
2012/01/18,22.51,True
2012/01/19,23.88,True
2012/01/20,22.99,True
2012/01/23,22.54,True
2012/01/24,23.15,True
2012/01/25,22.62,True
2012/01/26,22.37,True
2012/01/27,21.69,True
2012/01/30,21.09,True
2012/01/31,20.93,True
2012/02/01,21.68,True
2012/02/02,21.61,True
2012/02/03,22.55,True
2012/02/06,22.72,True
2012/02/07,23.02,True
2012/02/08,23.09,True
2012/02/09,23.18,True
2012/02/10,22.72,True
2012/02/13,22.47,True
2012/02/14,22.57,True
2012/02/15,24.16,True
2012/02/16,24.02,True
2012/02/17,24.2,True
2012/02/21,23.77,True
2012/02/22,23.78,True
2012/02/23,23.51,True
2012/02/24,23.72,True
2012/02/27,23.55,True
2012/02/28,23.74,True
2012/02/29,22.76,True
2012/03/01,22.29,True
2012/03/02,21.99,True
2012/03/05,21.33,True
2012/03/06,21.09,True
2012/03/07,21.41,True
2012/03/08,21.43,True
2012/03/09,21.42,True
2012/03/12,21.15,True
2012/03/13,21.31,True
2012/03/14,20.6,True
2012/03/15,21.33,True
2012/03/16,21.43,True
2012/03/19,21.66,True
2012/03/20,21.15,True
2012/03/21,21.18,True
2012/03/22,20.95,True
2012/03/23,21.11,True
2012/03/26,21.42,True
2012/03/27,22.23,True
2012/03/28,22.41,True
2012/03/29,22.87,True
2012/03/30,22.88,True
2012/04/02,22.73,True
2012/04/03,21.92,True
2012/04/04,21.6,True
2012/04/05,21.25,True
2012/04/09,20.91,True
2012/04/10,20.88,True
2012/04/11,21.75,True
2012/04/12,22.02,True
2012/04/13,21.2,True
2012/04/16,20.84,True
2012/04/17,21.62,True
2012/04/18,21.16,True
2012/04/19,20.93,True
2012/04/20,20.6,True
2012/04/23,20.17,True
2012/04/24,21.63,True
2012/04/25,20.85,True
2012/04/26,21.31,True
2012/04/27,21.26,True
2012/04/30,21.43,True
2012/05/01,21.46,True
2012/05/02,21.01,True
2012/05/03,20.33,True
2012/05/04,19.71,True
2012/05/07,19.25,True
2012/05/08,18.93,True
2012/05/09,19.01,True
2012/05/10,18.07,True
2012/05/11,17.95,True
2012/05/14,17.57,True
2012/05/15,17.67,True
2012/05/16,17.28,True
2012/05/17,17.0,True
2012/05/18,17.53,True
2012/05/21,17.98,True
2012/05/22,17.99,True
2012/05/23,17.23,True
2012/05/24,17.0,True
2012/05/25,17.15,True
2012/05/29,17.41,True
2012/05/30,17.26,True
2012/05/31,17.2,True
2012/06/01,16.82,True
2012/06/04,16.71,True
2012/06/05,17.0,True
2012/06/06,17.48,True
2012/06/07,16.57,True
2012/06/08,16.89,True
2012/06/11,16.4,True
2012/06/12,16.61,True
2012/06/13,16.36,True
2012/06/14,16.2,True
2012/06/15,16.43,True
2012/06/18,16.35,True
2012/06/19,16.46,True
2012/06/20,16.73,True
2012/06/21,15.88,True
2012/06/22,16.04,True
2012/06/25,15.59,True
2012/06/26,15.45,True
2012/06/27,15.58,True
2012/06/28,15.53,True
2012/06/29,16.31,True
2012/07/02,15.85,True
2012/07/03,16.14,True
2012/07/05,16.13,True
2012/07/06,15.58,True
2012/07/09,15.2,True
2012/07/10,14.84,True
2012/07/11,14.68,True
2012/07/12,14.51,True
2012/07/13,14.5,True
2012/07/16,14.29,True
2012/07/17,14.27,True
2012/07/18,15.21,True
2012/07/19,15.84,True
2012/07/20,15.65,True
2012/07/23,15.22,True
2012/07/24,14.815,True
2012/07/25,16.5,True
2012/07/26,16.83,True
2012/07/27,17.79,True
2012/07/30,17.55,True
2012/07/31,17.53,True
2012/08/01,17.71,True
2012/08/02,17.58,True
2012/08/03,18.08,True
2012/08/06,18.63,True
2012/08/07,19.05,True
2012/08/08,18.77,True
2012/08/09,19.4,True
2012/08/10,19.24,True
2012/08/13,18.92,True
2012/08/14,18.07,True
2012/08/15,18.44,True
2012/08/16,18.59,True
2012/08/17,18.45,True
2012/08/20,18.33,True
2012/08/21,18.2,True
2012/08/22,18.26,True
2012/08/23,18.23,True
2012/08/24,17.74,True
2012/08/27,17.75,True
2012/08/28,18.34,True
2012/08/29,18.48,True
2012/08/30,17.75,True
