date,PRC,is_prediction
2012/01/03,34.98,True
2012/01/04,34.95,True
2012/01/05,35.68,True
2012/01/06,35.36,True
2012/01/09,35.3,True
2012/01/10,36.05,True
2012/01/11,36.66,True
2012/01/12,36.85,True
2012/01/13,35.92,True
2012/01/17,34.91,True
2012/01/18,36.54,True
2012/01/19,36.93,True
2012/01/20,37.36,True
2012/01/23,37.66,True
2012/01/24,37.66,True
2012/01/25,37.6,True
2012/01/26,37.49,True
2012/01/27,37.21,True
2012/01/30,37.01,True
2012/01/31,37.3,True
2012/02/01,37.6,True
2012/02/02,37.55,True
2012/02/03,38.28,True
2012/02/06,38.14,True
2012/02/07,37.87,True
2012/02/08,38.3,True
2012/02/09,37.86,True
2012/02/10,37.61,True
2012/02/13,38.3,True
2012/02/14,37.92,True
2012/02/15,37.4,True
2012/02/16,38.0,True
2012/02/17,38.47,True
2012/02/21,38.46,True
2012/02/22,38.07,True
2012/02/23,38.49,True
2012/02/24,38.28,True
2012/02/27,39.06,True
2012/02/28,39.21,True
2012/02/29,39.24,True
2012/03/01,40.37,True
2012/03/02,40.63,True
2012/03/05,40.4,True
2012/03/06,39.32,True
2012/03/07,39.95,True
2012/03/08,40.44,True
2012/03/09,41.03,True
2012/03/12,40.54,True
2012/03/13,43.39,True
2012/03/14,43.58,True
2012/03/15,44.7,True
2012/03/16,44.57,True
2012/03/19,45.0,True
2012/03/20,45.38,True
2012/03/21,45.12,True
2012/03/22,44.65,True
2012/03/23,45.16,True
2012/03/26,46.17,True
2012/03/27,45.89,True
2012/03/28,46.27,True
2012/03/29,45.67,True
2012/03/30,45.98,True
2012/04/02,46.13,True
2012/04/03,45.42,True
2012/04/04,44.41,True
2012/04/05,44.34,True
2012/04/09,43.89,True
2012/04/10,42.96,True
2012/04/11,44.01,True
2012/04/12,44.84,True
2012/04/13,43.21,True
2012/04/16,43.33,True
2012/04/17,43.9,True
2012/04/18,43.29,True
2012/04/19,43.22,True
2012/04/20,42.72,True
2012/04/23,42.85,True
2012/04/24,43.28,True
2012/04/25,43.16,True
2012/04/26,43.8,True
2012/04/27,43.34,True
2012/04/30,42.98,True
2012/05/01,43.79,True
2012/05/02,43.2,True
2012/05/03,43.01,True
2012/05/04,41.75,True
2012/05/07,41.78,True
2012/05/08,41.38,True
2012/05/09,40.64,True
2012/05/10,40.74,True
2012/05/11,36.96,True
2012/05/14,35.79,True
2012/05/15,36.24,True
2012/05/16,35.46,True
2012/05/17,33.93,True
2012/05/18,33.49,True
2012/05/21,32.51,True
2012/05/22,34.01,True
2012/05/23,34.26,True
2012/05/24,33.97,True
2012/05/25,33.5,True
2012/05/29,33.63,True
2012/05/30,32.96,True
2012/05/31,33.15,True
2012/06/01,31.93,True
2012/06/04,31.0,True
2012/06/05,31.99,True
2012/06/06,33.07,True
2012/06/07,32.81,True
2012/06/08,33.68,True
2012/06/11,32.82,True
2012/06/12,33.77,True
2012/06/13,34.3,True
2012/06/14,34.65,True
2012/06/15,35.03,True
2012/06/18,34.62,True
2012/06/19,35.38,True
2012/06/20,36.45,True
2012/06/21,35.51,True
2012/06/22,35.99,True
2012/06/25,35.32,True
2012/06/26,35.71,True
2012/06/27,36.78,True
2012/06/28,35.88,True
2012/06/29,35.73,True
2012/07/02,36.28,True
2012/07/03,35.88,True
2012/07/05,34.38,True
2012/07/06,33.9,True
2012/07/09,33.96,True
2012/07/10,34.25,True
2012/07/11,34.59,True
2012/07/12,34.04,True
2012/07/13,36.07,True
2012/07/16,35.09,True
2012/07/17,34.99,True
2012/07/18,34.96,True
2012/07/19,34.46,True
2012/07/20,33.9,True
2012/07/23,34.44,True
2012/07/24,34.73,True
2012/07/25,35.17,True
2012/07/26,35.81,True
2012/07/27,36.89,True
2012/07/30,36.14,True
2012/07/31,36.0,True
2012/08/01,36.0,True
2012/08/02,35.17,True
2012/08/03,36.09,True
2012/08/06,36.3,True
2012/08/07,37.01,True
2012/08/08,37.16,True
2012/08/09,36.92,True
2012/08/10,36.97,True
2012/08/13,36.99,True
2012/08/14,37.1,True
2012/08/15,37.07,True
2012/08/16,37.1,True
2012/08/17,36.98,True
2012/08/20,37.37,True
2012/08/21,38.04,True
2012/08/22,37.83,True
2012/08/23,37.23,True
2012/08/24,37.17,True
2012/08/27,37.23,True
2012/08/28,37.13,True
2012/08/29,37.3,True
2012/08/30,36.9,True
2012/08/31,37.14,True
2012/09/04,37.01,True
2012/09/05,37.11,True
2012/09/06,38.69,True
2012/09/07,39.3,True
2012/09/10,38.76,True
2012/09/11,39.6,True
2012/09/12,39.92,True
2012/09/13,41.4,True
2012/09/14,41.57,True
2012/09/17,41.19,True
2012/09/18,41.26,True
2012/09/19,41.34,True
2012/09/20,41.25,True
2012/09/21,40.88,True
2012/09/24,41.23,True
2012/09/25,40.55,True
2012/09/26,40.24,True
2012/09/27,40.68,True
2012/09/28,40.48,True
2012/10/01,40.97,True
2012/10/02,40.92,True
2012/10/03,40.86,True
2012/10/04,41.82,True
2012/10/05,41.71,True
2012/10/08,41.66,True
2012/10/09,41.38,True
2012/10/10,41.77,True
2012/10/11,42.1,True
2012/10/12,41.62,True
2012/10/15,42.38,True
2012/10/16,42.83,True
2012/10/17,43.32,True
2012/10/18,43.01,True
2012/10/19,42.32,True
2012/10/22,42.09,True
2012/10/23,41.33,True
2012/10/24,41.71,True
2012/10/25,41.67,True
2012/10/26,41.16,True
2012/10/31,41.68,True
2012/11/01,42.84,True
2012/11/02,42.42,True
2012/11/05,42.27,True
2012/11/06,42.88,True
2012/11/07,40.48,True
2012/11/08,40.4,True
2012/11/09,40.62,True
2012/11/12,40.58,True
2012/11/13,40.04,True
2012/11/14,39.29,True
2012/11/15,39.39,True
2012/11/16,39.53,True
2012/11/19,40.59,True
2012/11/20,40.7,True
2012/11/21,40.73,True
2012/11/23,41.09,True
2012/11/26,40.88,True
2012/11/27,40.75,True
2012/11/28,40.83,True
2012/11/29,41.22,True
2012/11/30,41.08,True
2012/12/03,40.81,True
2012/12/04,40.57,True
2012/12/05,41.2,True
2012/12/06,41.47,True
2012/12/07,42.56,True
2012/12/10,42.31,True
2012/12/11,42.64,True
2012/12/12,42.77,True
2012/12/13,42.78,True
2012/12/14,42.81,True
2012/12/17,43.48,True
2012/12/18,43.87,True
2012/12/19,43.53,True
2012/12/20,44.53,True
2012/12/21,44.0,True
2012/12/24,43.92,True
2012/12/26,43.96,True
2012/12/27,43.63,True
2012/12/28,43.24,True
2012/12/31,43.9691,True
2013/01/01,43.82393123995567,False
2013/01/02,43.83399168582173,False
2013/01/03,43.91265128022681,False
2013/01/04,43.91375265808576,False
2013/01/07,44.02041709752614,False
2013/01/08,44.10219756977888,False
2013/01/09,44.05973787344929,False
2013/01/10,44.12432740416544,False
2013/01/11,44.17015257927548,False
2013/01/14,44.199156340779524,False
2013/01/15,44.243540884029656,False
2013/01/16,44.26943224814656,False
2013/01/17,44.30091629067833,False
2013/01/18,44.346691440810716,False
2013/01/21,44.37825480686202,False
2013/01/22,44.412433877127945,False
2013/01/23,44.44918542157458,False
2013/01/24,44.48335047095245,False
2013/01/25,44.520298726798266,False
2013/01/28,44.55626699684909,False
2013/01/29,44.59051263586686,False
2013/01/30,44.62668724136174,False
2013/01/31,44.66244873361424,False
2013/02/01,44.697859345904845,False
2013/02/04,44.73366963798566,False
2013/02/05,44.76907992459946,False
2013/02/06,44.80464724128096,False
2013/02/07,44.840427980180095,False
2013/02/08,44.87594517111539,False
2013/02/11,44.91153032190291,False
2013/02/12,44.947161156053525,False
2013/02/13,44.98273311930184,False
2013/02/14,45.01836194788166,False
2013/02/15,45.05396678500964,False
2013/02/18,45.08954495790827,False
2013/02/19,45.125159266125934,False
2013/02/20,45.160762499780965,False
2013/02/21,45.196359992267425,False
2013/02/22,45.23196593323687,False
2013/02/25,45.26756377718704,False
2013/02/26,45.30316518666844,False
2013/02/27,45.33876989291698,False
2013/02/28,45.3743696270866,False
2013/03/01,45.40997109012357,False
2013/03/04,45.44557324170939,False
2013/03/05,45.48117417904911,False
2013/03/06,45.5167762576532,False
2013/03/07,45.55237778084599,False
2013/03/08,45.58797888584815,False
2013/03/11,45.62358066349887,False
