date,PRC,is_prediction
2012/01/03,49.72,True
2012/01/04,50.08,True
2012/01/05,50.61,True
2012/01/06,49.74,True
2012/01/09,49.66,True
2012/01/10,49.36,True
2012/01/11,48.98,True
2012/01/12,48.93,True
2012/01/13,48.48,True
2012/01/17,48.99,True
2012/01/18,49.64,True
2012/01/19,50.37,True
2012/01/20,50.02,True
2012/01/23,49.38,True
2012/01/24,49.62,True
2012/01/25,48.74,True
2012/01/26,48.46,True
2012/01/27,48.55,True
2012/01/30,49.53,True
2012/01/31,49.38,True
2012/02/01,49.52,True
2012/02/02,49.11,True
2012/02/03,50.27,True
2012/02/06,49.79,True
2012/02/07,50.6,True
2012/02/08,51.01,True
2012/02/09,51.15,True
2012/02/10,50.78,True
2012/02/13,50.56,True
2012/02/14,50.67,True
2012/02/15,51.0,True
2012/02/16,52.18,True
2012/02/17,51.14,True
2012/02/21,52.79,True
2012/02/22,52.63,True
2012/02/23,53.25,True
2012/02/24,53.17,True
2012/02/27,53.89,True
2012/02/28,53.78,True
2012/02/29,53.62,True
2012/03/01,53.77,True
2012/03/02,53.55,True
2012/03/05,53.5,True
2012/03/06,52.41,True
2012/03/07,53.2,True
2012/03/08,53.68,True
2012/03/09,54.08,True
2012/03/12,53.67,True
2012/03/13,54.9,True
2012/03/14,54.68,True
2012/03/15,55.05,True
2012/03/16,54.88,True
2012/03/19,54.37,True
2012/03/20,54.74,True
2012/03/21,55.25,True
2012/03/22,54.99,True
2012/03/23,54.54,True
2012/03/26,55.29,True
2012/03/27,55.4,True
2012/03/28,54.71,True
2012/03/29,55.27,True
2012/03/30,55.72,True
2012/04/02,56.12,True
2012/04/03,55.38,True
2012/04/04,55.55,True
2012/04/05,56.17,True
2012/04/09,55.85,True
2012/04/10,53.46,True
2012/04/11,54.63,True
2012/04/12,55.09,True
2012/04/13,54.99,True
2012/04/16,55.52,True
2012/04/17,55.96,True
2012/04/18,55.75,True
2012/04/19,55.56,True
2012/04/20,55.11,True
2012/04/23,54.62,True
2012/04/24,53.93,True
2012/04/25,55.18,True
2012/04/26,55.58,True
2012/04/27,56.05,True
2012/04/30,55.86,True
2012/05/01,55.86,True
2012/05/02,57.2,True
2012/05/03,56.86,True
2012/05/04,55.9,True
2012/05/07,55.23,True
2012/05/08,54.01,True
2012/05/09,53.92,True
2012/05/10,53.53,True
2012/05/11,50.96,True
2012/05/14,50.2,True
2012/05/15,50.62,True
2012/05/16,50.05,True
2012/05/17,48.54,True
2012/05/18,48.89,True
2012/05/21,49.57,True
2012/05/22,49.65,True
2012/05/23,50.24,True
2012/05/24,50.45,True
2012/05/25,50.74,True
2012/05/29,51.08,True
2012/05/30,50.28,True
2012/05/31,47.37,True
2012/06/01,46.8,True
2012/06/04,47.47,True
2012/06/05,47.06,True
2012/06/06,47.82,True
2012/06/07,47.66,True
2012/06/08,48.77,True
2012/06/11,47.7,True
2012/06/12,48.87,True
2012/06/13,47.38,True
2012/06/14,48.17,True
2012/06/15,49.15,True
2012/06/18,49.03,True
2012/06/19,51.03,True
2012/06/20,50.86,True
2012/06/21,48.74,True
2012/06/22,48.92,True
2012/06/25,47.94,True
2012/06/26,48.62,True
2012/06/27,47.9,True
2012/06/28,48.25,True
2012/06/29,49.69,True
