date,PRC,is_prediction
2012/01/03,50.46,True
2012/01/04,50.41,True
2012/01/05,50.47,True
2012/01/06,50.51,True
2012/01/09,50.71,True
2012/01/10,51.4,True
2012/01/11,51.56,True
2012/01/12,51.44,True
2012/01/13,50.81,True
2012/01/17,50.89,True
2012/01/18,51.16,True
2012/01/19,51.19,True
2012/01/20,51.07,True
2012/01/23,51.0,True
2012/01/24,50.5,True
2012/01/25,50.91,True
2012/01/26,49.99,True
2012/01/27,49.73,True
2012/01/30,49.47,True
2012/01/31,49.52,True
2012/02/01,49.31,True
2012/02/02,50.59,True
2012/02/03,50.84,True
2012/02/06,50.68,True
2012/02/07,50.82,True
2012/02/08,50.34,True
2012/02/09,50.21,True
2012/02/10,49.81,True
2012/02/13,50.02,True
2012/02/14,50.3,True
2012/02/15,52.87,True
2012/02/16,52.56,True
2012/02/17,52.53,True
2012/02/21,51.96,True
2012/02/22,52.53,True
2012/02/23,53.1,True
2012/02/24,52.75,True
2012/02/27,52.9,True
2012/02/28,52.33,True
2012/02/29,52.35,True
2012/03/01,52.26,True
2012/03/02,52.11,True
2012/03/05,52.09,True
2012/03/06,51.84,True
2012/03/07,51.93,True
2012/03/08,52.42,True
2012/03/09,52.44,True
2012/03/12,52.83,True
2012/03/13,52.9,True
2012/03/14,52.48,True
2012/03/15,52.92,True
2012/03/16,52.62,True
2012/03/19,52.6,True
2012/03/20,52.68,True
2012/03/21,52.48,True
2012/03/22,52.55,True
2012/03/23,52.41,True
2012/03/26,52.83,True
2012/03/27,53.11,True
2012/03/28,53.31,True
2012/03/29,53.39,True
2012/03/30,53.63,True
2012/04/02,53.74,True
2012/04/03,53.38,True
2012/04/04,53.31,True
2012/04/05,53.18,True
2012/04/09,52.89,True
2012/04/10,52.93,True
2012/04/11,53.01,True
2012/04/12,53.2,True
2012/04/13,53.24,True
2012/04/16,53.5,True
2012/04/17,53.78,True
2012/04/18,53.58,True
2012/04/19,53.8,True
2012/04/20,53.99,True
2012/04/23,50.7,True
2012/04/24,50.43,True
2012/04/25,50.49,True
2012/04/26,50.31,True
2012/04/27,50.35,True
2012/04/30,50.57,True
2012/05/01,50.0,True
2012/05/02,50.55,True
2012/05/03,50.75,True
2012/05/04,50.39,True
2012/05/07,50.52,True
2012/05/08,50.75,True
2012/05/09,50.76,True
2012/05/10,50.93,True
2012/05/11,50.99,True
2012/05/14,50.96,True
2012/05/15,50.98,True
2012/05/16,50.93,True
2012/05/17,50.71,True
2012/05/18,50.37,True
2012/05/21,50.37,True
2012/05/22,50.4,True
2012/05/23,50.1,True
2012/05/24,50.2,True
2012/05/25,50.27,True
2012/05/29,50.48,True
2012/05/30,49.36,True
2012/05/31,48.78,True
2012/06/01,48.22,True
2012/06/04,48.26,True
2012/06/05,48.22,True
2012/06/06,48.37,True
2012/06/07,48.4,True
2012/06/08,48.63,True
2012/06/11,48.52,True
2012/06/12,48.39,True
2012/06/13,48.38,True
2012/06/14,49.13,True
2012/06/15,49.25,True
2012/06/18,49.4,True
2012/06/19,49.6,True
2012/06/20,49.44,True
2012/06/21,48.81,True
