date,PRC,is_prediction
2012/01/03,32.49,True
2012/01/04,32.49,True
2012/01/05,32.65,True
2012/01/06,32.89,True
2012/01/09,32.81,True
2012/01/10,33.18,True
2012/01/11,33.39,True
2012/01/12,33.08,True
2012/01/13,32.86,True
2012/01/17,33.07,True
2012/01/18,32.83,True
2012/01/19,33.03,True
2012/01/20,32.77,True
2012/01/23,32.81,True
2012/01/24,32.68,True
2012/01/25,33.23,True
2012/01/26,32.84,True
2012/01/27,32.38,True
2012/01/30,32.24,True
2012/01/31,32.47,True
2012/02/01,32.33,True
2012/02/02,32.18,True
2012/02/03,31.92,True
2012/02/06,32.26,True
2012/02/07,31.84,True
2012/02/08,32.07,True
2012/02/09,32.64,True
2012/02/10,32.35,True
2012/02/13,32.57,True
2012/02/14,32.31,True
2012/02/15,32.15,True
2012/02/16,32.33,True
2012/02/17,32.23,True
2012/02/21,32.07,True
2012/02/22,32.23,True
2012/02/23,32.32,True
2012/02/24,33.24,True
2012/02/27,34.76,True
2012/02/28,35.26,True
2012/02/29,35.24,True
2012/03/01,35.92,True
2012/03/02,36.29,True
2012/03/05,36.23,True
2012/03/06,35.35,True
2012/03/07,36.3,True
2012/03/08,36.73,True
2012/03/09,37.52,True
2012/03/12,36.74,True
2012/03/13,36.61,True
2012/03/14,36.05,True
2012/03/15,36.25,True
2012/03/16,36.85,True
2012/03/19,37.14,True
2012/03/20,36.75,True
2012/03/21,37.07,True
2012/03/22,37.38,True
2012/03/23,38.6,True
2012/03/26,38.37,True
2012/03/27,38.44,True
2012/03/28,39.25,True
2012/03/29,39.01,True
2012/03/30,38.65,True
2012/04/02,39.1,True
2012/04/03,39.73,True
2012/04/04,39.22,True
2012/04/05,39.85,True
2012/04/09,39.38,True
2012/04/10,38.1,True
2012/04/11,38.23,True
2012/04/12,38.52,True
2012/04/13,38.41,True
2012/04/16,37.7,True
2012/04/17,37.24,True
2012/04/18,37.25,True
2012/04/19,36.73,True
2012/04/20,36.16,True
2012/04/23,35.11,True
2012/04/24,35.09,True
2012/04/25,35.92,True
2012/04/26,35.68,True
2012/04/27,35.84,True
2012/04/30,35.9,True
2012/05/01,36.42,True
2012/05/02,36.37,True
2012/05/03,35.75,True
2012/05/04,35.25,True
2012/05/07,35.15,True
2012/05/08,34.97,True
2012/05/09,34.08,True
2012/05/10,34.3,True
2012/05/11,33.99,True
2012/05/14,33.55,True
2012/05/15,33.3,True
2012/05/16,33.25,True
2012/05/17,33.0,True
2012/05/18,32.5,True
2012/05/21,33.36,True
2012/05/22,33.8,True
2012/05/23,33.16,True
2012/05/24,32.11,True
2012/05/25,32.42,True
2012/05/29,33.5,True
2012/05/30,33.67,True
2012/05/31,34.19,True
2012/06/01,32.35,True
2012/06/04,33.0,True
2012/06/05,33.02,True
2012/06/06,31.9,True
2012/06/07,31.49,True
2012/06/08,31.53,True
2012/06/11,31.44,True
2012/06/12,31.35,True
2012/06/13,31.23,True
2012/06/14,31.47,True
2012/06/15,31.9,True
2012/06/18,31.85,True
2012/06/19,32.36,True
2012/06/20,32.34,True
2012/06/21,31.98,True
2012/06/22,31.68,True
2012/06/25,30.83,True
2012/06/26,30.76,True
2012/06/27,30.99,True
2012/06/28,31.22,True
2012/06/29,32.22,True
2012/07/02,32.74,True
2012/07/03,33.16,True
2012/07/05,33.26,True
2012/07/06,32.96,True
2012/07/09,32.74,True
2012/07/10,32.79,True
2012/07/11,33.05,True
2012/07/12,33.34,True
2012/07/13,34.54,True
2012/07/16,34.7,True
2012/07/17,35.04,True
2012/07/18,35.39,True
2012/07/19,35.25,True
2012/07/20,34.99,True
2012/07/23,34.86,True
2012/07/24,34.87,True
2012/07/25,35.26,True
2012/07/26,35.72,True
2012/07/27,35.81,True
