date,PRC,is_prediction
2012/01/03,30.52,True
2012/01/04,30.72,True
2012/01/05,30.91,True
2012/01/06,30.32,True
2012/01/09,30.08,True
2012/01/10,30.93,True
2012/01/11,31.75,True
2012/01/12,31.96,True
2012/01/13,32.64,True
2012/01/17,32.43,True
2012/01/18,33.02,True
2012/01/19,33.25,True
2012/01/20,32.45,True
2012/01/23,32.7,True
2012/01/24,32.57,True
2012/01/25,32.35,True
2012/01/26,31.77,True
2012/01/27,31.43,True
2012/01/30,31.29,True
2012/01/31,30.43,True
2012/02/01,30.5,True
2012/02/02,30.55,True
2012/02/03,29.7,True
2012/02/06,30.32,True
2012/02/07,30.36,True
2012/02/08,29.92,True
2012/02/09,30.41,True
2012/02/10,29.91,True
2012/02/13,29.62,True
2012/02/14,29.72,True
2012/02/15,29.09,True
2012/02/16,29.66,True
2012/02/17,30.18,True
2012/02/21,29.95,True
2012/02/22,30.39,True
2012/02/23,30.22,True
2012/02/24,30.18,True
2012/02/27,30.67,True
2012/02/28,31.09,True
2012/02/29,30.69,True
2012/03/01,31.12,True
2012/03/02,32.24,True
2012/03/05,32.1,True
2012/03/06,32.07,True
2012/03/07,32.66,True
2012/03/08,33.58,True
2012/03/09,33.67,True
2012/03/12,33.38,True
2012/03/13,34.11,True
2012/03/14,34.28,True
2012/03/15,34.5,True
2012/03/16,34.21,True
2012/03/19,34.56,True
2012/03/20,34.54,True
2012/03/21,34.46,True
2012/03/22,34.22,True
2012/03/23,34.15,True
2012/03/26,34.98,True
2012/03/27,34.8,True
2012/03/28,34.17,True
2012/03/29,34.19,True
2012/03/30,34.65,True
2012/04/02,34.5,True
2012/04/03,34.63,True
2012/04/04,34.92,True
2012/04/05,33.23,True
2012/04/09,32.78,True
2012/04/10,31.36,True
2012/04/11,31.74,True
2012/04/12,31.81,True
2012/04/13,31.31,True
2012/04/16,31.63,True
2012/04/17,32.24,True
2012/04/18,31.74,True
2012/04/19,31.26,True
2012/04/20,31.49,True
2012/04/23,31.17,True
2012/04/24,30.93,True
2012/04/25,31.25,True
2012/04/26,31.29,True
2012/04/27,31.29,True
2012/04/30,30.87,True
2012/05/01,30.99,True
2012/05/02,31.62,True
2012/05/03,30.43,True
2012/05/04,29.84,True
2012/05/07,29.84,True
2012/05/08,29.75,True
2012/05/09,29.42,True
2012/05/10,30.04,True
2012/05/11,29.59,True
2012/05/14,28.7,True
2012/05/15,28.48,True
2012/05/16,28.65,True
2012/05/17,28.02,True
2012/05/18,27.99,True
2012/05/21,28.47,True
2012/05/22,28.47,True
2012/05/23,28.85,True
2012/05/24,29.02,True
2012/05/25,29.11,True
2012/05/29,29.46,True
2012/05/30,28.14,True
2012/05/31,28.21,True
2012/06/01,27.33,True
2012/06/04,27.38,True
2012/06/05,27.63,True
2012/06/06,28.46,True
2012/06/07,27.86,True
2012/06/08,28.15,True
2012/06/11,27.47,True
2012/06/12,27.5,True
2012/06/13,26.92,True
2012/06/14,27.34,True
2012/06/15,27.68,True
2012/06/18,27.63,True
2012/06/19,28.52,True
2012/06/20,27.9,True
2012/06/21,25.88,True
2012/06/22,25.73,True
2012/06/25,25.34,True
2012/06/26,25.49,True
2012/06/27,25.38,True
2012/06/28,25.22,True
2012/06/29,25.94,True
2012/07/02,26.1,True
2012/07/03,26.33,True
2012/07/05,26.79,True
2012/07/06,26.54,True
2012/07/09,26.35,True
2012/07/10,26.5,True
2012/07/11,26.13,True
