date,PRC,is_prediction
2012/01/03,24.52,True
2012/01/04,24.27,True
2012/01/05,24.29,True
2012/01/06,24.19,True
2012/01/09,24.26,True
2012/01/10,24.32,True
2012/01/11,24.09,True
2012/01/12,23.98,True
2012/01/13,24.13,True
2012/01/17,24.31,True
2012/01/18,24.12,True
2012/01/19,24.06,True
2012/01/20,23.91,True
2012/01/23,24.13,True
2012/01/24,24.34,True
2012/01/25,24.65,True
2012/01/26,24.57,True
2012/01/27,24.3,True
2012/01/30,24.09,True
2012/01/31,23.76,True
2012/02/01,23.83,True
2012/02/02,23.97,True
2012/02/03,23.92,True
2012/02/06,24.06,True
2012/02/07,23.7,True
2012/02/08,23.64,True
2012/02/09,23.58,True
2012/02/10,23.63,True
2012/02/13,23.54,True
2012/02/14,23.87,True
2012/02/15,23.75,True
2012/02/16,23.88,True
2012/02/17,23.92,True
2012/02/21,23.82,True
2012/02/22,23.64,True
2012/02/23,22.98,True
2012/02/24,23.54,True
2012/02/27,23.88,True
2012/02/28,23.78,True
2012/02/29,23.79,True
2012/03/01,24.44,True
2012/03/02,24.08,True
2012/03/05,24.2,True
2012/03/06,24.05,True
2012/03/07,24.07,True
2012/03/08,24.34,True
2012/03/09,24.32,True
2012/03/12,24.38,True
2012/03/13,24.22,True
2012/03/14,24.34,True
2012/03/15,24.41,True
2012/03/16,24.37,True
2012/03/19,24.13,True
2012/03/20,24.1,True
2012/03/21,24.28,True
2012/03/22,24.0,True
2012/03/23,24.44,True
2012/03/26,24.21,True
2012/03/27,24.29,True
2012/03/28,24.19,True
2012/03/29,24.22,True
2012/03/30,24.23,True
2012/04/02,24.39,True
2012/04/03,23.73,True
2012/04/04,23.54,True
2012/04/05,23.84,True
2012/04/09,23.5,True
2012/04/10,23.27,True
2012/04/11,23.46,True
2012/04/12,23.62,True
2012/04/13,23.51,True
2012/04/16,23.57,True
2012/04/17,23.69,True
2012/04/18,23.49,True
2012/04/19,23.21,True
2012/04/20,23.25,True
2012/04/23,23.25,True
2012/04/24,23.31,True
2012/04/25,23.19,True
2012/04/26,23.29,True
2012/04/27,23.35,True
2012/04/30,23.27,True
2012/05/01,23.42,True
2012/05/02,23.34,True
2012/05/03,23.25,True
2012/05/04,23.12,True
2012/05/07,23.01,True
2012/05/08,22.91,True
2012/05/09,22.8,True
2012/05/10,23.08,True
2012/05/11,22.97,True
2012/05/14,22.52,True
2012/05/15,22.16,True
2012/05/16,22.22,True
2012/05/17,21.93,True
2012/05/18,21.81,True
2012/05/21,22.09,True
2012/05/22,22.32,True
2012/05/23,22.16,True
2012/05/24,22.15,True
2012/05/25,22.41,True
2012/05/29,22.55,True
2012/05/30,22.35,True
2012/05/31,22.01,True
2012/06/01,21.64,True
2012/06/04,21.91,True
2012/06/05,21.86,True
2012/06/06,21.95,True
2012/06/07,21.74,True
2012/06/08,21.57,True
2012/06/11,21.35,True
2012/06/12,21.5,True
2012/06/13,21.29,True
2012/06/14,22.58,True
2012/06/15,22.81,True
2012/06/18,22.81,True
2012/06/19,22.71,True
2012/06/20,23.03,True
2012/06/21,23.04,True
2012/06/22,22.89,True
2012/06/25,22.69,True
2012/06/26,22.54,True
2012/06/27,22.79,True
2012/06/28,22.92,True
2012/06/29,23.19,True
2012/07/02,22.81,True
2012/07/03,22.91,True
2012/07/05,22.62,True
2012/07/06,22.8,True
2012/07/09,22.45,True
2012/07/10,22.58,True
2012/07/11,22.81,True
2012/07/12,21.96,True
2012/07/13,22.12,True
2012/07/16,21.92,True
2012/07/17,21.96,True
2012/07/18,21.98,True
2012/07/19,21.59,True
2012/07/20,21.47,True
2012/07/23,21.27,True
2012/07/24,21.11,True
2012/07/25,21.25,True
2012/07/26,21.53,True
2012/07/27,21.87,True
2012/07/30,21.93,True
2012/07/31,22.17,True
2012/08/01,22.2,True
2012/08/02,21.88,True
2012/08/03,22.2,True
2012/08/06,22.46,True
2012/08/07,22.48,True
2012/08/08,22.71,True
2012/08/09,22.51,True
2012/08/10,22.5,True
2012/08/13,22.44,True
2012/08/14,22.35,True
2012/08/15,22.09,True
2012/08/16,22.13,True
2012/08/17,22.03,True
2012/08/20,22.13,True
2012/08/21,22.01,True
2012/08/22,21.96,True
2012/08/23,21.69,True
2012/08/24,21.81,True
2012/08/27,22.0,True
2012/08/28,22.2,True
2012/08/29,22.15,True
2012/08/30,22.2,True
2012/08/31,22.28,True
2012/09/04,22.34,True
2012/09/05,22.56,True
2012/09/06,23.1,True
2012/09/07,22.73,True
2012/09/10,23.05,True
2012/09/11,23.4,True
2012/09/12,23.92,True
2012/09/13,23.88,True
2012/09/14,23.8,True
2012/09/17,23.81,True
2012/09/18,23.63,True
2012/09/19,23.99,True
2012/09/20,23.9,True
2012/09/21,23.68,True
2012/09/24,23.68,True
2012/09/25,23.47,True
2012/09/26,23.52,True
2012/09/27,23.58,True
2012/09/28,23.54,True
2012/10/01,23.78,True
2012/10/02,23.69,True
2012/10/03,23.79,True
2012/10/04,23.69,True
2012/10/05,23.77,True
2012/10/08,23.82,True
2012/10/09,23.54,True
2012/10/10,23.3,True
2012/10/11,23.32,True
2012/10/12,23.31,True
2012/10/15,23.43,True
2012/10/16,24.43,True
2012/10/17,25.01,True
2012/10/18,25.2,True
2012/10/19,25.13,True
2012/10/22,25.35,True
2012/10/23,25.12,True
2012/10/24,25.01,True
2012/10/25,25.36,True
2012/10/26,25.18,True
2012/10/31,25.22,True
2012/11/01,25.0,True
2012/11/02,24.93,True
2012/11/05,24.93,True
2012/11/06,25.11,True
2012/11/07,24.64,True
2012/11/08,24.54,True
2012/11/09,24.7,True
2012/11/12,24.91,True
2012/11/13,24.77,True
2012/11/14,24.47,True
2012/11/15,24.38,True
2012/11/16,24.52,True
2012/11/19,24.63,True
2012/11/20,24.54,True
2012/11/21,24.65,True
2012/11/23,24.98,True
2012/11/26,24.61,True
2012/11/27,24.86,True
2012/11/28,25.06,True
2012/11/29,26.25,True
2012/11/30,26.24,True
2012/12/03,26.78,True
2012/12/04,26.87,True
2012/12/05,26.71,True
2012/12/06,26.9,True
2012/12/07,26.81,True
2012/12/10,26.65,True
2012/12/11,26.6,True
2012/12/12,26.59,True
2012/12/13,26.35,True
2012/12/14,26.29,True
2012/12/17,26.57,True
2012/12/18,26.75,True
2012/12/19,26.5,True
2012/12/20,26.63,True
2012/12/21,26.3,True
2012/12/24,26.34,True
2012/12/26,26.1,True
2012/12/27,25.96,True
2012/12/28,25.68,True
2012/12/31,26.02,True
2013/01/01,26.014346960287213,False
2013/01/02,26.038227073167086,False
2013/01/03,26.031091947988326,False
2013/01/04,26.057402561401226,False
2013/01/07,26.037683725776205,False
2013/01/08,26.031090468388985,False
2013/01/09,26.048996980984395,False
2013/01/10,26.05621231036733,False
2013/01/11,26.06185566678797,False
2013/01/14,26.067610127141386,False
2013/01/15,26.075757820089756,False
2013/01/16,26.079946506055375,False
2013/01/17,26.08523326208316,False
2013/01/18,26.091543263621205,False
2013/01/21,26.09765695409746,False
2013/01/22,26.10340817610397,False
2013/01/23,26.109371554018548,False
2013/01/24,26.11543980642711,False
2013/01/25,26.12127564666255,False
2013/01/28,26.127149091306563,False
2013/01/29,26.13308570645907,False
2013/01/30,26.139018036602483,False
2013/01/31,26.144918478616543,False
2013/02/01,26.15084021543005,False
2013/02/04,26.156767370005007,False
2013/02/05,26.162681942897667,False
2013/02/06,26.168596259699413,False
2013/02/07,26.17451541348595,False
2013/02/08,26.180434027915105,False
2013/02/11,26.18635044587877,False
2013/02/12,26.19226830775076,False
2013/02/13,26.19818662358642,False
2013/02/14,26.2041042047549,False
2013/02/15,26.210021647742103,False
2013/02/18,26.215939445773397,False
2013/02/19,26.22185718453708,False
2013/02/20,26.227774773506177,False
2013/02/21,26.233692441592872,False
2013/02/22,26.239610147505747,False
2013/02/25,26.24552780154462,False
2013/02/26,26.25144543977914,False
2013/02/27,26.257363097177933,False
2013/02/28,26.26328074628532,False
2013/03/01,26.269198379395974,False
2013/03/04,26.275116012382405,False
2013/03/05,26.281033645640367,False
2013/03/06,26.2869512690064,False
2013/03/07,26.292868888073546,False
2013/03/08,26.29878650364536,False
2013/03/11,26.304704114836678,False
