date,PRC,is_prediction
2012/01/03,68.71,True
2012/01/04,70.25,True
2012/01/05,69.96,True
2012/01/06,69.68,True
2012/01/09,71.28,True
2012/01/10,72.6,True
2012/01/11,72.43,True
2012/01/12,72.59,True
2012/01/13,72.04,True
2012/01/17,71.8,True
2012/01/18,71.69,True
2012/01/19,73.76,True
2012/01/20,73.39,True
2012/01/23,72.32,True
2012/01/24,66.84,True
2012/01/25,67.38,True
2012/01/26,67.56,True
2012/01/27,68.6,True
2012/01/30,69.21,True
2012/01/31,68.64,True
2012/02/01,68.69,True
2012/02/02,68.72,True
2012/02/03,70.51,True
2012/02/06,69.77,True
2012/02/07,69.17,True
2012/02/08,69.09,True
2012/02/09,69.49,True
2012/02/10,68.42,True
2012/02/13,69.61,True
2012/02/14,69.6,True
2012/02/15,66.93,True
2012/02/16,66.75,True
2012/02/17,66.24,True
2012/02/21,66.63,True
2012/02/22,66.99,True
2012/02/23,68.0,True
2012/02/24,69.24,True
2012/02/27,69.33,True
2012/02/28,69.5,True
2012/02/29,69.58,True
2012/03/01,70.81,True
2012/03/02,69.75,True
2012/03/05,68.7,True
2012/03/06,67.99,True
2012/03/07,69.03,True
2012/03/08,70.02,True
2012/03/09,69.25,True
2012/03/12,68.73,True
2012/03/13,71.38,True
2012/03/14,70.02,True
2012/03/15,73.51,True
2012/03/16,74.67,True
2012/03/19,73.69,True
2012/03/20,71.97,True
2012/03/21,73.34,True
2012/03/22,71.18,True
2012/03/23,70.45,True
2012/03/26,71.47,True
2012/03/27,71.84,True
2012/03/28,71.55,True
2012/03/29,70.67,True
2012/03/30,71.69,True
2012/04/02,72.64,True
2012/04/03,73.27,True
2012/04/04,72.19,True
2012/04/05,72.6,True
2012/04/09,71.76,True
2012/04/10,69.21,True
2012/04/11,69.73,True
2012/04/12,72.74,True
2012/04/13,72.59,True
2012/04/16,72.81,True
2012/04/17,74.02,True
2012/04/18,73.65,True
2012/04/19,71.37,True
2012/04/20,71.41,True
2012/04/23,70.86,True
2012/04/24,75.09,True
2012/04/25,77.34,True
2012/04/26,77.5,True
2012/04/27,78.36,True
2012/04/30,77.02,True
2012/05/01,78.3,True
2012/05/02,77.29,True
2012/05/03,76.33,True
2012/05/04,75.1,True
2012/05/07,75.34,True
2012/05/08,75.3,True
2012/05/09,73.76,True
2012/05/10,72.63,True
2012/05/11,71.66,True
2012/05/14,70.18,True
2012/05/15,70.22,True
2012/05/16,69.89,True
2012/05/17,65.42,True
2012/05/18,64.72,True
2012/05/21,67.29,True
2012/05/22,67.86,True
2012/05/23,68.35,True
2012/05/24,67.19,True
2012/05/25,66.44,True
2012/05/29,66.64,True
2012/05/30,63.64,True
2012/05/31,65.98,True
2012/06/01,63.26,True
2012/06/04,62.54,True
2012/06/05,63.19,True
2012/06/06,66.05,True
2012/06/07,66.8,True
2012/06/08,67.13,True
2012/06/11,66.18,True
2012/06/12,67.26,True
2012/06/13,66.7,True
2012/06/14,66.71,True
2012/06/15,68.29,True
2012/06/18,71.43,True
2012/06/19,71.54,True
2012/06/20,70.49,True
2012/06/21,68.84,True
2012/06/22,67.7,True
2012/06/25,66.71,True
2012/06/26,67.16,True
2012/06/27,66.64,True
2012/06/28,67.85,True
2012/06/29,69.56,True
2012/07/02,68.59,True
2012/07/03,69.27,True
2012/07/05,70.91,True
2012/07/06,69.89,True
2012/07/09,70.27,True
2012/07/10,69.4,True
2012/07/11,68.66,True
2012/07/12,68.25,True
2012/07/13,70.09,True
2012/07/16,68.85,True
2012/07/17,68.85,True
2012/07/18,68.68,True
2012/07/19,71.86,True
2012/07/20,70.79,True
2012/07/23,69.65,True
2012/07/24,69.59,True
2012/07/25,70.8,True
2012/07/26,72.36,True
2012/07/27,74.66,True
2012/07/30,73.57,True
2012/07/31,72.8,True
2012/08/01,71.29,True
2012/08/02,71.48,True
2012/08/03,74.13,True
2012/08/06,73.39,True
2012/08/07,73.46,True
2012/08/08,73.58,True
2012/08/09,73.38,True
2012/08/10,74.16,True
2012/08/13,73.99,True
2012/08/14,75.38,True
2012/08/15,76.22,True
2012/08/16,76.6,True
2012/08/17,77.77,True
2012/08/20,77.63,True
2012/08/21,78.42,True
2012/08/22,78.18,True
2012/08/23,76.77,True
2012/08/24,77.7,True
2012/08/27,77.16,True
2012/08/28,77.72,True
2012/08/29,77.63,True
2012/08/30,76.93,True
2012/08/31,77.33,True
2012/09/04,77.77,True
2012/09/05,76.76,True
2012/09/06,79.69,True
2012/09/07,79.82,True
2012/09/10,79.74,True
2012/09/11,80.68,True
2012/09/12,81.76,True
2012/09/13,81.54,True
2012/09/14,83.63,True
2012/09/17,81.24,True
2012/09/18,79.75,True
2012/09/19,79.12,True
2012/09/20,76.9,True
2012/09/21,76.0,True
2012/09/24,77.08,True
2012/09/25,76.36,True
2012/09/26,75.36,True
2012/09/27,76.96,True
2012/09/28,75.78,True
2012/10/01,75.74,True
2012/10/02,75.35,True
2012/10/03,73.73,True
2012/10/04,75.22,True
2012/10/05,76.28,True
2012/10/08,76.4,True
2012/10/09,74.84,True
2012/10/10,74.53,True
2012/10/11,74.44,True
2012/10/12,75.15,True
2012/10/15,74.7,True
2012/10/16,77.35,True
2012/10/17,77.67,True
2012/10/18,77.38,True
2012/10/19,78.43,True
2012/10/22,78.36,True
2012/10/23,78.56,True
2012/10/24,79.07,True
2012/10/25,80.03,True
2012/10/26,81.25,True
2012/10/31,80.46,True
2012/11/01,83.42,True
2012/11/02,81.1,True
2012/11/05,81.38,True
2012/11/06,82.2,True
2012/11/07,79.67,True
2012/11/08,78.5,True
2012/11/09,76.91,True
2012/11/12,77.31,True
2012/11/13,77.44,True
2012/11/14,74.47,True
2012/11/15,74.1,True
2012/11/16,73.85,True
2012/11/19,75.89,True
2012/11/20,75.64,True
2012/11/21,76.33,True
2012/11/23,77.61,True
2012/11/26,79.6,True
2012/11/27,79.31,True
2012/11/28,79.5,True
2012/11/29,78.73,True
2012/11/30,78.15,True
2012/12/03,76.41,True
2012/12/04,76.73,True
2012/12/05,77.32,True
2012/12/06,78.6,True
2012/12/07,79.78,True
2012/12/10,80.33,True
2012/12/11,80.82,True
2012/12/12,81.36,True
2012/12/13,81.81,True
2012/12/14,81.89,True
2012/12/17,82.49,True
2012/12/18,82.21,True
2012/12/19,81.82,True
2012/12/20,83.76,True
2012/12/21,83.82,True
2012/12/24,83.21,True
2012/12/26,82.55,True
2012/12/27,82.4,True
2012/12/28,82.06,True
2012/12/31,83.48,True
2013/01/01,83.52283410642171,False
2013/01/02,83.56551680497911,False
2013/01/03,83.6055884867235,False
2013/01/04,83.64281994362062,False
2013/01/07,83.6353737337143,False
2013/01/08,83.75765021291791,False
2013/01/09,83.7413524014949,False
2013/01/10,83.80157361006326,False
2013/01/11,83.86377243013769,False
2013/01/14,83.92440655068748,False
2013/01/15,83.98134685338388,False
2013/01/16,84.04711945235144,False
2013/01/17,84.09778774613525,False
2013/01/18,84.15845271369929,False
2013/01/21,84.21525006946354,False
2013/01/22,84.27189911215848,False
2013/01/23,84.32861894252615,False
2013/01/24,84.3861917771424,False
2013/01/25,84.44254711640906,False
2013/01/28,84.50022002742972,False
2013/01/29,84.55721658756045,False
2013/01/30,84.61438455011196,False
2013/01/31,84.67155281869482,False
2013/02/01,84.72875375773408,False
2013/02/04,84.78583460800071,False
2013/02/05,84.84304605287512,False
2013/02/06,84.90015688415988,False
2013/02/07,84.95731020533914,False
2013/02/08,85.01445648851357,False
2013/02/11,85.07160535262013,False
2013/02/12,85.1287461754557,False
2013/02/13,85.18590039946204,False
2013/02/14,85.24304261508752,False
2013/02/15,85.30019175196755,False
2013/02/18,85.35733838981717,False
2013/02/19,85.41448530641419,False
2013/02/20,85.47163155695723,False
2013/02/21,85.52877888211573,False
2013/02/22,85.58592480802848,False
2013/02/25,85.64307162796514,False
2013/02/26,85.70021789111381,False
2013/02/27,85.75736417970295,False
2013/02/28,85.81451042596895,False
2013/03/01,85.87165673540356,False
2013/03/04,85.92880278462992,False
2013/03/05,85.98594892603504,False
2013/03/06,86.04309493837721,False
2013/03/07,86.10024089210793,False
2013/03/08,86.1573867497064,False
2013/03/11,86.21453259182947,False
