date,PRC,is_prediction
2012/01/03,38.47,True
2012/01/04,38.0,True
2012/01/05,38.05,True
2012/01/06,37.72,True
2012/01/09,37.84,True
2012/01/10,38.48,True
2012/01/11,38.34,True
2012/01/12,38.52,True
2012/01/13,38.23,True
2012/01/17,38.03,True
2012/01/18,38.38,True
2012/01/19,38.53,True
2012/01/20,38.56,True
2012/01/23,38.94,True
2012/01/24,38.44,True
2012/01/25,38.18,True
2012/01/26,37.95,True
2012/01/27,37.63,True
2012/01/30,37.32,True
2012/01/31,37.31,True
2012/02/01,37.85,True
2012/02/02,38.0,True
2012/02/03,38.61,True
2012/02/06,38.38,True
2012/02/07,38.36,True
2012/02/08,38.49,True
2012/02/09,38.2,True
2012/02/10,38.1,True
2012/02/13,38.42,True
2012/02/14,38.15,True
2012/02/15,37.59,True
2012/02/16,38.07,True
2012/02/17,38.3,True
2012/02/21,38.73,True
2012/02/22,38.71,True
2012/02/23,39.17,True
2012/02/24,39.14,True
2012/02/27,39.27,True
2012/02/28,39.35,True
2012/02/29,39.14,True
2012/03/01,39.23,True
2012/03/02,38.87,True
2012/03/05,38.85,True
2012/03/06,38.16,True
2012/03/07,38.21,True
2012/03/08,38.32,True
2012/03/09,38.65,True
2012/03/12,38.57,True
2012/03/13,39.3,True
2012/03/14,39.02,True
2012/03/15,39.56,True
2012/03/16,39.48,True
2012/03/19,39.68,True
2012/03/20,39.7,True
2012/03/21,39.34,True
2012/03/22,38.8,True
2012/03/23,39.19,True
2012/03/26,39.86,True
2012/03/27,39.69,True
2012/03/28,39.63,True
2012/03/29,39.47,True
2012/03/30,39.87,True
2012/04/02,40.37,True
2012/04/03,40.06,True
2012/04/04,39.71,True
2012/04/05,39.57,True
2012/04/09,39.0,True
2012/04/10,38.39,True
2012/04/11,38.79,True
2012/04/12,39.43,True
2012/04/13,38.91,True
2012/04/16,39.25,True
2012/04/17,39.92,True
2012/04/18,39.65,True
2012/04/19,39.55,True
2012/04/20,39.84,True
2012/04/23,39.62,True
2012/04/24,40.24,True
2012/04/25,40.64,True
2012/04/26,41.05,True
2012/04/27,41.01,True
2012/04/30,41.13,True
2012/05/01,41.49,True
2012/05/02,41.27,True
2012/05/03,41.14,True
2012/05/04,40.77,True
