date,PRC,is_prediction
2012/01/03,19.89,True
2012/01/04,20.21,True
2012/01/05,20.77,True
2012/01/06,20.4,True
2012/01/09,20.68,True
2012/01/10,20.76,True
2012/01/11,22.25,True
2012/01/12,22.18,True
2012/01/13,22.01,True
2012/01/17,22.03,True
2012/01/18,23.0,True
2012/01/19,22.65,True
2012/01/20,22.06,True
2012/01/23,21.75,True
2012/01/24,22.37,True
2012/01/25,22.8,True
2012/01/26,22.13,True
2012/01/27,22.28,True
2012/01/30,22.14,True
2012/01/31,21.49,True
2012/02/01,21.83,True
2012/02/02,21.74,True
2012/02/03,23.34,True
2012/02/06,22.69,True
2012/02/07,22.76,True
2012/02/08,23.37,True
2012/02/09,23.74,True
2012/02/10,23.35,True
2012/02/13,23.96,True
2012/02/14,23.8,True
2012/02/15,23.56,True
2012/02/16,23.41,True
2012/02/17,23.36,True
2012/02/21,22.53,True
2012/02/22,22.09,True
2012/02/23,22.66,True
2012/02/24,22.38,True
2012/02/27,22.94,True
2012/02/28,22.51,True
2012/02/29,23.38,True
2012/03/01,23.38,True
2012/03/02,22.95,True
2012/03/05,22.86,True
2012/03/06,22.36,True
2012/03/07,23.62,True
2012/03/08,24.69,True
2012/03/09,25.45,True
2012/03/12,25.54,True
2012/03/13,26.69,True
2012/03/14,26.37,True
2012/03/15,26.89,True
2012/03/16,26.57,True
2012/03/19,26.55,True
2012/03/20,26.43,True
2012/03/21,26.62,True
2012/03/22,26.12,True
2012/03/23,25.86,True
2012/03/26,26.4,True
2012/03/27,27.63,True
2012/03/28,27.67,True
2012/03/29,27.21,True
2012/03/30,27.18,True
2012/04/02,26.57,True
2012/04/03,26.77,True
2012/04/04,26.64,True
2012/04/05,26.25,True
2012/04/09,26.42,True
2012/04/10,24.5,True
2012/04/11,25.75,True
2012/04/12,26.5,True
2012/04/13,26.11,True
2012/04/16,25.79,True
2012/04/17,25.83,True
2012/04/18,25.55,True
2012/04/19,24.86,True
2012/04/20,25.77,True
2012/04/23,24.72,True
2012/04/24,25.27,True
2012/04/25,25.9,True
2012/04/26,27.38,True
2012/04/27,28.41,True
2012/04/30,27.74,True
2012/05/01,28.26,True
2012/05/02,29.02,True
2012/05/03,28.45,True
2012/05/04,28.12,True
2012/05/07,28.37,True
2012/05/08,27.91,True
2012/05/09,28.94,True
2012/05/10,28.1,True
2012/05/11,28.45,True
2012/05/14,28.37,True
2012/05/15,29.16,True
2012/05/16,29.27,True
2012/05/17,26.89,True
2012/05/18,26.18,True
2012/05/21,27.01,True
2012/05/22,27.61,True
2012/05/23,28.41,True
2012/05/24,28.26,True
2012/05/25,28.2,True
2012/05/29,28.75,True
2012/05/30,26.82,True
2012/05/31,27.29,True
2012/06/01,25.02,True
2012/06/04,23.68,True
2012/06/05,25.27,True
2012/06/06,26.29,True
2012/06/07,26.04,True
2012/06/08,26.55,True
2012/06/11,25.34,True
2012/06/12,25.58,True
2012/06/13,24.66,True
2012/06/14,25.55,True
2012/06/15,25.9,True
2012/06/18,26.97,True
2012/06/19,27.03,True
2012/06/20,26.91,True
2012/06/21,26.09,True
2012/06/22,26.37,True
2012/06/25,26.58,True
2012/06/26,27.39,True
2012/06/27,28.7,True
2012/06/28,29.36,True
2012/06/29,30.91,True
2012/07/02,31.1,True
2012/07/03,31.05,True
2012/07/05,31.5,True
2012/07/06,31.81,True
2012/07/09,31.47,True
2012/07/10,30.51,True
2012/07/11,29.98,True
2012/07/12,31.06,True
2012/07/13,31.02,True
2012/07/16,31.39,True
2012/07/17,31.15,True
2012/07/18,30.38,True
2012/07/19,30.32,True
2012/07/20,30.84,True
2012/07/23,30.84,True
2012/07/24,30.26,True
2012/07/25,29.04,True
2012/07/26,30.19,True
2012/07/27,30.34,True
2012/07/30,29.56,True
2012/07/31,29.21,True
2012/08/01,28.97,True
2012/08/02,29.59,True
2012/08/03,30.09,True
2012/08/06,29.7,True
2012/08/07,30.37,True
2012/08/08,30.71,True
2012/08/09,31.49,True
2012/08/10,31.2,True
2012/08/13,31.23,True
2012/08/14,31.28,True
2012/08/15,31.33,True
2012/08/16,32.41,True
2012/08/17,32.74,True
2012/08/20,31.88,True
2012/08/21,31.18,True
2012/08/22,32.35,True
2012/08/23,32.03,True
2012/08/24,32.63,True
2012/08/27,32.01,True
2012/08/28,32.27,True
2012/08/29,32.22,True
2012/08/30,32.1,True
2012/08/31,32.43,True
2012/09/04,32.86,True
2012/09/05,32.88,True
2012/09/06,34.08,True
2012/09/07,33.93,True
2012/09/10,33.19,True
2012/09/11,33.08,True
2012/09/12,34.52,True
2012/09/13,35.12,True
2012/09/14,36.47,True
2012/09/17,35.94,True
2012/09/18,35.59,True
2012/09/19,36.26,True
2012/09/20,36.6,True
2012/09/21,37.51,True
2012/09/24,36.96,True
2012/09/25,36.26,True
2012/09/26,34.64,True
2012/09/27,35.26,True
2012/09/28,34.77,True
2012/10/01,34.65,True
2012/10/02,34.99,True
2012/10/03,37.41,True
2012/10/04,37.51,True
2012/10/05,37.92,True
2012/10/08,37.61,True
2012/10/09,36.84,True
2012/10/10,36.78,True
2012/10/11,35.72,True
2012/10/12,35.76,True
2012/10/15,37.05,True
2012/10/16,37.32,True
2012/10/17,38.13,True
2012/10/18,38.68,True
2012/10/19,38.73,True
2012/10/22,38.18,True
2012/10/23,37.75,True
2012/10/24,38.2,True
2012/10/25,37.51,True
2012/10/26,37.02,True
2012/10/31,37.47,True
2012/11/01,38.29,True
2012/11/02,37.31,True
2012/11/05,38.62,True
2012/11/06,38.89,True
2012/11/07,39.05,True
2012/11/08,38.41,True
2012/11/09,38.11,True
2012/11/12,36.38,True
2012/11/13,36.21,True
2012/11/14,35.01,True
2012/11/15,34.9,True
2012/11/16,36.13,True
2012/11/19,36.81,True
2012/11/20,38.1,True
2012/11/21,38.32,True
2012/11/23,38.68,True
2012/11/26,38.54,True
2012/11/27,38.72,True
2012/11/28,38.38,True
2012/11/29,38.23,True
2012/11/30,38.04,True
2012/12/03,37.81,True
2012/12/04,37.78,True
2012/12/05,36.42,True
2012/12/06,36.29,True
2012/12/07,36.69,True
2012/12/10,36.6,True
2012/12/11,36.41,True
2012/12/12,37.87,True
2012/12/13,37.2,True
2012/12/14,37.31,True
2012/12/17,38.8,True
2012/12/18,39.71,True
2012/12/19,39.27,True
2012/12/20,39.29,True
2012/12/21,38.46,True
2012/12/24,38.28,True
2012/12/26,38.01,True
2012/12/27,38.08,True
2012/12/28,37.62,True
2012/12/31,38.67,True
2012/01/03,15.76,True
2012/01/04,15.98,True
2012/01/05,16.35,True
2012/01/06,16.02,True
2012/01/09,16.22,True
2012/01/10,16.25,True
2012/01/11,17.36,True
2012/01/12,17.69,True
2012/01/13,17.55,True
2012/01/17,17.73,True
2012/01/18,18.47,True
2012/01/19,18.31,True
2012/01/20,17.9,True
2012/01/23,17.56,True
2012/01/24,17.81,True
2012/01/25,18.23,True
2012/01/26,17.81,True
2012/01/27,17.97,True
2012/01/30,17.85,True
2012/01/31,17.21,True
2012/02/01,17.63,True
2012/02/02,17.57,True
2012/02/03,18.98,True
2012/02/06,18.33,True
2012/02/07,18.27,True
2012/02/08,18.75,True
2012/02/09,19.02,True
2012/02/10,18.62,True
2012/02/13,19.22,True
2012/02/14,19.18,True
2012/02/15,18.91,True
2012/02/16,18.81,True
2012/02/17,18.65,True
2012/02/21,18.03,True
2012/02/22,17.72,True
2012/02/23,18.14,True
2012/02/24,17.98,True
2012/02/27,18.36,True
2012/02/28,18.2,True
2012/02/29,18.72,True
2012/03/01,18.7,True
2012/03/02,18.44,True
2012/03/05,18.35,True
2012/03/06,18.04,True
2012/03/07,19.11,True
2012/03/08,19.98,True
2012/03/09,20.8,True
2012/03/12,20.93,True
2012/03/13,21.83,True
2012/03/14,21.51,True
2012/03/15,21.9,True
2012/03/16,21.68,True
2012/03/19,21.7,True
2012/03/20,21.71,True
2012/03/21,21.79,True
2012/03/22,21.47,True
2012/03/23,21.24,True
2012/03/26,21.54,True
2012/03/27,22.62,True
2012/03/28,22.69,True
2012/03/29,22.26,True
2012/03/30,22.35,True
2012/04/02,21.88,True
2012/04/03,22.03,True
2012/04/04,21.94,True
2012/04/05,21.55,True
2012/04/09,21.62,True
2012/04/10,20.0,True
2012/04/11,20.95,True
2012/04/12,21.56,True
2012/04/13,21.24,True
2012/04/16,21.06,True
2012/04/17,20.99,True
2012/04/18,20.72,True
2012/04/19,20.19,True
2012/04/20,20.79,True
2012/04/23,20.07,True
2012/04/24,20.37,True
2012/04/25,20.92,True
2012/04/26,22.28,True
2012/04/27,23.13,True
2012/04/30,22.63,True
2012/05/01,23.09,True
2012/05/02,23.59,True
2012/05/03,23.13,True
2012/05/04,22.83,True
2012/05/07,22.96,True
2012/05/08,22.53,True
2012/05/09,23.23,True
2012/05/10,22.77,True
2012/05/11,22.91,True
2012/05/14,22.9,True
2012/05/15,23.41,True
2012/05/16,23.47,True
2012/05/17,21.31,True
2012/05/18,20.81,True
2012/05/21,21.41,True
2012/05/22,21.91,True
2012/05/23,22.57,True
2012/05/24,22.38,True
2012/05/25,22.25,True
2012/05/29,22.81,True
2012/05/30,21.25,True
2012/05/31,21.57,True
2012/06/01,19.52,True
2012/06/04,18.3,True
2012/06/05,19.69,True
2012/06/06,20.55,True
2012/06/07,20.43,True
2012/06/08,20.84,True
2012/06/11,19.76,True
2012/06/12,19.84,True
2012/06/13,19.1,True
2012/06/14,19.77,True
2012/06/15,19.94,True
2012/06/18,20.83,True
2012/06/19,20.91,True
2012/06/20,20.86,True
2012/06/21,20.12,True
2012/06/22,20.42,True
2012/06/25,20.58,True
2012/06/26,21.13,True
2012/06/27,22.2,True
2012/06/28,22.67,True
2012/06/29,24.03,True
2012/07/02,24.44,True
2012/07/03,24.38,True
2012/07/05,24.58,True
2012/07/06,24.75,True
2012/07/09,24.56,True
2012/07/10,23.87,True
2012/07/11,23.29,True
2012/07/12,23.99,True
