date,PRC,is_prediction
2012/01/03,86.4,True
2012/01/04,86.52,True
2012/01/05,86.87,True
2012/01/06,87.41,True
2012/01/09,87.1,True
2012/01/10,87.7,True
2012/01/11,87.39,True
2012/01/12,87.57,True
2012/01/13,86.94,True
2012/01/17,88.54,True
2012/01/18,88.47,True
2012/01/19,88.83,True
2012/01/20,88.64,True
2012/01/23,88.91,True
2012/01/24,91.18,True
2012/01/25,91.78,True
2012/01/26,91.06,True
2012/01/27,91.32,True
2012/01/30,90.92,True
2012/01/31,91.39,True
2012/02/01,92.5,True
2012/02/02,92.42,True
2012/02/03,93.09,True
2012/02/06,91.0,True
2012/02/07,91.95,True
2012/02/08,91.99,True
2012/02/09,92.11,True
2012/02/10,90.03,True
2012/02/13,88.85,True
2012/02/14,89.2,True
2012/02/15,87.46,True
2012/02/16,88.07,True
2012/02/17,87.94,True
2012/02/21,87.75,True
2012/02/22,88.05,True
2012/02/23,88.0,True
2012/02/24,89.08,True
2012/02/27,89.9,True
2012/02/28,90.81,True
2012/02/29,89.89,True
2012/03/01,89.06,True
2012/03/02,89.32,True
2012/03/05,89.46,True
2012/03/06,88.81,True
2012/03/07,88.94,True
2012/03/08,88.64,True
2012/03/09,88.74,True
2012/03/12,88.33,True
2012/03/13,88.87,True
2012/03/14,90.25,True
2012/03/15,90.6,True
2012/03/16,90.33,True
2012/03/19,90.13,True
2012/03/20,89.57,True
2012/03/21,91.18,True
2012/03/22,90.08,True
2012/03/23,89.47,True
2012/03/26,91.9,True
2012/03/27,91.61,True
2012/03/28,91.15,True
2012/03/29,91.37,True
2012/03/30,91.54,True
2012/04/02,93.06,True
2012/04/03,94.23,True
2012/04/04,93.19,True
2012/04/05,93.24,True
2012/04/09,89.99,True
2012/04/10,89.16,True
2012/04/11,89.54,True
2012/04/12,89.52,True
2012/04/13,88.52,True
2012/04/16,88.14,True
2012/04/17,91.52,True
2012/04/18,90.68,True
2012/04/19,88.83,True
2012/04/20,87.59,True
2012/04/23,87.01,True
2012/04/24,87.38,True
2012/04/25,87.22,True
2012/04/26,87.55,True
2012/04/27,87.49,True
2012/04/30,87.89,True
2012/05/01,88.6,True
2012/05/02,88.51,True
2012/05/03,87.13,True
2012/05/04,86.71,True
2012/05/07,87.04,True
2012/05/08,87.09,True
2012/05/09,85.88,True
2012/05/10,85.87,True
2012/05/11,86.72,True
2012/05/14,85.33,True
2012/05/15,86.7,True
2012/05/16,86.67,True
2012/05/17,85.45,True
2012/05/18,84.22,True
2012/05/21,85.46,True
2012/05/22,85.11,True
2012/05/23,84.6,True
2012/05/24,84.86,True
2012/05/25,85.73,True
2012/05/29,86.3,True
2012/05/30,85.27,True
2012/05/31,83.28,True
2012/06/01,82.37,True
2012/06/04,83.84,True
2012/06/05,84.56,True
2012/06/06,85.0,True
2012/06/07,85.05,True
2012/06/08,85.69,True
2012/06/11,85.23,True
2012/06/12,85.58,True
2012/06/13,85.81,True
2012/06/14,87.09,True
2012/06/15,87.5,True
2012/06/18,87.89,True
2012/06/19,88.38,True
2012/06/20,89.16,True
2012/06/21,87.68,True
2012/06/22,89.19,True
2012/06/25,88.16,True
2012/06/26,89.12,True
2012/06/27,89.37,True
2012/06/28,92.04,True
2012/06/29,92.61,True
2012/07/02,92.23,True
2012/07/03,92.97,True
2012/07/05,91.88,True
2012/07/06,91.97,True
2012/07/09,92.19,True
2012/07/10,92.92,True
2012/07/11,93.14,True
2012/07/12,93.68,True
2012/07/13,95.25,True
2012/07/16,94.62,True
2012/07/17,92.55,True
2012/07/18,93.64,True
2012/07/19,88.12,True
2012/07/20,85.26,True
2012/07/23,84.34,True
2012/07/24,84.39,True
2012/07/25,84.23,True
2012/07/26,85.0,True
2012/07/27,85.21,True
2012/07/30,84.95,True
2012/07/31,84.09,True
2012/08/01,87.9,True
2012/08/02,86.25,True
2012/08/03,87.45,True
2012/08/06,87.69,True
2012/08/07,87.91,True
2012/08/08,89.0,True
2012/08/09,88.44,True
2012/08/10,88.5,True
2012/08/13,88.47,True
2012/08/14,88.57,True
2012/08/15,88.5,True
2012/08/16,89.1,True
2012/08/17,89.01,True
2012/08/20,89.05,True
2012/08/21,88.51,True
2012/08/22,88.08,True
2012/08/23,87.51,True
2012/08/24,88.84,True
2012/08/27,88.5,True
2012/08/28,88.3,True
2012/08/29,88.32,True
2012/08/30,87.43,True
2012/08/31,87.95,True
2012/09/04,88.26,True
2012/09/05,88.82,True
2012/09/06,89.5,True
2012/09/07,88.79,True
2012/09/10,88.93,True
2012/09/11,88.99,True
2012/09/12,88.94,True
2012/09/13,90.46,True
2012/09/14,90.99,True
2012/09/17,91.3,True
2012/09/18,91.26,True
2012/09/19,91.2,True
2012/09/20,90.7,True
2012/09/21,91.58,True
2012/09/24,91.41,True
2012/09/25,91.19,True
2012/09/26,90.38,True
2012/09/27,91.61,True
2012/09/28,92.47,True
2012/10/01,93.05,True
2012/10/02,92.66,True
2012/10/03,92.59,True
2012/10/04,93.64,True
2012/10/05,93.46,True
2012/10/08,94.02,True
2012/10/09,92.89,True
2012/10/10,92.45,True
2012/10/11,93.29,True
2012/10/12,92.73,True
2012/10/15,93.59,True
2012/10/16,92.97,True
2012/10/17,90.21,True
2012/10/18,88.81,True
2012/10/19,86.63,True
2012/10/22,86.51,True
2012/10/23,85.19,True
2012/10/24,85.22,True
2012/10/25,85.62,True
2012/10/26,84.95,True
2012/10/31,84.73,True
2012/11/01,85.34,True
2012/11/02,85.27,True
2012/11/05,86.31,True
2012/11/06,86.52,True
2012/11/07,84.91,True
2012/11/08,84.26,True
2012/11/09,84.44,True
2012/11/12,84.37,True
2012/11/13,83.87,True
2012/11/14,82.47,True
2012/11/15,83.06,True
2012/11/16,82.4,True
2012/11/19,83.65,True
2012/11/20,82.63,True
2012/11/21,82.91,True
2012/11/23,83.75,True
2012/11/26,82.84,True
2012/11/27,82.89,True
2012/11/28,83.42,True
2012/11/29,84.21,True
2012/11/30,84.59,True
2012/12/03,84.35,True
2012/12/04,84.3,True
2012/12/05,84.42,True
2012/12/06,84.71,True
2012/12/07,85.0,True
2012/12/10,84.73,True
2012/12/11,85.39,True
2012/12/12,87.14,True
2012/12/13,87.38,True
2012/12/14,87.1,True
2012/12/17,87.17,True
2012/12/18,88.11,True
2012/12/19,87.87,True
2012/12/20,87.35,True
2012/12/21,86.72,True
2012/12/24,86.53,True
2012/12/26,86.64,True
2012/12/27,86.72,True
2012/12/28,85.89,True
2012/12/31,86.62,True
2013/01/01,86.62989486187023,False
2013/01/02,86.65813920370356,False
2013/01/03,86.66481411488815,False
2013/01/04,86.63756282914606,False
2013/01/07,86.71026629871378,False
2013/01/08,86.65673603966937,False
2013/01/09,86.66535139234938,False
2013/01/10,86.66377783614381,False
2013/01/11,86.66323174246986,False
2013/01/14,86.6681661856166,False
2013/01/15,86.66290295535107,False
2013/01/16,86.66829967718738,False
2013/01/17,86.66817040238496,False
2013/01/18,86.66942158073823,False
2013/01/21,86.67063744689382,False
2013/01/22,86.67118839657076,False
2013/01/23,86.67274271547046,False
2013/01/24,86.67336643077874,False
2013/01/25,86.67448978308063,False
2013/01/28,86.67546342830849,False
2013/01/29,86.67643567464883,False
2013/01/30,86.67748032672209,False
2013/01/31,86.67842807795763,False
2013/02/01,86.67945900326659,False
2013/02/04,86.68044435798723,False
2013/02/05,86.68144457720089,False
2013/02/06,86.68244532811688,False
2013/02/07,86.68343857925787,False
2013/02/08,86.68444110267836,False
2013/02/11,86.68543605933965,False
2013/02/12,86.68643520510992,False
2013/02/13,86.68743291767642,False
2013/02/14,86.68843053919149,False
2013/02/15,86.68942890358177,False
2013/02/18,86.69042636997645,False
2013/02/19,86.69142453539104,False
2013/02/20,86.69242230726101,False
2013/02/21,86.69342020241376,False
2013/02/22,86.69441810360627,False
2013/02/25,86.69541592919622,False
2013/02/26,86.69641383027452,False
2013/02/27,86.69741166268166,False
2013/02/28,86.69840953715193,False
2013/03/01,86.69940737671419,False
2013/03/04,86.70040522970362,False
2013/03/05,86.70140307222982,False
2013/03/06,86.70240091826523,False
2013/03/07,86.70339874766606,False
