date,PRC,is_prediction
2012/01/03,41.8,True
2012/01/04,40.71,True
2012/01/05,40.3,True
2012/01/06,39.88,True
2012/01/09,39.81,True
2012/01/10,40.33,True
2012/01/11,39.98,True
2012/01/12,40.18,True
2012/01/13,39.94,True
2012/01/17,40.03,True
2012/01/18,40.18,True
2012/01/19,40.17,True
2012/01/20,39.81,True
2012/01/23,39.4,True
2012/01/24,39.61,True
2012/01/25,39.89,True
2012/01/26,39.44,True
2012/01/27,39.2,True
2012/01/30,39.25,True
2012/01/31,39.74,True
2012/02/01,39.8,True
2012/02/02,39.6,True
2012/02/03,39.51,True
2012/02/06,39.645,True
2012/02/07,39.5,True
2012/02/08,39.78,True
2012/02/09,39.52,True
2012/02/10,39.31,True
2012/02/13,38.85,True
2012/02/14,38.49,True
2012/02/15,38.57,True
2012/02/16,38.72,True
2012/02/17,39.26,True
2012/02/21,38.75,True
2012/02/22,38.82,True
2012/02/23,38.79,True
2012/02/24,39.05,True
2012/02/27,39.18,True
2012/02/28,39.4,True
2012/02/29,39.24,True
2012/03/01,39.35,True
2012/03/02,39.48,True
2012/03/05,39.13,True
2012/03/06,38.64,True
2012/03/07,38.86,True
2012/03/08,39.19,True
2012/03/09,39.56,True
2012/03/12,39.8,True
2012/03/13,40.17,True
2012/03/14,40.26,True
2012/03/15,40.28,True
2012/03/16,40.2,True
2012/03/19,40.32,True
2012/03/20,40.02,True
2012/03/21,39.95,True
2012/03/22,39.81,True
2012/03/23,39.87,True
2012/03/26,40.27,True
2012/03/27,40.26,True
2012/03/28,40.31,True
2012/03/29,39.96,True
2012/03/30,40.265,True
2012/04/02,40.48,True
2012/04/03,40.32,True
2012/04/04,40.33,True
2012/04/05,40.48,True
2012/04/09,39.72,True
2012/04/10,39.42,True
2012/04/11,39.47,True
2012/04/12,39.58,True
2012/04/13,39.18,True
2012/04/16,39.6,True
2012/04/17,40.06,True
2012/04/18,39.7,True
2012/04/19,39.75,True
2012/04/20,39.91,True
2012/04/23,39.81,True
2012/04/24,39.96,True
2012/04/25,40.8,True
2012/04/26,40.88,True
2012/04/27,41.3,True
2012/04/30,41.39,True
2012/05/01,41.24,True
2012/05/02,41.48,True
2012/05/03,41.27,True
2012/05/04,41.28,True
2012/05/07,41.61,True
2012/05/08,41.62,True
2012/05/09,41.3,True
2012/05/10,41.75,True
2012/05/11,41.26,True
2012/05/14,40.93,True
2012/05/15,40.58,True
2012/05/16,40.75,True
2012/05/17,40.53,True
2012/05/18,40.44,True
2012/05/21,40.63,True
2012/05/22,41.0,True
2012/05/23,40.67,True
2012/05/24,41.16,True
2012/05/25,41.11,True
2012/05/29,41.3,True
2012/05/30,40.99,True
2012/05/31,40.95,True
2012/06/01,40.16,True
2012/06/04,40.15,True
2012/06/05,40.62,True
2012/06/06,41.01,True
2012/06/07,41.27,True
2012/06/08,41.53,True
2012/06/11,41.49,True
2012/06/12,41.64,True
2012/06/13,41.57,True
2012/06/14,41.81,True
2012/06/15,41.99,True
2012/06/18,42.04,True
2012/06/19,42.29,True
2012/06/20,42.04,True
2012/06/21,41.76,True
2012/06/22,42.07,True
2012/06/25,41.47,True
2012/06/26,41.57,True
2012/06/27,41.93,True
2012/06/28,42.1,True
2012/06/29,42.91,True
2012/07/02,42.99,True
2012/07/03,43.16,True
2012/07/05,42.85,True
2012/07/06,42.66,True
2012/07/09,42.95,True
2012/07/10,42.86,True
2012/07/11,42.8,True
2012/07/12,42.84,True
2012/07/13,43.26,True
2012/07/16,43.85,True
2012/07/17,43.96,True
2012/07/18,44.51,True
2012/07/19,44.4,True
2012/07/20,44.17,True
2012/07/23,43.83,True
2012/07/24,41.98,True
2012/07/25,43.12,True
2012/07/26,43.61,True
2012/07/27,44.37,True
2012/07/30,44.05,True
2012/07/31,44.03,True
2012/08/01,43.86,True
2012/08/02,43.32,True
2012/08/03,44.15,True
2012/08/06,43.71,True
2012/08/07,42.75,True
2012/08/08,42.85,True
2012/08/09,42.72,True
2012/08/10,43.6,True
2012/08/13,42.81,True
2012/08/14,42.73,True
2012/08/15,42.98,True
2012/08/16,42.75,True
2012/08/17,42.42,True
2012/08/20,42.34,True
2012/08/21,42.21,True
2012/08/22,42.17,True
2012/08/23,42.4,True
2012/08/24,43.86,True
2012/08/27,44.59,True
2012/08/28,44.71,True
2012/08/29,45.17,True
2012/08/30,44.9,True
2012/08/31,44.91,True
2012/09/04,45.29,True
2012/09/05,45.81,True
2012/09/06,46.81,True
2012/09/07,46.65,True
2012/09/10,46.52,True
2012/09/11,46.49,True
2012/09/12,46.55,True
2012/09/13,47.15,True
2012/09/14,46.72,True
2012/09/17,46.83,True
2012/09/18,46.91,True
2012/09/19,46.86,True
2012/09/20,47.02,True
2012/09/21,47.46,True
2012/09/24,47.4,True
2012/09/25,47.45,True
2012/09/26,47.2,True
2012/09/27,47.64,True
2012/09/28,47.41,True
2012/10/01,47.57,True
2012/10/02,47.94,True
2012/10/03,48.31,True
2012/10/04,48.76,True
2012/10/05,48.23,True
2012/10/08,50.78,True
2012/10/09,51.81,True
2012/10/10,50.23,True
2012/10/11,50.6,True
2012/10/12,50.45,True
2012/10/15,52.53,True
2012/10/16,53.66,True
2012/10/17,53.67,True
2012/10/18,53.81,True
2012/10/19,52.86,True
2012/10/22,52.28,True
2012/10/23,51.91,True
2012/10/24,50.5,True
2012/10/25,51.08,True
2012/10/26,50.21,True
2012/10/31,48.63,True
2012/11/01,49.1,True
2012/11/02,48.55,True
2012/11/05,48.78,True
2012/11/06,48.78,True
2012/11/07,48.18,True
2012/11/08,47.47,True
2012/11/09,47.47,True
2012/11/12,48.3,True
2012/11/13,47.14,True
2012/11/14,46.22,True
2012/11/15,45.96,True
2012/11/16,45.91,True
2012/11/19,47.03,True
2012/11/20,47.19,True
2012/11/21,47.42,True
2012/11/23,47.74,True
2012/11/26,47.93,True
2012/11/27,47.68,True
2012/11/28,48.04,True
2012/11/29,48.58,True
2012/11/30,49.04,True
2012/12/03,48.92,True
2012/12/04,49.22,True
2012/12/05,49.58,True
2012/12/06,49.4,True
2012/12/07,49.63,True
2012/12/10,50.12,True
2012/12/11,50.6,True
2012/12/12,49.0,True
2012/12/13,48.23,True
2012/12/14,47.79,True
2012/12/17,48.34,True
2012/12/18,49.52,True
2012/12/19,48.92,True
2012/12/20,49.25,True
2012/12/21,49.55,True
2012/12/24,49.04,True
2012/12/26,49.06,True
2012/12/27,48.97,True
2012/12/28,48.6,True
2012/12/31,49.32,True
2013/01/01,49.338791725052296,False
2013/01/02,49.38588611692218,False
2013/01/03,49.41903029734096,False
2013/01/04,49.27867178074522,False
2013/01/07,49.45904756332682,False
2013/01/08,49.41928194413517,False
2013/01/09,49.49116390927249,False
2013/01/10,49.55606936271472,False
2013/01/11,49.52940278608647,False
2013/01/14,49.6072163264431,False
2013/01/15,49.59915570248724,False
2013/01/16,49.64301511640295,False
2013/01/17,49.683737680864795,False
2013/01/18,49.694969737795766,False
2013/01/21,49.74541112063558,False
2013/01/22,49.76013505385564,False
2013/01/23,49.79514951911732,False
2013/01/24,49.82743190869512,False
2013/01/25,49.85028151509048,False
2013/01/28,49.88818143547684,False
